,Concept_ID,tr,xal
0,Auge::N,göz,нүдн
1,Ohr::N,kulak,чикн
2,Nase::N,burun,хамр
3,Mund::N,ağız,амн
4,Zahn::N,diş,шүдн
5,Zunge::N,dil,келн
6,Lippe::N,dudak,урл
7,Wange::N,yanak,халх
8,Gesicht::N,yüz,нүр
9,Stirn::N,alın,маңна
10,Haar::N,saç,үсн
11,Schnurrbart::N,bıyık,сахл
12,Bart::N,sakal,сахл
13,Bart::N,sakal,өргнә сахл
14,Kinn::N,çene,өргн
15,Kiefer[Anatomie]::N,çene,өргн
16,Kehle::N,boğaz,хол
17,Hals::N,boyun,күзүн
18,Hals::N,gerdan,күзүн
19,Genick::N,ense,гиҗг
20,Kopf::N,baş,толһа
21,Kopf::N,kafa,толһа
22,Rücken::N,arka,нурһн
23,Bauch::N,karın,гесн
24,Nabel::N,göbek,киисн
25,Busen::N,koyun,көкн
26,Brust::N,göğüs,чееҗ
27,Schulter::N,omuz,ээм
28,Arm::N,kol,һар
29,Ellenbogen::N,dirsek,тоха
30,Hand::N,el,баһлцг
31,Handfläche::N,avuç,альхн
32,Handfläche::N,el ayası,альхн
33,Finger::N,parmak,хурһн
34,Finger::N,parmak,һарин хурһн
35,Fingernagel::N,el tırnağı,хумсн
36,Nagel[Anatomie]::N,tırnak,хумсн
37,Zeh::N,ayak parmağı,хурһн
38,Zeh::N,ayak parmağı,көлин хурһн
39,Fuß::N,ayak,тавг
40,Ferse::N,topuk,өскә
41,Knie::N,diz,өвдг
42,Oberschenkel::N,uyluk,һуй
43,Bein::N,bacak,көл
44,Körper::N,vücut,махмуд
45,Haut::N,cilt,арсн
46,Blut::N,kan,цусн
47,Ader::N,damar,судцн
48,Sehne::N,kiriş,шүрүсн
49,Knochen::N,kemik,ясн
50,Gehirn::N,beyin,экн
51,Herz::N,kalp,зүркн
52,Herz::N,yürek,зүркн
53,Magen::N,mide,гесн
54,Leber::N,karaciğer,элкн
55,Atem::N,nefes,әмсхл
56,Hunger::N,açlık,харһнлһн
57,Träne::N,gözyaşı,нульмсн
58,Geschmack::N,tat,амтн
59,Geschmack::N,lezzet,амтн
60,Geruch::N,koku,үнр
61,Schlaf::N,uyku,нөр
62,Traum::N,düş,зүүдн
63,Traum::N,rüya,зүүдн
64,Himmel::N,gök,теңгр
65,Sonne::N,güneş,нарн
66,Mond::N,ay,сар
67,Stern::N,yıldız,одн
68,Luft::N,hava,аһар
69,Wind::N,yel,салькн
70,Wind::N,rüzgâr,салькн
71,Welle::N,dalga,дольган
72,Wasser::N,su,усн
73,Stein::N,taş,чолун
74,Boden::N,yer,Һазр
75,Boden::N,zemin,Һазр
76,Erde::N,toprak,Һазр
77,Staub::N,toz,тоосн
78,Rauch::N,duman,утан
79,Funke::N,kıvılcım,очн
80,Feuer::N,ateş,һал
81,Licht::N,ışık,герл
82,Schatten::N,gölge,сүүдр
83,Wetter::N,hava,теңгр
84,Nebel::N,pus,будн
85,Wolke::N,bulut,үүлн
86,Regen::N,yağmur,хур
87,Schnee::N,kar,цасн
88,Eis::N,buz,мөсн
89,Frost::N,don,киитн
90,Kälte::N,soğukluk,киитн
91,Hitze::N,sıcaklık,халун
92,Raureif::N,kırç,цаң
93,Raureif::N,kırç,кирү
94,Regenbogen::N,gökkuşağı,солңһ
95,Donner::N,gök gürlemesi,оһтрһун дун
96,Strömung::N,akıntı,урсхл
97,Strömung::N,cereyan,урсхл
98,Tropfen::N,damla,дусал
99,Schaum::N,köpük,көөсн
100,Schmutz::N,çamur,кир
101,Schmutz::N,pislik,кир
102,See::N,göl,нур
103,Sumpf::N,batak,унул
104,Moor::N,cılgıt,улм
105,Wiese::N,çimen,хадлһн
106,Wald::N,koru,ө-модн
107,Wald::N,orman,ө-модн
108,Hügel::N,tepe,толһа
109,Anhöhe::N,tümsek,хамр
110,Anhöhe::N,yükseklik,хамр
111,Berg::N,dağ,уул
112,Gipfel::N,zirve,ора
113,Höhle::N,in,хадин көндә
114,Höhle::N,mağara,хадин көндә
115,Abhang::N,bayır,ташу
116,Quelle::N,pınar,булг
117,Quelle::N,kaynak,булг
118,Bach::N,çay,һооҗур
119,Bach::N,dere,һооҗур
120,Fluss::N,nehir,һол
121,Ufer::N,kıyı,көвә
122,Ufer::N,sahil,көвә
123,Küste::N,kıyı,көвә
124,Küste::N,kıyı,теңгсин көвә
125,Küste::N,sahil,көвә
126,Küste::N,sahil,теңгсин көвә
127,Festland::N,kara,хүүрә һазр
128,Meer::N,deniz,теңгс
129,Bucht::N,koy,цекә
130,Bucht::N,koy,теңгсин цекә
131,Bucht::N,körfez,цекә
132,Bucht::N,körfez,теңгсин цекә
133,Insel::N,ada,арл
134,Blume::N,çiçek,цецг
135,Gras::N,ot,ноһан
136,Gras::N,çim,ноһан
137,Wurzel::N,kök,уңг
138,Baum::N,ağaç,модн
139,Stamm::N,gövde,шилв
140,Stamm::N,gövde,һол модн
141,Rinde::N,kabuk,көрсн
142,Ast::N,dal,ац
143,Ast::N,budak,ац
144,Zweig::N,dal,ац
145,Blatt::N,yaprak,хамтхасн
146,Birke::N,huş,хусм модн
147,Kiefer[Baum]::N,çam,шар харһа
148,Weide[Baum]::N,söğüt,удн
149,Tanne::N,çam,җөөлн цаһан модн
150,Tanne::N,köknar,җөөлн цаһан модн
151,Horn::N,boynuz,өвр
152,Feder::N,tüy,өрвлг
153,Fell::N,post,арсн
154,Flügel::N,kanat,җивр
155,Klaue::N,pençe,хумсн
156,Kralle::N,tırnak,тавг
157,Schwanz::N,kuyruk,сүл
158,Ei::N,yumurta,өндгн
159,Nest::N,yuva,үр
160,Bau::N,in,нүкн
161,Tier::N,hayvan,мал
162,Herde::N,sürü,сүрг мал
163,Kuh::N,inek,үкр
164,Bulle::N,boğa,бух
165,Pferd::N,at,мөрн
166,Pferd::N,beygir,мөрн
167,Schaf::N,koyun,хөн
168,Schwein::N,domuz,һаха
169,Hund::N,it,ноха
170,Hund::N,köpek,ноха
171,Katze::N,kedi,мис
172,Bär::N,ayı,аю
173,Eichhörnchen::N,sincap,кермн
174,Elch::N,büyük kuzey geyiği,хандһа
175,Fuchs::N,tilki,арат
176,Hase::N,tavşan,туула
177,Maus::N,fare,хулһн
178,Maus::N,sıçan,хулһн
179,Wolf::N,kurt,чон
180,Vogel::N,kuş,шовун
181,Schwarm::N,sürü,зел
182,Huhn::N,tavuk,така
183,Hahn::N,horoz,эр така
184,Gans::N,kaz,һалун
185,Adler::N,kartal,һәрд
186,Adler::N,karakuş,һәрд
187,Ente::N,ördek,нуһсн
188,Eule::N,baykuş,һурвлһ
189,Kranich::N,turna,тоһрун
190,Krähe::N,karga,шаазһа
191,Kuckuck::N,guguk,эргин хуцдг
192,Schwan::N,kuğu,хун
193,Fisch::N,balık,заһсн
194,Barsch::N,hani,шүрг
195,Barsch::N,levrek,шүрг
196,Hecht::N,turnabalığı,цурх
197,Schlange[Tier]::N,yılan,моһа
198,Wurm::N,kurt,өтн
199,Wurm::N,solucan,өтн
200,Spinne::N,örümcek,аралҗн
201,Ameise::N,karınca,шорһлҗн
202,Laus::N,bit,бөөсн
203,Mücke::N,sivrisinek,бөкүн
204,Fliege::N,sinek,батхн
205,Schmetterling::N,kelebek,эрвәкә
206,Beere::N,tane,бөөлҗрһн
207,Apfel::N,elma,альмн
208,Pilz::N,mantar,теңгрин ки
209,Zwiebel::N,soğan,мәңгрснә толһа
210,Saat::N,ekin,буудян экн
211,Korn::N,tane,экн
212,Heu::N,kuru ot,өвсн
213,Schale::N,kabuk,хальсн
214,Grube::N,çukur,нүкн
215,Falle::N,tuzak,урх
216,Falle::N,tuzak,хавх
217,Schlinge::N,ilmik,бүтү
218,Spur::N,iz,мөр
219,Asche::N,kül,үмсн
220,Dreck::N,pislik,бальчг
221,Eisen::N,demir,төмр
222,Gold::N,altın,алтн
223,Silber::N,gümüş,мөңгн
224,Silber::N,gümüş,цаһан мөңгн
225,Kohle::N,kömür,нүүрсн
226,Glas::N,cam,шил
227,Lehm::N,balçık,шавр
228,Sand::N,kum,элсн
229,Mensch::N,insan,күн
