,Concept_ID,cs,et
0,Auge::N,oko,silm
1,Ohr::N,ucho,kõrv
2,Nase::N,nos,nina
3,Mund::N,pusa,suu
4,Zahn::N,zub,hammas
5,Zunge::N,jazyk,keel
6,Lippe::N,ret,huul
7,Wange::N,tvář,põsk
8,Gesicht::N,obličej,nägu
9,Stirn::N,čelo,otsmik
10,Haar::N,vlas,juus
11,Haar::N,vlasy,juus
12,Schnurrbart::N,kníry,vurrud
13,Schnurrbart::N,kníry,vuntsid
14,Bart::N,vousy,habe
15,Kinn::N,brada,lõug
16,Kiefer[Anatomie]::N,čelist,lõualuu
17,Kehle::N,hrdlo,kõri
18,Hals::N,krk,kael
19,Genick::N,týl,kukal
20,Kopf::N,hlava,pea
21,Rücken::N,záda,selg
22,Rücken::N,hřbet,selg
23,Bauch::N,břicho,kõht
24,Nabel::N,pupek,naba
25,Busen::N,ňadra,rind
26,Brust::N,prsa,rind
27,Schulter::N,plece,õlg
28,Schulter::N,rameno,õlg
29,Arm::N,ruka,käsivars
30,Ellenbogen::N,loket,küünarnukk
31,Hand::N,ruka,käsi
32,Handfläche::N,dlaň,pihk
33,Finger::N,prst,sõrm
34,Fingernagel::N,nehet,küüs
35,Nagel[Anatomie]::N,nehet,küüs
36,Zeh::N,prst u nohy,varvas
37,Fuß::N,noha,jalg
38,Ferse::N,pata,kand
39,Knie::N,koleno,põlv
40,Oberschenkel::N,stehno,reis
41,Bein::N,noha,jalg
42,Körper::N,tělo,ihu
43,Körper::N,tělo,keha
44,Haut::N,kůže,nahk
45,Blut::N,krev,veri
46,Ader::N,céva,veen
47,Sehne::N,šlacha,kõõlus
48,Knochen::N,kost,luu
49,Gehirn::N,mozek,aju
50,Herz::N,srdce,süda
51,Magen::N,žaludek,magu
52,Leber::N,játra,maks
53,Atem::N,dech,hingeõhk
54,Atem::N,dech,hingamine
55,Hunger::N,hlad,nälg
56,Träne::N,slza,pisar
57,Geschmack::N,vkus,maitse
58,Geruch::N,vůně,lõhn
59,Geruch::N,zápach,lõhn
60,Schlaf::N,spánek,uni
61,Traum::N,sen,unenägu
62,Himmel::N,nebe,taevas
63,Sonne::N,slunce,päike
64,Mond::N,měsíc,kuu
65,Stern::N,hvězda,täht
66,Luft::N,vzduch,õhk
67,Wind::N,vítr,tuul
68,Welle::N,vlna,laine
69,Wasser::N,voda,vesi
70,Stein::N,kámen,kivi
71,Boden::N,půda,maa
72,Boden::N,půda,pinnas
73,Erde::N,země,maa
74,Staub::N,prach,põrm
75,Rauch::N,dým,suits
76,Rauch::N,kouř,suits
77,Funke::N,jiskra,säde
78,Feuer::N,oheň,tuli
79,Licht::N,světlo,valgus
80,Schatten::N,stín,vari
81,Wetter::N,počasí,ilm
82,Nebel::N,mlha,udu
83,Wolke::N,mrak,pilv
84,Wolke::N,oblak,pilv
85,Regen::N,déšť,sadu
86,Schnee::N,sníh,lumi
87,Eis::N,led,jää
88,Frost::N,mráz,pakane
89,Kälte::N,chlad,külm
90,Kälte::N,chlad,külmus
91,Hitze::N,horko,kuumus
92,Hitze::N,horko,palavus
93,Raureif::N,jinovatka,härmatis
94,Regenbogen::N,duha,vikerkaar
95,Donner::N,hrom,kõu
96,Donner::N,hrom,müristamine
97,Strömung::N,proudění,voolus
98,Strömung::N,proudění,jõevool
99,Tropfen::N,kapka,tilk
100,Schaum::N,pěna,vaht
101,Schmutz::N,špína,pori
102,Schmutz::N,špína,mustus
103,See::N,jezero,järv
104,Sumpf::N,močál,soo
105,Sumpf::N,bažina,soo
106,Moor::N,bažina,raba
107,Moor::N,slatina,raba
108,Wiese::N,louka,aas
109,Wiese::N,louka,nurm
110,Wald::N,les,mets
111,Hügel::N,kopec,küngas
112,Anhöhe::N,pahorek,küngas
113,Berg::N,hora,mägi
114,Gipfel::N,vrchol,mäetipp
115,Höhle::N,jeskyně,koobas
