,Concept_ID,sv,tt
0,Auge::N,öga,күз
1,Ohr::N,öra,колак
2,Nase::N,näsa,борын
3,Mund::N,mun,авыз
4,Mund::N,mun,тамак
5,Zahn::N,tand,теш
6,Zunge::N,tunga,тел
7,Lippe::N,läpp,ирен
8,Wange::N,kind,яңак
9,Gesicht::N,syn,йөз
10,Gesicht::N,ansikte,йөз
11,Stirn::N,panna,маңгай
12,Haar::N,hår,чәч
13,Schnurrbart::N,mustasch,мыек
14,Bart::N,skägg,сакал
15,Kinn::N,haka,ияк
16,Kiefer[Anatomie]::N,käke,казналык
17,Kehle::N,strupe,тамак
18,Hals::N,hals,бугаз
19,Genick::N,nacke,җилкә
20,Kopf::N,huvud,баш
21,Rücken::N,rygg,сырт
22,Bauch::N,buk,корсак
23,Bauch::N,mage,корсак
24,Nabel::N,navel,кендек
25,Busen::N,barm,түш
26,Brust::N,bröst,имчәк
27,Brust::N,bröst,күкрәк
28,Schulter::N,skuldra,иңбаш
29,Schulter::N,skuldra,кулбаш
30,Arm::N,arm,кул
31,Ellenbogen::N,armbåge,терсәк
32,Hand::N,hand,кул
33,Handfläche::N,handflata,уч
34,Finger::N,finger,бармак
35,Fingernagel::N,fingernagel,тырнак
36,Nagel[Anatomie]::N,nagel,тырнак
37,Zeh::N,tå,бармак
38,Fuß::N,fot,табан
39,Ferse::N,häl,үкчә
40,Knie::N,knä,тез
41,Oberschenkel::N,lår,бот
42,Bein::N,ben,аяк
43,Körper::N,kropp,тән
44,Körper::N,kropp,җисем
45,Haut::N,hud,тире
46,Haut::N,skinn,тире
47,Blut::N,blod,кан
48,Ader::N,åder,тамыр
49,Sehne::N,sena,сеңер
50,Knochen::N,ben,сөяк
51,Gehirn::N,hjärna,ми
52,Herz::N,hjärta,йөрәк
53,Magen::N,mage,ашказаны
54,Leber::N,lever,бавыр
55,Atem::N,anda,сулыш
56,Atem::N,andedräkt,сулыш
57,Hunger::N,svält,ачлык
58,Hunger::N,hunger,ачлык
59,Träne::N,tår,яшь
60,Geschmack::N,smak,тәм
61,Geschmack::N,smak,зәвык
62,Geruch::N,lukt,ис
63,Schlaf::N,sömn,йокы
64,Traum::N,dröm,төш
65,Himmel::N,himmel,күк
66,Sonne::N,sol,кояш
67,Mond::N,måne,ай
68,Stern::N,stjärna,йолдыз
69,Luft::N,luft,һава
70,Wind::N,vind,җил
71,Welle::N,våg,дулкын
72,Welle::N,bölja,дулкын
73,Wasser::N,vatten,су
74,Stein::N,sten,таш
75,Boden::N,mark,туфрак
76,Erde::N,jord,җир
77,Staub::N,damm,тузан
78,Rauch::N,rök,төтен
79,Funke::N,gnista,очкын
80,Feuer::N,eld,ут
81,Licht::N,ljus,якты
82,Schatten::N,skugga,күләгә
83,Wetter::N,väder,һава
84,Nebel::N,dimma,томан
85,Nebel::N,töcken,томан
86,Wolke::N,sky,болыт
87,Wolke::N,moln,болыт
88,Regen::N,regn,яңгыр
89,Schnee::N,snö,кар
90,Eis::N,is,боз
91,Frost::N,frost,суык
