,Concept_ID,se,lv
0,Auge::N,tjelmie,син
1,Auge::N,tjelmie,acs
2,Auge::N,tjalmme,син
3,Auge::N,tjalmme,acs
4,Auge::N,čalbmi,син
5,Auge::N,čalbmi,acs
6,Auge::N,čalme,син
7,Auge::N,čalme,acs
8,Auge::N,čâ´lmm,син
9,Auge::N,čâ´lmm,acs
10,Auge::N,ча̄лльм,син
11,Auge::N,ча̄лльм,acs
12,Ohr::N,bieljie,пель
13,Ohr::N,bieljie,auss
14,Ohr::N,biellje,пель
15,Ohr::N,biellje,auss
16,Ohr::N,beallji,пель
17,Ohr::N,beallji,auss
18,Ohr::N,pelji,пель
19,Ohr::N,pelji,auss
20,Ohr::N,pe´llj,пель
21,Ohr::N,pe´llj,auss
22,Ohr::N,пе̄лльй,пель
23,Ohr::N,пе̄лльй,auss
24,Nase::N,njuenie,ныр
25,Nase::N,njuenie,deguns
26,Nase::N,njunnje,ныр
27,Nase::N,njunnje,deguns
28,Nase::N,njunni,ныр
29,Nase::N,njunni,deguns
30,Nase::N,njuṇe,ныр
31,Nase::N,njuṇe,deguns
32,Nase::N,njuu´nn,ныр
33,Nase::N,njuu´nn,deguns
34,Nase::N,нюннҍ,ныр
35,Nase::N,нюннҍ,deguns
36,Mund::N,njaelmie,вом
37,Mund::N,njaelmie,mute
38,Mund::N,njálmme,вом
39,Mund::N,njálmme,mute
40,Mund::N,njálbmi,вом
41,Mund::N,njálbmi,mute
42,Mund::N,njälmi,вом
43,Mund::N,njälmi,mute
44,Mund::N,njä´lmm,вом
45,Mund::N,njä´lmm,mute
46,Mund::N,ня̄лльм,вом
47,Mund::N,ня̄лльм,mute
48,Zahn::N,baenie,пинь
49,Zahn::N,baenie,zobs
50,Zahn::N,bádne,пинь
51,Zahn::N,bádne,zobs
52,Zahn::N,bátni,пинь
53,Zahn::N,bátni,zobs
54,Zahn::N,pääṇi,пинь
55,Zahn::N,pääṇi,zobs
56,Zahn::N,pää´nn,пинь
57,Zahn::N,pää´nn,zobs
58,Zahn::N,па̄ннҍ,пинь
59,Zahn::N,па̄ннҍ,zobs
60,Zunge::N,njoektjeme,кыв
61,Zunge::N,njoektjeme,mēle
62,Zunge::N,njuovtjav,кыв
63,Zunge::N,njuovtjav,mēle
64,Zunge::N,njuovčča,кыв
65,Zunge::N,njuovčča,mēle
66,Zunge::N,njuovčâ,кыв
67,Zunge::N,njuovčâ,mēle
68,Zunge::N,njuhččâm,кыв
69,Zunge::N,njuhččâm,mēle
70,Zunge::N,нюхчем,кыв
71,Zunge::N,нюхчем,mēle
72,Lippe::N,bangseme,вом дор
73,Lippe::N,bangseme,lūpa
74,Lippe::N,njálmmerabdda,вом дор
75,Lippe::N,njálmmerabdda,lūpa
76,Lippe::N,bavssa,вом дор
77,Lippe::N,bavssa,lūpa
78,Lippe::N,poovsâ,вом дор
79,Lippe::N,poovsâ,lūpa
80,Lippe::N,põõus,вом дор
81,Lippe::N,põõus,lūpa
82,Lippe::N,пэ̄кс,вом дор
83,Lippe::N,пэ̄кс,lūpa
84,Wange::N,skiehrie,бан
85,Wange::N,skiehrie,vaigs
86,Wange::N,nierra,бан
87,Wange::N,nierra,vaigs
88,Wange::N,muohtu,бан
89,Wange::N,muohtu,vaigs
90,Wange::N,nieṛâ,бан
91,Wange::N,nieṛâ,vaigs
92,Wange::N,njiõrr,бан
93,Wange::N,njiõrr,vaigs
94,Wange::N,нӣрр,бан
95,Wange::N,нӣрр,vaigs
96,Gesicht::N,ååredæjja,чужӧм
97,Gesicht::N,ååredæjja,seja
98,Gesicht::N,ååredæjja,ģīmis
99,Gesicht::N,muohto,чужӧм
100,Gesicht::N,muohto,seja
101,Gesicht::N,muohto,ģīmis
102,Gesicht::N,muođut,чужӧм
103,Gesicht::N,muođut,seja
104,Gesicht::N,muođut,ģīmis
105,Gesicht::N,ámadadju,чужӧм
106,Gesicht::N,ámadadju,seja
107,Gesicht::N,ámadadju,ģīmis
108,Gesicht::N,muáđuh,чужӧм
109,Gesicht::N,muáđuh,seja
110,Gesicht::N,muáđuh,ģīmis
111,Gesicht::N,muâđ,чужӧм
112,Gesicht::N,muâđ,seja
113,Gesicht::N,muâđ,ģīmis
114,Gesicht::N,ка̄ссв,чужӧм
115,Gesicht::N,ка̄ссв,seja
116,Gesicht::N,ка̄ссв,ģīmis
117,Stirn::N,gaalloe,плеш
118,Stirn::N,gaalloe,кымӧс
119,Stirn::N,gaalloe,piere
120,Stirn::N,gállo,плеш
121,Stirn::N,gállo,кымӧс
122,Stirn::N,gállo,piere
123,Stirn::N,gállu,плеш
124,Stirn::N,gállu,кымӧс
125,Stirn::N,gállu,piere
126,Stirn::N,kállu,плеш
127,Stirn::N,kállu,кымӧс
128,Stirn::N,kállu,piere
129,Stirn::N,käll,плеш
130,Stirn::N,käll,кымӧс
131,Stirn::N,käll,piere
132,Stirn::N,вуэххьц,плеш
133,Stirn::N,вуэххьц,кымӧс
134,Stirn::N,вуэххьц,piere
135,Haar::N,voepte,си
136,Haar::N,voepte,юрси
137,Haar::N,voepte,mats
138,Haar::N,vuoppta,си
139,Haar::N,vuoppta,юрси
140,Haar::N,vuoppta,mats
141,Haar::N,vuokta,си
142,Haar::N,vuokta,юрси
143,Haar::N,vuokta,mats
144,Haar::N,vuop'tâ,си
145,Haar::N,vuop'tâ,юрси
146,Haar::N,vuop'tâ,mats
147,Haar::N,vuõpt,си
148,Haar::N,vuõpt,юрси
149,Haar::N,vuõpt,mats
150,Haar::N,вӯппт,си
151,Haar::N,вӯппт,юрси
152,Haar::N,вӯппт,mats
153,Schnurrbart::N,bijjie-skaavtjoe,ус
154,Schnurrbart::N,bijjie-skaavtjoe,пыртсим
155,Schnurrbart::N,bijjie-skaavtjoe,ūsas
156,Schnurrbart::N,njunjevuolskávttjá,ус
157,Schnurrbart::N,njunjevuolskávttjá,пыртсим
158,Schnurrbart::N,njunjevuolskávttjá,ūsas
159,Schnurrbart::N,seamu,ус
160,Schnurrbart::N,seamu,пыртсим
161,Schnurrbart::N,seamu,ūsas
162,Schnurrbart::N,siämu,ус
163,Schnurrbart::N,siämu,пыртсим
164,Schnurrbart::N,siämu,ūsas
165,Schnurrbart::N,ää´bben,ус
166,Schnurrbart::N,ää´bben,пыртсим
167,Schnurrbart::N,ää´bben,ūsas
168,Schnurrbart::N,о̄а̄бпан,ус
169,Schnurrbart::N,о̄а̄бпан,пыртсим
170,Schnurrbart::N,о̄а̄бпан,ūsas
171,Bart::N,skaavtja,тош
172,Bart::N,skaavtja,bārda
173,Bart::N,skaavtjoe,тош
174,Bart::N,skaavtjoe,bārda
175,Bart::N,skávttjá,тош
176,Bart::N,skávttjá,bārda
177,Bart::N,seamu,тош
178,Bart::N,seamu,bārda
179,Bart::N,siämu,тош
180,Bart::N,siämu,bārda
181,Bart::N,seäm,тош
182,Bart::N,seäm,bārda
183,Bart::N,ся̄м,тош
184,Bart::N,ся̄м,bārda
185,Kinn::N,gaejpie,тшӧка
186,Kinn::N,gaejpie,zods
187,Kinn::N,gaejpie,smakrs
188,Kinn::N,gájbbe,тшӧка
189,Kinn::N,gájbbe,zods
190,Kinn::N,gájbbe,smakrs
191,Kinn::N,gáibi,тшӧка
192,Kinn::N,gáibi,zods
193,Kinn::N,gáibi,smakrs
194,Kinn::N,käibi,тшӧка
195,Kinn::N,käibi,zods
196,Kinn::N,käibi,smakrs
197,Kinn::N,käi´bb,тшӧка
198,Kinn::N,käi´bb,zods
199,Kinn::N,käi´bb,smakrs
200,Kinn::N,ка̄ййп,тшӧка
201,Kinn::N,ка̄ййп,zods
202,Kinn::N,ка̄ййп,smakrs
203,Kiefer[Anatomie]::N,gaejpie,черлы
204,Kiefer[Anatomie]::N,gaejpie,алака лы
205,Kiefer[Anatomie]::N,gaejpie,вомкӧтш лы
206,Kiefer[Anatomie]::N,gaejpie,žoklis
207,Kiefer[Anatomie]::N,oalol,черлы
208,Kiefer[Anatomie]::N,oalol,алака лы
209,Kiefer[Anatomie]::N,oalol,вомкӧтш лы
210,Kiefer[Anatomie]::N,oalol,žoklis
211,Kiefer[Anatomie]::N,oaloldákte,черлы
212,Kiefer[Anatomie]::N,oaloldákte,алака лы
213,Kiefer[Anatomie]::N,oaloldákte,вомкӧтш лы
214,Kiefer[Anatomie]::N,oaloldákte,žoklis
215,Kiefer[Anatomie]::N,gáibi,черлы
216,Kiefer[Anatomie]::N,gáibi,алака лы
217,Kiefer[Anatomie]::N,gáibi,вомкӧтш лы
218,Kiefer[Anatomie]::N,gáibi,žoklis
219,Kiefer[Anatomie]::N,uá'lultähti,черлы
220,Kiefer[Anatomie]::N,uá'lultähti,алака лы
221,Kiefer[Anatomie]::N,uá'lultähti,вомкӧтш лы
222,Kiefer[Anatomie]::N,uá'lultähti,žoklis
223,Kiefer[Anatomie]::N,vuâl'lõš,черлы
224,Kiefer[Anatomie]::N,vuâl'lõš,алака лы
225,Kiefer[Anatomie]::N,vuâl'lõš,вомкӧтш лы
226,Kiefer[Anatomie]::N,vuâl'lõš,žoklis
227,Kiefer[Anatomie]::N,вуаллнешш,черлы
228,Kiefer[Anatomie]::N,вуаллнешш,алака лы
229,Kiefer[Anatomie]::N,вуаллнешш,вомкӧтш лы
230,Kiefer[Anatomie]::N,вуаллнешш,žoklis
231,Kehle::N,gealoe,голя
232,Kehle::N,gealoe,rīkle
233,Kehle::N,tjåttå,голя
234,Kehle::N,tjåttå,rīkle
235,Kehle::N,njiello,голя
236,Kehle::N,njiello,rīkle
237,Kehle::N,čotta,голя
238,Kehle::N,čotta,rīkle
239,Kehle::N,čuudâ,голя
240,Kehle::N,čuudâ,rīkle
241,Kehle::N,čoodd,голя
242,Kehle::N,čoodd,rīkle
243,Kehle::N,чонт,голя
244,Kehle::N,чонт,rīkle
245,Kehle::N,кэ̄ҏс,голя
246,Kehle::N,кэ̄ҏс,rīkle
247,Hals::N,tjeapohke,сьылі
248,Hals::N,tjeapohke,kakls
249,Hals::N,tjiebet,сьылі
250,Hals::N,tjiebet,kakls
251,Hals::N,čeabet,сьылі
252,Hals::N,čeabet,kakls
253,Hals::N,čiäppát,сьылі
254,Hals::N,čiäppát,kakls
255,Hals::N,čeäppat,сьылі
256,Hals::N,čeäppat,kakls
257,Hals::N,ча̄пэх,сьылі
258,Hals::N,ча̄пэх,kakls
259,Genick::N,tjovrese,юрбӧр
260,Genick::N,tjovrese,балябӧж
261,Genick::N,tjovrese,sprands
262,Genick::N,nisske,юрбӧр
263,Genick::N,nisske,балябӧж
264,Genick::N,nisske,sprands
265,Genick::N,niehkki,юрбӧр
266,Genick::N,niehkki,балябӧж
267,Genick::N,niehkki,sprands
268,Genick::N,niski,юрбӧр
269,Genick::N,niski,балябӧж
270,Genick::N,niski,sprands
271,Genick::N,niek'ki,юрбӧр
272,Genick::N,niek'ki,балябӧж
273,Genick::N,niek'ki,sprands
274,Genick::N,nji´šǩǩmaadd,юрбӧр
275,Genick::N,nji´šǩǩmaadd,балябӧж
276,Genick::N,nji´šǩǩmaadd,sprands
277,Genick::N,нышшькмоант,юрбӧр
278,Genick::N,нышшькмоант,балябӧж
279,Genick::N,нышшькмоант,sprands
280,Kopf::N,åejjie,юр
281,Kopf::N,åejjie,galva
282,Kopf::N,oajvve,юр
283,Kopf::N,oajvve,galva
284,Kopf::N,oaivi,юр
285,Kopf::N,oaivi,galva
286,Kopf::N,uái'vi,юр
287,Kopf::N,uái'vi,galva
288,Kopf::N,vuei´vv,юр
289,Kopf::N,vuei´vv,galva
290,Kopf::N,вуэййв,юр
291,Kopf::N,вуэййв,galva
292,Rücken::N,rudtje,мыш
293,Rücken::N,rudtje,mugura
294,Rücken::N,hárddo,мыш
295,Rücken::N,hárddo,mugura
296,Rücken::N,tjavelk,мыш
297,Rücken::N,tjavelk,mugura
298,Rücken::N,sealgi,мыш
299,Rücken::N,sealgi,mugura
300,Rücken::N,selgi,мыш
301,Rücken::N,selgi,mugura
302,Rücken::N,čielgi,мыш
303,Rücken::N,čielgi,mugura
304,Rücken::N,seä´lǧǧ,мыш
305,Rücken::N,seä´lǧǧ,mugura
306,Rücken::N,се̄лльк,мыш
307,Rücken::N,се̄лльк,mugura
308,Bauch::N,tjåejjie,рушку
