,Concept_ID,te,xal
0,Auge::N,కన్ను,нүдн
1,Ohr::N,చెవి,чикн
2,Nase::N,ముక్కు,хамр
3,Mund::N,నోరు,амн
4,Zahn::N,పల్లు,шүдн
5,Zunge::N,నాలుక,келн
6,Lippe::N,పెదవి,урл
7,Wange::N,చెంప,халх
8,Gesicht::N,ముఖము,нүр
9,Stirn::N,నుదురు,маңна
10,Haar::N,వెండ్రుక,үсн
11,Schnurrbart::N,మీసము,сахл
12,Bart::N,గడ్డము,сахл
13,Bart::N,గడ్డము,өргнә сахл
14,Kinn::N,గడ్డము,өргн
15,Kiefer[Anatomie]::N,దౌడ,өргн
16,Kehle::N,గొంతు,хол
17,Hals::N,మెడ,күзүн
18,Genick::N,మూపు,гиҗг
19,Kopf::N,తల,толһа
20,Rücken::N,వెన్ను,нурһн
21,Bauch::N,కడుపు,гесн
22,Nabel::N,బొడ్డు,киисн
23,Busen::N,స్తనము,көкн
24,Brust::N,ఱొమ్ము,чееҗ
25,Schulter::N,భుజము,ээм
26,Arm::N,చేయి,һар
27,Ellenbogen::N,మోచేయి,тоха
28,Hand::N,చేయి,баһлцг
29,Handfläche::N,అరచేయు,альхн
30,Finger::N,చేతిప్రేలు,хурһн
31,Finger::N,చేతిప్రేలు,һарин хурһн
32,Fingernagel::N,గోరు,хумсн
33,Nagel[Anatomie]::N,గోరు,хумсн
34,Zeh::N,కాలిప్రేలు,хурһн
35,Zeh::N,కాలిప్రేలు,көлин хурһн
36,Fuß::N,అడుగు,тавг
37,Ferse::N,మడమ,өскә
38,Knie::N,మోకాలు,өвдг
39,Oberschenkel::N,తొడ,һуй
40,Bein::N,కాలు,көл
41,Körper::N,కాయము,махмуд
42,Haut::N,చర్మము,арсн
43,Blut::N,రక్తము,цусн
44,Ader::N,సిర,судцн
45,Sehne::N,స్నాయువు,шүрүсн
46,Knochen::N,ఎముక,ясн
47,Gehirn::N,మెదడు,экн
48,Herz::N,హృదయము,зүркн
49,Magen::N,కడుపు,гесн
50,Leber::N,కాలేయము,элкн
51,Atem::N,ఉపిరి,әмсхл
52,Hunger::N,ఆకలి,харһнлһн
53,Träne::N,కన్నీటిచుక్క,нульмсн
54,Geschmack::N,రుచి,амтн
55,Geruch::N,వాసన,үнр
56,Schlaf::N,నిద్ర,нөр
57,Traum::N,కల,зүүдн
58,Himmel::N,ఆకాశము,теңгр
59,Sonne::N,సూర్యుడు,нарн
60,Mond::N,చంద్రుడు,сар
61,Stern::N,నక్షత్రము,одн
62,Luft::N,గాలి,аһар
63,Wind::N,వీచుచున్నగాలి,салькн
64,Welle::N,అల,дольган
65,Wasser::N,నీరు,усн
66,Stein::N,ఱాయి,чолун
67,Boden::N,నేల,Һазр
68,Erde::N,మన్ను,Һазр
69,Staub::N,దుమ్ము,тоосн
70,Rauch::N,పొగ,утан
71,Funke::N,అగ్నికణము,очн
72,Feuer::N,అగ్ని,һал
73,Licht::N,కాంతి,герл
74,Schatten::N,నీడ,сүүдр
75,Wetter::N,వాతావరణ స్థితి,теңгр
76,Nebel::N,పొగమంచు,будн
77,Wolke::N,మేఘము,үүлн
78,Regen::N,వాన,хур
79,Schnee::N,హిమము,цасн
80,Eis::N,మంచుగడ్డ,мөсн
81,Frost::N,పేరిన మంచు,киитн
82,Kälte::N,చలి,киитн
83,Hitze::N,వేడిమి,халун
84,Raureif::N,మంచు,цаң
85,Raureif::N,మంచు,кирү
86,Regenbogen::N,ఇంద్రధనుస్సు,солңһ
87,Donner::N,ఉరుము,оһтрһун дун
88,Strömung::N,ప్రవాహము,урсхл
89,Tropfen::N,చుక్క,дусал
90,Schaum::N,నురుగు,көөсн
91,Schmutz::N,మైల,кир
92,See::N,సరస్సు,нур
93,Sumpf::N,చిత్తడినేల,унул
94,Moor::N,చిత్తడినేల,улм
95,Wiese::N,పచ్చిక బయలు,хадлһн
96,Wald::N,అడవి,ө-модн
97,Hügel::N,చివ్నకొండ,толһа
98,Anhöhe::N,కొండ,хамр
99,Berg::N,పర్వతము,уул
100,Gipfel::N,శిఖరము,ора
101,Höhle::N,గుహ,хадин көндә
102,Abhang::N,ఏటవాలు,ташу
103,Quelle::N,మూలము,булг
104,Bach::N,కాలువ,һооҗур
105,Fluss::N,నది,һол
106,Ufer::N,తీరము,көвә
107,Küste::N,తీరము,көвә
108,Küste::N,తీరము,теңгсин көвә
109,Festland::N,భూమి,хүүрә һазр
110,Meer::N,సముద్రము,теңгс
111,Bucht::N,మరుగు,цекә
112,Bucht::N,మరుగు,теңгсин цекә
113,Insel::N,దీవి,арл
114,Blume::N,పుష్పము,цецг
115,Gras::N,పచ్చగడ్డి,ноһан
116,Wurzel::N,వేరు,уңг
117,Baum::N,చెట్టు,модн
118,Stamm::N,చెట్టుబోదె,шилв
119,Stamm::N,చెట్టుబోదె,һол модн
120,Rinde::N,చెట్టుపట్ట,көрсн
121,Ast::N,కొమ్మ,ац
122,Zweig::N,చివుకు,ац
123,Blatt::N,ఆకు,хамтхасн
124,Birke::N,తరహా చెట్టు,хусм модн
125,Kiefer[Baum]::N,దేవదారు చెట్టు,шар харһа
126,Weide[Baum]::N,జాతిచెట్టు,удн
127,Tanne::N,దేవదారుచెట్టు,җөөлн цаһан модн
128,Horn::N,కొమ్ము,өвр
129,Feder::N,ఈక,өрвлг
130,Fell::N,తోలు,арсн
131,Flügel::N,ఱెక్క,җивр
132,Klaue::N,వంకరగోరు,хумсн
133,Kralle::N,వంకరగోరు,тавг
134,Schwanz::N,తోక,сүл
135,Ei::N,గ్రుడ్డు,өндгн
136,Nest::N,పక్షిగూడు,үр
137,Bau::N,గుహ,нүкн
138,Tier::N,జంతువు,мал
139,Herde::N,మంద,сүрг мал
140,Kuh::N,ఆవు,үкр
