,Concept_ID,tt,mdf
0,Auge::N,күз,сельме
1,Ohr::N,колак,пиле
2,Nase::N,борын,шалхка
3,Mund::N,авыз,курга
4,Mund::N,тамак,курга
5,Zahn::N,теш,пей
6,Zunge::N,тел,кяль
7,Lippe::N,ирен,търва́
8,Wange::N,яңак,щёка
9,Gesicht::N,йөз,шама
10,Stirn::N,маңгай,коня
11,Haar::N,чәч,шя́ярь
12,Schnurrbart::N,мыек,уса́
13,Bart::N,сакал,сакал
14,Kinn::N,ияк,ула
15,Kiefer[Anatomie]::N,казналык,саласка
16,Kehle::N,тамак,кълдома
17,Kehle::N,тамак,кърга́парь
18,Hals::N,бугаз,сялдаз
19,Genick::N,җилкә,шовонь
20,Kopf::N,баш,пря
21,Rücken::N,сырт,копорь
22,Bauch::N,корсак,пеке
23,Nabel::N,кендек,по́кон
24,Busen::N,түш,потя
25,Brust::N,имчәк,мяште
26,Brust::N,күкрәк,мяште
27,Schulter::N,иңбаш,лафту
28,Schulter::N,кулбаш,лафту
29,Arm::N,кул,кядь
30,Ellenbogen::N,терсәк,кенерьба́карь
31,Hand::N,кул,кядь
32,Handfläche::N,уч,кядьлапш
33,Finger::N,бармак,сур
34,Fingernagel::N,тырнак,кенже
35,Nagel[Anatomie]::N,тырнак,кенже
36,Zeh::N,бармак,пильгосу́р
37,Fuß::N,табан,пильге
38,Fuß::N,табан,пильгелапа
39,Ferse::N,үкчә,кочкяря
40,Knie::N,тез,эль
41,Knie::N,тез,пълма́нжа
42,Oberschenkel::N,бот,пильгепукша
43,Bein::N,аяк,пильге
44,Körper::N,тән,ро́нга
45,Körper::N,тән,по́нда
46,Körper::N,җисем,ро́нга
47,Körper::N,җисем,по́нда
48,Haut::N,тире,киське
49,Blut::N,кан,вер
50,Ader::N,тамыр,сан
51,Ader::N,тамыр,верза́н
52,Sehne::N,сеңер,коське сан
53,Knochen::N,сөяк,пакарь
54,Gehirn::N,ми,уй
55,Herz::N,йөрәк,седи
56,Magen::N,ашказаны,коткърдазь
57,Leber::N,бавыр,макса
58,Atem::N,сулыш,лекома
59,Atem::N,сулыш,ваймонь тарксема
60,Hunger::N,ачлык,вачеши
61,Träne::N,яшь,сельмове́дь
62,Geschmack::N,тәм,таньф
63,Geschmack::N,зәвык,таньф
64,Geruch::N,ис,шине
65,Schlaf::N,йокы,удома́
66,Traum::N,төш,он
67,Himmel::N,күк,менель
68,Sonne::N,кояш,ши
69,Mond::N,ай,ков
70,Stern::N,йолдыз,тяште
71,Luft::N,һава,кожф
72,Wind::N,җил,варма
73,Welle::N,дулкын,тавла
74,Wasser::N,су,ведь
75,Stein::N,таш,кев
76,Boden::N,туфрак,мода
77,Boden::N,туфрак,потмакс
78,Erde::N,җир,мода
79,Erde::N,җир,мастор
80,Staub::N,тузан,пуль
81,Rauch::N,төтен,качам
82,Funke::N,очкын,ця́тка
83,Feuer::N,ут,тол
84,Licht::N,якты,ва́лда
85,Schatten::N,күләгә,цильф
86,Wetter::N,һава,уша
87,Nebel::N,томан,тума́н
88,Wolke::N,болыт,ковол
89,Regen::N,яңгыр,пизем
90,Schnee::N,кар,лов
91,Eis::N,боз,эй
92,Frost::N,суык,ке́льме
93,Frost::N,салкын,ке́льме
94,Kälte::N,суык,якшама
95,Kälte::N,салкын,якшама
96,Hitze::N,эсселек,пси
97,Raureif::N,бәс,леш
98,Raureif::N,сыкы,леш
99,Regenbogen::N,салават күпере,а́тямъёнга
100,Donner::N,күкрәү,атям
101,Strömung::N,агыш'агым,шудема́
102,Tropfen::N,тамчы,путькс
103,Tropfen::N,тамчы,пътняфкс
104,Schaum::N,күбек,шов
105,Schmutz::N,пычрак,ърда́з
106,See::N,күл,эрьхке
107,Sumpf::N,саз,шяй
108,Moor::N,торфлык,шяй
109,Wiese::N,болын,луга
110,Wald::N,урман,вирь
111,Hügel::N,калку,губо́р
112,Hügel::N,калку,пандоня
113,Anhöhe::N,үр,губо́р
114,Berg::N,тау,панда
115,Gipfel::N,оч,пря
116,Höhle::N,мәгарә,у́нда
117,Abhang::N,кабырга,па́нда ша́ма
118,Quelle::N,чишмә,эшиня
119,Bach::N,елга,шудерькс
120,Fluss::N,дәрья,ляй
121,Ufer::N,су кырые,търва́
122,Küste::N,яр буе,ляйтърва́
123,Festland::N,коры җир,мода
124,Meer::N,диңгез,моря
125,Bucht::N,бухта,ведьуське
126,Bucht::N,култык,ведьуське
127,Insel::N,атау,цёнга
128,Insel::N,утрау,цёнга
129,Blume::N,чәчкә,панчф
130,Gras::N,үлән,тише
131,Wurzel::N,тамыр,юр
132,Wurzel::N,тамыр,ункс
133,Baum::N,агач,шуфта
134,Stamm::N,кәүсә,ро́нга
135,Rinde::N,кабык,кер
136,Ast::N,ботак,морга
137,Zweig::N,ботак,тарад
138,Zweig::N,тармак,тарад
139,Blatt::N,яфрак,лопа
140,Birke::N,каен,ке́лу
141,Kiefer[Baum]::N,нарат,пиче
142,Weide[Baum]::N,тал,каль
143,Tanne::N,чыршы,куз
144,Horn::N,мөгез,сюра
145,Feder::N,йон,толга
146,Fell::N,тире,кедь
147,Flügel::N,канат,паця
148,Klaue::N,тырнак,кенже
149,Kralle::N,тырнак,кенже
150,Schwanz::N,койрык,пула
151,Ei::N,күкәй,ал
152,Ei::N,йомырка,ал
153,Nest::N,оя,пиза
154,Bau::N,өн,пиза
155,Tier::N,хайван,жува́та
156,Herde::N,көтү,нал
157,Herde::N,көтү,стада
158,Kuh::N,сыер,скал
159,Kuh::N,сыер,тракс
160,Bulle::N,үгез,бука
161,Pferd::N,ат,лишме
162,Schaf::N,сарык,уча́
163,Schwein::N,дуңгыз,тува
164,Hund::N,эт,пине
165,Katze::N,песи,катоня
166,Katze::N,песи,аваката
167,Bär::N,аю,офта
168,Eichhörnchen::N,тиен,ур
169,Elch::N,поши,ся́рда
170,Fuchs::N,төлке,келазь
171,Hase::N,куян,ну́мол
172,Maus::N,тычкан,шеер
173,Wolf::N,бүре,върьгаз
174,Vogel::N,кош,нармонь
175,Schwarm::N,көтү,ко́вол
176,Schwarm::N,көтү,ме́швеле
177,Huhn::N,тавык,сараз
178,Hahn::N,әтәч,а́тякш
179,Gans::N,каз,маци
180,Adler::N,каракош,куцькан
181,Ente::N,үрдәк,яксярга
182,Eule::N,ябалак,ко́рож
183,Kranich::N,торна,ка́рга
184,Krähe::N,карга,ва́рси
185,Kuckuck::N,күке,ку́ку
186,Kuckuck::N,кәккүк,ку́ку
187,Schwan::N,аккош,ло́ксти
188,Fisch::N,балык,кал
189,Barsch::N,алабуга,о́кунь
190,Hecht::N,чуртан,щу́ка
191,Schlange[Tier]::N,елан,куй
192,Wurm::N,корт,сукс
193,Spinne::N,үрмәкүч,унжа́
194,Ameise::N,кырмыска,панжам
195,Laus::N,бет,си
196,Mücke::N,черки,ся́ське
197,Mücke::N,озынборын,ся́ське
198,Fliege::N,чебен,кару
199,Schmetterling::N,күбәләк,ме́лав
200,Beere::N,җиләк,и́мож
201,Apfel::N,алма,марь
