,Concept_ID,cs,nl
0,Auge::N,oko,oog
1,Ohr::N,ucho,oor
2,Nase::N,nos,neus
3,Mund::N,pusa,mond
4,Zahn::N,zub,tand
5,Zunge::N,jazyk,tong
6,Lippe::N,ret,lip
7,Wange::N,tvář,wang
8,Gesicht::N,obličej,gelaat
9,Gesicht::N,obličej,gezicht
10,Stirn::N,čelo,voorhoofd
11,Haar::N,vlas,haar
12,Haar::N,vlasy,haar
13,Schnurrbart::N,kníry,snor
14,Bart::N,vousy,baard
15,Kinn::N,brada,kin
16,Kiefer[Anatomie]::N,čelist,kaak
17,Kehle::N,hrdlo,keel
18,Kehle::N,hrdlo,strot
19,Hals::N,krk,hals
20,Genick::N,týl,nek
21,Kopf::N,hlava,hoofd
22,Rücken::N,záda,rug
23,Rücken::N,hřbet,rug
24,Bauch::N,břicho,buik
25,Nabel::N,pupek,navel
26,Busen::N,ňadra,boezem
27,Brust::N,prsa,borst
28,Schulter::N,plece,schouder
29,Schulter::N,rameno,schouder
30,Arm::N,ruka,arm
31,Ellenbogen::N,loket,elleboog
32,Hand::N,ruka,hand
33,Handfläche::N,dlaň,handpalm
34,Finger::N,prst,vinger
35,Fingernagel::N,nehet,nagel
36,Nagel[Anatomie]::N,nehet,nagel
37,Zeh::N,prst u nohy,teen
38,Fuß::N,noha,voet
39,Ferse::N,pata,hak
40,Ferse::N,pata,hiel
41,Knie::N,koleno,knie
42,Oberschenkel::N,stehno,dij
43,Bein::N,noha,been
44,Körper::N,tělo,lichaam
45,Haut::N,kůže,huid
46,Blut::N,krev,bloed
47,Ader::N,céva,ader
48,Sehne::N,šlacha,pees
49,Knochen::N,kost,bot
50,Knochen::N,kost,been
51,Knochen::N,kost,knook
52,Gehirn::N,mozek,hersenen
53,Herz::N,srdce,hart
54,Magen::N,žaludek,maag
55,Leber::N,játra,lever
56,Atem::N,dech,adem
57,Hunger::N,hlad,honger
58,Träne::N,slza,traan
59,Geschmack::N,vkus,smaak
60,Geruch::N,vůně,geur
61,Geruch::N,zápach,geur
62,Schlaf::N,spánek,slaap
63,Traum::N,sen,droom
64,Himmel::N,nebe,hemel
65,Sonne::N,slunce,zon
66,Mond::N,měsíc,maan
67,Stern::N,hvězda,ster
68,Luft::N,vzduch,lucht
69,Wind::N,vítr,wind
70,Welle::N,vlna,golf
71,Wasser::N,voda,water
72,Stein::N,kámen,steen
73,Boden::N,půda,grond
74,Erde::N,země,aarde
75,Staub::N,prach,stof
76,Rauch::N,dým,rook
77,Rauch::N,kouř,rook
78,Funke::N,jiskra,vonk
79,Feuer::N,oheň,vuur
80,Licht::N,světlo,licht
81,Schatten::N,stín,schaduw
82,Wetter::N,počasí,weer
83,Nebel::N,mlha,mist
84,Nebel::N,mlha,nevel
85,Wolke::N,mrak,wolk
86,Wolke::N,oblak,wolk
87,Regen::N,déšť,regen
88,Schnee::N,sníh,sneeuw
89,Eis::N,led,ijs
90,Frost::N,mráz,vorst
91,Kälte::N,chlad,kou
92,Kälte::N,chlad,koude
93,Hitze::N,horko,hitte
94,Raureif::N,jinovatka,rijp
95,Regenbogen::N,duha,regenboog
96,Donner::N,hrom,donder
97,Strömung::N,proudění,stroming
98,Tropfen::N,kapka,druppel
99,Schaum::N,pěna,schuim
100,Schmutz::N,špína,vuil
101,See::N,jezero,meer
102,Sumpf::N,močál,moeras
103,Sumpf::N,bažina,moeras
104,Moor::N,bažina,veen
105,Moor::N,slatina,veen
106,Wiese::N,louka,wei
107,Wiese::N,louka,weide
108,Wald::N,les,bos
109,Hügel::N,kopec,heuvel
110,Anhöhe::N,pahorek,hoogte
111,Berg::N,hora,berg
112,Gipfel::N,vrchol,top
113,Höhle::N,jeskyně,hol
114,Abhang::N,svah,helling
115,Abhang::N,stráň,helling
116,Quelle::N,pramen,bron
117,Bach::N,potok,beek
118,Fluss::N,řeka,stroom
119,Ufer::N,břeh,wal
120,Ufer::N,břeh,oever
121,Küste::N,pobřeží,kust
122,Festland::N,souš,vasteland
123,Festland::N,pevnina,vasteland
124,Meer::N,moře,zee
125,Bucht::N,záliv,baai
126,Bucht::N,záliv,inham
127,Bucht::N,zátoka,baai
128,Bucht::N,zátoka,inham
129,Insel::N,ostrov,eiland
130,Blume::N,květina,bloem
131,Gras::N,tráva,gras
132,Wurzel::N,kořen,wortel
133,Baum::N,strom,boom
134,Stamm::N,kmen,stam
135,Rinde::N,kůra,schors
136,Ast::N,větev,tak
137,Zweig::N,větev,twijg
138,Blatt::N,lupen,blad
139,Birke::N,bříza,berk
140,Kiefer[Baum]::N,sosna,den
141,Kiefer[Baum]::N,borovice,den
142,Weide[Baum]::N,vrba,wilg
143,Tanne::N,jedle,spar
144,Horn::N,roh,hoorn
145,Feder::N,pero,veer
146,Feder::N,pero,pluim
147,Fell::N,srst,vel
148,Flügel::N,křídlo,vleugel
149,Klaue::N,dráp,klauw
150,Klaue::N,pazneht,klauw
151,Kralle::N,dráp,klauw
152,Schwanz::N,ocas,staart
153,Ei::N,vejce,ei
154,Nest::N,hnízdo,nest
155,Bau::N,nora,hol
156,Tier::N,zvíře,dier
157,Herde::N,stádo,kudde
158,Kuh::N,kráva,koe
159,Bulle::N,býk,stier
160,Pferd::N,kůň,paard
161,Schaf::N,ovce,schaap
162,Schwein::N,vepř,varken
163,Schwein::N,prase,varken
164,Hund::N,pes,hond
165,Katze::N,kočka,kat
166,Bär::N,medvěd,beer
167,Eichhörnchen::N,veverka,eekhoorntje
168,Elch::N,los,eland
169,Fuchs::N,liška,vos
170,Hase::N,zajíc,haas
171,Maus::N,myš,muis
172,Wolf::N,vlk,wolf
173,Vogel::N,pták,vogel
174,Schwarm::N,roj,zwerm
175,Schwarm::N,hejno,zwerm
176,Huhn::N,kuře,kip
177,Huhn::N,kuře,hoen
178,Huhn::N,slepice,kip
179,Huhn::N,slepice,hoen
180,Hahn::N,kohout,haan
