,Concept_ID,de,la
0,Auge::N,Auge,oculus
1,Ohr::N,Ohr,auris
2,Nase::N,Nase,nasus
3,Mund::N,Mund,os
4,Zahn::N,Zahn,dens
5,Zunge::N,Zunge,lingua
6,Lippe::N,Lippe,labrum
7,Wange::N,Wange,gena
8,Gesicht::N,Gesicht,vultus
9,Stirn::N,Stirn,frons
10,Haar::N,Haar,capillus
11,Schnurrbart::N,Schnurrbart,barba labri superioris
12,Bart::N,Bart,barba
13,Kinn::N,Kinn,mentum
14,Kiefer[Anatomie]::N,Kiefer,mala
15,Kehle::N,Kehle,iugulums
16,Hals::N,Hals,collum
17,Genick::N,Genick,cervices
18,Kopf::N,Kopf,caput
19,Rücken::N,Rücken,tergum
20,Bauch::N,Bauch,venter
21,Nabel::N,Nabel,umbilicus
22,Busen::N,Busen,sinus
23,Brust::N,Brust,pectus
24,Schulter::N,Schulter,umerus
25,Arm::N,Arm,bracchium
26,Ellenbogen::N,Ellenbogen,cubitum
27,Hand::N,Hand,manus
28,Handfläche::N,Handfläche,palma
29,Finger::N,Finger,digitus
30,Fingernagel::N,Fingernagel,unguiculus
31,Nagel[Anatomie]::N,Nagel,unguis
32,Zeh::N,Zeh,digitus
33,Fuß::N,Fuß,pes
34,Ferse::N,Ferse,calx
35,Knie::N,Knie,genu
36,Oberschenkel::N,Oberschenkel,femur
37,Bein::N,Bein,crus
38,Körper::N,Körper,corpus
39,Haut::N,Haut,cutis
40,Haut::N,Haut,pellis
41,Blut::N,Blut,sanguis
42,Ader::N,Ader,vena
43,Sehne::N,Sehne,nervus
44,Knochen::N,Knochen,os
45,Gehirn::N,Gehirn,cerebrum
46,Herz::N,Herz,cor
47,Herz::N,Herz,animus
48,Magen::N,Magen,stomachus
49,Leber::N,Leber,iecur
50,Atem::N,Atem,spiritus
51,Hunger::N,Hunger,fames
52,Träne::N,Träne,lacrima
53,Geschmack::N,Geschmack,sapor
54,Geschmack::N,Geschmack,gustus
55,Geruch::N,Geruch,odor
56,Schlaf::N,Schlaf,somnus
57,Traum::N,Traum,somnium
58,Himmel::N,Himmel,caelum
59,Sonne::N,Sonne,sol
60,Mond::N,Mond,luna
61,Stern::N,Stern,sidus
62,Stern::N,Stern,stella
63,Luft::N,Luft,aer
64,Wind::N,Wind,ventus
65,Welle::N,Welle,unda
66,Wasser::N,Wasser,aqua
67,Stein::N,Stein,lapis
68,Boden::N,Boden,solum
69,Erde::N,Erde,terra
70,Staub::N,Staub,pulvis
71,Rauch::N,Rauch,fumus
72,Funke::N,Funke,scintilla
73,Feuer::N,Feuer,ignis
74,Licht::N,Licht,lux
75,Licht::N,Licht,lumen
76,Schatten::N,Schatten,umbra
77,Wetter::N,Wetter,caelum
78,Wetter::N,Wetter,tempestas
79,Nebel::N,Nebel,nebula
80,Wolke::N,Wolke,nubes
81,Regen::N,Regen,imber
82,Regen::N,Regen,pluvia
83,Schnee::N,Schnee,nix
84,Eis::N,Eis,glacies
85,Frost::N,Frost,gelu
86,Kälte::N,Kälte,frigus
87,Hitze::N,Hitze,calor
88,Hitze::N,Hitze,aestus
89,Raureif::N,Raureif,pruina
90,Regenbogen::N,Regenbogen,arcus
91,Donner::N,Donner,tonitrus
92,Strömung::N,Strömung,fluctus
93,Tropfen::N,Tropfen,gutta
94,Schaum::N,Schaum,spuma
95,Schmutz::N,Schmutz,sordes
96,Schmutz::N,Schmutz,squalor
97,See::N,See,lacus
98,Sumpf::N,Sumpf,palus
99,Moor::N,Moor,palus
100,Wiese::N,Wiese,pratum
101,Wald::N,Wald,silva
102,Hügel::N,Hügel,collis
103,Anhöhe::N,Anhöhe,specula
104,Berg::N,Berg,mons
105,Gipfel::N,Gipfel,vertex
106,Höhle::N,Höhle,caverna
107,Höhle::N,Höhle,spelunca
108,Abhang::N,Abhang,declivum
109,Quelle::N,Quelle,fons
110,Bach::N,Bach,rivus
111,Fluss::N,Fluss,flumen
112,Ufer::N,Ufer,ripa
113,Küste::N,Küste,litus
114,Festland::N,Festland,continens
115,Meer::N,Meer,mare
116,Bucht::N,Bucht,sinus
117,Insel::N,Insel,insula
118,Blume::N,Blume,flos
119,Gras::N,Gras,herba
120,Gras::N,Gras,gramen
121,Wurzel::N,Wurzel,radix
122,Baum::N,Baum,arbor
123,Stamm::N,Stamm,truncus
124,Rinde::N,Rinde,cortex
125,Ast::N,Ast,ramus
126,Zweig::N,Zweig,ramus
127,Blatt::N,Blatt,folium
128,Birke::N,Birke,betulla
129,Kiefer[Baum]::N,Kiefer,pinus
130,Weide[Baum]::N,Weide,salix
131,Tanne::N,Tanne,abies
132,Horn::N,Horn,cornu
133,Feder::N,Feder,penna
134,Fell::N,Fell,pellis
135,Flügel::N,Flügel,ala
136,Klaue::N,Klaue,unguis
137,Kralle::N,Kralle,unguis
138,Schwanz::N,Schwanz,cauda
139,Ei::N,Ei,ovum
140,Nest::N,Nest,nidus
141,Bau::N,Bau,cavum
142,Bau::N,Bau,latibulum
143,Tier::N,Tier,bestia
144,Herde::N,Herde,grex
145,Kuh::N,Kuh,vacca
146,Bulle::N,Bulle,taurus
147,Pferd::N,Pferd,equus
148,Schaf::N,Schaf,ovis
149,Schwein::N,Schwein,sus
150,Schwein::N,Schwein,porcus
151,Hund::N,Hund,canis
152,Katze::N,Katze,felis
153,Bär::N,Bär,ursus
154,Eichhörnchen::N,Eichhörnchen,sciurus
155,Elch::N,Elch,alces
156,Fuchs::N,Fuchs,vulpes
157,Hase::N,Hase,lepus
158,Maus::N,Maus,mus
159,Wolf::N,Wolf,lupus
160,Vogel::N,Vogel,avis
161,Schwarm::N,Schwarm,examen
162,Huhn::N,Huhn,gallina
163,Hahn::N,Hahn,gallus
164,Gans::N,Gans,anser
165,Adler::N,Adler,aquila
166,Ente::N,Ente,anas
167,Eule::N,Eule,ulula
168,Eule::N,Eule,noctua
169,Kranich::N,Kranich,grus
170,Krähe::N,Krähe,cornix
171,Kuckuck::N,Kuckuck,cuculus
172,Schwan::N,Schwan,olor
173,Schwan::N,Schwan,cycnus
174,Fisch::N,Fisch,piscis
175,Barsch::N,Barsch,perca
176,Hecht::N,Hecht,esox
177,Schlange[Tier]::N,Schlange,serpens
178,Wurm::N,Wurm,vermis
179,Spinne::N,Spinne,aranea
180,Ameise::N,Ameise,formica
181,Laus::N,Laus,pediculus
182,Mücke::N,Mücke,culex
183,Fliege::N,Fliege,musca
184,Schmetterling::N,Schmetterling,papilio
185,Beere::N,Beere,baca
186,Apfel::N,Apfel,malum
187,Pilz::N,Pilz,fungus
188,Zwiebel::N,Zwiebel,cepa
189,Saat::N,Saat,seges
190,Korn::N,Korn,granum
191,Heu::N,Heu,faenum
192,Schale::N,Schale,putamen
193,Grube::N,Grube,fovea
194,Falle::N,Falle,pedica
195,Schlinge::N,Schlinge,laqueus
196,Spur::N,Spur,vestigium
197,Asche::N,Asche,cinis
198,Dreck::N,Dreck,lutum
199,Eisen::N,Eisen,ferrum
200,Gold::N,Gold,aurum
201,Silber::N,Silber,argentum
202,Kohle::N,Kohle,carbo
203,Glas::N,Glas,vitrum
204,Lehm::N,Lehm,lutum
205,Sand::N,Sand,arena
206,Mensch::N,Mensch,homo
207,Mann::N,Mann,vir
208,Frau::N,Frau,mulier
209,Kind::N,Kind,puer
210,Kind::N,Kind,infans
211,Junge::N,Junge,puer
212,Mädchen::N,Mädchen,puella
213,Familie::N,Familie,familia
214,Großvater::N,Großvater,avus
215,Großmutter::N,Großmutter,avia
216,Eltern::N,Eltern,parentes
217,Vater::N,Vater,pater
218,Mutter::N,Mutter,mater
219,Sohn::N,Sohn,filius
220,Tochter::N,Tochter,filia
221,Bruder::N,Bruder,frater
222,Schwester::N,Schwester,soror
223,Onkel::N,Onkel,patruus
224,Onkel::N,Onkel,avunculus
225,Tante::N,Tante,amita
226,Ehemann::N,Ehemann,maritus
227,Ehefrau::N,Ehefrau,uxor
228,Freude::N,Freude,gaudium
229,Freude::N,Freude,laetitia
230,Gelächter::N,Gelächter,risus
231,Glück::N,Glück,felicitas
232,Kummer::N,Kummer,aegritudo
233,Wunsch::N,Wunsch,voluntas
234,Wunsch::N,Wunsch,desiderium
235,Lust::N,Lust,libido
236,Lust::N,Lust,voluptas
237,Geist::N,Geist,mens
238,Geist::N,Geist,animus
239,Gedanke::N,Gedanke,sententia
240,Gedächtnis::N,Gedächtnis,memoria
241,Verstand::N,Verstand,ratio
242,Verstand::N,Verstand,ingenium
243,Sinn::N,Sinn,sensus
244,Grund::N,Grund,causa
245,Wahrheit::N,Wahrheit,veritas
246,Gespräch::N,Gespräch,sermo
247,Märchen::N,Märchen,fabula
248,Erzählung::N,Erzählung,fabula
249,Erzählung::N,Erzählung,narratio
250,Nachricht::N,Nachricht,nuntius
251,Neuigkeit::N,Neuigkeit,novitas
252,Name::N,Name,nomen
253,Rätsel::N,Rätsel,aenigma
254,Rede::N,Rede,oratio
255,Sprache::N,Sprache,lingua
256,Stimme::N,Stimme,vox
257,Wort::N,Wort,verbum
258,Wort::N,Wort,vocabulum
259,Zeichen::N,Zeichen,signum
260,Ruf::N,Ruf,clamor
261,Lärm::N,Lärm,strepitus
262,Laut::N,Laut,sonus
263,Ton::N,Ton,sonus
264,Lied::N,Lied,carmen
265,Ruhe::N,Ruhe,quies
266,Leute::N,Leute,homines
267,Volk::N,Volk,populus
268,Arbeit::N,Arbeit,labor
269,Gast::N,Gast,hospes
270,Gast::N,Gast,conviva
271,Geschenk::N,Geschenk,munus
272,Spiel::N,Spiel,ludus
273,Gesellschaft::N,Gesellschaft,societas
274,Hilfe::N,Hilfe,auxilium
275,Hilfe::N,Hilfe,subsidium
276,Freund::N,Freund,amicus
277,Kamerad::N,Kamerad,socius
278,Angelegenheit::N,Angelegenheit,res
279,Anzahl::N,Anzahl,numerus
280,Art::N,Art,genus
281,Stück::N,Stück,frustum
282,Stück::N,Stück,fragmentum
283,Teil::N,Teil,pars
284,Hälfte::N,Hälfte,dimidium
285,Kreis::N,Kreis,orbis
286,Kreis::N,Kreis,circus
287,Kreuz::N,Kreuz,crux
288,Linie::N,Linie,linea
289,Strich::N,Strich,lineamentum
290,Abstand::N,Abstand,intervallum
291,Entfernung::N,Entfernung,spatium
292,Gegend::N,Gegend,loca
293,Gegend::N,Gegend,regio
294,Platz::N,Platz,locus
295,Ort::N,Ort,locus
296,Seite::N,Seite,latus
297,Mitte::N,Mitte,medium
298,Gegenstand::N,Gegenstand,res
299,Sache::N,Sache,res
300,Rand::N,Rand,margo
301,Kante::N,Kante,angulus
302,Ecke::N,Ecke,angulus
303,Spitze::N,Spitze,cacumen
304,Ende::N,Ende,caput
305,Loch::N,Loch,foramen
306,Winkel::N,Winkel,angulus
307,Muster::N,Muster,exemplum
308,Größe::N,Größe,magnitudo
309,Länge::N,Länge,longitudo
310,Höhe::N,Höhe,altitudo
311,Gewicht::N,Gewicht,pondus
312,Menge::N,Menge,copia
313,Haufen::N,Haufen,acervus
314,Reihe::N,Reihe,ordo
315,Boot::N,Boot,navicula
316,Ruder::N,Ruder,remus
317,Schlitten::N,Schlitten,sclodia
318,Ski::N,Ski,narta
319,Lagerfeuer::N,Lagerfeuer,ignis
320,Last::N,Last,onus
321,Gang::N,Gang,cursus
322,Schritt::N,Schritt,gradus
323,Norden::N,Norden,septentriones
324,Süden::N,Süden,meridies
325,Westen::N,Westen,occidens
326,Osten::N,Osten,oriens
327,Holz::N,Holz,lignum
328,Brett::N,Brett,tabula
329,Platte::N,Platte,lamina
330,Stütze::N,Stütze,adminiculum
331,Stange::N,Stange,pertica
332,Stock::N,Stock,baculum
333,Stab::N,Stab,scipio
334,Rohr::N,Rohr,tubus
335,Haus::N,Haus,aedes
336,Heim::N,Heim,domicilium
337,Ofen::N,Ofen,fornax
338,Fußboden::N,Fußboden,solum
339,Tisch::N,Tisch,mensa
340,Stuhl::N,Stuhl,sella
341,Wiege::N,Wiege,cunae
342,Bett::N,Bett,lectus
343,Regal::N,Regal,foruli
344,Kiste::N,Kiste,cista
345,Fenster::N,Fenster,fenestra
346,Tür::N,Tür,ianua
347,Tor::N,Tor,porta
348,Zaun::N,Zaun,saepes
349,Dach::N,Dach,tectum
350,Leiter::N,Leiter,scalae
351,Besen::N,Besen,scopae
352,Spaten::N,Spaten,pala
353,Schaufel::N,Schaufel,pala
354,Gabel::N,Gabel,fuscinula
355,Löffel::N,Löffel,coclear
356,Messer::N,Messer,culter
357,Nagel::N,Nagel,clavus
358,Netz::N,Netz,rete
359,Haken::N,Haken,hamus
360,Griff::N,Griff,manubrium
361,Schloss::N,Schloss,claustra
362,Bild::N,Bild,tabula
363,Bild::N,Bild,pictura
364,Figur::N,Figur,statunculum
365,Puppe::N,Puppe,pupa
366,Beutel::N,Beutel,sacculus
367,Bündel::N,Bündel,fascis
368,Tasche::N,Tasche,sacculus
369,Eimer::N,Eimer,situla
370,Deckel::N,Deckel,operculum
371,Geschirr::N,Geschirr,vasa
372,Sack::N,Sack,saccus
373,Tasse::N,Tasse,pocillum
374,Topf::N,Topf,olla
375,Kessel::N,Kessel,aenum
376,Essen::N,Essen,cena
377,Nahrung::N,Nahrung,cibus
378,Nahrung::N,Nahrung,alimenta
379,Speise::N,Speise,cibus
380,Fleisch::N,Fleisch,caro
381,Getreide::N,Getreide,frumentum
382,Brei::N,Brei,puls
383,Brot::N,Brot,panis
384,Scheibe::N,Scheibe,frustum
385,Fett::N,Fett,pingue
386,Butter::N,Butter,butȳrum
387,Öl::N,Öl,oleum
388,Salz::N,Salz,sal
389,Suppe::N,Suppe,ius
390,Honig::N,Honig,mel
