,Concept_ID,kn,fa
0,Auge::N,ಕಣ್ಣು,چشم
1,Ohr::N,ಕಿವಿ,گوش
2,Nase::N,ಮೂಗು,بینی
3,Mund::N,ಬಾಯಿ,دهان
4,Zahn::N,ಹಲ್ಲು,دندان
5,Zunge::N,ನಾಲಿಗೆ,زبان
6,Lippe::N,ತುಟಿ,لب
7,Wange::N,ಗಲ್ಲ,لپ
8,Gesicht::N,ಮುಖ,رو
9,Gesicht::N,ಮುಖ,چهره
10,Stirn::N,ಹಣೆ,پیشانی
11,Haar::N,ಕೂದಲು,مو
12,Schnurrbart::N,ಮೀಸೆ,سبیل
13,Bart::N,ಗಡ್ಡ,ریش
14,Kinn::N,ಗದ್ದ,چانه
15,Kiefer[Anatomie]::N,ದವಡೆ,فک
16,Kiefer[Anatomie]::N,ದವಡೆ,آرواره
17,Kehle::N,ಗಂಟಲು,حلق
18,Hals::N,ಕೊರಳು,گردن
19,Genick::N,ಹಿಂಗತ್ತು,پشت گردن
20,Kopf::N,ತಲೆ,سر
21,Kopf::N,ತಲೆ,کله
22,Rücken::N,ಬೆನ್ನು,پشت
23,Bauch::N,ಹೊಟ್ಟೆ,شکم
24,Nabel::N,ಹೊಕ್ಕುಳು,ناف
25,Busen::N,ಸ್ತನ,پستان
26,Brust::N,ಎದೆ,سینه
27,Schulter::N,ಭುಜ,دوش
28,Schulter::N,ಭುಜ,شانه
29,Arm::N,ತೋಳು,بازو
30,Ellenbogen::N,ಮೊಣಕೈ,آرنج
31,Hand::N,ಕೈ,دست
32,Handfläche::N,ಅಂಗೈ,کف دست
33,Finger::N,ಕೈಬೆರಳು,انگشت
34,Fingernagel::N,ಉಗುರು,ناخن دست
35,Nagel[Anatomie]::N,ಉಗುರು,ناخن
36,Zeh::N,ಕಾಲ್ಬೆರಳು,انگشت پا
37,Fuß::N,ಪಾದ,پا
38,Ferse::N,ಹಿಮ್ಮಡಿ,پاشنه
39,Knie::N,ಮಂಡಿ,زانو
40,Oberschenkel::N,ತೊಡೆ,ران
41,Bein::N,ಕಾಲು,پا
42,Bein::N,ಕಾಲು,لنگ
43,Körper::N,ದೇಹ,تن
44,Körper::N,ದೇಹ,بدن
45,Haut::N,ಚರ್ಮ,پوست
46,Blut::N,ರಕ್ತ,خون
47,Ader::N,ನರ,رگ
48,Sehne::N,ನರ,زردپی
49,Knochen::N,ಮೂಳೆ,استخوان
50,Gehirn::N,ಮಿದುಳು,مخ
51,Gehirn::N,ಮಿದುಳು,مغز
52,Herz::N,ಹೃದಯ,دل
53,Herz::N,ಹೃದಯ,قلب
54,Magen::N,ಉದರ,معده
