,Concept_ID,ce,lv
0,Auge::N,бӏаьрг,син
1,Auge::N,бӏаьрг,acs
2,Ohr::N,лерг,пель
3,Ohr::N,лерг,auss
4,Nase::N,мара,ныр
5,Nase::N,мара,deguns
6,Mund::N,бага,вом
7,Mund::N,бага,mute
8,Zahn::N,церг,пинь
9,Zahn::N,церг,zobs
10,Zunge::N,мотт,кыв
11,Zunge::N,мотт,mēle
12,Lippe::N,балда,вом дор
13,Lippe::N,балда,lūpa
14,Wange::N,бесни,бан
15,Wange::N,бесни,vaigs
16,Gesicht::N,юьхь,чужӧм
17,Gesicht::N,юьхь,seja
18,Gesicht::N,юьхь,ģīmis
19,Stirn::N,хьаж,плеш
20,Stirn::N,хьаж,кымӧс
21,Stirn::N,хьаж,piere
22,Haar::N,мас,си
23,Haar::N,мас,юрси
24,Haar::N,мас,mats
25,Schnurrbart::N,мекх,ус
26,Schnurrbart::N,мекх,пыртсим
27,Schnurrbart::N,мекх,ūsas
28,Bart::N,маж,тош
29,Bart::N,маж,bārda
30,Kinn::N,чӏениг,тшӧка
31,Kinn::N,чӏениг,zods
32,Kinn::N,чӏениг,smakrs
33,Kiefer[Anatomie]::N,мочхал,черлы
34,Kiefer[Anatomie]::N,мочхал,алака лы
35,Kiefer[Anatomie]::N,мочхал,вомкӧтш лы
36,Kiefer[Anatomie]::N,мочхал,žoklis
37,Kehle::N,къамкъарг,голя
38,Kehle::N,къамкъарг,rīkle
39,Hals::N,ворта,сьылі
40,Hals::N,ворта,kakls
41,Genick::N,кӏесаркӏаг,юрбӧр
42,Genick::N,кӏесаркӏаг,балябӧж
43,Genick::N,кӏесаркӏаг,sprands
44,Kopf::N,корта,юр
45,Kopf::N,корта,galva
46,Rücken::N,букъ,мыш
47,Rücken::N,букъ,mugura
48,Bauch::N,кийра,рушку
49,Bauch::N,кийра,vēders
50,Nabel::N,цӏонга,гӧг
51,Nabel::N,цӏонга,naba
52,Busen::N,зударийн накха,морӧс
53,Busen::N,зударийн накха,krūts
54,Brust::N,накха,морӧс
55,Brust::N,накха,krūts
56,Schulter::N,белш,пельпом
57,Schulter::N,белш,plecs
58,Arm::N,пхьарс,ки
59,Arm::N,пхьарс,roka
60,Arm::N,пхьарс,delms
61,Ellenbogen::N,пхьаьрсан гола,гырддза
62,Ellenbogen::N,пхьаьрсан гола,elkonis
63,Hand::N,куьг,ки
64,Hand::N,куьг,roka
65,Hand::N,куьг,plauksta
66,Handfläche::N,кераюкъ,ки пыдӧс
67,Handfläche::N,кераюкъ,delna
68,Handfläche::N,кераюкъ,plauksta
69,Finger::N,пӏелг,чунь
70,Finger::N,пӏелг,pirksts
71,Fingernagel::N,мӏара,гыж
72,Fingernagel::N,мӏара,nags
73,Nagel[Anatomie]::N,мӏара,гыж
74,Nagel[Anatomie]::N,мӏара,nags
75,Zeh::N,кога пӏелг,кок чунь
76,Zeh::N,кога пӏелг,pirksts
77,Fuß::N,ког,кок
78,Fuß::N,ког,kāja
79,Ferse::N,кӏажа,кокбӧр
80,Ferse::N,кӏажа,papēdis
81,Knie::N,гола,пидзӧс
82,Knie::N,гола,celis
83,Oberschenkel::N,варе,лядьвей
84,Oberschenkel::N,варе,бек
85,Oberschenkel::N,варе,ciska
86,Oberschenkel::N,варе,augšstilbs
87,Bein::N,ког,кок
88,Bein::N,ког,kāja
89,Körper::N,хӏума,туша
90,Körper::N,хӏума,вывтыр
91,Körper::N,хӏума,miesa
92,Körper::N,хӏума,ķermenis
93,Haut::N,чкъор,ку
94,Haut::N,чкъор,āda
95,Blut::N,цӏий,вир
96,Blut::N,цӏий,asins
97,Ader::N,пха,сӧн
98,Ader::N,пха,asinsvads
99,Sehne::N,хьорзам,вез
100,Sehne::N,хьорзам,dzīsla
101,Knochen::N,даьӏахк,лы
102,Knochen::N,даьӏахк,kauls
103,Gehirn::N,хье,вем
104,Gehirn::N,хье,smadzenes
105,Herz::N,дог,сьӧлӧм
106,Herz::N,дог,sirds
107,Magen::N,зорх,кынӧм
108,Magen::N,зорх,kuņģis
109,Leber::N,доӏах,мус
110,Leber::N,доӏах,aknas
111,Atem::N,садеӏар,лов
112,Atem::N,садеӏар,elpa
113,Hunger::N,мацалла,тшыг
114,Hunger::N,мацалла,bads
115,Hunger::N,мацалла,izsalkums
116,Träne::N,бӏаьрхи,синва
117,Träne::N,бӏаьрхи,asara
118,Geschmack::N,чам,кӧр
119,Geschmack::N,чам,чӧсмӧс
120,Geschmack::N,чам,garša
121,Geruch::N,хьожа,зын
122,Geruch::N,хьожа,дук
123,Geruch::N,хьожа,smaka
124,Schlaf::N,наб,узьӧм
125,Schlaf::N,наб,miegs
126,Traum::N,гӏан,вӧт
127,Traum::N,гӏан,вӧтасьӧм
128,Traum::N,гӏан,sapnis
129,Himmel::N,стигал,енэж
130,Himmel::N,стигал,debess
131,Sonne::N,малх,шонді
132,Sonne::N,малх,saule
133,Mond::N,бутт,тӧлысь
134,Mond::N,бутт,mēness
135,Stern::N,седа,кодзув
136,Stern::N,седа,zvaigzne
137,Luft::N,xӏаваъ,сынӧд
138,Luft::N,xӏаваъ,gaiss
139,Wind::N,мох,тӧв
140,Wind::N,мох,vējš
141,Welle::N,тулгӏе,гы
142,Welle::N,тулгӏе,vilnis
143,Wasser::N,хи,ва
144,Wasser::N,хи,ūdens
145,Stein::N,тӏулг,из
146,Stein::N,тӏулг,akmens
147,Boden::N,цӏенкъа,му
148,Boden::N,цӏенкъа,augsne
149,Erde::N,латта,му
150,Erde::N,латта,му-ва
151,Erde::N,латта,zeme
152,Staub::N,чан,бус
153,Staub::N,чан,putekļi
154,Rauch::N,кӏур,тшын
155,Rauch::N,кӏур,dūmi
156,Funke::N,суй,кинь
157,Funke::N,суй,би кинь
158,Funke::N,суй,dzirkstele
159,Feuer::N,цӏе,би
160,Feuer::N,цӏе,uguns
161,Licht::N,серло,югӧр
162,Licht::N,серло,gaisma
163,Schatten::N,ӏиндагӏ,вуджӧр
164,Schatten::N,ӏиндагӏ,ēna
165,Wetter::N,хенан хӏоттам,поводдя
166,Wetter::N,хенан хӏоттам,laiks
167,Nebel::N,дохк,ру
168,Nebel::N,дохк,онь
169,Nebel::N,дохк,migla
170,Wolke::N,марха,кымӧр
171,Wolke::N,марха,mākonis
172,Regen::N,догӏа,зэр
173,Regen::N,догӏа,lietus
174,Schnee::N,ло,лым
175,Schnee::N,ло,sniegs
176,Eis::N,ша,йи
177,Eis::N,ша,ledus
178,Frost::N,шело,кӧдзыд
179,Frost::N,шело,sals
180,Kälte::N,шело,кӧдзыд
181,Kälte::N,шело,saltums
182,Kälte::N,шело,aukstums
183,Hitze::N,йовхо,пӧсь
184,Hitze::N,йовхо,гожӧд
185,Hitze::N,йовхо,karstums
186,Raureif::N,йис,пуж
187,Raureif::N,йис,гыӧр
188,Raureif::N,йис,sarma
189,Regenbogen::N,стелаӏад,ӧшкамӧшка
190,Regenbogen::N,стелаӏад,varavīksne
191,Donner::N,ткъес,гым
192,Donner::N,ткъес,pērkons
193,Strömung::N,дӏаэхар,ва ныр
194,Strömung::N,дӏаэхар,визувтӧм
195,Strömung::N,дӏаэхар,straume
196,Strömung::N,дӏаэхар,strāvojums
197,Strömung::N,дӏасалелар,ва ныр
198,Strömung::N,дӏасалелар,визувтӧм
199,Strömung::N,дӏасалелар,straume
200,Strömung::N,дӏасалелар,strāvojums
201,Tropfen::N,тӏадам,войт
202,Tropfen::N,тӏадам,lāse
203,Schaum::N,чопа,быг
204,Schaum::N,чопа,быгзьӧм
205,Schaum::N,чопа,putas
206,Schmutz::N,хатт,няйт
207,Schmutz::N,хатт,dubļi
208,See::N,ӏам,ты
209,See::N,ӏам,ezers
210,Sumpf::N,уьшал,гыбад
211,Sumpf::N,уьшал,кад
212,Sumpf::N,уьшал,dumbrājs
213,Sumpf::N,уьшал,staignājs
214,Moor::N,уьшал,нюр
215,Moor::N,уьшал,purvs
216,Moor::N,уьшал,muklājs
217,Wiese::N,бай,видз
218,Wiese::N,бай,pļava
219,Wald::N,хьун,вӧр
220,Wald::N,хьун,mežs
221,Hügel::N,гу,дзиб
222,Hügel::N,гу,мыльк
223,Hügel::N,гу,нӧрыс
224,Hügel::N,гу,paugurs
225,Hügel::N,шу,дзиб
226,Hügel::N,шу,мыльк
227,Hügel::N,шу,нӧрыс
228,Hügel::N,шу,paugurs
229,Hügel::N,барз,дзиб
230,Hügel::N,барз,мыльк
231,Hügel::N,барз,нӧрыс
232,Hügel::N,барз,paugurs
233,Anhöhe::N,акъари,мыльк
234,Anhöhe::N,акъари,нӧрыс
235,Anhöhe::N,акъари,paugurs
236,Berg::N,лам,чой
237,Berg::N,лам,керӧс
238,Berg::N,лам,kalns
239,Gipfel::N,бохь,чук
240,Gipfel::N,бохь,virsotne
