,Concept_ID,udm,eu
193,Katze::N,коӵыш,katu
194,Bär::N,гондыр,hartz
195,Eichhörnchen::N,коньы,urtxintxa
196,Elch::N,койык,altze
197,Fuchs::N,ӟичы,azeri
198,Hase::N,кеч,erbi
199,Maus::N,шыр,sagu
200,Wolf::N,кион,otso
201,Vogel::N,тылобурдо,txori
202,Vogel::N,тылобурдо,hegazti
203,Schwarm::N,уллё,aldra
204,Huhn::N,курег,oilo
205,Hahn::N,атас,oilar
206,Gans::N,ӟазег,antzara
207,Adler::N,ӧрзи,arrano
208,Ente::N,ӵӧж,ahate
209,Eule::N,кучыран,hontza
210,Kranich::N,тури,kurrilo
211,Krähe::N,куака,bele
212,Kuckuck::N,кикы,kuku
213,Schwan::N,юсь,beltxarga
214,Fisch::N,чорыг,arrain
215,Barsch::N,юш,perka
216,Hecht::N,чипей,lutxo
217,Schlange[Tier]::N,кый,suge
218,Wurm::N,нумыр,har
219,Spinne::N,чонари,armiarma
220,Ameise::N,кузьыли,inurri
221,Laus::N,тэй,zorri
222,Mücke::N,нымы,eltxo
223,Mücke::N,чибинь,eltxo
224,Fliege::N,кут,euli
225,Schmetterling::N,бубыли,pinpirin
226,Schmetterling::N,бубыли,tximeleta
227,Beere::N,узы-боры,baia
228,Apfel::N,яблок,sagar
229,Pilz::N,губи,onddo
230,Pilz::N,губи,perretxiko
231,Zwiebel::N,сугон,tipula
232,Saat::N,кидыс,haziak
233,Korn::N,тысь,ale
234,Korn::N,тысь,pikor
235,Heu::N,турын,belar ondu
236,Schale::N,кыд,azal
237,Grube::N,гу,hobi
238,Grube::N,гоп,hobi
239,Falle::N,налик,harrapagailu
240,Schlinge::N,гиӟ,bilur
241,Schlinge::N,гиӟ,xedera
242,Schlinge::N,герд,bilur
243,Schlinge::N,герд,xedera
244,Spur::N,пытьы,lorratz
245,Spur::N,бервыл,lorratz
246,Asche::N,пень,errauts
247,Dreck::N,дэри,satsukeria
248,Eisen::N,корт,burdina
249,Gold::N,зарни,urre
250,Gold::N,зарни,urregorri
251,Silber::N,азвесь,zilar
252,Silber::N,азвесь,urrezuri
253,Kohle::N,эгыр,ikatz
254,Glas::N,стекло,beira
255,Glas::N,пияла,beira
256,Lehm::N,сюй,buztin
257,Sand::N,луо,harea
258,Sand::N,луо,hondar
259,Mensch::N,мурт,gizaki
260,Mensch::N,адями,gizaki
261,Mann::N,воргорон,gizon
262,Frau::N,кышномурт,andere
263,Frau::N,кышномурт,emakume
264,Kind::N,нуны,haur
265,Kind::N,пинал,haur
266,Junge::N,пи,mutil
267,Mädchen::N,ныл,neska
268,Familie::N,семья,sendi
269,Familie::N,семья,familia
270,Großvater::N,песятай,aitona
271,Großvater::N,песятай,aitatxi
272,Großvater::N,пересь атай,aitona
273,Großvater::N,пересь атай,aitatxi
274,Großmutter::N,песянай,amona
275,Großmutter::N,песянай,amatxi
276,Großmutter::N,пересь анай,amona
277,Großmutter::N,пересь анай,amatxi
278,Eltern::N,атай-анай,gurasoak
279,Eltern::N,бубы-мумы,gurasoak
280,Vater::N,айы,aita
281,Vater::N,атай,aita
282,Mutter::N,мумы,ama
283,Sohn::N,пи,seme
284,Tochter::N,ныл,alaba
285,Bruder::N,агай,neba
286,Bruder::N,агай,anaia
287,Schwester::N,апа,ahizpa
288,Schwester::N,сузэр,ahizpa
289,Onkel::N,агай,osaba
290,Tante::N,апа,izeba
291,Tante::N,кенак,izeba
292,Ehemann::N,карт,senar
293,Ehefrau::N,кышно,emazte
294,Freude::N,шумпотон,poz
295,Freude::N,шумпотон,pozkari
296,Gelächter::N,горем,barre
297,Gelächter::N,горем,karkara
298,Glück::N,шуд,zori
299,Kummer::N,кайгу,xangrin
300,Kummer::N,кайгу,atsekabe
301,Kummer::N,куректон,xangrin
302,Kummer::N,куректон,atsekabe
303,Wunsch::N,мылпотон,nahi
304,Wunsch::N,мылпотон,nahikunde
305,Lust::N,потон,gogo
306,Geist::N,лул,gogo
307,Gedanke::N,малпан,gogoeta
308,Gedächtnis::N,йырсазь,oroimen
309,Gedächtnis::N,йырсазь,gogoramen
310,Gedächtnis::N,тодэваён,oroimen
311,Gedächtnis::N,тодэваён,gogoramen
312,Verstand::N,йырвизь,adimen
313,Verstand::N,йырвизь,ulermen
314,Sinn::N,смысл,zentzu
315,Grund::N,муг,zergati
316,Grund::N,ньӧм,zergati
317,Wahrheit::N,зэм,egia
318,Wahrheit::N,шонер,egia
319,Gespräch::N,вераськон,hizketa
320,Gespräch::N,вераськон,elkarrizketa
321,Märchen::N,выжыкыл,ipuin
322,Erzählung::N,верос,edesti
323,Erzählung::N,верос,kontakizun
324,Nachricht::N,ивор,albiste
325,Neuigkeit::N,выльивор,berri
326,Name::N,ним,izen
327,Rätsel::N,мадькыл,asmakizun
328,Rede::N,верам,hitzaldi
329,Rede::N,верам,mintzaldi
330,Sprache::N,кыл,hizkuntza
331,Stimme::N,куара,ahots
332,Wort::N,кыл,hitz
333,Zeichen::N,пус,agerbide
334,Zeichen::N,пус,agergarri
335,Zeichen::N,тодмет,agerbide
336,Zeichen::N,тодмет,agergarri
337,Ruf::N,ӧтён,dei
338,Ruf::N,чортон,dei
339,Lärm::N,ӵашетон,zarata
340,Lärm::N,ӵашетон,harrabots
