,Concept_ID,el,sl
0,Auge::N,μάτι,okó
1,Auge::N,οφθαλμός,okó
2,Ohr::N,αυτί,uhó
3,Nase::N,μύτη,nós
4,Mund::N,στόμα,ústa
5,Zahn::N,δόντι,zób
6,Zunge::N,γλώσσα,jêzik
7,Lippe::N,χείλος,ústnica
8,Wange::N,παρειά,líce
9,Wange::N,μάγουλο,líce
10,Gesicht::N,πρόσωπο,oblíčje
11,Stirn::N,μέτωπο,čêlo
12,Haar::N,μαλλιά,lás
13,Schnurrbart::N,μουστάκι,bŕki
14,Bart::N,γένια,bráda
15,Kinn::N,πιγούνι,bráda
16,Kiefer[Anatomie]::N,σαγόνι,čeljúst
17,Kehle::N,λαρύγγι,gŕlo
18,Hals::N,λαιμός,vrát
19,Genick::N,σβέρκος,zatílnik
20,Kopf::N,κεφάλι,gláva
21,Rücken::N,ράχη,hrbèt
22,Bauch::N,κοιλιά,trébuh
23,Nabel::N,αφαλός,pópek
24,Busen::N,στήθος,nédrja
25,Brust::N,στήθος,pŕsi
26,Schulter::N,ώμος,ráma
27,Schulter::N,ώμος,plêče
28,Arm::N,χέρι,rôka
29,Arm::N,μπράτςο,rôka
30,Ellenbogen::N,αγκώνας,komólec
31,Hand::N,χέρι,rôka
32,Handfläche::N,παλάμη,dlán
33,Finger::N,δάχτυλο,pŕst
34,Fingernagel::N,νύχι,nóht na rôki
35,Nagel[Anatomie]::N,νύχι,nóht
36,Zeh::N,δάχτυλο του ποδιού,pŕst na nôgi
37,Fuß::N,πόδι,nôga
38,Ferse::N,φτέρνα,pêta
39,Knie::N,γόνατο,koléno
40,Oberschenkel::N,μηρός,stêgno
41,Bein::N,πόδι,nôga
42,Körper::N,σώμα,teló
43,Körper::N,κορμί,teló
44,Haut::N,πετσί,kóža
45,Blut::N,αίμα,krí
46,Ader::N,φλέβα,žíla
47,Sehne::N,νεύρο,kíta
48,Sehne::N,τένοντας,kíta
49,Knochen::N,οστό,kóst
50,Knochen::N,κόκκαλο,kóst
51,Gehirn::N,μυαλό,možgáni
52,Gehirn::N,εγκέφαλος,možgáni
53,Herz::N,καρδιά,srcé
54,Magen::N,στομάχι,želódec
