,Concept_ID,br,en
0,Auge::N,lagad,eye
1,Ohr::N,skouarn,ear
2,Nase::N,fri,nose
3,Mund::N,genoù,mouth
4,Zahn::N,dant,tooth
5,Zunge::N,teod,tongue
6,Lippe::N,muzell,lip
7,Wange::N,chot,cheek
8,Gesicht::N,dremm,face
9,Stirn::N,tal,forehead
10,Haar::N,blev,hair
11,Schnurrbart::N,mourenn,moustache
12,Bart::N,barv,beard
13,Kinn::N,groñj,chin
14,Kiefer[Anatomie]::N,javed,jaw
15,Kehle::N,gouzoug,throat
16,Hals::N,gouzoug,neck
17,Genick::N,choug,nape
18,Kopf::N,penn,head
19,Rücken::N,kein,back
20,Rücken::N,kein,spine
21,Bauch::N,kof,belly
22,Nabel::N,begel,navel
23,Busen::N,bronn,bosom
24,Brust::N,bruched,chest
25,Brust::N,bruched,breast
26,Schulter::N,skoaz,shoulder
27,Arm::N,brec'h,arm
28,Ellenbogen::N,ilin,elbow
29,Hand::N,dorn,hand
30,Handfläche::N,palv,palm
31,Finger::N,biz,finger
32,Fingernagel::N,ivin,fingernail
33,Nagel[Anatomie]::N,ivin,nail
34,Zeh::N,biz-troad,toe
35,Fuß::N,troad,foot
36,Ferse::N,seul,heel
37,Knie::N,glin,knee
38,Oberschenkel::N,morzhed,thigh
39,Bein::N,gar,leg
40,Körper::N,korf,body
41,Haut::N,kroc'hen,skin
42,Blut::N,gwad,blood
43,Ader::N,gwazhi,vein
44,Sehne::N,stir,sinew
45,Knochen::N,askorn,bone
46,Gehirn::N,empenn,brain
47,Herz::N,kalon,heart
48,Magen::N,stomog,stomach
49,Leber::N,avu,liver
50,Atem::N,anal,breath
51,Hunger::N,naon,hunger
52,Träne::N,daer,tear
53,Geschmack::N,blaz,flavour
54,Geschmack::N,blaz,flavor
55,Geruch::N,c'hwezh,odour
56,Geruch::N,c'hwezh,odor
57,Schlaf::N,kousked,sleep
58,Traum::N,hune,dream
59,Himmel::N,oabl,sky
60,Sonne::N,heol,sun
61,Mond::N,loar,moon
62,Stern::N,steredenn,star
63,Luft::N,aer,air
64,Wind::N,avel,wind
65,Welle::N,houlenn,wave
66,Wasser::N,dour,water
67,Stein::N,maen,stone
68,Boden::N,tachenn,soil
69,Boden::N,tachenn,ground
70,Erde::N,douar,earth
71,Staub::N,poultr,dust
72,Rauch::N,moged,smoke
73,Funke::N,ful,spark
74,Feuer::N,tan,fire
75,Licht::N,gouloù,light
76,Schatten::N,disheol,shadow
77,Wetter::N,amzer,weather
78,Nebel::N,brumenn,fog
79,Wolke::N,koumoulenn,cloud
80,Regen::N,glav,rain
81,Schnee::N,erc'h,snow
82,Eis::N,skorn,ice
83,Frost::N,rev,frost
84,Kälte::N,yen,chill
85,Hitze::N,tommder,heat
86,Raureif::N,frim,hoarfrost
87,Regenbogen::N,gwareg-ar-glav,rainbow
88,Donner::N,kurun,thunder
89,Strömung::N,red,current
90,Tropfen::N,bannac'h,drop
91,Tropfen::N,takenn,drop
92,Schaum::N,spoum,foam
93,Schmutz::N,fank,dirt
94,See::N,lenn,lake
95,Sumpf::N,gwern,swamp
96,Moor::N,taouarc'heg,moor
97,Wiese::N,prad,meadow
98,Wald::N,koad,forest
99,Hügel::N,torgenn,hill
100,Anhöhe::N,run,elevation
101,Berg::N,menez,mountain
102,Gipfel::N,barr,summit
103,Höhle::N,kav,cave
104,Abhang::N,naou,slope
105,Quelle::N,feunteun,source
106,Bach::N,gwazh,brook
107,Fluss::N,stêr,river
108,Ufer::N,ribl,shore
109,Küste::N,aod,coast
110,Festland::N,douar,land
111,Meer::N,mor,sea
112,Bucht::N,mor-bihan,cove
113,Insel::N,enez,island
114,Blume::N,bleunienn,flower
115,Gras::N,geot,grass
116,Wurzel::N,gwrizienn,root
117,Baum::N,gwezenn,tree
118,Stamm::N,kef,trunk
119,Rinde::N,rusk,bark
120,Ast::N,barr,limb
121,Zweig::N,bod,branch
122,Blatt::N,delienn,leaf
123,Birke::N,bezvenn,birch
124,Kiefer[Baum]::N,pinenn,pine
125,Weide[Baum]::N,halegenn,willow
126,Tanne::N,sapenn,fir
127,Horn::N,korn,horn
128,Feder::N,pluñv,feather
129,Fell::N,kreoñ,fur
130,Flügel::N,askell,wing
131,Klaue::N,skilf,claw
132,Kralle::N,skilf,claw
133,Schwanz::N,lost,tail
134,Ei::N,vi,egg
135,Nest::N,neizh,nest
136,Bau::N,douarenn,lair
137,Tier::N,loen,animal
138,Herde::N,tropell,flock
139,Kuh::N,buoc'h,cow
140,Bulle::N,tarv,bull
141,Pferd::N,marc'h,horse
142,Schaf::N,dañvad,sheep
143,Schwein::N,pemoc'h,pig
144,Hund::N,ki,dog
145,Katze::N,kazh,cat
146,Bär::N,arzh,bear
