,Concept_ID,ab,os
0,Auge::N,ала,цӕст
1,Ohr::N,алымҳа,хъус
2,Nase::N,аҧынҵа,фындз
3,Mund::N,аҧышə,дзых
4,Zahn::N,ахаҧыц,дӕндаг
5,Zunge::N,абз,ӕвзаг
6,Lippe::N,ақьышə,был
7,Wange::N,аӡамҩа,рус
8,Wange::N,аӡамҩа,уадул
9,Wange::N,аӡамҩа,ӕхсӕрфарс
10,Gesicht::N,аҿы,цӕсгом
11,Stirn::N,алахь,ных
12,Haar::N,ахəыц,хил
13,Schnurrbart::N,аҧаҵа,рихи
14,Bart::N,ажакьа,зачъе
15,Kinn::N,ацламкəыгə,роцъо
16,Kiefer[Anatomie]::N,ацламҳəа,ӕфсӕр
17,Kehle::N,ахəда,хъуыр
18,Hals::N,ахəда,къубал
19,Genick::N,ахəдаџьал,къӕбут
20,Kopf::N,ахы,сӕр
21,Rücken::N,азқəа,фӕсонтӕ
22,Bauch::N,амгəа,гуыбын
23,Nabel::N,аҷапан,бикъ
24,Busen::N,агəыҧҳəы,дзидзи
25,Brust::N,агəышҧы,риу
26,Schulter::N,ажəҩахыр,уӕхск
27,Arm::N,амахəар,цонг
28,Ellenbogen::N,амашьхəылҵ,рæмбын
29,Hand::N,анапы,къух
30,Handfläche::N,анапсаргəыҵа,армытъӕпӕн
31,Finger::N,анацəа,ӕнруылдз
32,Fingernagel::N,анапхыц,ных
33,Nagel[Anatomie]::N,ашьапхыц,ных
34,Zeh::N,ашьацəа,къух
35,Fuß::N,ашьапсыргəыҵа,фад
36,Ferse::N,ашьхəа,зӕвӕт
37,Knie::N,ашьамхы,уӕраг
38,Oberschenkel::N,ауаҭəа,агъд
39,Bein::N,ашьапы,зӕнг
40,Körper::N,ацəеижь,буар
41,Haut::N,ацəа,царм
42,Blut::N,ашьа,туг
43,Ader::N,ада,дадзин
44,Ader::N,ада,тугдадзин
45,Sehne::N,адаш,хъиутæ
46,Sehne::N,адаш,нуар
47,Knochen::N,абаҩ,стӕг
48,Gehirn::N,ахшлыбаҩ,магъз
49,Gehirn::N,ахшыбаҩ,магъз
50,Herz::N,агəы,зӕрдӕ
51,Magen::N,аца,ахсӕн
52,Magen::N,ацар,ахсӕн
53,Leber::N,агəаҵəа,игæр
54,Atem::N,аҧсыҧлагаҩгара,улӕфт
55,Hunger::N,амла,стонг
56,Träne::N,алабжыш,цæссыг
57,Geschmack::N,агьама,ад
58,Geruch::N,афҩы,смаг
59,Schlaf::N,ацəа,хуыссӕг
60,Traum::N,аҧхыӡ,фын
61,Himmel::N,ажəҩан,арв
62,Himmel::N,ажəҩан,уӕларв
63,Sonne::N,амра,хур
64,Mond::N,амза,мӕй
65,Stern::N,аеҵəа,стъалы
66,Luft::N,аҳаир,уӕлдӕф
67,Wind::N,аҧша,дымгӕ
68,Welle::N,ацəқəырҧа,уылӕн
69,Wasser::N,аӡы,дон
70,Stein::N,ахаҳə,дур
71,Boden::N,адгьыл,зӕхх
72,Erde::N,адгьыл,сыджыт
73,Staub::N,асаба,рыг
74,Rauch::N,алҩа,фӕздӕг
75,Funke::N,акəиц,цӕхӕр
76,Funke::N,ацҧхь,цӕхӕр
77,Feuer::N,амца,зынг
78,Licht::N,алашара,рухс
79,Schatten::N,ашəшьыра,аууон
80,Wetter::N,амш,боныхъӕд
81,Nebel::N,анаҟəа,мигъ
82,Wolke::N,аҧсҭҳəа,ӕврагъ
83,Regen::N,ақəа,уарын
84,Schnee::N,асы,мит
85,Eis::N,аҵаа,их
86,Frost::N,аҵаа,ихæн
87,Kälte::N,ахьҭа,уазал
88,Hitze::N,ашоура,ӕнтӕф
89,Raureif::N,аҵааҧшқа,халас
90,Regenbogen::N,ацəаҟəа,арвырон
91,Regenbogen::N,ацəаҟəа,арвырдын
92,Donner::N,адыд,æрвнæрын
93,Strömung::N,аиасра,цыд
94,Strömung::N,амҩасра,цыд
95,Tropfen::N,ацəыкəбар,æртах
96,Schaum::N,ашəах,фынк
97,Schmutz::N,алымт,цъыф
98,See::N,аӡиа,цад
99,Sumpf::N,аӡмах,цъыфдзаст
100,Wiese::N,адəы,уыгӕрдӕн
101,Wald::N,абна,хъӕд
102,Hügel::N,ахəы,обау
103,Hügel::N,ахəы,къуыбыр
104,Anhöhe::N,аҳаракыра,уæлвæз
105,Anhöhe::N,аҳаракыра,уæлхох
106,Berg::N,ашьха,хох
107,Gipfel::N,ацəқəа,цъупп
108,Höhle::N,аҳаҧы,лӕгӕт
109,Abhang::N,анаара,къул
110,Quelle::N,аҵҵырҭа,суадон
111,Bach::N,акəараҷҷа,мӕсчъыдон
112,Fluss::N,аӡиас,дон
113,Fluss::N,аӡиас,цӕугӕдон
114,Ufer::N,ахықə,был
115,Küste::N,ахықə,донбыл
116,Festland::N,абарра,сурзæхх
117,Meer::N,амшын,денджыз
118,Bucht::N,аӡбжьахала,донбакæлæн
119,Insel::N,адгьылбжьаха,сакъадах
120,Blume::N,ашəҭ,дидинӕг
121,Gras::N,аҳасакьын,кӕрдӕг
122,Wurzel::N,адац,уидаг
123,Baum::N,аҵла,бӕлас
124,Stamm::N,ашьапы,хӕтӕл
125,Rinde::N,ацəа,цъар
126,Ast::N,амахə,арх
127,Ast::N,амахəҭа,арх
128,Zweig::N,амахə,къалиу
129,Zweig::N,амахəҭа,къалиу
130,Blatt::N,абҕьы,сыф
131,Birke::N,аҵааҵла,бæрз
132,Kiefer[Baum]::N,амза,нӕзы
133,Weide[Baum]::N,аҧслыш,хӕрис
134,Tanne::N,аҧсаӡ,наз
135,Horn::N,атəыҩа,сыкъа
136,Feder::N,ахӡы,сис
137,Fell::N,ацəа,царм
138,Flügel::N,амҵəыжəа,базыр
139,Klaue::N,ашьапхыц,ных
140,Schwanz::N,аҵыхəа,къӕдзил
141,Ei::N,акəтаӷь,айк
142,Nest::N,аҭра,ахстон
143,Nest::N,аҵысҭра,ахстон
144,Bau::N,аҭыҩра,хуынкъ
145,Tier::N,аҧстəы,сырд
146,Tier::N,аҧстəы,цӕрӕгой
147,Tier::N,агыгшəыг,сырд
148,Tier::N,агыгшəыг,цӕрӕгой
149,Herde::N,агəарҭа,дзуг
150,Herde::N,агəарҭа,рӕгъау
151,Kuh::N,ажə,хъуг
152,Bulle::N,ацə,гал
153,Pferd::N,аҽы,бӕх
154,Schaf::N,ауаса,фыс
155,Schwein::N,аҳəа,хуы
156,Hund::N,ала,куыдз
157,Katze::N,ацгəы,гӕды
158,Bär::N,амшə,арс
159,Eichhörnchen::N,аеш,æхсæрæг
160,Elch::N,аҽаҩа,цæгатаг саг
161,Fuchs::N,абгахəыҷы,рувас
162,Hase::N,ажьа,тæрхъус
163,Maus::N,аҳəынаҧ,мыст
164,Wolf::N,абгаду,бирӕгъ
165,Vogel::N,аҧсаатə,цъиу
166,Vogel::N,аҧсаатə,маргъ
167,Huhn::N,акəты,карк
168,Hahn::N,арбаҕь,уасӕг
169,Gans::N,аҟыз,хъаз
170,Adler::N,ауарба,цӕргӕс
171,Ente::N,акəата,ацц
172,Eule::N,аты, уыг
173,Eule::N,аты,сидахъ
174,Kranich::N,апҟа,зырнæг
175,Kranich::N,апҟа,хърихъупп
176,Krähe::N,аҟəараан,халон
177,Kuckuck::N,акəыкəу,гаккук
178,Schwan::N,агьад,доныхъаз
179,Fisch::N,аҧсыӡ,кӕсаг
180,Barsch::N,ацəыбла,окунь
181,Hecht::N,ахиаала,хихор кӕсаг
182,Schlange[Tier]::N,амаҭ,калм
183,Wurm::N,ахəа,зулкъ
184,Wurm::N,ахəа,къуыдыргалм
185,Wurm::N,ахəац,зулкъ
186,Wurm::N,ахəац,къуыдыргалм
187,Spinne::N,абызкаҭаҳа,хӕлуарӕг
188,Ameise::N,ашышкамс,мæлдзыг
189,Laus::N,аҵа,сыст
190,Mücke::N,акəыбры,къогъо
191,Fliege::N,амҵ,бындз
192,Schmetterling::N,аҧарҧалыкь,гæлæбу
193,Beere::N,аргуц,гагадыргъ
194,Apfel::N,аҵəа,фӕткъуы
195,Pilz::N,акəкəбаа,зокъо
196,Pilz::N,акəкəбаа,къозо
197,Zwiebel::N,аџьымшьы,хъӕдындз
198,Zwiebel::N,аџьымшьхы,хъӕдындз
199,Saat::N,ажəла,тауинаг
200,Saat::N,ажəла,мыггаг
201,Korn::N,арыц,мыггаг
202,Korn::N,арыц,тауинаг
203,Heu::N,аҭəа,хос
204,Schale::N,ацəа,цъар
205,Grube::N,ажра,урм
206,Grube::N,ажра,къахт
207,Grube::N,ажра,дзыхъхъ
208,Grube::N,атыша,урм
209,Grube::N,атыша,къахт
210,Grube::N,атыша,дзыхъхъ
211,Falle::N,арыҧҟьа,цъысым
212,Falle::N,арыҧҟьа,къӕппӕг
213,Schlinge::N,аҟəараҟəантə,цасм
214,Spur::N,ашьҭа,фæд
215,Asche::N,ахəа,фӕнык
216,Asche::N,ахəа,ӕртхутӕг
217,Dreck::N,аҳəынҵəа,цъыф
218,Dreck::N,аҟьамсар,цъыф
219,Eisen::N,аиха,ӕфсӕйнаг
220,Gold::N,ахьы,сыгъзӕрин
221,Silber::N,аразны,ӕвзист
222,Kohle::N,арацəа,ӕвзалы
223,Glas::N,асаркьа,авг
224,Lehm::N,анышəаҧшь,ӕлыг
225,Sand::N,аҧслымӡ,змис
226,Mensch::N,ауаҩы,лӕг
227,Mensch::N,ауаҩы,адӕймаг
228,Mensch::N,ауаҩы,удгоймаг
229,Mann::N,ахаҵа,лӕг
230,Mann::N,ахаҵа,нӕлгоймаг
231,Frau::N,аҧҳəыс,сылгоймаг
232,Kind::N,ахəыҷы,сывӕллон
233,Junge::N,аҷкəын,лӕппу
234,Junge::N,ахаҵарҧыс,лӕппу
235,Mädchen::N,аӡӷаб,чызг
236,Familie::N,аҭаацəа,бинонтæ
237,Großvater::N,абду,фыдыфыд
238,Großvater::N,абду,мадыфыд
239,Großmutter::N,анду,фыды мад
240,Großmutter::N,анду,мады мад
241,Eltern::N,ани аби,ныййарджытæ
242,Vater::N,аб,фыд
243,Mutter::N,ан,мад
244,Sohn::N,аҧа,фырт
245,Tochter::N,аҧҳа,чызг
246,Bruder::N,аиашьа,ӕфсымӕр
247,Schwester::N,Аҳəшьа,хо
248,Onkel::N,абиашьа,фыдыфсымӕр
249,Onkel::N,аншьа,фыдыфсымӕр
250,Tante::N,абиаҳəшьа,мадыхо
251,Ehemann::N,ахаҵа,мой
252,Ehemann::N,аҧшəма,мой
253,Ehefrau::N,аҧҳəыс,ус
254,Freude::N,агəырӷьара,цин
255,Freude::N,агəырӷьара,циндзинад
256,Gelächter::N,ачча,худын
257,Gelächter::N,ачча,худт
258,Gelächter::N,ачча,худæг
259,Gelächter::N,аччара,худын
260,Gelächter::N,аччара,худт
261,Gelächter::N,аччара,худæг
262,Glück::N,аразҟы,амонд
263,Kummer::N,агəырҩа,хъыг
264,Wunsch::N,агəхəтəы,бӕллиц
265,Wunsch::N,аҭахра,бӕллиц
266,Lust::N,агəазыҳəара,монц
267,Geist::N,аҧсы,уд
268,Gedanke::N,ахəыцырҭа,хъуыды
269,Gedächtnis::N,агəынкылара,мысæн
270,Gedächtnis::N,агəынкылара,мысын
271,Gedächtnis::N,агəынкылара,зæрдылдарын
272,Verstand::N,ахшыҩ,зонд
273,Sinn::N,аҵакы,нысаниуæг
274,Grund::N,амзыз,ӕфсон
275,Wahrheit::N,аиаша,æцæг
276,Gespräch::N,аиҿцәажәара,ныхас
277,Märchen::N,алакə,аргъау
278,Erzählung::N,ажәабжь,радзырд
279,Nachricht::N,адырраҭара,уац
280,Neuigkeit::N,ажәабжь ҿыц,хабар
281,Name::N,ахьӡ,ном
282,Rätsel::N,ацуфара,уыци-уыци
283,Rätsel::N,ацуфара,базон-базон
284,Rede::N,ажәа,раныхас
285,Sprache::N,абызшəа,ӕвзаг
286,Stimme::N,абжьы,хъӕлӕс
287,Wort::N,ажәа,дзырд
288,Zeichen::N,адырга,нысан
289,Ruf::N,аҿҭы,сидт
290,Lärm::N,ашьҭыбжь,уынæр
291,Laut::N,ашьҭыбжь,зӕл
292,Laut::N,ашьҭыбжь,мыр
293,Ton::N,атон,мыр
294,Lied::N,ашəа,зарӕг
295,Ruhe::N,аҭынчра,æнцой
296,Leute::N,ауаа,адӕм
297,Volk::N,ажəлар,адӕм
298,Arbeit::N,аусура,фӕллой
299,Gast::N,асас,уазӕг
300,Geschenk::N,аҳамҭа,хуын
301,Geschenk::N,аҿанҵа,хуын
302,Spiel::N,ахəмарра,хъазт
303,Gesellschaft::N,агəыҧ,дзыллæ
304,Gesellschaft::N,агəыҧ,æхсæнад
305,Hilfe::N,ацхыраара,æххуыс
306,Hilfe::N,ацхыраара,ахъаз
307,Freund::N,аҩыза,лымӕн
308,Kamerad::N,Аҧхнагьла,ӕмбал
309,Angelegenheit::N,аус,хъуыддаг
310,Anzahl::N,ахыҧхьаӡара,бӕрц
311,Art::N,ахкы,хуыз
312,Art::N,ахкы,хуызад
313,Stück::N,аҽыҭ,кæрдих
314,Stück::N,аҽыҭ,комдзаг
315,Teil::N,ахəҭа,хай
316,Hälfte::N,абжа,æрдæг
317,Hälfte::N,абжа,æмбис
318,Kreis::N,агьагьа,зиллакк
319,Kreuz::N,аџьар,дзуар
320,Linie::N,аицтәар,хахх
321,Strich::N,ацəаҳəа,хахх
322,Abstand::N,абжьара,æхсæнуат
323,Entfernung::N,абжьара,дæрддзæг
324,Entfernung::N,абжьара,дардцæг
325,Gegend::N,аҭыҧ,ран
326,Platz::N,аҭыҧ,бууат
327,Ort::N,аҭыҧ,ран
328,Ort::N,аҭыҧ,бынат
329,Seite::N,аган,фахс
330,Mitte::N,агəҭа,астӕу
331,Gegenstand::N,амаҭəар,дзаума
332,Rand::N,аҵкар,кӕрон
333,Kante::N,авардым,фӕрск
334,Ecke::N,акəакь,тигъ
335,Ecke::N,акəакь,фисын
336,Spitze::N,аҧынҵа,бырынкъ
337,Ende::N,анаӡара,кӕрон
338,Loch::N,акылҵəара,хуынкъ
339,Winkel::N,агҿаҩра,къуым
340,Winkel::N,акəындхə,къуым
341,Winkel::N,акəакь,къуым
342,Muster::N,аҟҟа,нывæфтыд
343,Muster::N,аҟҟа,кæдзист
344,Größe::N,изаҟароу,ас
345,Länge::N,аура,дӕргъ
346,Höhe::N,агылара,бæрзонд
347,Höhe::N,агылара,бæрзæнд
348,Höhe::N,агылара,бæрзонддзинад
349,Gewicht::N,акапан,уӕз
350,Haufen::N,ачаҟəа,кӕри
351,Reihe::N,ацəаҳəа,рӕнхъ
352,Boot::N,анышь,чема
353,Ruder::N,ажəҩа,къохар
354,Schlitten::N,ашəаҩауардын,дзоныгъ
355,Ski::N,ашəаҩа,къахдзоныгътæ
356,Ski::N,ашəаҩа,лыжæтæ
357,Ski::N,ашьахаха,къахдзоныгътæ
358,Ski::N,ашьахаха,лыжæтæ
359,Lagerfeuer::N,еиқуу амца,арт
360,Last::N,ахьанҭара,уаргъ
361,Gang::N,аныҟəара,цыд
362,Schritt::N,ашьаҿа,санчъех
363,Schritt::N,ашьаҿа,къахдзӕф
364,Norden::N,аҩада,цæгат
365,Süden::N,алада,хуссар
366,Westen::N,амраҭашəара,ныгуылæн
367,Osten::N,амрагылара,скæсæн
368,Holz::N,амҿымаҭəахə,хъӕдӕрмӕг
369,Brett::N,аӷəы,фæйнæг
370,Platte::N,ахаҳәцәы,къӕй
371,Stütze::N,аҵаргəа,быцæу
372,Stütze::N,агəышьаҟа,быцæу
373,Stange::N,акьат,хъил
374,Stock::N,алаба,лӕдзӕг
375,Stab::N,акьат,хъил
376,Rohr::N,абыкь,хӕтӕл
377,Haus::N,аҩны,хӕдзар
378,Heim::N,аҭаацəа,къона
379,Ofen::N,аҳақə,пец
380,Ofen::N,ауаџьаҟ,пец
381,Ofen::N,афрына,пец
382,Fußboden::N,адашьма,астӕрд
383,Tisch::N,аишәа,стъол
384,Stuhl::N,аҟəардə,бандон
385,Wiege::N,агара,авдæн
386,Bett::N,акаруаҭ,сынтӕг
387,Regal::N,акыӷəра,тӕрхӕг
388,Regal::N,акыӷəра,уӕлвӕйнӕг
389,Kiste::N,аидчаҧала,асыкк
390,Fenster::N,аҧенџьыр,рудзынг
391,Fenster::N,аҧенџьыр,фæрссаг
392,Tür::N,ашə,дуар
393,Tor::N,агəашə,кулдуар
394,Zaun::N,аанда,æмбонд
395,Zaun::N,аанда,быру
396,Zaun::N,аанда,гæрæн
397,Dach::N,ахыб,уӕлхӕдзар
398,Leiter::N,амардуан,асин
399,Besen::N,аҧссага,уисой
400,Spaten::N,ажыга,бел
401,Schaufel::N,аҭəарӷəы,æвгæнæн
402,Schaufel::N,аҭəарӷəы,кæфой
403,Gabel::N,ачқьыҧ,вилкæ
404,Löffel::N,амҳаҵə,уидыг
405,Messer::N,аҳəызба,кард
406,Nagel::N,аҵəымӷ,зӕгӕл
407,Netz::N,акаҭа,хыз
408,Haken::N,аҵəаҳə,хæдз
409,Haken::N,аҵəаҳə,хæбырæгъ
410,Griff::N,амаа,фистон
411,Schloss::N,асаҧаҭ,гуыдыр
412,Bild::N,асахьа,ныв
413,Figur::N,афигура,кæрдгæныв
414,Puppe::N,акьанџьа,чындз
415,Beutel::N,асакь,дзӕкъул
416,Bündel::N,аҿаҳəара,баст
417,Tasche::N,арҭмаҟ,хызын
418,Tasche::N,арҭмаҟ,дзæкъул
419,Eimer::N,аведра,къæрта
420,Eimer::N,аведра,чъыбыла
421,Eimer::N,аведра,ведра
422,Deckel::N,ахҩа,сæр
423,Deckel::N,ахҩа,æмбæрзæн
424,Geschirr::N,ачысмаҭəа,мигæнæн
425,Geschirr::N,ачысмаҭəа,мигæнæнтæ
426,Sack::N,асакь,голлаг
427,Tasse::N,аҵəца,пиала
428,Tasse::N,аҵəца,къус
429,Topf::N,акаструлиа,аг
430,Topf::N,акаструлиа,чысыл аг
431,Kessel::N,ачуан,аг
432,Nahrung::N,афатə,хойраг
433,Speise::N,афатə,хӕринаг
434,Fleisch::N,акəац,дзидза
435,Fleisch::N,акəац,фыдызгъӕл
436,Getreide::N,ачакуа,халсар
437,Brei::N,ақашь,кас
438,Brot::N,ача,дзул
439,Scheibe::N,аҽыҭ,къӕбӕр
440,Scheibe::N,аҿаҵа,къӕбӕр
441,Fett::N,ашша,сой
442,Butter::N,ахəша,нӕлхӕ
443,Öl::N,азеҭ,зети
444,Salz::N,аџьыка,цӕхх
445,Suppe::N,асуҧ,бас
446,Honig::N,ацха,мыд
447,Milch::N,ахш,ӕхсыр
448,Tee::N,ачаи,цай
449,Leder::N,ацəа,мæскуы
450,Wolle::N,аласа,фӕсмын
451,Stoff::N,Аба,хъуымац
452,Nadel::N,агəыр,судзин
453,Faden::N,арахəыц,ӕндах
454,Knopf::N,аҳəынҵəра,цӕппӕр
455,Knoten::N,аиқəҳəала,ӕлхынцъ
456,Farbe::N,ашəыга,ахорæн
457,Kleidung::N,амаҭəа,дарӕс
458,Hemd::N,акьаҿ,хӕдон
459,Kragen::N,ахəда,æфцæггот
460,Ärmel::N,амаӷра,дыс
461,Hose::N,аиқəа,хæлаф
462,Hose::N,аиқəа,æддаг хæлаф
463,Hose::N,аиқəа,салбар
464,Gürtel::N,амаҟа,рон
465,Mütze::N,ахылҧа,худ
466,Schuh::N,аимаа,басмахъ
467,Stiefel::N,амагə,цырыхъхъ
468,Ring::N,амацəаз,къухдарӕн
469,Band::N,алента,лент
470,Kamm::N,ахҳəа,сӕрвасӕн
471,Spiegel::N,асаркьа,айдæн
472,Spiegel::N,асаркьа,кæсæн
473,Riemen::N,аа,гӕрз
474,Schnur::N,ашаха,бӕндӕн
475,Leine::N,аҕура,
476,Decke::N,ахыза,хъӕццул
477,Kissen::N,ахчы,баз
478,Tuch::N,акасы,кæлмæрзæн
479,Tuch::N,акасы,кæрдæн
480,Handtuch::N,ампахьшьы,хисæрфæн
481,Kraft::N,амч,тых
482,Kraft::N,амч,хъомыс
483,Stärke::N,амч,тых
484,Stärke::N,амч,æхсар
485,Gesundheit::N,агəабзиара,æнæниздзинад
486,Krankheit::N,ачымазара,низ
487,Krankheit::N,ачымазара,рын
488,Schmerz::N,ахьаа,рис
489,Wunde::N,ахəра,цӕф
490,Fieber::N,ашоура,ризӕг
491,Fieber::N,ашоура,тӕфсӕг
492,Arznei::N,ахəшə,хос
493,Brücke::N,ацҳа,хид
494,Brunnen::N,аҵыџь,цъай
495,Weide::N,аҳəырҭа,хизæн
496,Weide::N,аҳəырҭа,хизæнуат
497,Weide::N,аҳəырҭа,сæрвæт
498,Pfad::N,амхəасҭа,къахвæндаг
499,Pfad::N,амхəасҭа,къахвæд
500,Weg::N,амҩа,фӕндаг
501,Straße::N,амҩа,фӕндаг
502,Dorf::N,ақыҭа,хъӕу
503,Stadt::N,ақалақь,сахар
504,Brief::N,ашəҟəы,фыстӕг
505,Buch::N,ашəҟəы,чиныг
506,Buchstabe::N,анбан,дамгъӕ
507,Zeitung::N,агазеҭ,газет
508,Leben::N,аҧсҭазаара,цард
509,Leben::N,аҧсҭазаара,цӕрӕнбон
510,Tod::N,аҧсра,мæлæт
511,Tod::N,аҧсра,адзал
512,Grab::N,анышəынҭра,ингӕн
513,Kirche::N,ауахəама,аргъуан
514,Sünde::N,агəнаҳа,тæригъæд
515,Gott::N,анцəа,хуыцау
516,Arbeiter::N,аусуҩ,кусæг
517,Chef::N,Аиҳабы,ӕмцег
518,Meister::N,аҟаза,мастер
519,Meister::N,аҟаза,дæсны
520,Arzt::N,аҳақьым,хосгæнæг
521,Arzt::N,аҳақьым,дохтыр
522,Lehrer::N,арҵаҩы,ахуыргæнæг
523,Geld::N,аҧара,ӕхца
524,Laden::N,амагазин,дукани
525,Preis::N,ахə,аргъ
526,Ware::N,атауар,базайраг
527,Nutzen::N,ақьар,пайда
528,Reichtum::N,абеиара,хъæздыгдзинад
529,Reichtum::N,абеиара,исбон
