,Concept_ID,ja,ps
0,Auge::N,目,سترګه
1,Ohr::N,耳,غوږ
2,Nase::N,鼻,پوزه
3,Mund::N,口,خوله
4,Zahn::N,歯,غاښ
5,Zunge::N,舌,جبه
6,Lippe::N,唇,شونډه
7,Wange::N,頬,باړخو
8,Gesicht::N,顔,مخ
9,Stirn::N,額,تندی
10,Stirn::N,額,وچولی
11,Haar::N,髪,وېښته
12,Schnurrbart::N,口髭,برېت
13,Bart::N,髭,ږیره
14,Kinn::N,顎,زنه
15,Kiefer[Anatomie]::N,顎,جامه
16,Kehle::N,喉,غاړه
17,Hals::N,首,غاړه
18,Genick::N,首,ورمېږ
19,Kopf::N,頭,سر
20,Rücken::N,背中,شا
21,Bauch::N,腹,نس
22,Bauch::N,腹,ګېډه
23,Bauch::N,お腹,نس
24,Bauch::N,お腹,ګېډه
25,Nabel::N,へそ,نوم
26,Busen::N,乳房,تی
27,Brust::N,胸,سینه
28,Schulter::N,肩,اوږه
29,Arm::N,腕,لاس
30,Ellenbogen::N,肘,څنګل
31,Hand::N,手,لاس
32,Handfläche::N,手のひら,ورغوی
33,Finger::N,指,ګوته
34,Fingernagel::N,爪,نوک
35,Nagel[Anatomie]::N,爪,نوک
36,Zeh::N,足の指,ګوته
37,Fuß::N,足,پښه
38,Ferse::N,かかと,پونده
39,Knie::N,膝,زنګون
40,Oberschenkel::N,上腿,پتون
41,Bein::N,足,پښه
42,Körper::N,体,ځان
43,Haut::N,皮膚,پوټکی
44,Blut::N,血,وینه
45,Ader::N,血管,رګ
46,Sehne::N,腱,پله
47,Knochen::N,骨,هډوکی
48,Gehirn::N,脳,ماغزه
49,Herz::N,心,زړه
50,Herz::N,心臓,زړه
51,Magen::N,胃,معده
52,Leber::N,肝臓,ينه
53,Leber::N,肝臓,ځیګر
54,Atem::N,息,نفس
55,Atem::N,呼吸,نفس
56,Hunger::N,空腹,ولږه
57,Träne::N,涙,اوښکه
58,Geschmack::N,味,مزه
59,Geschmack::N,味,خوند
60,Geruch::N,匂い,بوی
61,Schlaf::N,睡眠,خوب
62,Traum::N,夢,خوب
63,Himmel::N,空,اسمان
64,Sonne::N,太陽,لمر
65,Mond::N,月,سپوږمۍ
66,Stern::N,星,ستوری
67,Luft::N,空気,هوا
68,Wind::N,風,ورښ
69,Welle::N,波,موج
70,Wasser::N,水,اوبه
71,Stein::N,石,ډبره
72,Boden::N,土地,مځکه
73,Erde::N,土,خاوره
74,Staub::N,埃,ګرد
75,Staub::N,埃,خاوره
76,Rauch::N,煙,دود
77,Rauch::N,煙,لوګی
78,Funke::N,火花,سپرغۍ
79,Feuer::N,火,اور
80,Licht::N,光,رڼا
81,Schatten::N,陰,سیوری
82,Wetter::N,天気,هوا
83,Nebel::N,霧,لړه
84,Wolke::N,雲,ورېځ
85,Regen::N,雨,وریا
86,Regen::N,雨,باران
87,Schnee::N,雪,واوره
88,Eis::N,氷,یخ
89,Eis::N,氷,کنګل
90,Frost::N,霜,یخ
91,Kälte::N,寒さ,ساړه
92,Hitze::N,暑さ,تودوخي
93,Raureif::N,霧氷,سپینه پرخه
