,Concept_ID,kl,cv
0,Auge::N,isi,куҫ
1,Ohr::N,siut,хӑлха
2,Mund::N,paaq,ҫӑвар
3,Mund::N,qaneq,ҫӑвар
4,Zahn::N,kigut,шӑл
5,Zunge::N,oqaq,чӗлхе
6,Lippe::N,qarloq,тута
7,Wange::N,ersaq,пит ҫӑмарти
8,Gesicht::N,kiinaq,пит
9,Gesicht::N,kiinaq,пит-куҫ
10,Stirn::N,qaaq,ҫамка
11,Haar::N,meqqoq,ҫӳҫ
12,Bart::N,umik,сухал
13,Kinn::N,talloq,янах
14,Kiefer[Anatomie]::N,alleroq,янах
15,Kehle::N,malaq,пыр
16,Kehle::N,malaq,карланкӑ
17,Hals::N,qungaseq,пыр
18,Genick::N,pukusuk,ӗнсе
19,Kopf::N,niaqoq,пуҫ
20,Rücken::N,qimerlut,ҫурӑм
21,Bauch::N,naaq,
22,Nabel::N,qalaseq,кӑвапа
23,Busen::N,iviangeq,кӑкӑр
24,Brust::N,iviangeq,умӗ
25,Schulter::N,ersik,хул пуҫҫи
26,Schulter::N,assaqqoq,хул пуҫҫи
27,Arm::N,taleq,алӑ
28,Ellenbogen::N,ikusik,чавса
29,Hand::N,assak,алӑ сыппи
30,Handfläche::N,itumak,ал лаппи
31,Finger::N,inuak,пӳрне
32,Fingernagel::N,kikiak,чӗрне
33,Nagel[Anatomie]::N,kukik,чӗрне
34,Zeh::N,isigak,пӳрне
35,Ferse::N,kimmik,кӗле
36,Knie::N,seeqqoq,чӗркуҫҫи
37,Oberschenkel::N,uppat,пӗҫӗ
38,Oberschenkel::N,quttoraq,пӗҫӗ
39,Bein::N,isigak,ура
40,Körper::N,timi,ӳт
41,Körper::N,timi,ӳт-пӳ
42,Haut::N,mattak,тир
43,Blut::N,aak,юн
44,Ader::N,taqaq,вена
45,Sehne::N,ujalu,шӑнӑр
46,Sehne::N,ujaloq,шӑнӑр
47,Knochen::N,saanikut,шӑмӑ
48,Gehirn::N,qarasaq,миме
49,Herz::N,uummat,чӗре
50,Magen::N,aqajaroq,хырӑмлӑх
51,Leber::N,tinguk,пӗвер
