,Concept_ID,se,hr
0,Auge::N,tjelmie,oko
1,Auge::N,tjalmme,oko
2,Auge::N,čalbmi,oko
3,Auge::N,čalme,oko
4,Auge::N,čâ´lmm,oko
5,Auge::N,ча̄лльм,oko
6,Ohr::N,bieljie,uho
7,Ohr::N,biellje,uho
8,Ohr::N,beallji,uho
9,Ohr::N,pelji,uho
10,Ohr::N,pe´llj,uho
11,Ohr::N,пе̄лльй,uho
12,Nase::N,njuenie,nos
13,Nase::N,njunnje,nos
14,Nase::N,njunni,nos
15,Nase::N,njuṇe,nos
16,Nase::N,njuu´nn,nos
17,Nase::N,нюннҍ,nos
18,Mund::N,njaelmie,usta
19,Mund::N,njálmme,usta
20,Mund::N,njálbmi,usta
21,Mund::N,njälmi,usta
22,Mund::N,njä´lmm,usta
23,Mund::N,ня̄лльм,usta
24,Zahn::N,baenie,zub
25,Zahn::N,bádne,zub
26,Zahn::N,bátni,zub
27,Zahn::N,pääṇi,zub
28,Zahn::N,pää´nn,zub
29,Zahn::N,па̄ннҍ,zub
30,Zunge::N,njoektjeme,jezik
31,Zunge::N,njuovtjav,jezik
32,Zunge::N,njuovčča,jezik
33,Zunge::N,njuovčâ,jezik
34,Zunge::N,njuhččâm,jezik
35,Zunge::N,нюхчем,jezik
36,Lippe::N,bangseme,usna
37,Lippe::N,njálmmerabdda,usna
38,Lippe::N,bavssa,usna
39,Lippe::N,poovsâ,usna
40,Lippe::N,põõus,usna
41,Lippe::N,пэ̄кс,usna
42,Wange::N,skiehrie,obraz
43,Wange::N,nierra,obraz
44,Wange::N,muohtu,obraz
45,Wange::N,nieṛâ,obraz
46,Wange::N,njiõrr,obraz
47,Wange::N,нӣрр,obraz
48,Gesicht::N,ååredæjja,lice
49,Gesicht::N,muohto,lice
50,Gesicht::N,muođut,lice
51,Gesicht::N,ámadadju,lice
52,Gesicht::N,muáđuh,lice
53,Gesicht::N,muâđ,lice
54,Gesicht::N,ка̄ссв,lice
55,Stirn::N,gaalloe,čelo
56,Stirn::N,gállo,čelo
57,Stirn::N,gállu,čelo
58,Stirn::N,kállu,čelo
59,Stirn::N,käll,čelo
60,Stirn::N,вуэххьц,čelo
61,Haar::N,voepte,kosa
62,Haar::N,vuoppta,kosa
63,Haar::N,vuokta,kosa
64,Haar::N,vuop'tâ,kosa
65,Haar::N,vuõpt,kosa
66,Haar::N,вӯппт,kosa
67,Schnurrbart::N,bijjie-skaavtjoe,brkovi
68,Schnurrbart::N,njunjevuolskávttjá,brkovi
69,Schnurrbart::N,seamu,brkovi
70,Schnurrbart::N,siämu,brkovi
71,Schnurrbart::N,ää´bben,brkovi
72,Schnurrbart::N,о̄а̄бпан,brkovi
73,Bart::N,skaavtja,brada
74,Bart::N,skaavtjoe,brada
75,Bart::N,skávttjá,brada
76,Bart::N,seamu,brada
77,Bart::N,siämu,brada
78,Bart::N,seäm,brada
79,Bart::N,ся̄м,brada
80,Kinn::N,gaejpie,brada
81,Kinn::N,gaejpie,podbradak
82,Kinn::N,gájbbe,brada
83,Kinn::N,gájbbe,podbradak
84,Kinn::N,gáibi,brada
85,Kinn::N,gáibi,podbradak
86,Kinn::N,käibi,brada
87,Kinn::N,käibi,podbradak
88,Kinn::N,käi´bb,brada
89,Kinn::N,käi´bb,podbradak
90,Kinn::N,ка̄ййп,brada
91,Kinn::N,ка̄ййп,podbradak
92,Kiefer[Anatomie]::N,gaejpie,čeljust
93,Kiefer[Anatomie]::N,oalol,čeljust
94,Kiefer[Anatomie]::N,oaloldákte,čeljust
95,Kiefer[Anatomie]::N,gáibi,čeljust
96,Kiefer[Anatomie]::N,uá'lultähti,čeljust
97,Kiefer[Anatomie]::N,vuâl'lõš,čeljust
98,Kiefer[Anatomie]::N,вуаллнешш,čeljust
99,Kehle::N,gealoe,grlo
100,Kehle::N,tjåttå,grlo
101,Kehle::N,njiello,grlo
102,Kehle::N,čotta,grlo
103,Kehle::N,čuudâ,grlo
104,Kehle::N,čoodd,grlo
105,Kehle::N,чонт,grlo
106,Kehle::N,кэ̄ҏс,grlo
107,Hals::N,tjeapohke,vrat
108,Hals::N,tjiebet,vrat
109,Hals::N,čeabet,vrat
110,Hals::N,čiäppát,vrat
111,Hals::N,čeäppat,vrat
112,Hals::N,ча̄пэх,vrat
113,Genick::N,tjovrese,zatiljak
114,Genick::N,nisske,zatiljak
115,Genick::N,niehkki,zatiljak
116,Genick::N,niski,zatiljak
117,Genick::N,niek'ki,zatiljak
118,Genick::N,nji´šǩǩmaadd,zatiljak
119,Genick::N,нышшькмоант,zatiljak
120,Kopf::N,åejjie,glava
121,Kopf::N,oajvve,glava
122,Kopf::N,oaivi,glava
123,Kopf::N,uái'vi,glava
124,Kopf::N,vuei´vv,glava
125,Kopf::N,вуэййв,glava
126,Rücken::N,rudtje,leđa
127,Rücken::N,rudtje,hrbat
128,Rücken::N,hárddo,leđa
129,Rücken::N,hárddo,hrbat
130,Rücken::N,tjavelk,leđa
131,Rücken::N,tjavelk,hrbat
132,Rücken::N,sealgi,leđa
133,Rücken::N,sealgi,hrbat
134,Rücken::N,selgi,leđa
135,Rücken::N,selgi,hrbat
136,Rücken::N,čielgi,leđa
137,Rücken::N,čielgi,hrbat
138,Rücken::N,seä´lǧǧ,leđa
139,Rücken::N,seä´lǧǧ,hrbat
140,Rücken::N,се̄лльк,leđa
141,Rücken::N,се̄лльк,hrbat
142,Bauch::N,tjåejjie,trbuh
143,Bauch::N,tjoajvve,trbuh
144,Bauch::N,čoavji,trbuh
145,Bauch::N,čuáv'ji,trbuh
146,Bauch::N,čåu´jj,trbuh
147,Bauch::N,чо̄ввьй,trbuh
148,Nabel::N,naepie,pupak
149,Nabel::N,náhpe,pupak
150,Nabel::N,náhpi,pupak
151,Nabel::N,nääpi,pupak
152,Nabel::N,nää´pp,pupak
153,Nabel::N,на̄бпь,pupak
154,Busen::N,boenge,sisa
155,Busen::N,boenge,njedra
156,Busen::N,bållå,sisa
157,Busen::N,bållå,njedra
158,Busen::N,čižži,sisa
159,Busen::N,čižži,njedra
160,Busen::N,njamma,sisa
161,Busen::N,njamma,njedra
162,Busen::N,njižže,sisa
163,Busen::N,njižže,njedra
164,Busen::N,nje´ǯǯ,sisa
165,Busen::N,nje´ǯǯ,njedra
166,Busen::N,раннҍт,sisa
167,Busen::N,раннҍт,njedra
168,Brust::N,mïelke,prsa
169,Brust::N,radde,prsa
170,Brust::N,mielgga,prsa
171,Brust::N,raddi,prsa
172,Brust::N,radde,prsa
173,Brust::N,râ´dd,prsa
174,Brust::N,раннҍт,prsa
