,Concept_ID,kk,ca
0,Auge::N,көз,ull
1,Ohr::N,құлақ,orella
2,Nase::N,мұрын,nas
3,Mund::N,ауыз,boca
4,Zahn::N,тіс,dent
5,Zunge::N,тіл,llēngua
6,Lippe::N,ерін,llavi
7,Wange::N,ұрт,galta
8,Gesicht::N,бет-аузы,cara
9,Stirn::N,маңдай,front
10,Haar::N,қыл,cabēll
11,Schnurrbart::N,мұрт,bigoti
12,Bart::N,сақал,barba
13,Kinn::N,иек,mentó
14,Kinn::N,иек,barbeta
15,Kiefer[Anatomie]::N,жақ,queix
16,Kiefer[Anatomie]::N,жақ,mandíbula
17,Kehle::N,алқым,gola
18,Kehle::N,алқым,gorja
19,Hals::N,мойын,coll
20,Genick::N,желке,nuca
21,Kopf::N,кәллә,cap
22,Rücken::N,арқа,esquena
23,Bauch::N,қарын,panxa
24,Nabel::N,кіндік,llombrígol
25,Busen::N,омырау,pit
26,Busen::N,омырау,mama
27,Brust::N,кеуде,pit
28,Schulter::N,иық,espatlla
29,Arm::N,қол,braç
30,Ellenbogen::N,шынтақ,colze
31,Hand::N,қол,mà
32,Handfläche::N,алақан,palma
33,Finger::N,саусақ,dit
34,Fingernagel::N,тырнақ,ungla
35,Nagel[Anatomie]::N,тырнақ,ungla
36,Zeh::N,тырнақ,dit del peu
37,Zeh::N,тұяқ,dit del peu
38,Fuß::N,аяқ-басы,peu
39,Ferse::N,өкше,taló
40,Ferse::N,өкшелік,taló
41,Knie::N,тізе,genoll
42,Oberschenkel::N,жамбас,cuixa
43,Bein::N,аяқ,cama
44,Körper::N,дене,cos
45,Haut::N,тері,pell
46,Blut::N,қан,sang
47,Ader::N,көктамыр,vena
48,Ader::N,күретамыр,vena
49,Sehne::N,сіңір,tendó
50,Knochen::N,жілік,os
51,Gehirn::N,ми,cervell
52,Herz::N,жүрек,cor
53,Magen::N,асқазан,estómac
54,Leber::N,бауыр,fetge
55,Atem::N,леп,alè
56,Atem::N,леп,hàlit
57,Hunger::N,ашаршылық,fam
58,Hunger::N,ашаршылық,gana
59,Träne::N,жас,llàgrima
60,Geschmack::N,дәм,gust
61,Geschmack::N,дәм,sabor
62,Geschmack::N,татым,gust
63,Geschmack::N,татым,sabor
64,Geschmack::N,талғам,gust
65,Geschmack::N,талғам,sabor
66,Geruch::N,иіс,olor
67,Schlaf::N,ұйқы,son
68,Schlaf::N,ұйықтау,son
69,Traum::N,түс,somni
70,Himmel::N,аспан,celm
71,Himmel::N,көқ,celm
72,Himmel::N,таңдай,celm
73,Sonne::N,күн,sol
74,Mond::N,ай,lluna
75,Stern::N,жұлдыз,estel
76,Stern::N,жұлдыз,estrella
77,Luft::N,әуе,aire
78,Wind::N,жел,vent
79,Welle::N,толқын,ona
80,Wasser::N,су,āigua
81,Stein::N,тас,pedra
82,Boden::N,қыртыс,sòl
83,Erde::N,топырақ,terra
84,Staub::N,шаң,pols
85,Rauch::N,түтін,fum
86,Funke::N,ұшқын,guspira
87,Funke::N,ұшқын,centella
88,Feuer::N,алау,foc
89,Licht::N,шұғыла,llum
90,Schatten::N,көлеңке,ombra
91,Wetter::N,ауа райы,temps
92,Nebel::N,тұман,boira
93,Wolke::N,бұлт,núvol
94,Regen::N,жаңбыр,pluja
95,Schnee::N,қар,neu
96,Eis::N,мұз,gel
97,Eis::N,мұз,glaç
98,Frost::N,суық,glaçada
99,Kälte::N,ызғар,fred
100,Kälte::N,суықтық,fred
101,Hitze::N,аптап,calor
102,Raureif::N,қырау,gebre
103,Regenbogen::N,кемпірқосақ,arc iris
104,Donner::N,күн күркіреу,tro
105,Strömung::N,ағын,corrent
106,Tropfen::N,тамшы,gota
107,Schaum::N,көбік,escuma
108,Schmutz::N,кір,brutícia
109,See::N,көл,llac
110,Sumpf::N,саз,pantà
111,Moor::N,саз,pantà
112,Wiese::N,шалғын,prat
113,Wiese::N,шалғын,prada
114,Wald::N,орман,bosc
115,Hügel::N,төбе,puig
116,Hügel::N,төбе,pujol
117,Hügel::N,белес,puig
118,Hügel::N,белес,pujol
119,Hügel::N,белес-белес,puig
120,Hügel::N,белес-белес,pujol
121,Anhöhe::N,дөң,turó
122,Anhöhe::N,адыр,turó
123,Anhöhe::N,қырат,turó
124,Berg::N,тау,muntanya
125,Gipfel::N,төбе,cim
126,Höhle::N,үңгір,cova
127,Abhang::N,бауыр,coster
128,Quelle::N,қайнар,font
129,Bach::N,жылға,riera
130,Fluss::N,өзен,riu
131,Ufer::N,жиек,riba
132,Küste::N,жиегі,costa
133,Küste::N,жағалау,costa
134,Festland::N,құрылық,terra ferma
135,Meer::N,теңіз,mar
136,Bucht::N,шығанақ,cala
137,Bucht::N,шығанақ,badia
138,Insel::N,арал,illa
139,Blume::N,гүл,flor
140,Gras::N,от,herba
141,Wurzel::N,түбір,rel
142,Wurzel::N,түбір,arrel
143,Baum::N,ағаш,arbre
144,Baum::N,дарақ,arbre
145,Stamm::N,сояу,tronc
146,Stamm::N,оқпан,tronc
147,Rinde::N,қабық,escorça
148,Ast::N,бұтақ,branca
149,Zweig::N,шыбық,ram
150,Blatt::N,жапырақ,fulla
151,Birke::N,қайың,bedoll
152,Kiefer[Baum]::N,қарағай,pi
153,Weide[Baum]::N,тал,salze
154,Tanne::N,шырша,avet
155,Horn::N,мүйіз,corn
156,Horn::N,мүйіз,banya
157,Feder::N,қаламұш,ploma
158,Fell::N,тері,pell
159,Flügel::N,қанат,ala
160,Klaue::N,тырнақ,urpa
161,Kralle::N,аяқ,grapa
162,Schwanz::N,құйрық,cua
163,Ei::N,жұмыртқа,ou
164,Nest::N,ұя,niu
165,Bau::N,жатақ,cau
166,Tier::N,айуан,animāl
167,Tier::N,жануар,animāl
168,Herde::N,пада,ramat
169,Kuh::N,сиыр,vaca
170,Bulle::N,өгіз,toro
171,Pferd::N,жылқы,cavāll
172,Schaf::N,қой,be
173,Schaf::N,қой,ovella
174,Schwein::N,шошқа,bacó
175,Hund::N,ит,ca
176,Hund::N,ит,gos
177,Katze::N,мысық,gat
178,Bär::N,аю,ós
179,Eichhörnchen::N,тиін,esquirol
180,Elch::N,бұғы,ant
181,Fuchs::N,түлкі,guilla
182,Hase::N,қоян,llebre
183,Maus::N,қаптесер,ratolí
184,Wolf::N,бөрі,llop
185,Wolf::N,қасқыр,llop
186,Vogel::N,құс,au
187,Vogel::N,құс,ocēll
188,Schwarm::N,топ,bandada
189,Schwarm::N,үйір,bandada
190,Huhn::N,тауық,gallina
191,Huhn::N,мекиен,gallina
192,Hahn::N,әтеш,gall
193,Hahn::N,қораз,gall
194,Gans::N,қаз,oca
195,Adler::N,бүркіт,àguila
196,Ente::N,үйрек,ànec
197,Eule::N,жапалақ,òliba
198,Eule::N,жапалақ,mussol
199,Kranich::N,тырна,grua
200,Krähe::N,қарға,cornella
201,Kuckuck::N,көкек,cucut
202,Schwan::N,аққу,cigne
203,Fisch::N,балық,peix
204,Barsch::N,алабұға,perca
205,Hecht::N,шортан,lluç
206,Schlange[Tier]::N,жылан,serp
207,Wurm::N,шұбалшаң,cuc
208,Spinne::N,өрмекші,aranya
209,Ameise::N,қүмырска,formiga
210,Laus::N,бит,poll
211,Mücke::N,маса,mosquit
212,Fliege::N,шыбын,mosca
213,Schmetterling::N,көбелек,papallona
214,Beere::N,жидек,baia
215,Apfel::N,алма,poma
216,Pilz::N,қозықұйрық,bolet
217,Pilz::N,саңыраукулақ,bolet
218,Zwiebel::N,жуа,ceba
219,Saat::N,тұқым,sembra
220,Korn::N,дән,gra
221,Heu::N,шөп,fenc
222,Schale::N,қабық,closca
223,Schale::N,қабығы,closca
224,Grube::N,ор,sot
225,Grube::N,ор,clot
226,Falle::N,дұзақ,trampa
227,Falle::N,қақпан,trampa
228,Schlinge::N,ілмек,baga
229,Spur::N,із,traça
230,Asche::N,күл,cendra
231,Dreck::N,былғаныш,llot
232,Eisen::N,темір,ferro
233,Gold::N,алтын,or
234,Silber::N,күміс,plata
235,Kohle::N,көмір,carbó
236,Glas::N,шыны,vidre
237,Lehm::N,балшық,fang
238,Lehm::N,балшық,argila
239,Sand::N,құм,arena
240,Mensch::N,адам,humà
241,Mensch::N,адам,persona
242,Mann::N,еркек,home
243,Mann::N,ер адам,home
244,Frau::N,бике,dona
245,Frau::N,қатын,dona
246,Kind::N,бала,nen
247,Kind::N,перзент,nen
248,Junge::N,бала,noi
249,Junge::N,ер бала,noi
250,Mädchen::N,қыз,noia
251,Familie::N,жанұя,família
252,Großvater::N,ата,avi
253,Großmutter::N,әже,àvia
254,Großmutter::N,әжей,àvia
255,Eltern::N,ата-аналар,pares
256,Vater::N,әке,pare
257,Mutter::N,ана,mare
258,Sohn::N,ұл,fill
259,Tochter::N,қызым,filla
260,Bruder::N,бауырым,germà
261,Schwester::N,әпке,germana
262,Onkel::N,көке,oncle
263,Tante::N,тәте,tia
264,Ehemann::N,ер,espòs
265,Ehefrau::N,зайып,muller
266,Freude::N,қуаныш,goig
267,Freude::N,қуаныш,alegria
268,Freude::N,сүйініш,goig
269,Freude::N,сүйініш,alegria
270,Freude::N,шат-думан,goig
271,Freude::N,шат-думан,alegria
272,Freude::N,қуаныштылық,goig
273,Freude::N,қуаныштылық,alegria
274,Gelächter::N,күлу,riallada
275,Glück::N,бақыт,felicitat
276,Glück::N,бақыттылық,felicitat
277,Kummer::N,аза,pena
278,Kummer::N,қайғы,pena
279,Kummer::N,қасырет,pena
280,Wunsch::N,мүдде,desig
281,Lust::N,тәбет,ganes
282,Lust::N,ынтызар,ganes
283,Lust::N,құштарлық,ganes
284,Geist::N,рух,ment
285,Geist::N,рух,esperit
286,Gedanke::N,ой,pensament
287,Gedächtnis::N,ес,memòria
288,Gedächtnis::N,жады,memòria
289,Gedächtnis::N,ақыл-ес,memòria
290,Verstand::N,ақыл,raó
291,Verstand::N,ақыл,seny
292,Verstand::N,парасат,raó
293,Verstand::N,парасат,seny
294,Sinn::N,мән,solta
295,Sinn::N,мән,sentit
296,Sinn::N,маныз,solta
297,Sinn::N,маныз,sentit
298,Sinn::N,мағына,solta
299,Sinn::N,мағына,sentit
300,Sinn::N,мән-мағына,solta
301,Sinn::N,мән-мағына,sentit
302,Grund::N,себеп,raó
303,Grund::N,себеп,causa
304,Wahrheit::N,рас,veritāt
305,Gespräch::N,әңгіме,conversa
306,Märchen::N,ертеп,conte
307,Märchen::N,ертек,conte
308,Erzählung::N,әңгіме,narració
309,Nachricht::N,хабар,missatge
310,Neuigkeit::N,жаңалық,novetat
311,Name::N,ат,nom
312,Name::N,атау,nom
313,Rätsel::N,жұмбақ,endevinalla
314,Rede::N,сөз,discurs
315,Sprache::N,тіл,llēngua
316,Stimme::N,үн,veu
317,Stimme::N,әуен,veu
318,Stimme::N,дауыс,veu
319,Wort::N,сөз,mot
320,Wort::N,сөз,paraula
321,Zeichen::N,ишара,signe
322,Zeichen::N,ишара,senyal
323,Ruf::N,айғай,crida
324,Lärm::N,айғай-шу,sorōll
325,Lärm::N,айғай-ұйғай,sorōll
326,Laut::N,дыбыс,so
327,Laut::N,дауыс,so
328,Ton::N,әуен,to
329,Lied::N,ән,cançó
330,Lied::N,жыр,cançó
331,Lied::N,ән-жыр,cançó
332,Ruhe::N,тыныштық,calma
333,Ruhe::N,тыныштық,silenci
334,Leute::N,кісілер,gent
335,Volk::N,халық,poble
336,Arbeit::N,еңбек,labor
337,Arbeit::N,еңбек,treball
338,Gast::N,қонақ,hoste
339,Gast::N,мейман,hoste
340,Geschenk::N,қадия,regal
341,Geschenk::N,қадия,obsequi
