,Concept_ID,kn,it
0,Auge::N,ಕಣ್ಣು,occhio
1,Ohr::N,ಕಿವಿ,orecchio
2,Nase::N,ಮೂಗು,naso
3,Mund::N,ಬಾಯಿ,bocca
4,Zahn::N,ಹಲ್ಲು,dente
5,Zunge::N,ನಾಲಿಗೆ,lingua
6,Lippe::N,ತುಟಿ,labbro
7,Wange::N,ಗಲ್ಲ,guancia
8,Gesicht::N,ಮುಖ,viso
9,Gesicht::N,ಮುಖ,faccia
10,Stirn::N,ಹಣೆ,fronte
11,Haar::N,ಕೂದಲು,capello
12,Schnurrbart::N,ಮೀಸೆ,baffi
13,Schnurrbart::N,ಮೀಸೆ,mustacchi
14,Bart::N,ಗಡ್ಡ,barba
15,Kinn::N,ಗದ್ದ,mento
16,Kiefer[Anatomie]::N,ದವಡೆ,mascella
17,Kehle::N,ಗಂಟಲು,gola
18,Hals::N,ಕೊರಳು,collo
19,Genick::N,ಹಿಂಗತ್ತು,nuca
20,Kopf::N,ತಲೆ,capo
21,Kopf::N,ತಲೆ,testa
22,Rücken::N,ಬೆನ್ನು,dorso
23,Rücken::N,ಬೆನ್ನು,schiena
24,Bauch::N,ಹೊಟ್ಟೆ,ventre
25,Nabel::N,ಹೊಕ್ಕುಳು,ombelico
26,Busen::N,ಸ್ತನ,seno
27,Brust::N,ಎದೆ,petto
28,Schulter::N,ಭುಜ,spalla
29,Arm::N,ತೋಳು,braccio
30,Ellenbogen::N,ಮೊಣಕೈ,gomito
31,Hand::N,ಕೈ,mano
32,Handfläche::N,ಅಂಗೈ,palma
33,Finger::N,ಕೈಬೆರಳು,dito
34,Fingernagel::N,ಉಗುರು,unghia
35,Nagel[Anatomie]::N,ಉಗುರು,unghia
36,Zeh::N,ಕಾಲ್ಬೆರಳು,dito del piede
37,Fuß::N,ಪಾದ,piede
38,Ferse::N,ಹಿಮ್ಮಡಿ,tallone
39,Ferse::N,ಹಿಮ್ಮಡಿ,calcagno
40,Knie::N,ಮಂಡಿ,ginocchio
41,Oberschenkel::N,ತೊಡೆ,fèmore
42,Bein::N,ಕಾಲು,gamba
43,Körper::N,ದೇಹ,corpo
44,Haut::N,ಚರ್ಮ,pelle
45,Blut::N,ರಕ್ತ,sangue
46,Ader::N,ನರ,vena
47,Sehne::N,ನರ,tèndine
48,Knochen::N,ಮೂಳೆ,osso
49,Gehirn::N,ಮಿದುಳು,cervello
50,Herz::N,ಹೃದಯ,cuore
51,Magen::N,ಉದರ,stòmaco
52,Leber::N,ಯಕೃತ್ತು,fegato
53,Atem::N,ಉಸಿರು,fiato
54,Atem::N,ಉಸಿರು,respiro
55,Hunger::N,ಹಸಿವು,fame
56,Träne::N,ಕಣ್ಣೀರು,làcrima
57,Geschmack::N,ರುಚಿ,gusto
58,Geschmack::N,ರುಚಿ,sapore
59,Geruch::N,ವಾಸನೆ,odore
60,Schlaf::N,ನಿದ್ರೆ,sonno
61,Traum::N,ಕನಸು,sogno
62,Himmel::N,ಬಾನು,cielo
63,Sonne::N,ಸೂರ್ಯ,sole
64,Mond::N,ಚಂದ್ರ,luna
65,Stern::N,ಚುಕ್ಕಿ,stella
66,Luft::N,ವಾಯು,aria
67,Wind::N,ಗಾಳಿ,vento
68,Welle::N,ಅಲೆ,onda
69,Wasser::N,ನೀರು,acqua
70,Stein::N,ಕಲ್ಲು,sasso
71,Stein::N,ಕಲ್ಲು,pietra
72,Boden::N,ನೆಲ,suolo
73,Boden::N,ನೆಲ,terreno
74,Erde::N,ಭೂಮಿ,terra
75,Staub::N,ದೂಳು,polvere
76,Rauch::N,ಹೊಗೆ,fumo
77,Funke::N,ಕಿಡಿ,scintilla
78,Feuer::N,ಬೆಂಕಿ,fuoco
79,Licht::N,ಬೆಳಕು,luce
80,Schatten::N,ನೆರಳು,ombra
81,Wetter::N,ಹವ,tempo
82,Nebel::N,ಮಂಜು,nebbia
83,Wolke::N,ಮೋಡ,nube
84,Wolke::N,ಮೋಡ,nùvola
85,Regen::N,ಮಳೆ,pioggia
86,Schnee::N,ಹಿಮ,neve
87,Eis::N,ಮಂಜುಗಡ್ಡೆ,ghiaccio
88,Frost::N,ಮಂಜು,gelo
89,Kälte::N,ಹಿಮ,freddo
90,Hitze::N,ಉಷ್ಣ,caldo
91,Hitze::N,ಉಷ್ಣ,calura
92,Raureif::N,ಇಬ್ಬನಿ,brina
93,Regenbogen::N,ಇಂದ್ರಚಾಪ,arcobaleno
94,Donner::N,ಗುಡುಗು,tuono
95,Strömung::N,ಪ್ರವಾಹ,corrente
96,Tropfen::N,ತೊಟ್ಟು,goccia
97,Schaum::N,ನೊರೆ,spuma
98,Schaum::N,ನೊರೆ,schiuma
99,Schmutz::N,ಕಸ,sudiciume
100,See::N,ಸರೋವರ,lago
101,Sumpf::N,ಜೌಗುಸ್ಥಳ,palude
102,Moor::N,ಬಂಜರು ಭೂಮಿ,torbiera
103,Wiese::N,ಹುಲ್ಲುಗಾವಲು,prato
104,Wald::N,ಕಾಡು,bosco
105,Wald::N,ಕಾಡು,foresta
106,Hügel::N,ಗುಡ್ಡೆ,colle
107,Hügel::N,ಗುಡ್ಡೆ,collina
108,Anhöhe::N,ದಿಬ್ಬ,altura
109,Berg::N,ಮಲೆ,monte
110,Berg::N,ಮಲೆ,montagna
111,Berg::N,ಪರ್ವತ,monte
112,Berg::N,ಪರ್ವತ,montagna
113,Gipfel::N,ಶೃಂಗ,cima
114,Höhle::N,ಗುಹೆ,grotta
115,Höhle::N,ಗುಹೆ,caverna
116,Abhang::N,ಇಳಿಜಾರು,pendìo
117,Quelle::N,ಮೂಲ,sorgente
118,Bach::N,ತೊರೆ,ruscello
119,Fluss::N,ನದಿ,fiume
120,Ufer::N,ತೀರ,riva
121,Küste::N,ದಂಡೆ,costa
122,Festland::N,ಭೂಮಿ,terraferma
123,Meer::N,ಕಡಲು,mare
124,Bucht::N,ಖಾರಿ,cala
125,Insel::N,ದ್ವೀಪ,ìsola
126,Blume::N,ಸುಮ,fiore
127,Gras::N,ಹುಲ್ಲು,erba
128,Wurzel::N,ಬೇರು,radice
129,Baum::N,ಮರ,àlbero
130,Stamm::N,ಕಾಂಡ,tronco
131,Rinde::N,ತೂಗಟಿ,corteccia
132,Ast::N,ಶಾಖೆ,ramo
133,Zweig::N,ರೆಂಬೆ,ramo
134,Blatt::N,ಎಲೆ,foglia
135,Birke::N,ಬರ್ಚ್ ಮರ,betulla
136,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,pino
137,Weide[Baum]::N,ವಿಲೋಮರ,sàlice
138,Tanne::N,ಭದ್ರದಾರು,abete
139,Horn::N,ಕೊಂಬು,corno
140,Feder::N,ಪುಕ್ಕ,penna
141,Fell::N,ರೋಮ,manto
142,Fell::N,ರೋಮ,pelame
143,Flügel::N,ರೆಕ್ಕೆ,ala
144,Klaue::N,ಪಂಜ,grinfia
145,Kralle::N,ಉಗುರು,unghia
146,Kralle::N,ಉಗುರು,artiglio
147,Schwanz::N,ಬಾಲ,coda
148,Ei::N,ಮೊಟ್ಟೆ,uovo
149,Nest::N,ಗೂಡು,nido
150,Bau::N,ಅಡಗುದಾಣ,covo
151,Tier::N,ಪ್ರಾಣಿ,bestia
152,Tier::N,ಪ್ರಾಣಿ,animale
153,Herde::N,ಗುಂಪು,gregge
154,Kuh::N,ಹಸು,vacca
155,Bulle::N,ಗೂಳಿ,toro
156,Pferd::N,ಕುದುರೆ,cavallo
157,Schaf::N,ಕುರಿ,pècora
158,Schwein::N,ಹಂದಿ,porco
159,Schwein::N,ಹಂದಿ,maiale
160,Hund::N,ನಾಯಿ,cane
161,Katze::N,ಬೆಕ್ಕು,gatta
162,Bär::N,ಕರಡಿ,orso
163,Eichhörnchen::N,ಉಡುತೆ,scoiàttolo
164,Elch::N,ಕಡವೆ,alce
165,Fuchs::N,ನರಿ,volpe
166,Hase::N,ಮೊಲ,lepre
167,Maus::N,ಇಲಿ,topo
168,Maus::N,ಇಲಿ,sorcio
169,Wolf::N,ತೋಳ,lupo
170,Vogel::N,ಪಕ್ಷಿ,uccello
171,Schwarm::N,ಗುಂಪು,stormo
172,Huhn::N,ಚಿಕ್,gallina
173,Hahn::N,ಹುಂಜ,gallo
174,Gans::N,ವರಟೆ,oca
175,Adler::N,ಗರುಡ,àquila
176,Ente::N,ಬಾತು,ànatra
177,Eule::N,ಗೂಬೆ,gufo
178,Eule::N,ಗೂಬೆ,civetta
179,Kranich::N,ಕೊಕ್ಕರ,gru
180,Krähe::N,ಕಾಗೆ,cornacchia
181,Kuckuck::N,ಕೋಗಿಲೆ,cuccù
182,Kuckuck::N,ಕೋಗಿಲೆ,cùculo
183,Schwan::N,ಹಂಸಪಕ್ಷಿ,cigno
184,Fisch::N,ಮೀನು,pesce
185,Barsch::N,ಪರ್ಚ್ ಮೀನು,pèrsico
186,Hecht::N,ಪೈಕ್ ಮೀನು,luccio
187,Schlange[Tier]::N,ಹಾವು,serpente
188,Wurm::N,ಹುಳು,baco
189,Wurm::N,ಹುಳು,verme
190,Spinne::N,ಊರ್ಣನಾಭ,ragno
191,Ameise::N,ಇರುವೆ,formica
192,Laus::N,ಹೇನು,pidocchio
193,Mücke::N,ಸೊಳ್ಳೆ,zanzara
194,Fliege::N,ನೊಣ,mosca
195,Schmetterling::N,ಪತಂಗ,farfalla
196,Beere::N,ನಯವಣ್ಣು,bacca
197,Apfel::N,ಸೇಬು,mela
198,Pilz::N,ಅಣಬೆ,fungo
199,Zwiebel::N,ನೀರುಳ್ಳಿ,cipolla
200,Saat::N,ಬಿತ್ತ,semente
201,Korn::N,ಬೀಜ,grano
202,Heu::N,ಕರಡ,fieno
203,Schale::N,ಹೊಟ್ಟು,buccia
204,Grube::N,ಗುಂಡಿ,cava
205,Grube::N,ಗುಂಡಿ,fossa
206,Falle::N,ಬೋನು,tràppola
207,Schlinge::N,ಉರುಲು,laccio
208,Spur::N,ಜಾಡು,traccia
209,Asche::N,ಬೂದಿ,cenere
210,Dreck::N,ಹೊಲಸು,fango
211,Eisen::N,ಕಬ್ಬಿಣ,ferro
212,Gold::N,ಚಿನ್ನ,oro
213,Silber::N,ಬೆಳ್ಳಿ,argento
214,Kohle::N,ಕಲ್ಲಿದ್ದಲು,carbone
215,Glas::N,ಗಾಜು,vetro
216,Lehm::N,ಜೇಡಿಮಣ್ಣು,argilla
217,Sand::N,ಮರಳು,arena
218,Sand::N,ಮರಳು,sabbia
219,Mensch::N,ಪುರುಷ,uomo
220,Mensch::N,ಪುರುಷ,èssere umano
221,Mann::N,ಆಳು,uomo
222,Frau::N,ಹೆಣ್ಣು,donna
