,Concept_ID,la,hy
0,Auge::N,oculus,աչք
1,Ohr::N,auris,ականջ
2,Nase::N,nasus,քիթ
3,Mund::N,os,բերան
4,Zahn::N,dens,ատամ
5,Zunge::N,lingua,լեզու
6,Lippe::N,labrum,շրթունք
7,Wange::N,gena,այտ
8,Wange::N,gena,թուշ
9,Gesicht::N,vultus,դեմք
10,Stirn::N,frons,ճակատ
11,Haar::N,capillus,մազ
12,Schnurrbart::N,barba labri superioris,բեղ
13,Bart::N,barba,մորուք
14,Kinn::N,mentum,կզակ
15,Kiefer[Anatomie]::N,mala,ծնոտ
16,Kehle::N,iugulums,կոկորդ
17,Hals::N,collum,վիզ
18,Hals::N,collum,պարանոց
19,Genick::N,cervices,ծոծրակ
20,Kopf::N,caput,գլուխ
21,Rücken::N,tergum,մեջք
22,Bauch::N,venter,փոր
23,Bauch::N,venter,որովայն
24,Nabel::N,umbilicus,պորտ
25,Busen::N,sinus,ծոց
26,Brust::N,pectus,կուրծք
27,Schulter::N,umerus,ուս
28,Arm::N,bracchium,թեւ
29,Arm::N,bracchium,բազուկ
30,Ellenbogen::N,cubitum,արմունկ
31,Hand::N,manus,ձեռք
32,Handfläche::N,palma,ափ
33,Finger::N,digitus,մատ
34,Fingernagel::N,unguiculus,եղունգ
35,Nagel[Anatomie]::N,unguis,եղունգ
36,Zeh::N,digitus,ոտքի մատ
37,Fuß::N,pes,ոտք
38,Ferse::N,calx,գարշապար
39,Knie::N,genu,ծունկ
40,Oberschenkel::N,femur,ազդր
41,Bein::N,crus,ոտք
42,Körper::N,corpus,մարմին
43,Haut::N,cutis,մաշկ
44,Haut::N,pellis,մաշկ
45,Blut::N,sanguis,արյուն
46,Ader::N,vena,երակ
47,Sehne::N,nervus,ջիղ
48,Sehne::N,nervus,ձգտան
49,Knochen::N,os,ոսկոր
50,Gehirn::N,cerebrum,խելք
51,Herz::N,cor,սիրտ
52,Herz::N,animus,սիրտ
53,Magen::N,stomachus,ստամոքս
54,Leber::N,iecur,լյարդ
55,Atem::N,spiritus,շունչ
56,Hunger::N,fames,քաղց
57,Träne::N,lacrima,արտասուք
58,Geschmack::N,sapor,համ
59,Geschmack::N,sapor,բուրմունք
60,Geschmack::N,gustus,համ
