,Concept_ID,uz,os
0,Auge::N,ko'z,цӕст
1,Ohr::N,quloq,хъус
2,Nase::N,burun,фындз
3,Mund::N,og'iz,дзых
4,Zahn::N,tish,дӕндаг
5,Zunge::N,til,ӕвзаг
6,Lippe::N,dudoq,был
7,Wange::N,bet,рус
8,Wange::N,bet,уадул
9,Wange::N,bet,ӕхсӕрфарс
10,Gesicht::N,yuz,цӕсгом
11,Stirn::N,manglay,ных
12,Haar::N,soch,хил
13,Schnurrbart::N,mo'ylov,рихи
14,Bart::N,soqol,зачъе
15,Kinn::N,ängak,роцъо
16,Kiefer[Anatomie]::N,iyak,ӕфсӕр
17,Kehle::N,bo'g'iz,хъуыр
18,Hals::N,bo'yin,къубал
19,Genick::N,gardan,къӕбут
20,Kopf::N,bosh,сӕр
21,Rücken::N,orqa,фӕсонтӕ
22,Bauch::N,qorin,гуыбын
23,Nabel::N,kindik,бикъ
24,Busen::N,ämchak,дзидзи
25,Brust::N,ko'krak,риу
26,Schulter::N,elka,уӕхск
27,Arm::N,bilak,цонг
28,Ellenbogen::N,tirsak,рæмбын
29,Hand::N,qo'l,къух
30,Handfläche::N,kaft,армытъӕпӕн
31,Finger::N,barmoq,ӕнруылдз
32,Fingernagel::N,tirnoq,ных
33,Nagel[Anatomie]::N,tirnoq,ных
34,Zeh::N,oyoq barmog'i,къух
35,Fuß::N,oyoq,фад
36,Ferse::N,tovon,зӕвӕт
37,Knie::N,tiz,уӕраг
38,Oberschenkel::N,son,агъд
39,Bein::N,oyoq,зӕнг
40,Körper::N,badna,буар
41,Haut::N,teri,царм
42,Blut::N,qon,туг
43,Ader::N,qon tomir,дадзин
44,Ader::N,qon tomir,тугдадзин
45,Sehne::N,tomir,хъиутæ
46,Sehne::N,tomir,нуар
47,Knochen::N,suyak,стӕг
48,Gehirn::N,miya,магъз
49,Herz::N,qalb,зӕрдӕ
50,Magen::N,oshqozon,ахсӕн
51,Leber::N,bag'ir,игæр
52,Atem::N,dam,улӕфт
53,Hunger::N,ochlik,стонг
54,Träne::N,yosh,цæссыг
55,Geschmack::N,tam,ад
56,Geruch::N,jid,смаг
57,Schlaf::N,uyqu,хуыссӕг
58,Traum::N,tush,фын
59,Himmel::N,osmon,арв
60,Himmel::N,osmon,уӕларв
61,Sonne::N,quyosh,хур
62,Mond::N,oy,мӕй
63,Stern::N,yulduz,стъалы
64,Luft::N,havo,уӕлдӕф
65,Wind::N,el,дымгӕ
66,Welle::N,to'lqin,уылӕн
67,Wasser::N,suv,дон
68,Stein::N,tosh,дур
69,Boden::N,tuproq,зӕхх
70,Erde::N,er,сыджыт
71,Staub::N,chang,рыг
72,Rauch::N,tutun,фӕздӕг
73,Funke::N,yalt,цӕхӕр
74,Feuer::N,o't,зынг
75,Licht::N,yorug',рухс
76,Schatten::N,soya,аууон
77,Wetter::N,havo,боныхъӕд
78,Nebel::N,tuman,мигъ
79,Wolke::N,bulut,ӕврагъ
80,Regen::N,yomg'ir,уарын
81,Schnee::N,qor,мит
82,Eis::N,muz,их
83,Frost::N,ajoz,ихæн
84,Kälte::N,ajoz,уазал
85,Hitze::N,issiq,ӕнтӕф
86,Raureif::N,qirov,халас
87,Regenbogen::N,kamalak,арвырон
88,Regenbogen::N,kamalak,арвырдын
89,Donner::N,guldur,æрвнæрын
90,Strömung::N,oqim,цыд
91,Tropfen::N,tomchi,æртах
92,Schaum::N,ko'pik,фынк
93,Schmutz::N,gard,цъыф
94,See::N,ko'l,цад
95,Sumpf::N,botqoq,цъыфдзаст
96,Moor::N,qir-adir,цъыфдзаст
97,Wiese::N,o'tzor,уыгӕрдӕн
98,Wald::N,o'rmon,хъӕд
99,Hügel::N,tepa,обау
100,Hügel::N,tepa,къуыбыр
101,Anhöhe::N,adir,уæлвæз
102,Anhöhe::N,adir,уæлхох
103,Berg::N,tog',хох
104,Gipfel::N,cho'qqi,цъупп
105,Höhle::N,kavak,лӕгӕт
106,Abhang::N,to'sh,къул
107,Quelle::N,buloq,суадон
108,Bach::N,o'zan,мӕсчъыдон
109,Fluss::N,daryo,дон
110,Fluss::N,daryo,цӕугӕдон
111,Ufer::N,sohil,был
112,Küste::N,qirg'oq,донбыл
113,Festland::N,materik,сурзæхх
114,Meer::N,dengiz,денджыз
115,Bucht::N,qo'ltiq,донбакæлæн
116,Insel::N,orol,сакъадах
117,Blume::N,gul,дидинӕг
118,Gras::N,sabza,кӕрдӕг
119,Wurzel::N,tub,уидаг
120,Wurzel::N,tomir,уидаг
121,Baum::N,daraxt,бӕлас
122,Stamm::N,o'simta,хӕтӕл
123,Rinde::N,qobiq,цъар
124,Ast::N,shox,арх
125,Zweig::N,butoq,къалиу
126,Blatt::N,barg,сыф
127,Birke::N,qayin,бæрз
128,Kiefer[Baum]::N,qarag'ay,нӕзы
129,Weide[Baum]::N,shum,хӕрис
130,Tanne::N,archa,наз
131,Horn::N,mugiz,сыкъа
132,Feder::N,par,сис
133,Fell::N,mo'yna,царм
134,Flügel::N,qanot,базыр
135,Klaue::N,tirnoq,ных
136,Kralle::N,tirnoq,дзӕмбы
137,Schwanz::N,quyruq,къӕдзил
138,Ei::N,tuxum,айк
139,Nest::N,oshyon,ахстон
140,Bau::N,o'pqon,хуынкъ
141,Tier::N,hayvon,сырд
142,Tier::N,hayvon,цӕрӕгой
143,Herde::N,gala,дзуг
144,Herde::N,gala,рӕгъау
145,Kuh::N,inak,хъуг
146,Bulle::N,ho'kiz,гал
147,Pferd::N,ot,бӕх
148,Schaf::N,qo'y,фыс
149,Schwein::N,cho'chqa,хуы
150,Hund::N,it,куыдз
151,Katze::N,mushuk,гӕды
152,Bär::N,ayiq,арс
153,Eichhörnchen::N,tiyin,æхсæрæг
154,Elch::N,los,цæгатаг саг
155,Fuchs::N,tulki,рувас
156,Hase::N,kuyon,тæрхъус
157,Maus::N,sichqon,мыст
158,Wolf::N,bo'ri,бирӕгъ
159,Vogel::N,qush,цъиу
160,Vogel::N,qush,маргъ
161,Schwarm::N,to'da,бал
162,Huhn::N,tovuq,карк
163,Hahn::N,xo'roz,уасӕг
164,Gans::N,g'oz,хъаз
165,Adler::N,burgut,цӕргӕс
166,Ente::N,o'rdak,ацц
167,Eule::N,boyo'g'li, уыг
168,Eule::N,boyo'g'li,сидахъ
169,Kranich::N,turna,зырнæг
170,Kranich::N,turna,хърихъупп
171,Krähe::N,qarg'a,халон
172,Kuckuck::N,kakku,гаккук
173,Schwan::N,oqkush,доныхъаз
174,Fisch::N,baliq,кӕсаг
175,Barsch::N,olabug'a,окунь
176,Hecht::N,cho'rtan,хихор кӕсаг
177,Schlange[Tier]::N,ilon,калм
178,Wurm::N,qurt,зулкъ
179,Wurm::N,qurt,къуыдыргалм
180,Spinne::N,o'rgimchak,хӕлуарӕг
181,Ameise::N,chumoli,мæлдзыг
182,Laus::N,bit,сыст
183,Mücke::N,chivin,къогъо
184,Fliege::N,pashsha,бындз
185,Schmetterling::N,kapalak,гæлæбу
186,Beere::N,meva,гагадыргъ
187,Apfel::N,olma,фӕткъуы
188,Pilz::N,qo'ziqorin,зокъо
189,Pilz::N,qo'ziqorin,къозо
190,Zwiebel::N,piyoz,хъӕдындз
191,Saat::N,äkin,тауинаг
192,Saat::N,äkin,мыггаг
193,Korn::N,zarra,мыггаг
194,Korn::N,zarra,тауинаг
195,Heu::N,xashak,хос
196,Schale::N,po'choq,цъар
197,Grube::N,co'ra,урм
198,Grube::N,co'ra,къахт
199,Grube::N,co'ra,дзыхъхъ
200,Falle::N,qopqon,цъысым
201,Falle::N,qopqon,къӕппӕг
202,Schlinge::N,sirtmoq,цасм
203,Spur::N,iz,фæд
204,Asche::N,kul,фӕнык
205,Asche::N,kul,ӕртхутӕг
206,Dreck::N,kir,цъыф
207,Eisen::N,temir,ӕфсӕйнаг
208,Gold::N,tilla,сыгъзӕрин
209,Silber::N,kumush,ӕвзист
210,Kohle::N,ko'mir,ӕвзалы
211,Glas::N,oyna,авг
212,Lehm::N,loy,ӕлыг
213,Sand::N,qum,змис
214,Mensch::N,odam,лӕг
