,Concept_ID,nl,ml
0,Auge::N,oog,കണ്ണ്
1,Ohr::N,oor,ചെവി
2,Nase::N,neus,മൂക്ക്
3,Mund::N,mond,വായ
4,Zahn::N,tand,പല്ല്
5,Zunge::N,tong,നാക്ക്
6,Lippe::N,lip,ചുണ്ട്
7,Wange::N,wang,കവിൾത്തടം
8,Gesicht::N,gelaat,മുഖം
9,Gesicht::N,gezicht,മുഖം
10,Stirn::N,voorhoofd,നെറ്റി
11,Haar::N,haar,തലമുടി
12,Schnurrbart::N,snor,മീശ
13,Bart::N,baard,താടിരോമം
14,Kinn::N,kin,താടി
15,Kiefer[Anatomie]::N,kaak,താടിയെല്ല്
16,Kehle::N,keel,കണ്ഠനാളം
17,Kehle::N,strot,കണ്ഠനാളം
18,Hals::N,hals,കഴുത്ത്
19,Genick::N,nek,പിടലി
20,Kopf::N,hoofd,തല
21,Rücken::N,rug,മുതുക്
22,Bauch::N,buik,നയറ്
23,Nabel::N,navel,നാഭി
24,Busen::N,boezem,സ്തനം
25,Brust::N,borst,സ്തനം
26,Schulter::N,schouder,തോൾ
27,Arm::N,arm,കൈ
28,Ellenbogen::N,elleboog,കൈമുട്ട്
29,Hand::N,hand,കൈ
30,Handfläche::N,handpalm,ഉള്ളം കൈ
31,Finger::N,vinger,വിരൽ
32,Fingernagel::N,nagel,നഖം
33,Nagel[Anatomie]::N,nagel,നഖം
34,Zeh::N,teen,കാൽവിരൽ
35,Fuß::N,voet,കാൽപ്പാദം
36,Ferse::N,hak,ഉപ്പൂറ്റി
37,Ferse::N,hiel,ഉപ്പൂറ്റി
38,Knie::N,knie,കാൽമുട്ട്
39,Oberschenkel::N,dij,തുട
40,Bein::N,been,കാൽ
41,Körper::N,lichaam,ശരീരം
42,Haut::N,huid,ചർമ്മം
43,Blut::N,bloed,രക്തം
44,Ader::N,ader,ഞരമ്പ്
45,Sehne::N,pees,സ്നായു
46,Knochen::N,bot,അസ്ഥി
47,Knochen::N,been,അസ്ഥി
48,Knochen::N,knook,അസ്ഥി
49,Gehirn::N,hersenen,തലച്ചോറ്
50,Herz::N,hart,ഹൃദയം
51,Magen::N,maag,വയർ
52,Leber::N,lever,കരൾ
53,Atem::N,adem,ശ്വാസം
54,Hunger::N,honger,വിശപ്പ്
55,Träne::N,traan,കണ്ണീർ
56,Geschmack::N,smaak,രുചി
57,Geruch::N,geur,ഗന്ധം
58,Schlaf::N,slaap,ഉറകും
59,Traum::N,droom,സ്വപ്നം
60,Himmel::N,hemel,ആകാശം
61,Sonne::N,zon,സൂര്യൻ
62,Mond::N,maan,ചന്ദ്രൻ
63,Stern::N,ster,നക്ഷത്രം
64,Luft::N,lucht,കാറ്റ്
65,Wind::N,wind,കാറ്റ്
66,Welle::N,golf,തിരമാല
67,Wasser::N,water,വെള്ളം
68,Stein::N,steen,ശില
69,Stein::N,steen,കല്ല്
70,Boden::N,grond,തറ
71,Boden::N,grond,നിലം
72,Erde::N,aarde,മണ്ണ്
73,Staub::N,stof,പൊടി
74,Rauch::N,rook,പുക
75,Funke::N,vonk,തീപ്പൊരി
76,Feuer::N,vuur,തീ
77,Licht::N,licht,വിളക്ക്
78,Licht::N,licht,സൂര്യപ്രകാശം
79,Schatten::N,schaduw,തണൽ
80,Wetter::N,weer,കാലാവസ്ഥ
81,Nebel::N,mist,മൂടൽമഞ്ഞ്
82,Nebel::N,nevel,മൂടൽമഞ്ഞ്
83,Wolke::N,wolk,മേഘം
84,Regen::N,regen,മഴ
85,Schnee::N,sneeuw,മഞ്ഞ്
86,Eis::N,ijs,ഐസ്
87,Frost::N,vorst,മൂടൽമഞ്ഞ്
88,Kälte::N,kou,തണുപ്പ്
89,Kälte::N,koude,തണുപ്പ്
90,Hitze::N,hitte,ചൂട്
91,Raureif::N,rijp,കോടമഞ്ഞ്
92,Regenbogen::N,regenboog,മഴവില്ല്
93,Donner::N,donder,ഇടി
94,Strömung::N,stroming,പ്രവാഹം
95,Tropfen::N,druppel,തുള്ളി
96,Schaum::N,schuim,നുര
97,Schmutz::N,vuil,അഴുക്ക്
98,See::N,meer,തടാകം
99,Sumpf::N,moeras,ചതുപ്പുനിലം
100,Moor::N,veen,പാഴ്നിലം
101,Wiese::N,wei,പുൽത്തകിടി
102,Wiese::N,weide,പുൽത്തകിടി
103,Wald::N,bos,വനം
104,Wald::N,bos,കാട്
105,Hügel::N,heuvel,കുന്ന്
106,Anhöhe::N,hoogte,ഉയർന്ന ഭൂമി
107,Berg::N,berg,പർവ്വതം
108,Gipfel::N,top,ഉച്ചകോടി
109,Höhle::N,hol,ഗുഹ
110,Abhang::N,helling,ചരിവ്
111,Quelle::N,bron,ഉറവിടം
112,Bach::N,beek,അരുവി
113,Fluss::N,stroom,നദി
114,Ufer::N,wal,തീരം
115,Ufer::N,oever,തീരം
116,Küste::N,kust,കടൽത്തീരം
117,Festland::N,vasteland,കര
118,Meer::N,zee,കടൽ
119,Bucht::N,baai,ഉൾക്കടല്
120,Bucht::N,inham,ഉൾക്കടല്
121,Insel::N,eiland,ദ്വീപ്
122,Blume::N,bloem,പൂവ്
123,Gras::N,gras,പുല്ല്
124,Wurzel::N,wortel,വേര്
125,Baum::N,boom,മരം
126,Stamm::N,stam,തായ്ത്തടി
127,Rinde::N,schors,പട്ട
128,Ast::N,tak,ശാഖ
129,Zweig::N,twijg,ശാഖ
130,Blatt::N,blad,ഇല
