,Concept_ID,nl,kv
0,Auge::N,oog,син
1,Ohr::N,oor,пель
2,Nase::N,neus,ныр
3,Mund::N,mond,ӧм
4,Zahn::N,tand,пинь
5,Zunge::N,tong,кыв
6,Lippe::N,lip,тырп
7,Wange::N,wang,рожабан
8,Gesicht::N,gelaat,бан
9,Gesicht::N,gezicht,бан
10,Stirn::N,voorhoofd,кымӧс
11,Haar::N,haar,юрси
12,Schnurrbart::N,snor,уссэз
13,Bart::N,baard,тош
14,Kinn::N,kin,тшӧка
15,Kiefer[Anatomie]::N,kaak,ан
16,Kehle::N,keel,юан
17,Kehle::N,strot,юан
18,Hals::N,hals,юан
19,Genick::N,nek,юр бӧр
20,Kopf::N,hoofd,юр
21,Rücken::N,rug,мышк
22,Bauch::N,buik,кынӧм
23,Nabel::N,navel,гӧг
24,Busen::N,boezem,морос
25,Brust::N,borst,морос
26,Schulter::N,schouder,пельпон
27,Arm::N,arm,ки
28,Ellenbogen::N,elleboog,гырдзза
29,Hand::N,hand,кикар
30,Handfläche::N,handpalm,ки пыдӧс
31,Finger::N,vinger,чунь
32,Fingernagel::N,nagel,гыж
33,Nagel[Anatomie]::N,nagel,гыж
34,Zeh::N,teen,чунь
35,Fuß::N,voet,кокпыдӧс
36,Ferse::N,hak,кокдзир
37,Ferse::N,hiel,кокдзир
38,Knie::N,knie,пидзӧс
39,Oberschenkel::N,dij,лядьбей
40,Bein::N,been,кок
41,Körper::N,lichaam,вывтыр
42,Haut::N,huid,кучик
43,Blut::N,bloed,вир
44,Ader::N,ader,сӧн
45,Sehne::N,pees,жила
46,Knochen::N,bot,коска
47,Knochen::N,been,коска
48,Knochen::N,knook,коска
49,Gehirn::N,hersenen,вем
50,Herz::N,hart,сьӧлӧм
51,Magen::N,maag,жӧвдӧк
52,Leber::N,lever,мус
53,Atem::N,adem,лолалӧм
54,Hunger::N,honger,тшыг
55,Träne::N,traan,синва
56,Geschmack::N,smaak,кӧр
57,Geruch::N,geur,дук
58,Schlaf::N,slaap,он
59,Traum::N,droom,вӧт
60,Himmel::N,hemel,небо
61,Sonne::N,zon,шондi
62,Mond::N,maan,тӧлiсь
63,Stern::N,ster,кӧдзыв
64,Luft::N,lucht,ру
65,Wind::N,wind,тӧв
66,Welle::N,golf,гы
67,Wasser::N,water,ва
68,Stein::N,steen,из
69,Boden::N,grond,му
70,Erde::N,aarde,му
71,Staub::N,stof,бус
72,Rauch::N,rook,тшын
73,Funke::N,vonk,бичир
74,Feuer::N,vuur,би
75,Licht::N,licht,би
76,Schatten::N,schaduw,вуджӧр
77,Wetter::N,weer,погоддя
78,Nebel::N,mist,туман
79,Nebel::N,nevel,туман
80,Wolke::N,wolk,кымӧр
81,Regen::N,regen,зэр
82,Schnee::N,sneeuw,лым
83,Eis::N,ijs,йы
84,Frost::N,vorst,мороз
85,Kälte::N,kou,кӧдзыт
86,Kälte::N,koude,кӧдзыт
87,Hitze::N,hitte,ӧд
88,Raureif::N,rijp,кижа
89,Regenbogen::N,regenboog,енӧшка
90,Donner::N,donder,гым
91,Strömung::N,stroming,визывтӧм
92,Tropfen::N,druppel,тёп
93,Schaum::N,schuim,быг
94,Schmutz::N,vuil,нять
95,See::N,meer,ты
96,Sumpf::N,moeras,арай
97,Moor::N,veen,нюр
98,Wiese::N,wei,видз
99,Wiese::N,weide,видз
100,Wald::N,bos,вӧр
101,Hügel::N,heuvel,мыльк
102,Anhöhe::N,hoogte,вывтас
103,Anhöhe::N,hoogte,вылынін
104,Berg::N,berg,керӧс
105,Gipfel::N,top,йыв
106,Höhle::N,hol,нора
107,Abhang::N,helling,покат
108,Quelle::N,bron,больган
109,Bach::N,beek,шор
110,Fluss::N,stroom,ю
111,Ufer::N,wal,берег
112,Ufer::N,oever,берег
113,Küste::N,kust,берег
114,Festland::N,vasteland,му
115,Meer::N,zee,море
116,Bucht::N,baai,курья
117,Bucht::N,inham,курья
118,Insel::N,eiland,
119,Blume::N,bloem,цветок
120,Gras::N,gras,турун
121,Wurzel::N,wortel,вуж
122,Baum::N,boom,пу
123,Stamm::N,stam,мыр
124,Stamm::N,stam,кер
125,Rinde::N,schors,кач
126,Ast::N,tak,ув
127,Zweig::N,twijg,ув
128,Blatt::N,blad,лист
129,Birke::N,berk,кыдз
130,Kiefer[Baum]::N,den,пожум
