,Concept_ID,en,lv
0,Auge::N,eye,син
1,Auge::N,eye,acs
2,Ohr::N,ear,пель
3,Ohr::N,ear,auss
4,Nase::N,nose,ныр
5,Nase::N,nose,deguns
6,Mund::N,mouth,вом
7,Mund::N,mouth,mute
8,Zahn::N,tooth,пинь
9,Zahn::N,tooth,zobs
10,Zunge::N,tongue,кыв
11,Zunge::N,tongue,mēle
12,Lippe::N,lip,вом дор
13,Lippe::N,lip,lūpa
14,Wange::N,cheek,бан
15,Wange::N,cheek,vaigs
16,Gesicht::N,face,чужӧм
17,Gesicht::N,face,seja
18,Gesicht::N,face,ģīmis
19,Stirn::N,forehead,плеш
20,Stirn::N,forehead,кымӧс
21,Stirn::N,forehead,piere
22,Haar::N,hair,си
23,Haar::N,hair,юрси
24,Haar::N,hair,mats
25,Schnurrbart::N,moustache,ус
26,Schnurrbart::N,moustache,пыртсим
27,Schnurrbart::N,moustache,ūsas
28,Bart::N,beard,тош
29,Bart::N,beard,bārda
30,Kinn::N,chin,тшӧка
31,Kinn::N,chin,zods
32,Kinn::N,chin,smakrs
33,Kiefer[Anatomie]::N,jaw,черлы
34,Kiefer[Anatomie]::N,jaw,алака лы
35,Kiefer[Anatomie]::N,jaw,вомкӧтш лы
36,Kiefer[Anatomie]::N,jaw,žoklis
37,Kehle::N,throat,голя
38,Kehle::N,throat,rīkle
39,Hals::N,neck,сьылі
40,Hals::N,neck,kakls
41,Genick::N,nape,юрбӧр
42,Genick::N,nape,балябӧж
43,Genick::N,nape,sprands
44,Kopf::N,head,юр
45,Kopf::N,head,galva
46,Rücken::N,back,мыш
47,Rücken::N,back,mugura
48,Rücken::N,spine,мыш
49,Rücken::N,spine,mugura
50,Bauch::N,belly,рушку
51,Bauch::N,belly,vēders
52,Nabel::N,navel,гӧг
53,Nabel::N,navel,naba
54,Busen::N,bosom,морӧс
55,Busen::N,bosom,krūts
56,Brust::N,chest,морӧс
57,Brust::N,chest,krūts
58,Brust::N,breast,морӧс
59,Brust::N,breast,krūts
60,Schulter::N,shoulder,пельпом
61,Schulter::N,shoulder,plecs
62,Arm::N,arm,ки
63,Arm::N,arm,roka
64,Arm::N,arm,delms
65,Ellenbogen::N,elbow,гырддза
66,Ellenbogen::N,elbow,elkonis
67,Hand::N,hand,ки
68,Hand::N,hand,roka
69,Hand::N,hand,plauksta
70,Handfläche::N,palm,ки пыдӧс
71,Handfläche::N,palm,delna
72,Handfläche::N,palm,plauksta
73,Finger::N,finger,чунь
74,Finger::N,finger,pirksts
75,Fingernagel::N,fingernail,гыж
76,Fingernagel::N,fingernail,nags
77,Nagel[Anatomie]::N,nail,гыж
78,Nagel[Anatomie]::N,nail,nags
79,Zeh::N,toe,кок чунь
80,Zeh::N,toe,pirksts
81,Fuß::N,foot,кок
82,Fuß::N,foot,kāja
83,Ferse::N,heel,кокбӧр
84,Ferse::N,heel,papēdis
85,Knie::N,knee,пидзӧс
86,Knie::N,knee,celis
87,Oberschenkel::N,thigh,лядьвей
88,Oberschenkel::N,thigh,бек
89,Oberschenkel::N,thigh,ciska
90,Oberschenkel::N,thigh,augšstilbs
91,Bein::N,leg,кок
92,Bein::N,leg,kāja
93,Körper::N,body,туша
94,Körper::N,body,вывтыр
95,Körper::N,body,miesa
96,Körper::N,body,ķermenis
97,Haut::N,skin,ку
98,Haut::N,skin,āda
99,Blut::N,blood,вир
100,Blut::N,blood,asins
101,Ader::N,vein,сӧн
102,Ader::N,vein,asinsvads
103,Sehne::N,sinew,вез
104,Sehne::N,sinew,dzīsla
105,Knochen::N,bone,лы
106,Knochen::N,bone,kauls
107,Gehirn::N,brain,вем
108,Gehirn::N,brain,smadzenes
109,Herz::N,heart,сьӧлӧм
110,Herz::N,heart,sirds
111,Magen::N,stomach,кынӧм
112,Magen::N,stomach,kuņģis
113,Leber::N,liver,мус
114,Leber::N,liver,aknas
115,Atem::N,breath,лов
116,Atem::N,breath,elpa
117,Hunger::N,hunger,тшыг
118,Hunger::N,hunger,bads
119,Hunger::N,hunger,izsalkums
120,Träne::N,tear,синва
121,Träne::N,tear,asara
122,Geschmack::N,flavour,кӧр
123,Geschmack::N,flavour,чӧсмӧс
124,Geschmack::N,flavour,garša
125,Geschmack::N,flavor,кӧр
126,Geschmack::N,flavor,чӧсмӧс
127,Geschmack::N,flavor,garša
128,Geruch::N,odour,зын
129,Geruch::N,odour,дук
130,Geruch::N,odour,smaka
131,Geruch::N,odor,зын
132,Geruch::N,odor,дук
133,Geruch::N,odor,smaka
134,Schlaf::N,sleep,узьӧм
135,Schlaf::N,sleep,miegs
136,Traum::N,dream,вӧт
137,Traum::N,dream,вӧтасьӧм
138,Traum::N,dream,sapnis
139,Himmel::N,sky,енэж
140,Himmel::N,sky,debess
141,Sonne::N,sun,шонді
142,Sonne::N,sun,saule
143,Mond::N,moon,тӧлысь
144,Mond::N,moon,mēness
145,Stern::N,star,кодзув
146,Stern::N,star,zvaigzne
147,Luft::N,air,сынӧд
148,Luft::N,air,gaiss
149,Wind::N,wind,тӧв
150,Wind::N,wind,vējš
151,Welle::N,wave,гы
152,Welle::N,wave,vilnis
153,Wasser::N,water,ва
154,Wasser::N,water,ūdens
155,Stein::N,stone,из
156,Stein::N,stone,akmens
157,Boden::N,soil,му
158,Boden::N,soil,augsne
