,Concept_ID,kl,uk
0,Auge::N,isi,око
1,Ohr::N,siut,вухо
2,Mund::N,paaq,рот
3,Mund::N,qaneq,рот
4,Zahn::N,kigut,зуб
5,Zunge::N,oqaq,язик
6,Lippe::N,qarloq,губа
7,Wange::N,ersaq,щока
8,Gesicht::N,kiinaq,обличчя
9,Stirn::N,qaaq,лоб
10,Haar::N,meqqoq,волосся
11,Bart::N,umik,борода
12,Kinn::N,talloq,підборіддя
13,Kiefer[Anatomie]::N,alleroq,щелепа
14,Kehle::N,malaq,горло
15,Hals::N,qungaseq,шия
16,Genick::N,pukusuk,потилиця
17,Kopf::N,niaqoq,голова
18,Rücken::N,qimerlut,спина
19,Bauch::N,naaq,живіт
20,Nabel::N,qalaseq,пупок
21,Busen::N,iviangeq,груди
22,Brust::N,iviangeq,груди
23,Schulter::N,ersik,плече
24,Schulter::N,assaqqoq,плече
25,Arm::N,taleq,рука
26,Ellenbogen::N,ikusik,лікоть
27,Hand::N,assak,рука
28,Handfläche::N,itumak,долоня
29,Finger::N,inuak,палець
30,Fingernagel::N,kikiak,ніготь
31,Nagel[Anatomie]::N,kukik,ніготь
32,Zeh::N,isigak,палець на нозі
33,Ferse::N,kimmik,п’ятка
34,Knie::N,seeqqoq,коліно
35,Oberschenkel::N,uppat,стегно
36,Oberschenkel::N,quttoraq,стегно
37,Bein::N,isigak,нога
38,Körper::N,timi,тіло
39,Haut::N,mattak,шкіра
40,Blut::N,aak,кров
41,Ader::N,taqaq,вена
42,Sehne::N,ujalu,сухожилля
43,Sehne::N,ujaloq,сухожилля
44,Knochen::N,saanikut,кістка
45,Gehirn::N,qarasaq,мозок
46,Herz::N,uummat,серце
47,Magen::N,aqajaroq,шлунок
48,Leber::N,tinguk,печінка
49,Atem::N,anerneq,дихання
50,Hunger::N,kaanneq,голод
51,Träne::N,qia,сльоза
52,Träne::N,qiak,сльоза
53,Geschmack::N,qilanaartuut,смак
54,Geruch::N,tipi,запах
55,Geruch::N,tipik,запах
56,Traum::N,sinnattoq,сон
57,Traum::N,sinnattugaq,сон
58,Himmel::N,qilak,небо
59,Sonne::N,seqineq,сонце
60,Mond::N,qaammat,місяць
61,Stern::N,ulloriaq,зірка
62,Luft::N,silaannaq,повітря
63,Wind::N,anori,вітер
64,Wind::N,anorsarik,вітер
65,Welle::N,aalappaa,хвиля
66,Wasser::N,imeq,вода
67,Stein::N,ujarak,камінь
68,Boden::N,nateq,ґрунт
69,Erde::N,issoq,земля
70,Staub::N,pujualanerit,пил
71,Staub::N,pujoralanerit,пил
72,Rauch::N,iseq,дим
73,Rauch::N,pujoq,дим
74,Funke::N,illoorneq,іскра
75,Feuer::N,inneq,вогонь
76,Licht::N,qaamaneq,світло
77,Schatten::N,tarraq,тінь
78,Wetter::N,sila,погода
79,Nebel::N,pujoq,туман
80,Wolke::N,nuia,хмара
81,Regen::N,sialuk,дощ
82,Schnee::N,aput,сніг
83,Eis::N,siku,лід
84,Frost::N,issi,мороз
85,Frost::N,issik,мороз
86,Kälte::N,issi,холод
87,Hitze::N,kianneq,жар
88,Hitze::N,kiassuseq,жар
89,Raureif::N,kaneq,іній
90,Regenbogen::N,neriusaaq,райдуга
91,Donner::N,kalleq,грім
92,Tropfen::N,kuseriarneq,крапля
93,Schaum::N,qapuk,піна
94,Schmutz::N,minguk,бруд
95,See::N,taseq,озеро
96,Sumpf::N,maqulluk,драговина
97,Wiese::N,masarsuk,луг
98,Wiese::N,masarsuk,лука
99,Hügel::N,qattuneq,горб
100,Hügel::N,majuariaq,горб
101,Hügel::N,majorajaaq,горб
102,Hügel::N,qaqqannguaq,горб
103,Berg::N,qaqqaq,гора
104,Höhle::N,qaarusuk,печера
105,Abhang::N,ippik,схил
106,Abhang::N,sivinganeq,схил
107,Abhang::N,sivingajaaq,схил
108,Abhang::N,kussangajaaq,схил
109,Bach::N,kuunnguaq,струмок
110,Fluss::N,kuuk,річка
111,Ufer::N,sissap sinaa,берег
112,Küste::N,sineriak,узбережжя
113,Meer::N,imaq,море
114,Bucht::N,ikeq,бухта
115,Bucht::N,ikeq,затока
116,Bucht::N,kangerluk,бухта
117,Bucht::N,kangerluk,затока
118,Bucht::N,kangerliumaneq,бухта
119,Bucht::N,kangerliumaneq,затока
120,Insel::N,qeqertaq,острів
121,Blume::N,naasoq,квітка
122,Gras::N,ivigaq,трава
123,Wurzel::N,niulutaq,корінь
124,Baum::N,orpik,дерево
125,Stamm::N,kanaartaq,стовбур
126,Rinde::N,ameraq,кора
127,Ast::N,avalequt,гілка
128,Zweig::N,avalequt,галузь
129,Blatt::N,pilutaq,лист
130,Birke::N,patitsit,береза
131,Weide[Baum]::N,palleq,верба
132,Tanne::N,orsuerneq,ялиця
133,Horn::N,nassuk,ріг
134,Feder::N,suluk,перо
135,Fell::N,ameq,хутро
136,Flügel::N,suluk,крило
137,Flügel::N,isaroq,крило
138,Klaue::N,kukik,кіготь
139,Kralle::N,kukik,лапа
140,Schwanz::N,pamioq,хвіст
141,Schwanz::N,paperuusaq,хвіст
142,Ei::N,mannik,яйце
143,Nest::N,ullut,гніздо
144,Bau::N,ini,лігво
145,Tier::N,uumasoq,тварина
146,Herde::N,unguukkat,стадо
147,Kuh::N,ussik,корова
148,Bulle::N,angukulak,бик
149,Bulle::N,angukulak,бугай
150,Bulle::N,anguteralak,бик
151,Bulle::N,anguteralak,бугай
152,Bulle::N,angutikulooq,бик
153,Bulle::N,angutikulooq,бугай
154,Schaf::N,sava,вівця
155,Schwein::N,puuluki,свиня
156,Hund::N,qimmeq,собака
157,Katze::N,puisaaq,кішка
158,Bär::N,allaq,ведмідь
159,Eichhörnchen::N,sissinnguaq,білка
160,Fuchs::N,terianniaq,лисиця
161,Hase::N,ukaleq,заєць
162,Maus::N,teriannguaq,миша
163,Wolf::N,amaroq,вовк
164,Vogel::N,timmiaq,птах
165,Huhn::N,kukkukooq,курка
166,Huhn::N,marloraaqaaq,курка
167,Hahn::N,kiasiusaq,півень
168,Gans::N,nerleq,гуска
169,Adler::N,nattoralik,орел
170,Eule::N,uppik,сова
171,Kranich::N,qorlorfik,журавель
172,Krähe::N,tuluatsiaq,ворона
173,Kuckuck::N,kukkooq,зозуля
174,Schwan::N,qussuk,лебідь
175,Fisch::N,aalisagaq,риба
176,Schlange[Tier]::N,pulateriarsuk,змія
177,Schlange[Tier]::N,pulateriaarsuk,змія
178,Spinne::N,aasiaq,павук
179,Spinne::N,nissavaarsuk,павук
180,Ameise::N,uniaaluk,мурашка
181,Laus::N,kumak,воша
182,Mücke::N,ippernaq,комар
183,Fliege::N,ippernaq,муха
184,Schmetterling::N,paluaq,метелик
185,Schmetterling::N,pakkaluaq,метелик
186,Schmetterling::N,utsuppaluaq,метелик
187,Schmetterling::N,taqaleqisaaq,метелик
188,Beere::N,paarmaq,ягода
189,Beere::N,paarngaq,ягода
190,Apfel::N,iipili,яблуко
191,Pilz::N,anngiusaq,гриб
192,Zwiebel::N,uanitsoq,цибуля
193,Saat::N,naatsiiassaq,сім’я
194,Korn::N,maannineq,зерно
195,Schale::N,niutsivik,шкірка
196,Schale::N,ilulissaq qaartussaq,шкірка
197,Grube::N,itersaq,яма
198,Falle::N,pualavoq,пастка
199,Schlinge::N,orseq,петля
200,Schlinge::N,norloq,петля
201,Spur::N,tumaa,слід
202,Asche::N,arsat,зола
203,Asche::N,arsat,попіл
204,Dreck::N,minguk,бруд
205,Eisen::N,savimineq,залізо
206,Eisen::N,saffiugassaq,залізо
207,Gold::N,kuulti,золото
208,Silber::N,siilviuvoq,срібло
209,Kohle::N,aamarsuit aamaruutissat,вугілля
210,Glas::N,igalaaq,скло
211,Glas::N,imertarfik,скло
212,Glas::N,igalaamineq,скло
213,Lehm::N,marraq,глина
214,Sand::N,sioqqat,пісок
215,Mensch::N,inuk,людина
216,Mensch::N,silamiu,людина
217,Mann::N,angut,чоловік
218,Frau::N,arnaq,жінка
219,Kind::N,meeraq,дитина
220,Junge::N,nukappiaraq,хлопець
221,Mädchen::N,arnannguaq,дівчина
222,Familie::N,ilaqutakka,сім’я
223,Familie::N,ilaqutakka,родина
224,Familie::N,ilaqutariit,сім’я
