,Concept_ID,nl,uz
0,Auge::N,oog,ko'z
1,Ohr::N,oor,quloq
2,Nase::N,neus,burun
3,Mund::N,mond,og'iz
4,Zahn::N,tand,tish
5,Zunge::N,tong,til
6,Lippe::N,lip,dudoq
7,Wange::N,wang,bet
8,Gesicht::N,gelaat,yuz
9,Gesicht::N,gezicht,yuz
10,Stirn::N,voorhoofd,manglay
11,Haar::N,haar,soch
12,Schnurrbart::N,snor,mo'ylov
13,Bart::N,baard,soqol
14,Kinn::N,kin,ängak
15,Kiefer[Anatomie]::N,kaak,iyak
16,Kehle::N,keel,bo'g'iz
17,Kehle::N,strot,bo'g'iz
18,Hals::N,hals,bo'yin
19,Genick::N,nek,gardan
20,Kopf::N,hoofd,bosh
21,Rücken::N,rug,orqa
22,Bauch::N,buik,qorin
23,Nabel::N,navel,kindik
24,Busen::N,boezem,ämchak
25,Brust::N,borst,ko'krak
26,Schulter::N,schouder,elka
27,Arm::N,arm,bilak
28,Ellenbogen::N,elleboog,tirsak
29,Hand::N,hand,qo'l
30,Handfläche::N,handpalm,kaft
31,Finger::N,vinger,barmoq
32,Fingernagel::N,nagel,tirnoq
33,Nagel[Anatomie]::N,nagel,tirnoq
34,Zeh::N,teen,oyoq barmog'i
35,Fuß::N,voet,oyoq
36,Ferse::N,hak,tovon
37,Ferse::N,hiel,tovon
38,Knie::N,knie,tiz
39,Oberschenkel::N,dij,son
40,Bein::N,been,oyoq
41,Körper::N,lichaam,badna
42,Haut::N,huid,teri
43,Blut::N,bloed,qon
44,Ader::N,ader,qon tomir
45,Sehne::N,pees,tomir
46,Knochen::N,bot,suyak
47,Knochen::N,been,suyak
48,Knochen::N,knook,suyak
49,Gehirn::N,hersenen,miya
50,Herz::N,hart,qalb
51,Magen::N,maag,oshqozon
52,Leber::N,lever,bag'ir
53,Atem::N,adem,dam
54,Hunger::N,honger,ochlik
55,Träne::N,traan,yosh
56,Geschmack::N,smaak,tam
57,Geruch::N,geur,jid
58,Schlaf::N,slaap,uyqu
59,Traum::N,droom,tush
60,Himmel::N,hemel,osmon
61,Sonne::N,zon,quyosh
62,Mond::N,maan,oy
63,Stern::N,ster,yulduz
64,Luft::N,lucht,havo
65,Wind::N,wind,el
66,Welle::N,golf,to'lqin
67,Wasser::N,water,suv
68,Stein::N,steen,tosh
69,Boden::N,grond,tuproq
70,Erde::N,aarde,er
71,Staub::N,stof,chang
72,Rauch::N,rook,tutun
73,Funke::N,vonk,yalt
74,Feuer::N,vuur,o't
75,Licht::N,licht,yorug'
76,Schatten::N,schaduw,soya
77,Wetter::N,weer,havo
78,Nebel::N,mist,tuman
79,Nebel::N,nevel,tuman
80,Wolke::N,wolk,bulut
81,Regen::N,regen,yomg'ir
82,Schnee::N,sneeuw,qor
83,Eis::N,ijs,muz
84,Frost::N,vorst,ajoz
85,Kälte::N,kou,ajoz
86,Kälte::N,koude,ajoz
87,Hitze::N,hitte,issiq
88,Raureif::N,rijp,qirov
89,Regenbogen::N,regenboog,kamalak
90,Donner::N,donder,guldur
91,Strömung::N,stroming,oqim
92,Tropfen::N,druppel,tomchi
93,Schaum::N,schuim,ko'pik
94,Schmutz::N,vuil,gard
95,See::N,meer,ko'l
96,Sumpf::N,moeras,botqoq
97,Moor::N,veen,qir-adir
98,Wiese::N,wei,o'tzor
99,Wiese::N,weide,o'tzor
100,Wald::N,bos,o'rmon
101,Hügel::N,heuvel,tepa
102,Anhöhe::N,hoogte,adir
103,Berg::N,berg,tog'
104,Gipfel::N,top,cho'qqi
105,Höhle::N,hol,kavak
106,Abhang::N,helling,to'sh
107,Quelle::N,bron,buloq
108,Bach::N,beek,o'zan
109,Fluss::N,stroom,daryo
110,Ufer::N,wal,sohil
111,Ufer::N,oever,sohil
112,Küste::N,kust,qirg'oq
113,Festland::N,vasteland,materik
114,Meer::N,zee,dengiz
115,Bucht::N,baai,qo'ltiq
116,Bucht::N,inham,qo'ltiq
117,Insel::N,eiland,orol
118,Blume::N,bloem,gul
119,Gras::N,gras,sabza
120,Wurzel::N,wortel,tub
121,Wurzel::N,wortel,tomir
122,Baum::N,boom,daraxt
123,Stamm::N,stam,o'simta
124,Rinde::N,schors,qobiq
125,Ast::N,tak,shox
126,Zweig::N,twijg,butoq
127,Blatt::N,blad,barg
128,Birke::N,berk,qayin
129,Kiefer[Baum]::N,den,qarag'ay
130,Weide[Baum]::N,wilg,shum
131,Tanne::N,spar,archa
132,Horn::N,hoorn,mugiz
133,Feder::N,veer,par
134,Feder::N,pluim,par
135,Fell::N,vel,mo'yna
136,Flügel::N,vleugel,qanot
137,Klaue::N,klauw,tirnoq
138,Kralle::N,klauw,tirnoq
139,Schwanz::N,staart,quyruq
140,Ei::N,ei,tuxum
141,Nest::N,nest,oshyon
142,Bau::N,hol,o'pqon
143,Tier::N,dier,hayvon
144,Herde::N,kudde,gala
145,Kuh::N,koe,inak
146,Bulle::N,stier,ho'kiz
147,Pferd::N,paard,ot
148,Schaf::N,schaap,qo'y
149,Schwein::N,varken,cho'chqa
150,Hund::N,hond,it
151,Katze::N,kat,mushuk
152,Bär::N,beer,ayiq
153,Eichhörnchen::N,eekhoorntje,tiyin
154,Elch::N,eland,los
155,Fuchs::N,vos,tulki
156,Hase::N,haas,kuyon
157,Maus::N,muis,sichqon
158,Wolf::N,wolf,bo'ri
159,Vogel::N,vogel,qush
160,Schwarm::N,zwerm,to'da
161,Huhn::N,kip,tovuq
162,Huhn::N,hoen,tovuq
163,Hahn::N,haan,xo'roz
164,Gans::N,gans,g'oz
165,Adler::N,arend,burgut
166,Ente::N,eend,o'rdak
167,Eule::N,uil,boyo'g'li
168,Kranich::N,kraanvogel,turna
169,Krähe::N,kraai,qarg'a
170,Kuckuck::N,koekoek,kakku
171,Schwan::N,zwaan,oqkush
172,Fisch::N,vis,baliq
173,Barsch::N,baars,olabug'a
174,Hecht::N,snoek,cho'rtan
175,Schlange[Tier]::N,slang,ilon
176,Wurm::N,worm,qurt
177,Spinne::N,spin,o'rgimchak
178,Ameise::N,mier,chumoli
179,Laus::N,luis,bit
180,Mücke::N,mug,chivin
181,Fliege::N,vlieg,pashsha
182,Schmetterling::N,vlinder,kapalak
183,Beere::N,bes,meva
184,Apfel::N,appel,olma
185,Pilz::N,paddestoel,qo'ziqorin
186,Zwiebel::N,ui,piyoz
187,Saat::N,zaad,äkin
188,Korn::N,graan,zarra
189,Korn::N,korrel,zarra
190,Heu::N,hooi,xashak
191,Schale::N,schil,po'choq
192,Grube::N,kuil,co'ra
193,Falle::N,val,qopqon
194,Schlinge::N,strop,sirtmoq
195,Spur::N,spoor,iz
196,Asche::N,as,kul
197,Dreck::N,drek,kir
198,Eisen::N,ijzer,temir
199,Gold::N,goud,tilla
200,Silber::N,zilver,kumush
201,Kohle::N,kool,ko'mir
202,Glas::N,glas,oyna
203,Lehm::N,klei,loy
204,Sand::N,zand,qum
205,Mensch::N,mens,odam
206,Mann::N,man,ärkak
207,Frau::N,vrouw,ayol
208,Kind::N,kind,bola
209,Kind::N,kind,kichkintoy
210,Junge::N,jongen,bola
211,Mädchen::N,meisje,qiz
212,Familie::N,gezin,oila
213,Familie::N,familie,oila
214,Großvater::N,grootvader,buva
215,Großvater::N,grootvader,katta ota
216,Großmutter::N,grootmoeder,buvi
217,Großmutter::N,grootmoeder,katta oyi
218,Eltern::N,ouders,ota-ona
219,Vater::N,vader,ota
220,Mutter::N,moeder,ona
221,Sohn::N,zoon,o'g'il
222,Tochter::N,dochter,qiz
223,Bruder::N,broer,og'a
224,Bruder::N,broer,uka
225,Bruder::N,broeder,og'a
226,Bruder::N,broeder,uka
227,Schwester::N,zus,opa
228,Schwester::N,zus,singil
229,Schwester::N,zuster,opa
230,Schwester::N,zuster,singil
231,Onkel::N,oom,amaki
232,Tante::N,tante,amma
233,Tante::N,tante,xola
234,Ehemann::N,echtgenoot,är
235,Ehefrau::N,echtgenote,rafiqa
