,Concept_ID,sk,mrj
0,Auge::N,oko,сӹнзӓ
1,Ohr::N,ucho,пӹлӹш
2,Nase::N,nos,нер
3,Mund::N,ústa,ышма
4,Zahn::N,zub,пӱ
5,Zunge::N,jazyk,йӹлмӹ
6,Lippe::N,pera,тӹрвӹ
7,Wange::N,líce,шӹргӹ
8,Gesicht::N,tvár,лицӓ
9,Gesicht::N,obličaj,лицӓ
10,Stirn::N,čelo,лепкӓ
11,Haar::N,vlas,ӱп
12,Schnurrbart::N,fúzy,öрш
13,Bart::N,brada,пандаш
14,Kinn::N,brada,онгылаш
15,Kiefer[Anatomie]::N,čeľusť,пӱ арата
16,Kehle::N,hrdlo,логер
17,Hals::N,krk,шӱ
18,Genick::N,väzy,ланга
19,Kopf::N,hlava,вуй
20,Rücken::N,chrbát,туп
21,Bauch::N,brucho,мӹшкӹр
22,Nabel::N,pupok,кӹлӹмдӹ
23,Busen::N,prsia,цӹзӹ
24,Brust::N,hruď,мел
25,Schulter::N,plece,ӹнгӹжӓ
26,Arm::N,rameno,кид
27,Ellenbogen::N,lakeť,кӹнервуй
28,Hand::N,ruka,лапа
29,Handfläche::N,dlaň,кид лапа
30,Finger::N,prst,парня
31,Fingernagel::N,necht,кӹч
32,Nagel[Anatomie]::N,necht,кӹч
33,Zeh::N,prst na nohe,парня
34,Fuß::N,noha,ял лапа
35,Ferse::N,päta,ялгавал
36,Ferse::N,päta,ял кавал
37,Knie::N,koleno,пылвуй
38,Oberschenkel::N,stehno,ӓрдӹ
39,Bein::N,noha,ял
40,Körper::N,telo,монгыр
41,Haut::N,koža,кавашты
42,Blut::N,krv,вӹр
43,Ader::N,žila,вӹршӓр
44,Sehne::N,šľacha,кукшышӱн
45,Knochen::N,kosť,лу
46,Gehirn::N,mozog,вим
47,Herz::N,srdce,шӱм
48,Magen::N,žalúdok,шӱм
49,Leber::N,pečeň,мокш
50,Atem::N,dych,шӱлӹш
51,Hunger::N,hlad,шужымаш
52,Träne::N,slza,сӹнзӓвӹд
