,Concept_ID,ru,be
0,Auge::N,глаз,вока
1,Ohr::N,ухо,вуха
2,Nase::N,нос,нос
3,Mund::N,рот,рот
4,Zahn::N,зуб,зуб
5,Zunge::N,язык,язык
6,Lippe::N,губа,губа
7,Wange::N,щека,шчака
8,Gesicht::N,лицо,твар
9,Stirn::N,лоб,лоб
10,Haar::N,волос,волас
11,Haar::N,волос,валасы
12,Haar::N,волосы,волас
13,Haar::N,волосы,валасы
14,Schnurrbart::N,ус,вус
15,Schnurrbart::N,ус,вусы
16,Schnurrbart::N,усы,вус
17,Schnurrbart::N,усы,вусы
18,Bart::N,борода,барада
19,Kinn::N,подбородок,падбародак
20,Kiefer[Anatomie]::N,челюсть,сківіца
21,Kehle::N,горло,горла
22,Hals::N,шея,шыя
23,Genick::N,затылок,патыліца
24,Kopf::N,голова,галава
25,Rücken::N,спина,спіна
26,Bauch::N,живот,жывот
27,Nabel::N,пупок,пупок
28,Busen::N,женская грудь,грудзі
29,Brust::N,грудь,грудзі
30,Schulter::N,плечо,плячо
31,Arm::N,рука,рука
32,Ellenbogen::N,локоть,локаць
33,Hand::N,кисть,кісць
34,Handfläche::N,ладонь,далонь
35,Finger::N,палец,палец
36,Fingernagel::N,ноготь,ногаць
37,Nagel[Anatomie]::N,ноготь,ногаць
38,Zeh::N,палец,палец
39,Fuß::N,ступня,нага
40,Ferse::N,пята,пята
41,Ferse::N,пята,пятка
42,Ferse::N,пятка,пята
43,Ferse::N,пятка,пятка
44,Knie::N,колено,калена
45,Oberschenkel::N,бедро,бядро
46,Oberschenkel::N,бедро,сцягно
47,Bein::N,нога,нага
48,Körper::N,тело,цела
49,Haut::N,кожа,скура
50,Blut::N,кровь,кроў
51,Ader::N,вена,вена
52,Ader::N,вена,сасуд
53,Ader::N,сосуд,вена
54,Ader::N,сосуд,сасуд
55,Sehne::N,жила,жыла
56,Sehne::N,жила,цеціва
57,Sehne::N,жила,сухажылле
58,Sehne::N,тетива,жыла
59,Sehne::N,тетива,цеціва
60,Sehne::N,тетива,сухажылле
61,Sehne::N,сухожилие,жыла
62,Sehne::N,сухожилие,цеціва
63,Sehne::N,сухожилие,сухажылле
64,Knochen::N,кость,косць
65,Gehirn::N,мозг,мозг
66,Herz::N,сердце,сэрца
67,Magen::N,желудок,страўнік
68,Leber::N,печень,печань
69,Atem::N,дух,дыханне
70,Atem::N,дыхание,дыханне
71,Hunger::N,голод,голад
72,Träne::N,слеза,сляза
73,Geschmack::N,вкус,смак
74,Geruch::N,запах,пах
75,Schlaf::N,сон,сон
76,Traum::N,сновидение,сон
77,Himmel::N,небо,неба
78,Sonne::N,солнце,сонца
79,Mond::N,луна,месяц
80,Stern::N,звезда,зорка
81,Luft::N,воздух,паветра
82,Wind::N,ветер,вецер
83,Welle::N,волна,хваля
84,Wasser::N,вода,вада
85,Stein::N,камень,камень
86,Boden::N,почва,глеба
87,Erde::N,земля,зямля
88,Staub::N,пыль,пыл
89,Rauch::N,дым,дым
90,Funke::N,искра,іскра
91,Feuer::N,огонь,агонь
92,Licht::N,свет,святло
93,Schatten::N,тень,цень
94,Wetter::N,погода,пагода
95,Wetter::N,погода,надворʼе
96,Nebel::N,туман,туман
97,Wolke::N,облако,воблака
98,Regen::N,дождь,дождж
99,Schnee::N,снег,снег
100,Eis::N,лед,лёд
101,Frost::N,мороз,мароз
102,Kälte::N,холод,холад
103,Hitze::N,жара,спёка
104,Raureif::N,иней,іней
105,Regenbogen::N,радуга,вясёлка
106,Donner::N,гром,гром
107,Strömung::N,течение,цячэнне
108,Tropfen::N,капля,кропля
109,Schaum::N,пена,пена
110,Schmutz::N,грязь,гразь
111,See::N,озеро,возера
112,Sumpf::N,топь,багна
113,Moor::N,болото,балота
114,Wiese::N,луг,луг
115,Wald::N,лес,лес
116,Hügel::N,холм,узгорак
117,Anhöhe::N,возвышенность,узвышша
118,Berg::N,гора,гара
119,Gipfel::N,вершина,вяршыня
120,Höhle::N,пещера,пячора
121,Abhang::N,склон,схіл
122,Quelle::N,источник,крыніца
123,Bach::N,ручей,ручай
124,Fluss::N,река,рака
125,Ufer::N,берег,бераг
126,Küste::N,побережье,узбярэжжа
127,Festland::N,суша,суша
128,Meer::N,море,мора
129,Bucht::N,бухта,бухта
130,Insel::N,остров,востраў
131,Blume::N,цветок,кветка
132,Gras::N,трава,трава
133,Wurzel::N,корень,корань
134,Baum::N,дерево,дрэва
135,Stamm::N,ствол,ствол
136,Rinde::N,кора,кара
137,Ast::N,сук,сук
138,Zweig::N,ветвь,галіна
139,Blatt::N,лист,ліст
140,Birke::N,береза,бяроза
141,Kiefer[Baum]::N,сосна,хвоя
142,Kiefer[Baum]::N,сосна,сасна
143,Weide[Baum]::N,ива,вярба
144,Tanne::N,ель,яліна
145,Horn::N,рог,рог
146,Feder::N,перо,пяро
147,Fell::N,шкура,шкура
148,Flügel::N,крыло,крыло
149,Klaue::N,коготь,кіпцюр
150,Kralle::N,лапа,лапа
151,Schwanz::N,хвост,хвост
152,Ei::N,яйцо,яйка
153,Nest::N,гнездо,гняздо
154,Bau::N,нора,нара
155,Tier::N,животное,жывёла
156,Herde::N,стадо,статак
157,Kuh::N,корова,карова
158,Bulle::N,бык,бык
159,Pferd::N,лошадь,конь
160,Schaf::N,овца,авечка
161,Schwein::N,свинья,свіння
162,Hund::N,собака,сабака
163,Katze::N,кошка,кошка
164,Bär::N,медведь,мядзведзь
165,Eichhörnchen::N,белка,вавёрка
166,Elch::N,лось,лось
167,Fuchs::N,лиса,ліса
168,Hase::N,заяц,заяц
169,Maus::N,мышь,мыш
170,Wolf::N,волк,воўк
