,Concept_ID,he,bn
0,Auge::N,עין,চক্ষু
1,Ohr::N,אזן,কর্ণ
2,Nase::N,אף,নাক
3,Nase::N,חטם,নাক
4,Mund::N,פה,মুখ
5,Zahn::N,שן,দাঁত
6,Zunge::N,לשון,জিহবা
7,Lippe::N,שפה,অধর
8,Wange::N,לחי,গণ্ড
9,Gesicht::N,פנים,মুখমণ্ডল
10,Stirn::N,מצח,কপাল
11,Haar::N,שערה,চুল
12,Schnurrbart::N,שפם,গোঁফ
13,Bart::N,זקן,শ্মশ্রু
14,Kinn::N,סנטר,চিবুক
15,Kiefer[Anatomie]::N,לסת,চোয়াল
16,Kehle::N,גרון,কণ্ঠ
17,Hals::N,צואר,গল
18,Genick::N,ערף,ঘাড়
19,Kopf::N,ראש,মাথা
20,Rücken::N,גב,পৃষ্ঠ
21,Bauch::N,בטן,উদর
22,Nabel::N,טבור,নাভি
23,Busen::N,שד,স্তন
24,Brust::N,חזה,বুক
25,Schulter::N,כתף,স্কন্ধ
26,Arm::N,זרוע,বাহু
27,Ellenbogen::N,מרפק,কনুই
28,Hand::N,יד,হাত
29,Handfläche::N,כף יד,করতল
30,Finger::N,אצבע,আঙ্গুল
31,Fingernagel::N,צפרן,হাতের নখ
32,Nagel[Anatomie]::N,צפרן,নখ
33,Zeh::N,אצבע,আঙ্গুল
34,Fuß::N,רגל,পা
35,Ferse::N,עקב,গোড়ালি
36,Knie::N,ברך,হাঁটু
37,Oberschenkel::N,ירך,ঊরু
38,Bein::N,רגל,পা
39,Körper::N,גוף,দেহ
40,Haut::N,עור,ত্বক
41,Blut::N,דם,রক্ত
42,Ader::N,וריד,শিরা
43,Sehne::N,גיד,কণ্ডরা
44,Knochen::N,עצם,অস্থি
45,Gehirn::N,מוח,মস্তিষ্ক
46,Herz::N,לב,হৃৎপিণ্ড
47,Magen::N,קבה,পাকস্থলী
48,Leber::N,כבד,যকৃৎ
49,Atem::N,נשימה,শ্বাস
50,Hunger::N,רעב,ক্ষুধা
51,Träne::N,דמעה,অশ্রু
52,Geschmack::N,טעם,স্বাদ
53,Geruch::N,ריח,গন্ধ
54,Schlaf::N,שנה,ঘুম
55,Traum::N,חלום,স্বপ্ন
56,Himmel::N,שמים,আকাশ
57,Sonne::N,שמש,সূর্য
58,Mond::N,ירח,চন্দ্র
59,Stern::N,כוכב,নক্ষত্র
60,Luft::N,אויר,বায়ু
61,Wind::N,רוח,বাতাস
62,Welle::N,גל,ঢেউ
63,Welle::N,גל,তরঙ্গ
64,Wasser::N,מים,জল
65,Stein::N,אבן,ঢিল
66,Stein::N,אבן,প্রস্তর
67,Boden::N,קרקע,ভূতল
68,Erde::N,אדמה,ভূমি
69,Staub::N,אבק,ধুলা
70,Rauch::N,עשן,ধোঁয়া
71,Funke::N,ניצוץ,স্ফুলিঙ্গ
72,Feuer::N,אש,অগ্নি
73,Licht::N,אור,আলো
74,Schatten::N,צל,ছায়া
75,Wetter::N,מזג אויר,আবহাওয়া
76,Nebel::N,ערפל,কুহেলিকা
77,Wolke::N,ענן,মেঘ
78,Regen::N,גשם,বৃষ্টি
79,Schnee::N,שלג,তুষার
80,Eis::N,קרח,বরফ
81,Frost::N,צנה,তুষার
82,Kälte::N,קר,শৈত্য
83,Hitze::N,חם,তাপ
84,Raureif::N,כפור,তুহিন
85,Regenbogen::N,קשת,রামধনু
86,Donner::N,רעם,বজ্রধ্বনি
87,Strömung::N,זרימה,স্রোত
88,Tropfen::N,טפה,ফোঁটা
89,Schaum::N,קצף,ফেনা
90,Schmutz::N,לכלוך,ধুলা
91,See::N,אגם,হ্রদ
92,Sumpf::N,בצה,জলা
93,Moor::N,בצה,মাঠ
94,Wiese::N,מרעה,তৃণভূমি
95,Wald::N,יער,বন
96,Hügel::N,תל,পাহাড়
97,Anhöhe::N,מעלה,টিলা
98,Berg::N,הר,পর্বত
99,Gipfel::N,פסגה,শীর্ষ
100,Höhle::N,מערה,গুহা
101,Abhang::N,מדרון,ঢাল
102,Abhang::N,שפוע,ঢাল
103,Quelle::N,מעין,উৎস
104,Bach::N,נחל,ক্ষুদ্র নদী
105,Fluss::N,נהר,নদী
106,Ufer::N,גדה,উপকূল
107,Küste::N,חוף,তীর
108,Festland::N,יבשה,ভূমি
109,Meer::N,ים,সমুদ্র
110,Bucht::N,מפרץ,উপসাগর
111,Insel::N,אי,দ্বীপ
112,Blume::N,פרח,ফুল
113,Gras::N,דשא,ঘাস
114,Wurzel::N,שרש,শিকড়
115,Baum::N,עץ,গাছ
116,Stamm::N,גזע,স্কন্ধ
117,Rinde::N,קלפת עץ,বল্কল
118,Ast::N,ענף,শাখা
119,Zweig::N,ענף,ডাল
120,Blatt::N,עלה,পর্ণ
121,Birke::N,שדר,ভুর্জ
122,Kiefer[Baum]::N,ארן,পাইন গাছ
123,Weide[Baum]::N,ערבה,উইলো
124,Tanne::N,אשוח,দেবদারূ গাছ
125,Horn::N,קרן,শিং
126,Feder::N,נוצה,পালক
127,Fell::N,פרוה,রোম
128,Flügel::N,כנף,ডানা
129,Klaue::N,טלף,নখর
130,Kralle::N,טפר,নখর
131,Schwanz::N,זנב,লেজ
132,Ei::N,ביצה,ডিম
133,Nest::N,קן,কুলায়
134,Bau::N,מחלה,ডেরা
135,Tier::N,חיה,জন্তু
136,Herde::N,עדר,ঝাঁক
137,Kuh::N,פרה,গোরু
138,Bulle::N,פר,বৃষ
139,Pferd::N,סוס,ঘোড়া
140,Schaf::N,כבשה,ভেড়া
141,Schwein::N,חזיר,শূকর
142,Hund::N,כלב,কুকুর
143,Katze::N,חתול,বেড়াল
144,Bär::N,דב,ভল্লুক
145,Eichhörnchen::N,סנאי,কাঠবিড়াল
146,Elch::N,דישון,হরিণবিশেষ
147,Fuchs::N,שועל,পাঁতিশিয়াল
148,Hase::N,ארנב,শশক
149,Maus::N,עכבר,নেংটি ইঁদুর
150,Wolf::N,זאב,নেকড়ে
151,Vogel::N,צפור,পক্ষী
152,Schwarm::N,נחיל,ঝাঁক
153,Schwarm::N,להקה,ঝাঁক
154,Huhn::N,תרנגלת,মোরগ
155,Hahn::N,תרנגול,কুক্কুট
156,Gans::N,אוז,হংসী
157,Adler::N,עיט,ইগল
158,Ente::N,ברוז,হংসী
159,Eule::N,ינשוף,পেচক
160,Kranich::N,עגור,সারস
161,Kranich::N,כרוכיה,সারস
162,Krähe::N,עורב,কাক
163,Kuckuck::N,קוקיה,কোকিল
164,Schwan::N,ברבור,মরাল
165,Fisch::N,דג,মাছ
166,Barsch::N,אוקונוס,মৎন্যবিশেষ
167,Hecht::N,זאב הים,বানমাছ
168,Schlange[Tier]::N,נחש,সর্প
169,Wurm::N,תולעת,কীট
170,Spinne::N,עכביש,মাকড়সা
171,Ameise::N,נמלה,পিপীলিকা
172,Laus::N,כנה,উকুন
173,Mücke::N,יתוש,মশা
174,Fliege::N,זבוב,মাছি
175,Schmetterling::N,פרפר,প্রজাপতি
176,Beere::N,ענבה,বেরি
177,Apfel::N,תפוח,আপেল
178,Pilz::N,פטריה,ছত্রক
179,Zwiebel::N,בצל,পিয়াজ
180,Saat::N,זרעים,বীজ
181,Korn::N,גרעין,শস্য
182,Heu::N,חציר,খড়
183,Schale::N,קלפה,খোসা
184,Grube::N,בור,গর্ত
185,Grube::N,שוחה,গর্ত
186,Falle::N,מלכדת,ফাঁদ
187,Schlinge::N,לולאה,পাশ
188,Spur::N,עקבה,চিহ্ন
189,Asche::N,אפר,ভস্ম
190,Dreck::N,זהמה,ময়লা
191,Eisen::N,ברזל,লোহা
192,Gold::N,זהב,স্বর্ণ
193,Silber::N,כסף,রৌপ্য
194,Kohle::N,פחם,অঙ্গার
195,Glas::N,זכוכית,কাচ
196,Lehm::N,חרסית,মৃত্তিকা
197,Sand::N,חול,বালি
198,Mensch::N,אדם,নর
199,Mensch::N,אדם,মানুষ
200,Mann::N,איש,মানুষ
201,Mann::N,גבר,মানুষ
202,Frau::N,אשה,নারী
203,Frau::N,גברת,নারী
204,Kind::N,ילד,বাচ্চা
205,Junge::N,ילד,ছেলে
206,Mädchen::N,נערה,মেয়ে
207,Familie::N,משפחה,পরিবার
208,Großvater::N,סבא,মাতামহ
209,Großmutter::N,סבתא,মাতামহী
210,Eltern::N,הורים,মাতাপিতা
211,Vater::N,אב,পিতা
212,Mutter::N,אם,মাতা
213,Sohn::N,בן,ছেলে
214,Tochter::N,בת,মেয়ে
215,Bruder::N,אח,দাদা
216,Schwester::N,אחות,বোন
217,Schwester::N,אחות,দিদি
218,Onkel::N,דוד,মামা
