,Concept_ID,av,sl
0,Ohr::N,гӏин,uhó
1,Nase::N,мегӏер,nós
2,Mund::N,кӏал,ústa
3,Zahn::N,гӏус,zób
4,Zunge::N,мацӏ,jêzik
5,Lippe::N,кӏветӏ,ústnica
6,Wange::N,гӏоно,líce
7,Gesicht::N,гьумер,oblíčje
8,Stirn::N,нодо,čêlo
9,Haar::N,рас,lás
10,Schnurrbart::N,михъ,bŕki
11,Bart::N,мегеж,bráda
12,Kinn::N,нилъу,bráda
13,Kiefer[Anatomie]::N,чанагъ,čeljúst
14,Kehle::N,щекъер,gŕlo
15,Hals::N,габур,vrát
16,Genick::N,гъванща,zatílnik
17,Kopf::N,бетӏер,gláva
18,Rücken::N,мугъ,hrbèt
19,Bauch::N,чехь,trébuh
20,Nabel::N,цӏину,pópek
21,Busen::N,керен,nédrja
22,Brust::N,керен,pŕsi
23,Schulter::N,гъажазубетӏер,ráma
24,Schulter::N,гъажазубетӏер,plêče
25,Arm::N,гъеж,rôka
26,Ellenbogen::N,гӏункӏрукь,komólec
27,Hand::N,квер,rôka
28,Handfläche::N,огъохъат,dlán
29,Handfläche::N,жанисахъат,dlán
30,Finger::N,килищ,pŕst
31,Fingernagel::N,малъ,nóht na rôki
32,Nagel[Anatomie]::N,малъ,nóht
33,Zeh::N,килищ,pŕst na nôgi
34,Fuß::N,хӏетӏ,nôga
35,Fuß::N,хӏетӏе,nôga
36,Ferse::N,эгъе,pêta
37,Knie::N,наку,koléno
38,Oberschenkel::N,мачӏ,stêgno
39,Bein::N,бох,nôga
40,Körper::N,къаркъала,teló
41,Haut::N,тӏом,kóža
42,Blut::N,би,krí
43,Ader::N,бидурихь,žíla
44,Knochen::N,ракьа,kóst
45,Gehirn::N,гӏадалнах,možgáni
46,Herz::N,ракӏ,srcé
47,Magen::N,кванирукъ,želódec
48,Leber::N,тӏул,jétra
49,Atem::N,хӏухь,díh
50,Hunger::N,ракъи,glád
51,Träne::N,магӏу,sólza
52,Geschmack::N,тату,okús
53,Geruch::N,махӏ,vónj
54,Schlaf::N,макьу,sèn
55,Schlaf::N,макьу,spánec
56,Traum::N,макьу,sánje
57,Himmel::N,зоб,nebó
58,Sonne::N,бакъ,sónce
59,Mond::N,моцӏ,lúna
60,Mond::N,моцӏ,mésec
61,Stern::N,цӏва,zvézda
62,Luft::N,гьава,zràk
63,Wind::N,гьури,véter
64,Welle::N,карачел,vál
65,Wasser::N,лъим,vôda
66,Stein::N,гьецӏо,kámen
67,Boden::N,ракь,tlà
68,Erde::N,ракь,pŕst
69,Erde::N,ракь,zêmlja
70,Erde::N,дуниял,pŕst
71,Erde::N,дуниял,zêmlja
72,Staub::N,хӏур,práh
73,Rauch::N,кӏкӏуй,dìm
74,Feuer::N,цӏа,ôgenj
75,Licht::N,канлъи,lúč
76,Schatten::N,рагӏад,sénca
77,Wetter::N,гьава-бакъ,vrême
78,Nebel::N,гӏодобнакӏкӏ,meglà
79,Wolke::N,накӏкӏ,oblák
80,Regen::N,цӏад,dèž
81,Schnee::N,гӏазу,snég
82,Eis::N,цӏер,léd
83,Frost::N,замгьари,zmrzál
84,Kälte::N,квач,mràz
85,Hitze::N,багӏари,pripéka
86,Raureif::N,мартӏ,ívje
87,Raureif::N,мартӏ,slána
88,Regenbogen::N,нур,mávrica
89,Regenbogen::N,чамбара,mávrica
90,Donner::N,гъугъай,gròm
91,Donner::N,гъугъади,gròm
92,Strömung::N,чвахи,strúja
93,Tropfen::N,резел,káplja
94,Tropfen::N,тӏинкӏ,káplja
95,Tropfen::N,къатӏра,káplja
96,Tropfen::N,тӏенкӏел,káplja
97,Schaum::N,полоп,péna
98,Schmutz::N,чороклъи,nesnága
99,See::N,хӏор,jézero
100,Sumpf::N,хьуцӏ,močvírje
101,Wiese::N,мегъ,trávnik
102,Wiese::N,гӏурдаллъи,trávnik
103,Wald::N,рохь,lés
104,Wald::N,рохь,gòzd
105,Hügel::N,гохӏ,brég
106,Hügel::N,гохӏ,goríca
107,Anhöhe::N,сийитма,gríč
108,Anhöhe::N,сийитма,višína
109,Berg::N,мегӏер,gôra
110,Berg::N,мегӏер,planína
111,Gipfel::N,тӏогь,vŕh
112,Höhle::N,нохъо,jáma
113,Höhle::N,нохъо,votlína
114,Abhang::N,лабаллъи,pobóčje
115,Quelle::N,ицц,izvír
116,Bach::N,лъар,pôtok
117,Fluss::N,гӏор,réka
118,Ufer::N,рагӏал,brég
119,Küste::N,рагӏал,obála
120,Küste::N,рагӏал,obréžje
121,Festland::N,ракь,celína
122,Festland::N,ракь,kopnína
123,Festland::N,ракъдаллъи,celína
124,Festland::N,ракъдаллъи,kopnína
125,Meer::N,ралъад,mórje
126,Bucht::N,кӏветӏ,zalív
127,Insel::N,чӏинкӏиллъи,ôtok
128,Blume::N,тӏегь,cvetlíca
129,Gras::N,хер,tráva
130,Wurzel::N,кьибил,korenína
131,Baum::N,гъветӏ,drevó
132,Stamm::N,рохти,dêblo
133,Rinde::N,макъар,lúbje
134,Rinde::N,макъар,skórja
135,Ast::N,ноцӏ,véja
136,Zweig::N,гӏаркьел,véja
137,Blatt::N,тӏамах,líst
138,Birke::N,мах,bréza
139,Birke::N,махигъветӏ,bréza
140,Kiefer[Baum]::N,накӏкӏигъветӏ,bòr
141,Weide[Baum]::N,рицӏцӏ,vŕba
142,Weide[Baum]::N,рицӏцӏигъветӏ,vŕba
143,Tanne::N,ёлка,hója
144,Horn::N,лълъар,róg
145,Feder::N,хӏули,peró
146,Fell::N,тӏом,kŕzno
147,Fell::N,цӏоко,kŕzno
148,Flügel::N,кваркьи,krílo
149,Klaue::N,галъ,párkelj
150,Kralle::N,квачӏ,krémpelj
151,Kralle::N,катиквачӏ,krémpelj
152,Schwanz::N,рачӏ,rèp
153,Ei::N,хоно,jájce
154,Nest::N,бусен,gnézdo
155,Bau::N,каратӏ,brlòg
156,Tier::N,хӏайван,živál
157,Herde::N,рехъен,čréda
158,Herde::N,рехъед,čréda
159,Kuh::N,гӏака,kráva
160,Bulle::N,оц,bìk
161,Pferd::N,чу,kònj
162,Schaf::N,чахъу,ôvca
163,Schwein::N,болъон,svínja
164,Hund::N,гьой,pès
165,Katze::N,кету,máčka
166,Bär::N,ци,mêdved
167,Eichhörnchen::N,гвангва,véverica
168,Fuchs::N,цер,lisíca
169,Hase::N,гӏанкӏ,zájec
170,Maus::N,гӏункӏкӏ,mìš
171,Wolf::N,бацӏ,vólk
172,Vogel::N,хӏинчӏ,ptìč
173,Vogel::N,хӏинчӏ,ptíca
174,Schwarm::N,тӏел,játa
175,Huhn::N,гӏанкӏу,kokóš
176,Hahn::N,хӏелеко,petêlin
177,Gans::N,хъаз,gós
178,Adler::N,цӏум,ôrel
179,Ente::N,ордек,ráca
180,Eule::N,беццаруз,sôva
181,Kranich::N,къункъра,žerjàv
182,Krähe::N,гъеду,vrána
183,Kuckuck::N,гагу,kúkavica
184,Schwan::N,хӏанкъва,labód
185,Fisch::N,ччугӏа,ríba
186,Barsch::N,окунь,ostríž
187,Hecht::N,щука,ščúka
188,Schlange[Tier]::N,борохь,káča
189,Wurm::N,хӏапара,čr̀v
190,Wurm::N,хӏапара,glísta
191,Spinne::N,хъанхъра,pájek
192,Ameise::N,цӏунцӏра,mrávlja
193,Laus::N,нацӏ,úš
194,Mücke::N,кӏкӏара,komár
195,Fliege::N,тӏутӏ,múha
196,Schmetterling::N,кӏалкӏучӏ,metúlj
197,Apfel::N,гӏеч,jábolko
198,Pilz::N,гӏурдахӏан,góba
199,Zwiebel::N,кӏочӏопер,čebúla
200,Saat::N,хьон,séme
201,Korn::N,мугь,zŕno
202,Heu::N,хер,senó
203,Schale::N,хъал,lupína
204,Grube::N,гвенд,jáma
205,Falle::N,къор,pást
206,Falle::N,къотен,pást
207,Schlinge::N,кӏичӏ,zánka
208,Schlinge::N,кӏичӏ,pêtlja
209,Spur::N,лъалкӏ,sléd
210,Asche::N,рахъу,pepél
211,Dreck::N,гъиз,bláto
212,Dreck::N,хӏарщ,bláto
213,Eisen::N,махх,želézo
214,Gold::N,месед,zlató
215,Silber::N,гӏарац,srebró
216,Kohle::N,тӏурччи,ógel
217,Glas::N,цӏер,stêklo
218,Lehm::N,хӏатӏ,ílo
219,Sand::N,сали,pések
220,Mensch::N,чи,člôvek
221,Mann::N,бихьинчи,móž
222,Mann::N,бихьинчи,môški
223,Frau::N,гӏадан,gospá
224,Frau::N,гӏадан,žénska
225,Kind::N,лъимер,déte
226,Kind::N,лъимер,otròk
227,Junge::N,вас,fànt
228,Junge::N,вас,déček
229,Mädchen::N,яс,deklè
230,Mädchen::N,яс,déklica
231,Familie::N,хъизан,družína
232,Großvater::N,кӏудада,dèd
233,Großvater::N,кӏудада,dédek
234,Großmutter::N,кӏодо,bábica
235,Eltern::N,эбел-эмен,stárši
236,Vater::N,эмен,ôče
237,Mutter::N,эбел,máma
238,Sohn::N,вас,sín
239,Tochter::N,яс,hčí
240,Tochter::N,яс,hčérka
241,Bruder::N,вац,bràt
242,Schwester::N,яц,sêstra
243,Onkel::N,даци,újec
244,Onkel::N,даци,stríc
245,Tante::N,ада,têta
246,Tante::N,ада,strína
247,Ehemann::N,рос,móž
248,Ehemann::N,рос,sopróg
249,Ehefrau::N,чӏужу,žêna
250,Ehefrau::N,чӏужу,sopróga
251,Freude::N,ракӏбохи,rádost
252,Freude::N,ракӏбохи,vesêlje
253,Gelächter::N,релъи,sméh
254,Gelächter::N,релъи,grohòt
255,Glück::N,талихӏ,sréča
256,Glück::N,талихӏ-рохел,sréča
257,Kummer::N,хӏалкъай,gorjé
258,Wunsch::N,къасд,žêlja
259,Lust::N,гъира,poželênje
260,Geist::N,чӏанкӏ,dúša
261,Geist::N,рухӏ-жан,dúša
262,Gedanke::N,пикру,mísel
263,Verstand::N,лумалъи,
264,Verstand::N,цӏодорлъи,
265,Sinn::N,магӏна,pomèn
266,Sinn::N,магӏна,smísel
267,Grund::N,багьана,vzròk
268,Wahrheit::N,ритӏухълъи,resníca
269,Gespräch::N,накъит,pogóvor
270,Märchen::N,маргьа,právljica
271,Erzählung::N,къиса,povést
272,Nachricht::N,хабар,sporočílo
273,Neuigkeit::N,хабар-гӏазаб,novóst
274,Name::N,цӏар,imé
275,Rätsel::N,бицанкӏо,ugánka
276,Rede::N,речь,góvor
277,Rede::N,калам,góvor
278,Sprache::N,мацӏ,jêzik
279,Stimme::N,гьаракь,glás
280,Wort::N,рагӏи,beséda
281,Zeichen::N,ишара,znák
282,Zeichen::N,гӏаламат,znák
283,Ruf::N,ахӏи,klíc
284,Lärm::N,хъуй,hrúp
285,Lärm::N,хъуй,trúšč
286,Lärm::N,хъуди,hrúp
287,Lärm::N,хъуди,trúšč
288,Laut::N,гьаракь,glás
289,Laut::N,сас,glás
290,Lied::N,кечӏ,pésem
291,Ruhe::N,рахӏат,pokòj
292,Leute::N,гӏадамал,ljudjé
293,Volk::N,халкъ,národ
294,Arbeit::N,хӏалтӏи,délo
295,Gast::N,гьобол,gòst
296,Geschenk::N,сайигъат,darílo
297,Spiel::N,хӏай,ígra
298,Spiel::N,расанди,ígra
299,Gesellschaft::N,жамагӏат,drúžba
300,Hilfe::N,кумек,pomóč
301,Freund::N,гьудул,prijátelj
302,Kamerad::N,гьалмагъ,továriš
303,Angelegenheit::N,къваригӏел,zadéva
304,Anzahl::N,рикӏкӏен,števílo
305,Art::N,жинс,vŕsta
306,Stück::N,кесек,kós
307,Teil::N,пай,dél
308,Hälfte::N,бащдаб,polovíca
309,Kreis::N,гор,króg
310,Kreis::N,гор,kolobár
311,Kreuz::N,хъанч,kríž
312,Linie::N,мухъ,próga
313,Strich::N,хӏучч,čŕta
314,Abstand::N,манзил,preslédek
315,Entfernung::N,манзил,oddáljenost
316,Gegend::N,рахъ,kràj
317,Gegend::N,рахъ,dežêla
318,Platz::N,бакӏ,prôstor
319,Ort::N,бакӏ,mésto
320,Seite::N,рахъ,bòk
321,Seite::N,рахъ,strán
322,Mitte::N,бакьулъбакӏ,sredína
323,Gegenstand::N,жо,prédmet
324,Sache::N,жо,réč
325,Sache::N,жо,stvár
326,Rand::N,мицӏир,kràj
327,Kante::N,рагӏал,rób
328,Kante::N,рагӏа-ракьан,rób
329,Ecke::N,цили,vogál
330,Spitze::N,тӏогь,óst
331,Ende::N,кӏал,kônec
332,Loch::N,каратӏ,lúknja
333,Muster::N,накъиш,vzórec
334,Größe::N,кӏодо́лъи,veličína
335,Länge::N,халалъи,dolžína
336,Höhe::N,борхалъи,vršína
337,Gewicht::N,бакӏлъи,téža
338,Haufen::N,гъуни,kùp
339,Haufen::N,гъуни,kopíca
340,Reihe::N,ирга́,níz
341,Reihe::N,ирга́,vŕsta
342,Boot::N,раса,čóln
343,Ruder::N,раххан,vêslo
344,Schlitten::N,чанагъ,saní
345,Ski::N,лыжаби,smučí
346,Lagerfeuer::N,цӏа,táborni ôgenj
347,Last::N,бакӏлъи,tôvor
348,Gang::N,хьвади,hòd
349,Gang::N,хьвада-чӏвади,hòd
350,Schritt::N,гали,korák
351,Norden::N,шимал,séver
352,Süden::N,юг,júg
353,Süden::N,къибла,júg
354,Westen::N,гъарб,zapàd
355,Westen::N,магъриб,zapàd
356,Osten::N,шаркъ,vzhòd
357,Osten::N,машрикъ,vzhòd
358,Holz::N,цӏул,lés
359,Brett::N,хъарщи,deskà
360,Platte::N,къоно,plôča
361,Stange::N,гӏер,gréd
362,Stock::N,тӏил,pálica
363,Stab::N,гӏер,pálica
364,Rohr::N,турба,cév
365,Haus::N,ригь,híša
366,Haus::N,рукъзал,híša
367,Heim::N,рукъ,dóm
368,Ofen::N,печь,péč
369,Fußboden::N,чӏабар,pòd
370,Tisch::N,стол,míza
371,Stuhl::N,бакӏу,stòl
