,Concept_ID,ps,kl
0,Auge::N,سترګه,isi
1,Ohr::N,غوږ,siut
2,Nase::N,پوزه,
3,Mund::N,خوله,paaq
4,Mund::N,خوله,qaneq
5,Zahn::N,غاښ,kigut
6,Zunge::N,جبه,oqaq
7,Lippe::N,شونډه,qarloq
8,Wange::N,باړخو,ersaq
9,Gesicht::N,مخ,kiinaq
10,Stirn::N,تندی,qaaq
11,Stirn::N,وچولی,qaaq
12,Haar::N,وېښته,meqqoq
13,Schnurrbart::N,برېت,
14,Bart::N,ږیره,umik
15,Kinn::N,زنه,talloq
16,Kiefer[Anatomie]::N,جامه,alleroq
17,Kehle::N,غاړه,malaq
18,Hals::N,غاړه,qungaseq
19,Genick::N,ورمېږ,pukusuk
20,Kopf::N,سر,niaqoq
21,Rücken::N,شا,qimerlut
22,Bauch::N,نس,naaq
23,Bauch::N,ګېډه,naaq
24,Nabel::N,نوم,qalaseq
25,Busen::N,تی,iviangeq
26,Brust::N,سینه,iviangeq
27,Schulter::N,اوږه,ersik
28,Schulter::N,اوږه,assaqqoq
29,Arm::N,لاس,taleq
30,Ellenbogen::N,څنګل,ikusik
31,Hand::N,لاس,assak
32,Handfläche::N,ورغوی,itumak
33,Finger::N,ګوته,inuak
34,Fingernagel::N,نوک,kikiak
35,Nagel[Anatomie]::N,نوک,kukik
36,Zeh::N,ګوته,isigak
37,Fuß::N,پښه,
38,Ferse::N,پونده,kimmik
39,Knie::N,زنګون,seeqqoq
40,Oberschenkel::N,پتون,uppat
41,Oberschenkel::N,پتون,quttoraq
42,Bein::N,پښه,isigak
43,Körper::N,ځان,timi
44,Haut::N,پوټکی,mattak
45,Blut::N,وینه,aak
46,Ader::N,رګ,taqaq
47,Sehne::N,پله,ujalu
48,Sehne::N,پله,ujaloq
49,Knochen::N,هډوکی,saanikut
50,Gehirn::N,ماغزه,qarasaq
51,Herz::N,زړه,uummat
52,Magen::N,معده,aqajaroq
53,Leber::N,ينه,tinguk
54,Leber::N,ځیګر,tinguk
55,Atem::N,نفس,anerneq
56,Hunger::N,ولږه,kaanneq
57,Träne::N,اوښکه,qia
58,Träne::N,اوښکه,qiak
59,Geschmack::N,مزه,qilanaartuut
60,Geschmack::N,خوند,qilanaartuut
61,Geruch::N,بوی,tipi
62,Geruch::N,بوی,tipik
63,Schlaf::N,خوب,
64,Traum::N,خوب,sinnattoq
65,Traum::N,خوب,sinnattugaq
66,Himmel::N,اسمان,qilak
67,Sonne::N,لمر,seqineq
68,Mond::N,سپوږمۍ,qaammat
69,Stern::N,ستوری,ulloriaq
70,Luft::N,هوا,silaannaq
71,Wind::N,ورښ,anori
72,Wind::N,ورښ,anorsarik
73,Welle::N,موج,aalappaa
74,Wasser::N,اوبه,imeq
75,Stein::N,ډبره,ujarak
76,Boden::N,مځکه,nateq
77,Erde::N,خاوره,issoq
78,Staub::N,ګرد,pujualanerit
79,Staub::N,ګرد,pujoralanerit
80,Staub::N,خاوره,pujualanerit
81,Staub::N,خاوره,pujoralanerit
82,Rauch::N,دود,iseq
83,Rauch::N,دود,pujoq
84,Rauch::N,لوګی,iseq
85,Rauch::N,لوګی,pujoq
86,Funke::N,سپرغۍ,illoorneq
87,Feuer::N,اور,inneq
88,Licht::N,رڼا,qaamaneq
89,Schatten::N,سیوری,tarraq
90,Wetter::N,هوا,sila
91,Nebel::N,لړه,pujoq
92,Wolke::N,ورېځ,nuia
93,Regen::N,وریا,sialuk
94,Regen::N,باران,sialuk
95,Schnee::N,واوره,aput
96,Eis::N,یخ,siku
97,Eis::N,کنګل,siku
98,Frost::N,یخ,issi
99,Frost::N,یخ,issik
100,Kälte::N,ساړه,issi
