,Concept_ID,hi,vep
0,Auge::N,आँख,sil'm
1,Auge::N,चक्षु,sil'm
2,Ohr::N,कान,korv
3,Ohr::N,कर्ण,korv
4,Nase::N,नाक,nena
5,Nase::N,नासा,nena
6,Mund::N,मुख,su
7,Mund::N,मुँह,su
8,Zahn::N,दंत,pi
9,Zahn::N,दंत,hambaz
10,Zahn::N,दाँत,pi
11,Zahn::N,दाँत,hambaz
12,Zunge::N,जीभ,kel'
13,Zunge::N,ज़बान,kel'
14,Zunge::N,जिह्वा,kel'
15,Lippe::N,ओंठ,hul'
16,Lippe::N,होंठ,hul'
17,Wange::N,गाल,modpolišk
18,Wange::N,कपोल,modpolišk
19,Gesicht::N,मुँह,mod
20,Gesicht::N,चेहरा,mod
21,Stirn::N,माथा,oc
22,Stirn::N,मस्तक,oc
23,Haar::N,बाल,tuk
24,Haar::N,बाल,hibuz
25,Schnurrbart::N,मूँछें,habinod
26,Bart::N,दाढ़ी,bard
27,Kinn::N,चिबुक,löug
28,Kiefer[Anatomie]::N,जबड़ा,hambazlu
29,Kehle::N,गला,kurk
30,Hals::N,गला,kagl
31,Hals::N,गरदन,kagl
32,Genick::N,गरदन,tagarai
33,Genick::N,ग्रीवा,tagarai
34,Kopf::N,सिर,pä
35,Kopf::N,शीर्ष,pä
36,Rücken::N,पीठ,sel'g
37,Bauch::N,उदर,vac
38,Bauch::N,उदर,koht
39,Nabel::N,नाभि,naba
40,Nabel::N,ढोंढी,naba
41,Busen::N,कुच,niža
42,Busen::N,स्तन,niža
43,Brust::N,वक्ष,rind
44,Schulter::N,कंधा,oug
45,Schulter::N,स्कंध,oug
46,Arm::N,बाँह,käzi
47,Arm::N,बाज़ू,käzi
48,Ellenbogen::N,कुहनी,künambruz
49,Hand::N,हाथ,käzi
50,Hand::N,हाथ,käzitera
51,Hand::N,हस्त,käzi
52,Hand::N,हस्त,käzitera
53,Handfläche::N,हथेली,kämen
54,Finger::N,उँगली,sor'm
55,Finger::N,अँगुली,sor'm
56,Fingernagel::N,नख,künz'
57,Fingernagel::N,नाख़ून,künz'
58,Nagel[Anatomie]::N,नख,künz'
59,Nagel[Anatomie]::N,नाख़ून,künz'
60,Zeh::N,उँगली,barbaz
61,Zeh::N,पाँव की उँगली,barbaz
62,Fuß::N,चरण,jaug
63,Fuß::N,पाँव,jaug
64,Ferse::N,एड़ी,kand
65,Knie::N,जानु,komb
66,Knie::N,जानु,pol'v
67,Knie::N,घुटना,komb
68,Knie::N,घुटना,pol'v
69,Oberschenkel::N,उरु,riiže
70,Bein::N,टाँग,jaug
71,Körper::N,तन,hibj
72,Körper::N,देह,hibj
73,Körper::N,शरीर,hibj
74,Haut::N,चर्म,nahk
75,Haut::N,त्वचा,nahk
76,Blut::N,लहू,čak
77,Blut::N,लहू,veri
78,Blut::N,ख़ून,čak
79,Blut::N,ख़ून,veri
80,Ader::N,रग,son'
81,Ader::N,शिरा,son'
82,Sehne::N,कंडरा,jände
83,Sehne::N,स्नायु,jände
84,Knochen::N,अस्थि,lu
85,Gehirn::N,दिमाग़,aivod
86,Gehirn::N,मस्तिष्क,aivod
87,Herz::N,दिल,südäin
88,Herz::N,हृदय,südäin
89,Magen::N,मेदा,südäikoht
90,Magen::N,अमाशय,südäikoht
91,Leber::N,जिगर,maks
92,Leber::N,यकृत्,maks
93,Atem::N,दम,hengaiduz
94,Atem::N,साँस,hengaiduz
95,Atem::N,श्वास,hengaiduz
96,Hunger::N,भूख,näl'g
97,Hunger::N,क्षुधा,näl'g
98,Träne::N,आँसू,kündal'
99,Träne::N,अश्रु,kündal'
100,Geschmack::N,स्वाद,magu
101,Geschmack::N,ज़ायक़ा,magu
102,Geruch::N,बू,haju
103,Geruch::N,गंध,haju
104,Schlaf::N,नींद,uni
105,Schlaf::N,निद्रा,uni
106,Traum::N,सपना,unikuva
107,Traum::N,स्वप्न,unikuva
108,Himmel::N,आकाश,taivaz
109,Himmel::N,आसमान,taivaz
110,Sonne::N,रवि,päiväine
111,Sonne::N,सूरज,päiväine
112,Sonne::N,सूर्य,päiväine
113,Mond::N,चाँद,kudmaine
114,Mond::N,चंद्र,kudmaine
