,Concept_ID,az,da
0,Auge::N,göz,øje
1,Ohr::N,qulaq,øre
2,Nase::N,burun,næse
3,Mund::N,ağız,mund
4,Zahn::N,diş,tand
5,Zunge::N,dil,tunge
6,Lippe::N,dodaq,læbe
7,Wange::N,yanaq,kind
8,Gesicht::N,üz,ansigt
9,Stirn::N,alın,pande
10,Haar::N,saç,hår
11,Schnurrbart::N,bığ,overskæg
12,Bart::N,saqqal,skæg
13,Kinn::N,çənə,hage
14,Kiefer[Anatomie]::N,çənə,kæbe
15,Kehle::N,boğaz,strube
16,Hals::N,boyun,hals
17,Genick::N,ənsə,nakke
18,Kopf::N,baş,hoved
19,Rücken::N,bel,ryg
20,Bauch::N,qarın,mave
21,Nabel::N,göbək,navle
22,Busen::N,məmə,barm
23,Brust::N,döş,bryst
24,Schulter::N,çiyin,skulder
25,Arm::N,qol,arm
26,Ellenbogen::N,dirsək,albue
27,Hand::N,əl,hånd
28,Handfläche::N,ovuc,håndflade
29,Finger::N,barmaq,finger
30,Fingernagel::N,barmaq dırnağı,fingernegl
31,Nagel[Anatomie]::N,dırnak,negl
32,Zeh::N,ayaq barmağı,tå
33,Fuß::N,ayaq,fod
34,Ferse::N,daban,hæl
35,Knie::N,diz,knæ
36,Oberschenkel::N,bud,lår
37,Bein::N,qıç,ben
38,Körper::N,əndam,krop
39,Körper::N,əndam,legeme
40,Haut::N,dəri,hud
41,Blut::N,qan,blod
42,Ader::N,damar,åre
43,Sehne::N,vətər,sene
44,Knochen::N,sümük,ben
45,Gehirn::N,beyin,hjerne
46,Herz::N,ürək,hjerte
47,Magen::N,mədə,mave
48,Leber::N,qara ciyər,lever
49,Atem::N,nəfəs,ånde
50,Hunger::N,aclıq,sult
51,Träne::N,göz yaşı,tåre
52,Geschmack::N,tam,smag
53,Geschmack::N,ləzzət,smag
54,Geruch::N,qoxu,lugt
55,Schlaf::N,yuxu,søvn
56,Traum::N,röya,drøm
57,Himmel::N,göy,himmel
58,Himmel::N,səma,himmel
59,Sonne::N,günəş,sol
60,Mond::N,ay,måne
61,Stern::N,ulduz,stjerne
62,Luft::N,hava,luft
63,Wind::N,yel,vind
