,Concept_ID,ko,eu
0,Auge::N,눈,begi
1,Ohr::N,귀,belarri
2,Nase::N,코,sudur
3,Mund::N,입,aho
4,Zahn::N,이,hortz
5,Zunge::N,혀,mihi
6,Lippe::N,입술,ezpain
7,Wange::N,뺨,masail
8,Gesicht::N,얼굴,aurpegi
9,Stirn::N,이마,bekoki
10,Haar::N,털,ile
11,Haar::N,털,bilo
12,Schnurrbart::N,윗수몀,bibote
13,Schnurrbart::N,윗수몀,sudurpeko
14,Schnurrbart::N,코밑수염,bibote
15,Schnurrbart::N,코밑수염,sudurpeko
16,Bart::N,수엄,bizar
17,Kinn::N,아래턱,kokots
18,Kiefer[Anatomie]::N,턱,masailezur
19,Kehle::N,인후,eztarri
20,Hals::N,목,sama
21,Genick::N,먹덜이,garondo
22,Kopf::N,머리,buru
23,Rücken::N,든,bizkar
24,Bauch::N,배,sabel
25,Nabel::N,배꼽,zilbor
26,Busen::N,가슴속,titi
27,Busen::N,가슴속,ugatz
28,Brust::N,가슴,bular
29,Schulter::N,어깨,besaburu
30,Arm::N,팔,beso
31,Ellenbogen::N,팔쿰치,ukondo
32,Hand::N,손,esku
33,Handfläche::N,손바닥,ahur
34,Finger::N,속가락,hatz
35,Fingernagel::N,손톱,azazkal
36,Nagel[Anatomie]::N,손톱,azazkal
37,Zeh::N,발가락,behatz
38,Fuß::N,발,oin
39,Ferse::N,발꿈치,orpo
40,Ferse::N,발꿈치,oinburu
41,Knie::N,무릎,belaun
42,Oberschenkel::N,허벅다리,izter
43,Bein::N,다리,zango
44,Körper::N,구간,soin
45,Haut::N,살갗,azal
46,Blut::N,피,odol
47,Ader::N,정맥,zain
48,Sehne::N,현,gihar-zain
49,Knochen::N,뼈,hezur
50,Gehirn::N,뇌,garun
51,Gehirn::N,뇌,burmuin
52,Gehirn::N,뇌수,garun
53,Gehirn::N,뇌수,burmuin
54,Herz::N,염통,bihotz
55,Magen::N,위,urdail
56,Leber::N,간,gibel
57,Atem::N,기식,hats
58,Atem::N,기식,arnasa
59,Hunger::N,공복,gose
60,Träne::N,눈물,malko
61,Geschmack::N,기호,dasta
62,Geruch::N,냄새,usain
63,Schlaf::N,수면,lo
64,Traum::N,쿰,amets
65,Himmel::N,하늘,zeru
66,Sonne::N,해,eguzki
67,Mond::N,달,ilargi
68,Stern::N,별,izar
69,Luft::N,동준,aire
70,Luft::N,가스채,aire
71,Wind::N,바람,haize
72,Welle::N,물결,uhin
73,Welle::N,물결,olatu
74,Wasser::N,물,ur
75,Stein::N,돌,harri
76,Boden::N,바닥,lur
77,Boden::N,바닥,zoru
78,Erde::N,흙,lur
79,Staub::N,먼지,hauts
80,Rauch::N,연기,ke
81,Funke::N,불티,zirta
82,Funke::N,불티,txinparta
83,Feuer::N,불,su
84,Licht::N,불,argi
85,Schatten::N,어스레함,itzal
86,Schatten::N,어스레함,geriza
87,Wetter::N,기상,eguraldi
88,Nebel::N,안개,laino
89,Wolke::N,구름,hodei
90,Regen::N,비,euri
91,Schnee::N,눈,elur
92,Eis::N,얼음,horma
93,Frost::N,혹한,izotzaldi
94,Kälte::N,추위,hotz
95,Kälte::N,차가움,hotz
96,Hitze::N,고온,bero
97,Hitze::N,더위,bero
98,Regenbogen::N,무지개,ostadar
99,Regenbogen::N,무지개,ortzadar
100,Donner::N,뇌명,ostots
101,Donner::N,뇌명,ihurtzuri
102,Strömung::N,유동,laster
103,Tropfen::N,물방울,xorta
104,Schaum::N,포말,bits
