,Concept_ID,el,fi
0,Auge::N,μάτι,silmä
1,Auge::N,οφθαλμός,silmä
2,Ohr::N,αυτί,korva
3,Nase::N,μύτη,nenä
4,Mund::N,στόμα,suu
5,Zahn::N,δόντι,hammas
6,Zunge::N,γλώσσα,kieli
7,Lippe::N,χείλος,huuli
8,Wange::N,παρειά,poski
9,Wange::N,μάγουλο,poski
10,Gesicht::N,πρόσωπο,naama
11,Gesicht::N,πρόσωπο,kasvot
12,Stirn::N,μέτωπο,otsa
13,Haar::N,μαλλιά,hius
14,Haar::N,μαλλιά,tukka
15,Schnurrbart::N,μουστάκι,viikset
16,Bart::N,γένια,parta
17,Kinn::N,πιγούνι,leuka
18,Kiefer[Anatomie]::N,σαγόνι,leukaluu
19,Kehle::N,λαρύγγι,kurkku
20,Hals::N,λαιμός,kaula
21,Genick::N,σβέρκος,niska
22,Kopf::N,κεφάλι,pää
23,Rücken::N,ράχη,selkä
24,Bauch::N,κοιλιά,maha
25,Bauch::N,κοιλιά,vatsa
26,Nabel::N,αφαλός,napa
27,Busen::N,στήθος,rinta
28,Brust::N,στήθος,rinta
29,Schulter::N,ώμος,olka
30,Schulter::N,ώμος,hartia
31,Schulter::N,ώμος,olkapää
32,Arm::N,χέρι,käsivarsi
33,Arm::N,μπράτςο,käsivarsi
34,Ellenbogen::N,αγκώνας,kyynärpää
35,Hand::N,χέρι,käsi
36,Handfläche::N,παλάμη,kämmen
37,Finger::N,δάχτυλο,sormi
38,Fingernagel::N,νύχι,kynsi
39,Nagel[Anatomie]::N,νύχι,kynsi
40,Zeh::N,δάχτυλο του ποδιού,varvas
41,Fuß::N,πόδι,jalka
42,Ferse::N,φτέρνα,kantapää
43,Knie::N,γόνατο,polvi
44,Oberschenkel::N,μηρός,reisi
45,Bein::N,πόδι,jalka
46,Körper::N,σώμα,keho
47,Körper::N,σώμα,ruumis
48,Körper::N,κορμί,keho
49,Körper::N,κορμί,ruumis
50,Haut::N,πετσί,iho
51,Blut::N,αίμα,veri
52,Ader::N,φλέβα,suoni
53,Sehne::N,νεύρο,jänne
54,Sehne::N,τένοντας,jänne
55,Knochen::N,οστό,luu
56,Knochen::N,κόκκαλο,luu
57,Gehirn::N,μυαλό,aivot
58,Gehirn::N,εγκέφαλος,aivot
59,Herz::N,καρδιά,sydän
60,Magen::N,στομάχι,maha
61,Magen::N,στομάχι,vatsa
62,Leber::N,ήπαρ,maksa
63,Leber::N,συκωτί,maksa
64,Atem::N,αναπνοή,henki
65,Atem::N,αναπνοή,hengitys
66,Hunger::N,πείνα,nälkä
67,Träne::N,δάκρυ,kyynel
68,Geschmack::N,γεύση,maku
69,Geruch::N,οσμή,haju
70,Geruch::N,μυρωδία,haju
71,Schlaf::N,ύπνος,uni
72,Traum::N,όνειρο,uni
73,Himmel::N,ουρανός,taivas
74,Sonne::N,ήλιος,aurinko
75,Mond::N,σελήνη,kuu
76,Mond::N,φεγγάρι,kuu
77,Stern::N,άστρο,tähti
78,Stern::N,αστέρι,tähti
79,Luft::N,αέρας,ilma
80,Wind::N,αέρας,tuuli
81,Wind::N,άνεμος,tuuli
82,Welle::N,κύμα,aalto
83,Wasser::N,νερό,vesi
84,Stein::N,πέτρα,kivi
85,Boden::N,χώμα,maa
86,Boden::N,χώμα,maaperä
87,Erde::N,γη,maa
88,Staub::N,σκόνη,pöly
89,Rauch::N,καπνός,savu
90,Funke::N,σπίθα,kipinä
91,Funke::N,σπινθήρας,kipinä
92,Feuer::N,φωτιά,tuli
93,Licht::N,φως,valo
94,Schatten::N,σκιά,varjo
95,Schatten::N,ίσκιος,varjo
96,Wetter::N,καιρός,sää
97,Nebel::N,ομίχλη,sumu
98,Wolke::N,σύννεφο,pilvi
99,Regen::N,βροχή,sade
100,Schnee::N,χιόνι,lumi
101,Eis::N,πάγος,jää
102,Frost::N,παγωνία,halla
103,Frost::N,παγωνία,pakkanen
104,Kälte::N,κρύο,vilu
105,Kälte::N,κρύο,kylmyys
106,Kälte::N,ψύχος,vilu
107,Kälte::N,ψύχος,kylmyys
108,Hitze::N,ζέστη,helle
109,Hitze::N,ζέστη,kuumuus
110,Raureif::N,πάχνη,huurre
111,Regenbogen::N,ουράνιο τόξο,sateenkaari
112,Donner::N,βροντή,jyrinä
113,Strömung::N,ρεύμα,virtaus
114,Tropfen::N,στάλα,tippa
115,Tropfen::N,στάλα,pisara
116,Schaum::N,αφρός,vaahto
117,Schmutz::N,βρωμιά,loka
118,See::N,λίμνη,järvi
119,Sumpf::N,βάλτος,suo
120,Moor::N,έλος,räme
121,Wiese::N,λιβάδι,niitty
122,Wald::N,δάσος,metsä
123,Hügel::N,λόφος,mäki
124,Hügel::N,λόφος,kumpu
125,Hügel::N,λόφος,kukkula
126,Anhöhe::N,ύψωμα,mäki
127,Anhöhe::N,ύψωμα,kumpare
128,Berg::N,όρος,mäki
129,Berg::N,όρος,vuori
130,Berg::N,βουνό,mäki
131,Berg::N,βουνό,vuori
132,Gipfel::N,κορυφή,laki
133,Gipfel::N,κορυφή,huippu
134,Höhle::N,σπηλιά,luola
135,Abhang::N,πλαγιά,rinne
136,Quelle::N,πηγή,lähde
137,Quelle::N,βρύση,lähde
138,Bach::N,ρυάκι,puro
139,Fluss::N,ποτάμι,joki
140,Fluss::N,ποταμός,joki
141,Ufer::N,όχθη,ranta
142,Küste::N,ακτή,rannikko
143,Küste::N,ακρογιαλιά,rannikko
144,Festland::N,στεριά,manner
145,Meer::N,θάλασσα,meri
146,Bucht::N,κόλπος,lahti
147,Insel::N,νησί,saari
148,Insel::N,νήσος,saari
149,Blume::N,άνθος,kukka
150,Blume::N,λουλούδι,kukka
151,Gras::N,χόρτο,ruoho
152,Gras::N,χορτάρι,ruoho
153,Wurzel::N,ρίζα,juuri
154,Baum::N,δέντρο,puu
155,Stamm::N,κορμός,runko
156,Rinde::N,φλούδα,kuori
157,Rinde::N,φλούδα,parkki
158,Ast::N,κλαδί,oksa
159,Zweig::N,κλαδί,haara
160,Zweig::N,κλάδος,haara
161,Blatt::N,φύλλο,lehti
162,Birke::N,σημύδα,koivu
163,Kiefer[Baum]::N,πεύκο,mänty
164,Kiefer[Baum]::N,πεύκο,petäjä
165,Weide[Baum]::N,ιτιά,paju
166,Tanne::N,έλατο,kuusi
167,Horn::N,κέρας,sarvi
168,Horn::N,κέρατο,sarvi
169,Feder::N,φτερό,sulka
170,Feder::N,φτερό,höyhen
171,Fell::N,δέρμα,talja
172,Fell::N,τομάρι,talja
173,Flügel::N,πτερύγιο,siipi
174,Klaue::N,κουλό,kynsi
175,Kralle::N,νύχι,kynsi
176,Schwanz::N,ουρά,häntä
177,Schwanz::N,ουρά,pyrstö
178,Ei::N,αβγό,muna
179,Nest::N,φωλιά,pesä
180,Bau::N,φωλιά,pesä
181,Tier::N,ζώο,eläin
182,Herde::N,κοπάδι,lauma
183,Kuh::N,αγελάδα,lehmä
184,Bulle::N,ταύρος,sonni
185,Pferd::N,άλογο,hevonen
186,Schaf::N,πρόβατο,lammas
187,Schwein::N,γουρούνι,sika
188,Hund::N,σκυλί,koira
189,Hund::N,σκύλος,koira
190,Katze::N,γάτα,kissa
191,Bär::N,άρκτος,karhu
192,Bär::N,αρκούδα,karhu
193,Eichhörnchen::N,βερβερίτσα,orava
194,Elch::N,άλκη,hirvi
195,Fuchs::N,αλεπού,kettu
196,Hase::N,λαγός,jänis
197,Maus::N,ποντικός,hiiri
198,Wolf::N,λύκος,susi
199,Vogel::N,πουλί,lintu
200,Schwarm::N,σμήνος,parvi
201,Huhn::N,κότα,kana
202,Huhn::N,όρνιθα,kana
203,Hahn::N,πετεινός,kukko
204,Gans::N,χήνα,hanhi
205,Adler::N,αετός,kotka
206,Ente::N,πάπια,ankka
207,Eule::N,κουκουβάγια,pöllö
208,Kranich::N,γερανός,kurki
209,Krähe::N,καρακάξα,varis
210,Kuckuck::N,κούκος,käki
211,Schwan::N,κύκνος,joutsen
212,Fisch::N,ψάρι,kala
213,Barsch::N,πέρκα,ahven
214,Hecht::N,λούτσος,hauki
215,Schlange[Tier]::N,φίδι,käärme
216,Wurm::N,σκουλήκι,mato
217,Spinne::N,αράχνη,hämähäkki
218,Ameise::N,μυρμήγκι,muurahainen
219,Laus::N,ψείρα,täi
220,Mücke::N,κουνούπι,sääski
221,Mücke::N,κουνούπι,hyttynen
222,Fliege::N,μύγα,kärpänen
223,Schmetterling::N,πεταλούδα,perhonen
224,Beere::N,ρόγα,marja
225,Apfel::N,μήλο,omena
226,Pilz::N,μανιτάρι,sieni
227,Zwiebel::N,κρεμμύδι,sipuli
228,Saat::N,σπόρος,siemenet
229,Korn::N,σπυρί,jyvä
230,Korn::N,σπυρί,vilja
231,Heu::N,σανός,heinä
232,Schale::N,τσόφλι,kuori
233,Grube::N,λάκκος,kuoppa
234,Falle::N,παγίδα,loukku
235,Schlinge::N,θηλειά,ansa
236,Spur::N,ίχνος,jälki
237,Asche::N,στάχτη,tuhka
238,Dreck::N,βρωμιά,lika
239,Eisen::N,σίδερο,rauta
240,Gold::N,μάλαμα,kulta
241,Gold::N,χρυσάφι,kulta
242,Silber::N,ασήμι,hopea
243,Silber::N,άργυρος,hopea
244,Kohle::N,κάρβουνο,hiili
245,Glas::N,γυαλί,lasi
246,Lehm::N,πηλός,savi
247,Sand::N,άμμος,hiekka
248,Mensch::N,άνθρωπος,ihminen
249,Mann::N,άνδρας,mies
250,Frau::N,γυναίκα,nainen
251,Kind::N,παιδί,lapsi
252,Junge::N,αγόρι,poika
253,Mädchen::N,κοπέλα,tyttö
254,Mädchen::N,κορίτσι,tyttö
255,Familie::N,οικογένεια,perhe
256,Großvater::N,παππούς,isoisä
257,Großmutter::N,γιαγιά,isoäiti
258,Eltern::N,γονείς,vanhemmat
259,Vater::N,πατέρας,isä
260,Mutter::N,μητέρα,äiti
261,Sohn::N,γιος,poika
262,Tochter::N,κόρη,tytär
263,Bruder::N,αδελφός,veli
264,Schwester::N,αδελφή,sisko
265,Onkel::N,θείος,eno
266,Onkel::N,θείος,setä
267,Tante::N,θεία,täti
268,Ehemann::N,σύζυγος,mies
269,Ehemann::N,σύζυγος,aviomies
270,Ehefrau::N,σύζυγος,vaimo
271,Ehefrau::N,σύζυγος,aviovaimo
272,Freude::N,χαρά,ilo
273,Freude::N,χαρά,riemu
274,Gelächter::N,γέλια,nauru
275,Glück::N,ευτυχία,onni
276,Kummer::N,έγνοια,suru
277,Kummer::N,έγνοια,murhe
278,Wunsch::N,επιθυμία,toive
279,Wunsch::N,επιθυμία,toivomus
280,Lust::N,όρεξη,himo
281,Geist::N,πνέυμα,henki
282,Gedanke::N,σκέψη,aate
283,Gedanke::N,σκέψη,ajatus
284,Gedächtnis::N,μνήμη,muisti
285,Verstand::N,νους,äly
286,Verstand::N,νους,järki
287,Verstand::N,νους,ymmärrys
288,Sinn::N,νόημα,merkitys
289,Grund::N,λόγος,syy
290,Grund::N,λόγος,peruste
291,Wahrheit::N,αλήθεια,tosi
292,Wahrheit::N,αλήθεια,totuus
293,Gespräch::N,συνομιλία,puhelu
