,Concept_ID,os,be
0,Auge::N,цӕст,вока
1,Ohr::N,хъус,вуха
2,Nase::N,фындз,нос
3,Mund::N,дзых,рот
4,Zahn::N,дӕндаг,зуб
5,Zunge::N,ӕвзаг,язык
6,Lippe::N,был,губа
7,Wange::N,рус,шчака
8,Wange::N,уадул,шчака
9,Wange::N,ӕхсӕрфарс,шчака
10,Gesicht::N,цӕсгом,твар
11,Stirn::N,ных,лоб
12,Haar::N,хил,волас
13,Haar::N,хил,валасы
14,Schnurrbart::N,рихи,вус
15,Schnurrbart::N,рихи,вусы
16,Bart::N,зачъе,барада
17,Kinn::N,роцъо,падбародак
18,Kiefer[Anatomie]::N,ӕфсӕр,сківіца
19,Kehle::N,хъуыр,горла
20,Hals::N,къубал,шыя
21,Genick::N,къӕбут,патыліца
22,Kopf::N,сӕр,галава
23,Rücken::N,фӕсонтӕ,спіна
24,Bauch::N,гуыбын,жывот
25,Nabel::N,бикъ,пупок
26,Busen::N,дзидзи,грудзі
27,Brust::N,риу,грудзі
28,Schulter::N,уӕхск,плячо
29,Arm::N,цонг,рука
30,Ellenbogen::N,рæмбын,локаць
31,Hand::N,къух,кісць
32,Handfläche::N,армытъӕпӕн,далонь
33,Finger::N,ӕнруылдз,палец
34,Fingernagel::N,ных,ногаць
35,Nagel[Anatomie]::N,ных,ногаць
36,Zeh::N,къух,палец
37,Fuß::N,фад,нага
38,Ferse::N,зӕвӕт,пята
39,Ferse::N,зӕвӕт,пятка
40,Knie::N,уӕраг,калена
41,Oberschenkel::N,агъд,бядро
42,Oberschenkel::N,агъд,сцягно
43,Bein::N,зӕнг,нага
44,Körper::N,буар,цела
45,Haut::N,царм,скура
46,Blut::N,туг,кроў
47,Ader::N,дадзин,вена
48,Ader::N,дадзин,сасуд
49,Ader::N,тугдадзин,вена
50,Ader::N,тугдадзин,сасуд
51,Sehne::N,хъиутæ,жыла
52,Sehne::N,хъиутæ,цеціва
53,Sehne::N,хъиутæ,сухажылле
54,Sehne::N,нуар,жыла
55,Sehne::N,нуар,цеціва
56,Sehne::N,нуар,сухажылле
57,Knochen::N,стӕг,косць
58,Gehirn::N,магъз,мозг
59,Herz::N,зӕрдӕ,сэрца
60,Magen::N,ахсӕн,страўнік
61,Leber::N,игæр,печань
62,Atem::N,улӕфт,дыханне
63,Hunger::N,стонг,голад
64,Träne::N,цæссыг,сляза
65,Geschmack::N,ад,смак
66,Geruch::N,смаг,пах
67,Schlaf::N,хуыссӕг,сон
68,Traum::N,фын,сон
69,Himmel::N,арв,неба
70,Himmel::N,уӕларв,неба
71,Sonne::N,хур,сонца
72,Mond::N,мӕй,месяц
73,Stern::N,стъалы,зорка
74,Luft::N,уӕлдӕф,паветра
75,Wind::N,дымгӕ,вецер
76,Welle::N,уылӕн,хваля
77,Wasser::N,дон,вада
78,Stein::N,дур,камень
79,Boden::N,зӕхх,глеба
80,Erde::N,сыджыт,зямля
81,Staub::N,рыг,пыл
82,Rauch::N,фӕздӕг,дым
83,Funke::N,цӕхӕр,іскра
84,Feuer::N,зынг,агонь
85,Licht::N,рухс,святло
86,Schatten::N,аууон,цень
87,Wetter::N,боныхъӕд,пагода
88,Wetter::N,боныхъӕд,надворʼе
89,Nebel::N,мигъ,туман
90,Wolke::N,ӕврагъ,воблака
91,Regen::N,уарын,дождж
92,Schnee::N,мит,снег
93,Eis::N,их,лёд
94,Frost::N,ихæн,мароз
95,Kälte::N,уазал,холад
96,Hitze::N,ӕнтӕф,спёка
97,Raureif::N,халас,іней
98,Regenbogen::N,арвырон,вясёлка
99,Regenbogen::N,арвырдын,вясёлка
100,Donner::N,æрвнæрын,гром
101,Strömung::N,цыд,цячэнне
