,Concept_ID,br,vep
0,Auge::N,lagad,sil'm
1,Ohr::N,skouarn,korv
2,Nase::N,fri,nena
3,Mund::N,genoù,su
4,Zahn::N,dant,pi
5,Zahn::N,dant,hambaz
6,Zunge::N,teod,kel'
7,Lippe::N,muzell,hul'
8,Wange::N,chot,modpolišk
9,Gesicht::N,dremm,mod
10,Stirn::N,tal,oc
11,Haar::N,blev,tuk
12,Haar::N,blev,hibuz
13,Schnurrbart::N,mourenn,habinod
14,Bart::N,barv,bard
15,Kinn::N,groñj,löug
16,Kiefer[Anatomie]::N,javed,hambazlu
17,Kehle::N,gouzoug,kurk
18,Hals::N,gouzoug,kagl
19,Genick::N,choug,tagarai
20,Kopf::N,penn,pä
21,Rücken::N,kein,sel'g
22,Bauch::N,kof,vac
23,Bauch::N,kof,koht
24,Nabel::N,begel,naba
25,Busen::N,bronn,niža
26,Brust::N,bruched,rind
27,Schulter::N,skoaz,oug
28,Arm::N,brec'h,käzi
29,Ellenbogen::N,ilin,künambruz
30,Hand::N,dorn,käzi
31,Hand::N,dorn,käzitera
32,Handfläche::N,palv,kämen
33,Finger::N,biz,sor'm
34,Fingernagel::N,ivin,künz'
35,Nagel[Anatomie]::N,ivin,künz'
36,Zeh::N,biz-troad,barbaz
37,Fuß::N,troad,jaug
38,Ferse::N,seul,kand
39,Knie::N,glin,komb
40,Knie::N,glin,pol'v
41,Oberschenkel::N,morzhed,riiže
42,Bein::N,gar,jaug
43,Körper::N,korf,hibj
44,Haut::N,kroc'hen,nahk
45,Blut::N,gwad,čak
46,Blut::N,gwad,veri
47,Ader::N,gwazhi,son'
48,Sehne::N,stir,jände
49,Knochen::N,askorn,lu
50,Gehirn::N,empenn,aivod
51,Herz::N,kalon,südäin
52,Magen::N,stomog,südäikoht
53,Leber::N,avu,maks
54,Atem::N,anal,hengaiduz
55,Hunger::N,naon,näl'g
56,Träne::N,daer,kündal'
57,Geschmack::N,blaz,magu
58,Geruch::N,c'hwezh,haju
59,Schlaf::N,kousked,uni
60,Traum::N,hune,unikuva
61,Himmel::N,oabl,taivaz
62,Sonne::N,heol,päiväine
63,Mond::N,loar,kudmaine
64,Stern::N,steredenn,tähtaz
65,Luft::N,aer,il'm
66,Wind::N,avel,döl
67,Wind::N,avel,tullei
68,Welle::N,houlenn,ald
69,Welle::N,houlenn,laineh
70,Wasser::N,dour,vezi
71,Stein::N,maen,kivi
72,Boden::N,tachenn,ma
73,Boden::N,tachenn,pohj
74,Erde::N,douar,ma
75,Staub::N,poultr,pölü
76,Rauch::N,moged,savu
77,Funke::N,ful,kibin
78,Feuer::N,tan,lämoi
79,Licht::N,gouloù,vauktuz
80,Schatten::N,disheol,pil'vez
81,Schatten::N,disheol,kuvahaine
82,Wetter::N,amzer,sä
83,Nebel::N,brumenn,sumeg
84,Wolke::N,koumoulenn,pil'v
85,Regen::N,glav,vihm
86,Schnee::N,erc'h,lumi
87,Eis::N,skorn,jä
88,Frost::N,rev,hala
89,Frost::N,rev,pakaine
90,Kälte::N,yen,vilu
91,Hitze::N,tommder,räk
92,Raureif::N,frim,hüde
93,Regenbogen::N,gwareg-ar-glav,jumalanbembel'
94,Donner::N,kurun,juru
95,Donner::N,kurun,jumalanjuru
96,Strömung::N,red,joksmuz
97,Tropfen::N,bannac'h,tilkuine
98,Tropfen::N,takenn,tilkuine
99,Schaum::N,spoum,vaht
100,Schmutz::N,fank,redu
101,Schmutz::N,fank,pačak
102,See::N,lenn,järv
103,Sumpf::N,gwern,so
104,Moor::N,taouarc'heg,so
105,Wiese::N,prad,nit
106,Wald::N,koad,mec
107,Hügel::N,torgenn,kukaz
108,Anhöhe::N,run,kukaz
109,Berg::N,menez,mägi
110,Gipfel::N,barr,ladv
111,Höhle::N,kav,mägionduz
112,Abhang::N,naou,paute
113,Quelle::N,feunteun,lähte
114,Bach::N,gwazh,oja
115,Fluss::N,stêr,jogi
