,Concept_ID,fi,ro
0,Auge::N,silmä,ochi
1,Ohr::N,korva,ureche
2,Nase::N,nenä,nas
3,Mund::N,suu,gură
4,Zahn::N,hammas,dinte
5,Zunge::N,kieli,limbă
6,Lippe::N,huuli,buză
7,Wange::N,poski,bucă
8,Wange::N,poski,obraz
9,Gesicht::N,naama,față
10,Gesicht::N,naama,figură
11,Gesicht::N,kasvot,față
12,Gesicht::N,kasvot,figură
13,Stirn::N,otsa,frunte
14,Haar::N,hius,păr
15,Haar::N,tukka,păr
16,Schnurrbart::N,viikset,mustață
17,Bart::N,parta,barbă
18,Kinn::N,leuka,bărbie
19,Kiefer[Anatomie]::N,leukaluu,falcă
20,Kehle::N,kurkku,beregată
21,Hals::N,kaula,gât
22,Genick::N,niska,ceafă
23,Kopf::N,pää,cap
24,Rücken::N,selkä,dos
25,Rücken::N,selkä,spate
26,Rücken::N,selkä,spinare
27,Bauch::N,maha,burtă
28,Bauch::N,maha,pântece
29,Bauch::N,vatsa,burtă
30,Bauch::N,vatsa,pântece
31,Nabel::N,napa,buric
32,Busen::N,rinta,sân
33,Brust::N,rinta,piept
34,Schulter::N,olka,umăr
35,Schulter::N,olka,spate
36,Schulter::N,hartia,umăr
37,Schulter::N,hartia,spate
38,Schulter::N,olkapää,umăr
39,Schulter::N,olkapää,spate
40,Arm::N,käsivarsi,braț
41,Ellenbogen::N,kyynärpää,cot
42,Hand::N,käsi,mână
43,Handfläche::N,kämmen,palmă
44,Finger::N,sormi,deget
45,Fingernagel::N,kynsi,unghie
46,Nagel[Anatomie]::N,kynsi,unghie
47,Zeh::N,varvas,deget de la picior
48,Fuß::N,jalka,picior
49,Ferse::N,kantapää,călcâi
50,Knie::N,polvi,genunchi
51,Oberschenkel::N,reisi,coapsă
52,Bein::N,jalka,picior
53,Körper::N,keho,corp
54,Körper::N,ruumis,corp
55,Haut::N,iho,piele
56,Blut::N,veri,sânge
57,Ader::N,suoni,vână
58,Ader::N,suoni,arteră
59,Sehne::N,jänne,tendon
60,Knochen::N,luu,os
61,Gehirn::N,aivot,creier
62,Herz::N,sydän,inimă
63,Magen::N,maha,stomac
64,Magen::N,vatsa,stomac
65,Leber::N,maksa,ficat
66,Atem::N,henki,răsuflare
67,Atem::N,henki,respirație
68,Atem::N,hengitys,răsuflare
69,Atem::N,hengitys,respirație
70,Hunger::N,nälkä,foame
71,Träne::N,kyynel,lacrimă
72,Geschmack::N,maku,gust
73,Geruch::N,haju,miros
74,Schlaf::N,uni,somn
75,Traum::N,uni,vis
76,Himmel::N,taivas,cer
77,Sonne::N,aurinko,soare
78,Mond::N,kuu,lună
79,Stern::N,tähti,stea
80,Luft::N,ilma,aer
81,Wind::N,tuuli,vânt
82,Welle::N,aalto,val
83,Welle::N,aalto,undă
84,Wasser::N,vesi,apă
85,Stein::N,kivi,piatră
86,Boden::N,maa,sol
87,Boden::N,maa,pământ
88,Boden::N,maaperä,sol
89,Boden::N,maaperä,pământ
90,Erde::N,maa,pământ
91,Staub::N,pöly,praf
92,Rauch::N,savu,fum
93,Funke::N,kipinä,scânteie
94,Feuer::N,tuli,foc
95,Licht::N,valo,lumină
96,Schatten::N,varjo,umbră
97,Wetter::N,sää,timp
98,Wetter::N,sää,vreme
99,Nebel::N,sumu,ceață
100,Nebel::N,sumu,negură
101,Wolke::N,pilvi,nor
102,Regen::N,sade,ploaie
103,Schnee::N,lumi,zăpadă
104,Eis::N,jää,gheață
105,Frost::N,halla,ger
106,Frost::N,pakkanen,ger
107,Kälte::N,vilu,frig
108,Kälte::N,kylmyys,frig
109,Hitze::N,helle,arșiță
110,Hitze::N,helle,căldură
111,Hitze::N,kuumuus,arșiță
112,Hitze::N,kuumuus,căldură
113,Raureif::N,huurre,chiciură
114,Regenbogen::N,sateenkaari,curcubeu
115,Donner::N,jyrinä,tunet
116,Strömung::N,virtaus,curent
117,Tropfen::N,tippa,picătură
118,Tropfen::N,pisara,picătură
119,Schaum::N,vaahto,spumă
120,Schmutz::N,loka,murdărie
121,See::N,järvi,lac
