,Concept_ID,mdf,it
0,Auge::N,сельме,occhio
1,Ohr::N,пиле,orecchio
2,Nase::N,шалхка,naso
3,Mund::N,курга,bocca
4,Zahn::N,пей,dente
5,Zunge::N,кяль,lingua
6,Lippe::N,търва́,labbro
7,Wange::N,щёка,guancia
8,Gesicht::N,шама,viso
9,Gesicht::N,шама,faccia
10,Stirn::N,коня,fronte
11,Haar::N,шя́ярь,capello
12,Schnurrbart::N,уса́,baffi
13,Schnurrbart::N,уса́,mustacchi
14,Bart::N,сакал,barba
15,Kinn::N,ула,mento
16,Kiefer[Anatomie]::N,саласка,mascella
17,Kehle::N,кълдома,gola
18,Kehle::N,кърга́парь,gola
19,Hals::N,сялдаз,collo
20,Genick::N,шовонь,nuca
21,Kopf::N,пря,capo
22,Kopf::N,пря,testa
23,Rücken::N,копорь,dorso
24,Rücken::N,копорь,schiena
25,Bauch::N,пеке,ventre
26,Nabel::N,по́кон,ombelico
27,Busen::N,потя,seno
28,Brust::N,мяште,petto
29,Schulter::N,лафту,spalla
30,Arm::N,кядь,braccio
31,Ellenbogen::N,кенерьба́карь,gomito
32,Hand::N,кядь,mano
33,Handfläche::N,кядьлапш,palma
34,Finger::N,сур,dito
35,Fingernagel::N,кенже,unghia
36,Nagel[Anatomie]::N,кенже,unghia
37,Zeh::N,пильгосу́р,dito del piede
38,Fuß::N,пильге,piede
39,Fuß::N,пильгелапа,piede
40,Ferse::N,кочкяря,tallone
41,Ferse::N,кочкяря,calcagno
42,Knie::N,эль,ginocchio
43,Knie::N,пълма́нжа,ginocchio
44,Oberschenkel::N,пильгепукша,fèmore
45,Bein::N,пильге,gamba
46,Körper::N,ро́нга,corpo
47,Körper::N,по́нда,corpo
48,Haut::N,киське,pelle
49,Blut::N,вер,sangue
50,Ader::N,сан,vena
51,Ader::N,верза́н,vena
52,Sehne::N,коське сан,tèndine
53,Knochen::N,пакарь,osso
54,Gehirn::N,уй,cervello
55,Herz::N,седи,cuore
56,Magen::N,коткърдазь,stòmaco
57,Leber::N,макса,fegato
58,Atem::N,лекома,fiato
59,Atem::N,лекома,respiro
60,Atem::N,ваймонь тарксема,fiato
61,Atem::N,ваймонь тарксема,respiro
62,Hunger::N,вачеши,fame
63,Träne::N,сельмове́дь,làcrima
64,Geschmack::N,таньф,gusto
65,Geschmack::N,таньф,sapore
66,Geruch::N,шине,odore
67,Schlaf::N,удома́,sonno
68,Traum::N,он,sogno
69,Himmel::N,менель,cielo
70,Sonne::N,ши,sole
71,Mond::N,ков,luna
72,Stern::N,тяште,stella
73,Luft::N,кожф,aria
74,Wind::N,варма,vento
75,Welle::N,тавла,onda
76,Wasser::N,ведь,acqua
77,Stein::N,кев,sasso
78,Stein::N,кев,pietra
79,Boden::N,мода,suolo
80,Boden::N,мода,terreno
81,Boden::N,потмакс,suolo
82,Boden::N,потмакс,terreno
83,Erde::N,мода,terra
84,Erde::N,мастор,terra
85,Staub::N,пуль,polvere
86,Rauch::N,качам,fumo
87,Funke::N,ця́тка,scintilla
88,Feuer::N,тол,fuoco
89,Licht::N,ва́лда,luce
90,Schatten::N,цильф,ombra
91,Wetter::N,уша,tempo
92,Nebel::N,тума́н,nebbia
93,Wolke::N,ковол,nube
94,Wolke::N,ковол,nùvola
95,Regen::N,пизем,pioggia
96,Schnee::N,лов,neve
97,Eis::N,эй,ghiaccio
98,Frost::N,ке́льме,gelo
99,Kälte::N,якшама,freddo
100,Hitze::N,пси,caldo
101,Hitze::N,пси,calura
102,Raureif::N,леш,brina
103,Regenbogen::N,а́тямъёнга,arcobaleno
104,Donner::N,атям,tuono
105,Strömung::N,шудема́,corrente
106,Tropfen::N,путькс,goccia
107,Tropfen::N,пътняфкс,goccia
108,Schaum::N,шов,spuma
109,Schaum::N,шов,schiuma
110,Schmutz::N,ърда́з,sudiciume
111,See::N,эрьхке,lago
112,Sumpf::N,шяй,palude
113,Moor::N,шяй,torbiera
114,Wiese::N,луга,prato
115,Wald::N,вирь,bosco
116,Wald::N,вирь,foresta
117,Hügel::N,губо́р,colle
118,Hügel::N,губо́р,collina
119,Hügel::N,пандоня,colle
120,Hügel::N,пандоня,collina
121,Anhöhe::N,губо́р,altura
122,Berg::N,панда,monte
123,Berg::N,панда,montagna
124,Gipfel::N,пря,cima
125,Höhle::N,у́нда,grotta
126,Höhle::N,у́нда,caverna
127,Abhang::N,па́нда ша́ма,pendìo
128,Quelle::N,эшиня,sorgente
129,Bach::N,шудерькс,ruscello
130,Fluss::N,ляй,fiume
131,Ufer::N,търва́,riva
132,Küste::N,ляйтърва́,costa
133,Festland::N,мода,terraferma
134,Meer::N,моря,mare
135,Bucht::N,ведьуське,cala
136,Insel::N,цёнга,ìsola
137,Blume::N,панчф,fiore
138,Gras::N,тише,erba
139,Wurzel::N,юр,radice
140,Wurzel::N,ункс,radice
141,Baum::N,шуфта,àlbero
142,Stamm::N,ро́нга,tronco
143,Rinde::N,кер,corteccia
144,Ast::N,морга,ramo
145,Zweig::N,тарад,ramo
146,Blatt::N,лопа,foglia
147,Birke::N,ке́лу,betulla
148,Kiefer[Baum]::N,пиче,pino
149,Weide[Baum]::N,каль,sàlice
150,Tanne::N,куз,abete
151,Horn::N,сюра,corno
152,Feder::N,толга,penna
153,Fell::N,кедь,manto
154,Fell::N,кедь,pelame
155,Flügel::N,паця,ala
156,Klaue::N,кенже,grinfia
157,Kralle::N,кенже,unghia
158,Kralle::N,кенже,artiglio
159,Schwanz::N,пула,coda
160,Ei::N,ал,uovo
161,Nest::N,пиза,nido
162,Bau::N,пиза,covo
163,Tier::N,жува́та,bestia
164,Tier::N,жува́та,animale
165,Herde::N,нал,gregge
166,Herde::N,стада,gregge
167,Kuh::N,скал,vacca
168,Kuh::N,тракс,vacca
169,Bulle::N,бука,toro
170,Pferd::N,лишме,cavallo
171,Schaf::N,уча́,pècora
172,Schwein::N,тува,porco
173,Schwein::N,тува,maiale
174,Hund::N,пине,cane
175,Katze::N,катоня,gatta
176,Katze::N,аваката,gatta
177,Bär::N,офта,orso
178,Eichhörnchen::N,ур,scoiàttolo
179,Elch::N,ся́рда,alce
180,Fuchs::N,келазь,volpe
181,Hase::N,ну́мол,lepre
182,Maus::N,шеер,topo
183,Maus::N,шеер,sorcio
184,Wolf::N,върьгаз,lupo
185,Vogel::N,нармонь,uccello
186,Schwarm::N,ко́вол,stormo
187,Schwarm::N,ме́швеле,stormo
188,Huhn::N,сараз,gallina
189,Hahn::N,а́тякш,gallo
190,Gans::N,маци,oca
191,Adler::N,куцькан,àquila
192,Ente::N,яксярга,ànatra
193,Eule::N,ко́рож,gufo
194,Eule::N,ко́рож,civetta
195,Kranich::N,ка́рга,gru
196,Krähe::N,ва́рси,cornacchia
197,Kuckuck::N,ку́ку,cuccù
198,Kuckuck::N,ку́ку,cùculo
199,Schwan::N,ло́ксти,cigno
200,Fisch::N,кал,pesce
201,Barsch::N,о́кунь,pèrsico
202,Hecht::N,щу́ка,luccio
203,Schlange[Tier]::N,куй,serpente
204,Wurm::N,сукс,baco
205,Wurm::N,сукс,verme
206,Spinne::N,унжа́,ragno
207,Ameise::N,панжам,formica
208,Laus::N,си,pidocchio
209,Mücke::N,ся́ське,zanzara
210,Fliege::N,кару,mosca
211,Schmetterling::N,ме́лав,farfalla
212,Beere::N,и́мож,bacca
213,Apfel::N,марь,mela
214,Pilz::N,панга,fungo
215,Zwiebel::N,шурьхкя́,cipolla
216,Saat::N,видьмот,semente
217,Korn::N,сёра,grano
218,Heu::N,тише,fieno
219,Schale::N,кедь,buccia
220,Grube::N,лотка,cava
221,Grube::N,лотка,fossa
222,Falle::N,туфкс,tràppola
223,Falle::N,кунда́ма,tràppola
224,Schlinge::N,килькш,laccio
225,Spur::N,пильгоки́,traccia
226,Asche::N,кулу,cenere
227,Dreck::N,ърда́з,fango
228,Eisen::N,кшни,ferro
229,Gold::N,ока,oro
230,Gold::N,золота,oro
231,Silber::N,сия́,argento
232,Kohle::N,седь,carbone
233,Kohle::N,седьвальмя,carbone
234,Glas::N,кля́нцек,vetro
235,Lehm::N,сёвонь,argilla
236,Sand::N,шува́р,arena
237,Sand::N,шува́р,sabbia
238,Mensch::N,ломань,uomo
239,Mensch::N,ломань,èssere umano
240,Mann::N,аля,uomo
241,Mann::N,цёраломань,uomo
242,Frau::N,ава,donna
243,Kind::N,идь,bambino
244,Kind::N,шаба,bambino
245,Junge::N,цёраня,ragazzo
246,Mädchen::N,стирня́,ragazza
247,Familie::N,тнал,famiglia
248,Familie::N,семья,famiglia
249,Großvater::N,атя,nonno
250,Großvater::N,щя́тя,nonno
251,Großmutter::N,баба,nonna
