,Concept_ID,be,ce
0,Auge::N,вока,бӏаьрг
1,Ohr::N,вуха,лерг
2,Nase::N,нос,мара
3,Mund::N,рот,бага
4,Zahn::N,зуб,церг
5,Zunge::N,язык,мотт
6,Lippe::N,губа,балда
7,Wange::N,шчака,бесни
8,Gesicht::N,твар,юьхь
9,Stirn::N,лоб,хьаж
10,Haar::N,волас,мас
11,Haar::N,валасы,мас
12,Schnurrbart::N,вус,мекх
13,Schnurrbart::N,вусы,мекх
14,Bart::N,барада,маж
15,Kinn::N,падбародак,чӏениг
16,Kiefer[Anatomie]::N,сківіца,мочхал
17,Kehle::N,горла,къамкъарг
18,Hals::N,шыя,ворта
19,Genick::N,патыліца,кӏесаркӏаг
20,Kopf::N,галава,корта
21,Rücken::N,спіна,букъ
22,Bauch::N,жывот,кийра
23,Nabel::N,пупок,цӏонга
24,Busen::N,грудзі,зударийн накха
25,Brust::N,грудзі,накха
26,Schulter::N,плячо,белш
27,Arm::N,рука,пхьарс
28,Ellenbogen::N,локаць,пхьаьрсан гола
29,Hand::N,кісць,куьг
30,Handfläche::N,далонь,кераюкъ
31,Finger::N,палец,пӏелг
32,Fingernagel::N,ногаць,мӏара
33,Nagel[Anatomie]::N,ногаць,мӏара
34,Zeh::N,палец,кога пӏелг
35,Fuß::N,нага,ког
36,Ferse::N,пята,кӏажа
37,Ferse::N,пятка,кӏажа
38,Knie::N,калена,гола
39,Oberschenkel::N,бядро,варе
40,Oberschenkel::N,сцягно,варе
41,Bein::N,нага,ког
42,Körper::N,цела,хӏума
43,Haut::N,скура,чкъор
44,Blut::N,кроў,цӏий
45,Ader::N,вена,пха
46,Ader::N,сасуд,пха
47,Sehne::N,жыла,хьорзам
48,Sehne::N,цеціва,хьорзам
49,Sehne::N,сухажылле,хьорзам
50,Knochen::N,косць,даьӏахк
51,Gehirn::N,мозг,хье
52,Herz::N,сэрца,дог
53,Magen::N,страўнік,зорх
54,Leber::N,печань,доӏах
55,Atem::N,дыханне,садеӏар
56,Hunger::N,голад,мацалла
57,Träne::N,сляза,бӏаьрхи
58,Geschmack::N,смак,чам
59,Geruch::N,пах,хьожа
60,Schlaf::N,сон,наб
61,Traum::N,сон,гӏан
62,Himmel::N,неба,стигал
63,Sonne::N,сонца,малх
64,Mond::N,месяц,бутт
65,Stern::N,зорка,седа
66,Luft::N,паветра,xӏаваъ
67,Wind::N,вецер,мох
68,Welle::N,хваля,тулгӏе
69,Wasser::N,вада,хи
70,Stein::N,камень,тӏулг
71,Boden::N,глеба,цӏенкъа
72,Erde::N,зямля,латта
73,Staub::N,пыл,чан
74,Rauch::N,дым,кӏур
75,Funke::N,іскра,суй
76,Feuer::N,агонь,цӏе
77,Licht::N,святло,серло
78,Schatten::N,цень,ӏиндагӏ
79,Wetter::N,пагода,хенан хӏоттам
80,Wetter::N,надворʼе,хенан хӏоттам
81,Nebel::N,туман,дохк
82,Wolke::N,воблака,марха
83,Regen::N,дождж,догӏа
84,Schnee::N,снег,ло
85,Eis::N,лёд,ша
86,Frost::N,мароз,шело
87,Kälte::N,холад,шело
88,Hitze::N,спёка,йовхо
89,Raureif::N,іней,йис
90,Regenbogen::N,вясёлка,стелаӏад
91,Donner::N,гром,ткъес
92,Strömung::N,цячэнне,дӏаэхар
93,Strömung::N,цячэнне,дӏасалелар
94,Tropfen::N,кропля,тӏадам
95,Schaum::N,пена,чопа
96,Schmutz::N,гразь,хатт
97,See::N,возера,ӏам
98,Sumpf::N,багна,уьшал
99,Moor::N,балота,уьшал
100,Wiese::N,луг,бай
101,Wald::N,лес,хьун
102,Hügel::N,узгорак,гу
103,Hügel::N,узгорак,шу
104,Hügel::N,узгорак,барз
105,Anhöhe::N,узвышша,акъари
106,Berg::N,гара,лам
107,Gipfel::N,вяршыня,бохь
108,Höhle::N,пячора,хьех
109,Abhang::N,схіл,басе
110,Quelle::N,крыніца,шовда
111,Bach::N,ручай,татол
112,Fluss::N,рака,хи
113,Ufer::N,бераг,хийист
114,Küste::N,узбярэжжа,йист
115,Festland::N,суша,латта
116,Meer::N,мора,xӏорд
117,Bucht::N,бухта,чож
118,Insel::N,востраў,гӏайре
119,Blume::N,кветка,зезаг
120,Gras::N,трава,буц
121,Wurzel::N,корань,орам
122,Baum::N,дрэва,дитт
123,Stamm::N,ствол,гӏад
124,Stamm::N,ствол,тайпа
125,Rinde::N,кара,кевстиг
126,Ast::N,сук,га
127,Zweig::N,галіна,га
128,Blatt::N,ліст,гӏа
129,Birke::N,бяроза,дакх
130,Kiefer[Baum]::N,хвоя,бага
131,Kiefer[Baum]::N,сасна,бага
132,Weide[Baum]::N,вярба,дак
133,Tanne::N,яліна,база
134,Horn::N,рог,маӏа
135,Feder::N,пяро,пелаг
136,Fell::N,шкура,цӏока
137,Flügel::N,крыло,тӏам
138,Klaue::N,кіпцюр,мӏара
139,Kralle::N,лапа,тlод
140,Schwanz::N,хвост,цӏога
141,Ei::N,яйка,xӏoa
142,Nest::N,гняздо,бен
143,Bau::N,нара,lуьрг
144,Tier::N,жывёла,дийнат
145,Herde::N,статак,жа
146,Kuh::N,карова,етт
147,Bulle::N,бык,сту
148,Pferd::N,конь,говр
149,Schaf::N,авечка,жий
150,Schaf::N,авечка,уьстагӏ
151,Schwein::N,свіння,хьакха
152,Hund::N,сабака,жӏаьла
153,Katze::N,кошка,цициг
154,Bär::N,мядзведзь,ча
155,Eichhörnchen::N,вавёрка,тарсал
156,Elch::N,лось,сай
157,Fuchs::N,ліса,цхьогал
158,Hase::N,заяц,пхьагал
159,Maus::N,мыш,дахка
160,Wolf::N,воўк,борз
161,Vogel::N,птах,олхазар
162,Vogel::N,птушка,олхазар
163,Schwarm::N,чарада,
164,Huhn::N,курыца,котам
165,Hahn::N,певень,нӏаьна
166,Hahn::N,певень,боргӏал
167,Gans::N,гусь,гӏаз
168,Adler::N,арол,aьрзу
169,Ente::N,качка,бад
170,Eule::N,сава,бухӏа
171,Kranich::N,жораў,гӏаргӏули
172,Kranich::N,журавель,гӏаргӏули
173,Krähe::N,варона,къиг
174,Kuckuck::N,зязюля,aттйокх
175,Schwan::N,лебедзь,гӏургӏаз
176,Fisch::N,рыба,чӏара
177,Barsch::N,акунь,окунь
178,Hecht::N,шчупак,гӏазкхийн чӏара
179,Schlange[Tier]::N,змяя,лаьхьа
180,Wurm::N,чарвяк,нӏаьна
181,Spinne::N,павук,гезг
182,Ameise::N,мурашка,зингат
183,Laus::N,вош,меза
184,Laus::N,вош,гӏениг
185,Mücke::N,камар,чуьрк
186,Fliege::N,муха,моза
187,Schmetterling::N,матыль,полла
188,Beere::N,ягада,цӏазам
189,Apfel::N,яблык,ӏаж
190,Pilz::N,грыб,жӏаьлин нускал
191,Zwiebel::N,цыбуля,xох
192,Saat::N,семя,чlу
193,Korn::N,зерне,буьртиг
194,Heu::N,сена,йол
195,Schale::N,шалупінне,пардо
196,Grube::N,яма,ор
197,Falle::N,пастка,кӏело
198,Schlinge::N,сіло,
199,Spur::N,след,лар
200,Asche::N,попел,чим
201,Dreck::N,бруд,мода
202,Eisen::N,жалеза,эчиг
203,Gold::N,золата,деши
204,Silber::N,сребра,дети
205,Kohle::N,вугаль,кӏора
206,Glas::N,шкло,aнгали
207,Lehm::N,гліна,поппар
208,Sand::N,пясок,гӏум
209,Mensch::N,чалавек,адам
210,Mann::N,мужчына,майра
211,Frau::N,жанчына,зуда
212,Kind::N,дзіця,бер
213,Junge::N,хлопчык,жимха
214,Mädchen::N,дзяўчынка,жима йоӏ
215,Familie::N,сямʼя,доьзал
216,Großvater::N,дзядуля,ненада
217,Großmutter::N,бабуля,денана
218,Eltern::N,бацькі,да-нана
219,Vater::N,бацька,да
220,Mutter::N,маці,нана
221,Sohn::N,сын,кӏант
222,Tochter::N,дачка,йоӏ
223,Bruder::N,брат,ваша
224,Schwester::N,сястра,йиша
225,Onkel::N,дзядзька,деваша
226,Tante::N,цётка,дейиша
227,Ehemann::N,муж,майра
228,Ehefrau::N,жонка,зуда
229,Freude::N,радасць,самукъа
230,Freude::N,радасць,хазахетар
231,Gelächter::N,смех,белам
232,Glück::N,шчасце,ирс
233,Kummer::N,гора,бала
234,Wunsch::N,жаданне,лаам
235,Lust::N,цяга,лаам
236,Geist::N,дух,са
237,Gedanke::N,думка,ойла
238,Gedächtnis::N,памяць,диццадалар
239,Verstand::N,розум,хьекъал
240,Sinn::N,сэнс,маьӏна
241,Grund::N,зачэпка,бахьана
242,Wahrheit::N,праўда,бакъдерг
243,Gespräch::N,размова,къамел
244,Märchen::N,казка,туьйра
245,Erzählung::N,расказ,дийцар
246,Erzählung::N,апавяданне,дийцар
247,Nachricht::N,вестка,хаам
248,Nachricht::N,паведамленне,хаам
249,Neuigkeit::N,навіна,керланиг
250,Name::N,імя,цӏе
251,Rätsel::N,загадка,хӏетал-метал
252,Rede::N,прамова,къамел
253,Sprache::N,мова,мотт
254,Stimme::N,голас,aз
255,Wort::N,слова,дош
256,Zeichen::N,знак,билгало
257,Ruf::N,кліч,кхайкхар
258,Lärm::N,шум,гӏовгӏа
259,Laut::N,гук,аз
260,Ton::N,гучанне,aз
261,Lied::N,песня,илли
262,Ruhe::N,спакой,тийналла
263,Leute::N,людзі,нах
264,Volk::N,народ,халкъ
265,Arbeit::N,праца,болх
266,Arbeit::N,работа,болх
267,Gast::N,госць,хьаша
268,Geschenk::N,падарунак,совгӏат
269,Spiel::N,гульня,ловзар
270,Gesellschaft::N,таварыства,юкъаралла
