,Concept_ID,ce,sl
0,Auge::N,бӏаьрг,okó
1,Ohr::N,лерг,uhó
2,Nase::N,мара,nós
3,Mund::N,бага,ústa
4,Zahn::N,церг,zób
5,Zunge::N,мотт,jêzik
6,Lippe::N,балда,ústnica
7,Wange::N,бесни,líce
8,Gesicht::N,юьхь,oblíčje
9,Stirn::N,хьаж,čêlo
10,Haar::N,мас,lás
11,Schnurrbart::N,мекх,bŕki
12,Bart::N,маж,bráda
13,Kinn::N,чӏениг,bráda
14,Kiefer[Anatomie]::N,мочхал,čeljúst
15,Kehle::N,къамкъарг,gŕlo
16,Hals::N,ворта,vrát
17,Genick::N,кӏесаркӏаг,zatílnik
18,Kopf::N,корта,gláva
19,Rücken::N,букъ,hrbèt
20,Bauch::N,кийра,trébuh
21,Nabel::N,цӏонга,pópek
22,Busen::N,зударийн накха,nédrja
23,Brust::N,накха,pŕsi
24,Schulter::N,белш,ráma
25,Schulter::N,белш,plêče
26,Arm::N,пхьарс,rôka
27,Ellenbogen::N,пхьаьрсан гола,komólec
28,Hand::N,куьг,rôka
29,Handfläche::N,кераюкъ,dlán
30,Finger::N,пӏелг,pŕst
31,Fingernagel::N,мӏара,nóht na rôki
32,Nagel[Anatomie]::N,мӏара,nóht
33,Zeh::N,кога пӏелг,pŕst na nôgi
34,Fuß::N,ког,nôga
35,Ferse::N,кӏажа,pêta
36,Knie::N,гола,koléno
37,Oberschenkel::N,варе,stêgno
38,Bein::N,ког,nôga
39,Körper::N,хӏума,teló
40,Haut::N,чкъор,kóža
41,Blut::N,цӏий,krí
42,Ader::N,пха,žíla
43,Sehne::N,хьорзам,kíta
44,Knochen::N,даьӏахк,kóst
45,Gehirn::N,хье,možgáni
46,Herz::N,дог,srcé
47,Magen::N,зорх,želódec
48,Leber::N,доӏах,jétra
49,Atem::N,садеӏар,díh
50,Hunger::N,мацалла,glád
51,Träne::N,бӏаьрхи,sólza
52,Geschmack::N,чам,okús
53,Geruch::N,хьожа,vónj
54,Schlaf::N,наб,sèn
55,Schlaf::N,наб,spánec
56,Traum::N,гӏан,sánje
57,Himmel::N,стигал,nebó
58,Sonne::N,малх,sónce
59,Mond::N,бутт,lúna
60,Mond::N,бутт,mésec
