,Concept_ID,uk,udm
0,Auge::N,око,син
1,Ohr::N,вухо,пель
2,Nase::N,ніс,ныр
3,Mund::N,рот,ым
4,Zahn::N,зуб,пинь
5,Zunge::N,язик,кыл
6,Lippe::N,губа,ымдур
7,Wange::N,щока,бам
8,Gesicht::N,обличчя,ымныр
9,Stirn::N,лоб,кымес
10,Haar::N,волосся,йырси
11,Schnurrbart::N,вуса,мыйык
12,Bart::N,борода,туш
13,Kinn::N,підборіддя,ангес
14,Kiefer[Anatomie]::N,щелепа,ан
15,Kiefer[Anatomie]::N,щелепа,анлы
16,Kehle::N,горло,гульым
17,Hals::N,шия,чырты
18,Genick::N,потилиця,йырбер
19,Kopf::N,голова,йыр
20,Rücken::N,спина,мыш
21,Bauch::N,живіт,кӧт
22,Nabel::N,пупок,гогы
23,Busen::N,груди,ноны
24,Brust::N,груди,мӧля
25,Schulter::N,плече,пельпум
26,Arm::N,рука,суй
27,Ellenbogen::N,лікоть,гырпум
28,Hand::N,рука,ки
29,Handfläche::N,долоня,ки пыдэс
30,Handfläche::N,долоня,кырым пыдэс
31,Finger::N,палець,чиньы
32,Fingernagel::N,ніготь,гижы
33,Fingernagel::N,ніготь,гиждӥнь
34,Nagel[Anatomie]::N,ніготь,гижы
35,Zeh::N,палець на нозі,пыдчиньы
36,Fuß::N,нога,пыд
37,Ferse::N,п’ятка,пыдбер
38,Knie::N,коліно,пыдес
39,Oberschenkel::N,стегно,макес
40,Bein::N,нога,пыд
41,Körper::N,тіло,мугор
42,Körper::N,тіло,вылтыр
43,Haut::N,шкіра,ку
44,Blut::N,кров,вир
45,Ader::N,вена,вирсэр
46,Sehne::N,сухожилля,вуж
47,Knochen::N,кістка,лы
48,Gehirn::N,мозок,вим
49,Herz::N,серце,сюлэм
50,Magen::N,шлунок,ӝуш
51,Leber::N,печінка,мус
52,Atem::N,дихання,лул
53,Atem::N,дихання,шокан
54,Hunger::N,голод,кӧтсюман
55,Träne::N,сльоза,синкыли
56,Geschmack::N,смак,шӧм
57,Geruch::N,запах,зын
58,Schlaf::N,сон,вӧт
59,Schlaf::N,сплячка,вӧт
60,Traum::N,сон,уйвӧт
61,Himmel::N,небо,ин
62,Sonne::N,сонце,шунды
63,Mond::N,місяць,толэзь
64,Stern::N,зірка,кизили
65,Luft::N,повітря,омыр
66,Wind::N,вітер,тӧл
67,Welle::N,хвиля,тулкым
68,Wasser::N,вода,ву
69,Stein::N,камінь,из
70,Boden::N,ґрунт,музъем
71,Erde::N,земля,му
72,Staub::N,пил,пыль
73,Rauch::N,дим,ӵын
74,Funke::N,іскра,гизьы
75,Feuer::N,вогонь,тыл
76,Licht::N,світло,тыл
77,Schatten::N,тінь,вужер
78,Wetter::N,погода,куазь
79,Nebel::N,туман,бус
80,Wolke::N,хмара,пилем
81,Regen::N,дощ,зор
82,Schnee::N,сніг,лымы
83,Eis::N,лід,йӧ
84,Frost::N,мороз,кезьыт
85,Kälte::N,холод,кезьыт
86,Hitze::N,жар,пӧсь
87,Raureif::N,іній,гӧр
88,Regenbogen::N,райдуга,вуюись
89,Donner::N,грім,гудыри
90,Strömung::N,струмина,бызён
91,Tropfen::N,крапля,шапык
92,Schaum::N,піна,шукы
93,Schmutz::N,бруд,нӧд
94,Schmutz::N,бруд,дэри
95,See::N,озеро,ты
96,Sumpf::N,драговина,нюр
97,Moor::N,болото,нюр
98,Wiese::N,луг,возь
99,Wiese::N,луг,возьвыл
100,Wiese::N,лука,возь
101,Wiese::N,лука,возьвыл
102,Wald::N,ліс,сик
103,Wald::N,ліс,нюлэс
104,Hügel::N,горб,выр
105,Hügel::N,горб,вырйыл
106,Anhöhe::N,височина,выр
107,Anhöhe::N,височина,вырйыл
108,Berg::N,гора,гурезь
109,Gipfel::N,вершина,йыл
110,Höhle::N,печера,гу
111,Abhang::N,схил,бам
112,Quelle::N,джерело,ошмес
113,Bach::N,струмок,пичи шур
114,Fluss::N,річка,шур
115,Ufer::N,берег,ярдур
116,Küste::N,узбережжя,вудур
117,Festland::N,суша,мувыр
118,Meer::N,море,зарезь
119,Bucht::N,бухта,вукож
120,Bucht::N,затока,вукож
121,Insel::N,острів,вумуӵ
122,Insel::N,острів,шормуӵ
123,Blume::N,квітка,сяська
124,Gras::N,трава,турын
125,Wurzel::N,корінь,выжы
126,Baum::N,дерево,пу
127,Stamm::N,стовбур,модос
128,Rinde::N,кора,сул
129,Ast::N,гілка,ул
130,Zweig::N,галузь,вай
131,Blatt::N,лист,куар
132,Birke::N,береза,кызьпу
133,Kiefer[Baum]::N,сосна,пужым
134,Weide[Baum]::N,верба,бадьпу
135,Tanne::N,ялиця,кыз
136,Horn::N,ріг,сюр
137,Feder::N,перо,тылы
138,Fell::N,хутро,ку
139,Flügel::N,крило,бурд
140,Klaue::N,кіготь,гижы
141,Kralle::N,лапа,пыд
142,Schwanz::N,хвіст,быж
143,Ei::N,яйце,пуз
144,Ei::N,яйце,кукей
145,Nest::N,гніздо,кар
146,Nest::N,гніздо,пузкар
147,Bau::N,лігво,кар
148,Bau::N,лігво,гу
149,Tier::N,тварина,пӧйшур
150,Herde::N,стадо,уллё
151,Kuh::N,корова,скал
152,Bulle::N,бик,ош
153,Bulle::N,бик,пороз
154,Bulle::N,бугай,ош
155,Bulle::N,бугай,пороз
156,Pferd::N,кінь,вал
157,Schaf::N,вівця,ыж
158,Schwein::N,свиня,парсь
159,Hund::N,собака,пуны
160,Katze::N,кішка,коӵыш
161,Bär::N,ведмідь,гондыр
162,Eichhörnchen::N,білка,коньы
163,Elch::N,лось,койык
164,Fuchs::N,лисиця,ӟичы
165,Hase::N,заєць,кеч
166,Maus::N,миша,шыр
167,Wolf::N,вовк,кион
168,Vogel::N,птах,тылобурдо
169,Schwarm::N,зграя,уллё
170,Huhn::N,курка,курег
171,Hahn::N,півень,атас
172,Gans::N,гуска,ӟазег
173,Adler::N,орел,ӧрзи
174,Ente::N,качка,ӵӧж
175,Eule::N,сова,кучыран
176,Kranich::N,журавель,тури
177,Krähe::N,ворона,куака
178,Kuckuck::N,зозуля,кикы
179,Schwan::N,лебідь,юсь
180,Fisch::N,риба,чорыг
181,Barsch::N,окунь,юш
182,Hecht::N,щука,чипей
183,Schlange[Tier]::N,змія,кый
184,Wurm::N,черв’як,нумыр
185,Spinne::N,павук,чонари
186,Ameise::N,мурашка,кузьыли
187,Laus::N,воша,тэй
188,Mücke::N,комар,нымы
189,Mücke::N,комар,чибинь
190,Fliege::N,муха,кут
191,Schmetterling::N,метелик,бубыли
192,Beere::N,ягода,узы-боры
193,Apfel::N,яблуко,яблок
194,Pilz::N,гриб,губи
195,Zwiebel::N,цибуля,сугон
196,Saat::N,сім’я,кидыс
197,Korn::N,зерно,тысь
198,Heu::N,сіно,турын
199,Schale::N,шкірка,кыд
200,Grube::N,яма,гу
201,Grube::N,яма,гоп
202,Falle::N,пастка,налик
203,Schlinge::N,петля,гиӟ
204,Schlinge::N,петля,герд
205,Spur::N,слід,пытьы
206,Spur::N,слід,бервыл
207,Asche::N,зола,пень
208,Asche::N,попіл,пень
209,Dreck::N,бруд,дэри
210,Eisen::N,залізо,корт
211,Gold::N,золото,зарни
212,Silber::N,срібло,азвесь
213,Kohle::N,вугілля,эгыр
214,Glas::N,скло,стекло
215,Glas::N,скло,пияла
216,Lehm::N,глина,сюй
217,Sand::N,пісок,луо
218,Mensch::N,людина,мурт
219,Mensch::N,людина,адями
220,Mann::N,чоловік,воргорон
221,Frau::N,жінка,кышномурт
222,Kind::N,дитина,нуны
223,Kind::N,дитина,пинал
224,Junge::N,хлопець,пи
225,Mädchen::N,дівчина,ныл
226,Familie::N,сім’я,семья
227,Familie::N,родина,семья
228,Großvater::N,дідусь,песятай
229,Großvater::N,дідусь,пересь атай
230,Großmutter::N,бабуся,песянай
231,Großmutter::N,бабуся,пересь анай
232,Eltern::N,батьки,атай-анай
233,Eltern::N,батьки,бубы-мумы
234,Vater::N,батько,айы
235,Vater::N,батько,атай
236,Mutter::N,мати,мумы
237,Sohn::N,син,пи
238,Tochter::N,дочка,ныл
239,Bruder::N,брат,агай
240,Schwester::N,сестра,апа
241,Schwester::N,сестра,сузэр
242,Onkel::N,дядько,агай
243,Tante::N,тітка,апа
244,Tante::N,тітка,кенак
245,Ehemann::N,чоловік,карт
246,Ehefrau::N,жінка,кышно
247,Ehefrau::N,дружина,кышно
248,Freude::N,радощі,шумпотон
249,Gelächter::N,сміх,горем
250,Glück::N,щастя,шуд
251,Kummer::N,горе,кайгу
252,Kummer::N,горе,куректон
253,Wunsch::N,бажання,мылпотон
254,Lust::N,бажання,потон
255,Geist::N,дух,лул
256,Gedanke::N,думка,малпан
257,Gedächtnis::N,пам’ять,йырсазь
258,Gedächtnis::N,пам’ять,тодэваён
259,Verstand::N,розум,йырвизь
260,Sinn::N,зміст,смысл
261,Sinn::N,значення,смысл
262,Grund::N,причина,муг
263,Grund::N,причина,ньӧм
264,Wahrheit::N,правда,зэм
265,Wahrheit::N,правда,шонер
266,Gespräch::N,розмова,вераськон
267,Märchen::N,байка,выжыкыл
268,Erzählung::N,повість,верос
269,Erzählung::N,оповідання,верос
270,Nachricht::N,повідомлення,ивор
271,Neuigkeit::N,новина,выльивор
272,Name::N,ім’я,ним
273,Rätsel::N,загадка,мадькыл
274,Rede::N,промова,верам
275,Sprache::N,мова,кыл
276,Stimme::N,голос,куара
277,Wort::N,слово,кыл
278,Zeichen::N,знак,пус
279,Zeichen::N,знак,тодмет
280,Ruf::N,оклик,ӧтён
281,Ruf::N,оклик,чортон
282,Lärm::N,шум,ӵашетон
283,Laut::N,звук,куара
284,Ton::N,тон,куара
285,Lied::N,пісня,кырӟан
286,Ruhe::N,спокій,чалмыт улон
287,Leute::N,люди,адямиос
288,Volk::N,народ,калык
289,Arbeit::N,робота,уж
290,Gast::N,гість,куно
291,Geschenk::N,подарунок,салам
292,Geschenk::N,подарунок,кузьым
293,Spiel::N,гра,шудон
294,Gesellschaft::N,товариство,калык
295,Hilfe::N,допомога,юрттон
296,Freund::N,друг,эш
297,Freund::N,друг,юлтош
298,Freund::N,приятель,эш
299,Freund::N,приятель,юлтош
300,Kamerad::N,товариш,тодмо
301,Angelegenheit::N,справа,уж
302,Anzahl::N,число,лыд
303,Art::N,рід,тус
304,Stück::N,кусок,юдэс
305,Teil::N,частина,люкет
306,Hälfte::N,половина,ӝыны
307,Kreis::N,круг,котырес
308,Kreis::N,коло,котырес
309,Kreuz::N,хрест,крест
310,Linie::N,лінія,гож
311,Strich::N,штрих,гож
312,Abstand::N,проміжок,вис
313,Abstand::N,проміжок,кусып
314,Entfernung::N,відстань,кусып
315,Gegend::N,місцевість,инты
316,Platz::N,площа,инты
317,Ort::N,місце,инты
318,Ort::N,місце,места
319,Seite::N,сторона,пал
320,Mitte::N,середина,шор
321,Gegenstand::N,предмет,арбери
322,Sache::N,річ,котыр
323,Rand::N,край,дур
324,Rand::N,край,шаер
325,Kante::N,ребро,дур
326,Ecke::N,ріг,сэрег
327,Spitze::N,кінчик,йыл
328,Ende::N,кінець,пум
329,Loch::N,діра,пась
330,Winkel::N,куток,сэрег
331,Muster::N,узор,пужы
332,Größe::N,розмір,быдӟала
333,Länge::N,довжина,кузьдала
334,Höhe::N,висота,ӝуждала
335,Gewicht::N,вага,сектала
336,Gewicht::N,вага,секытлык
337,Menge::N,кількість,лыд
338,Menge::N,кількість,лыдпус
339,Haufen::N,купа,люк
340,Reihe::N,ряд,чур
341,Boot::N,човен,пыж
342,Boot::N,човен,лодка
343,Ruder::N,весло,полыс
344,Schlitten::N,сани,додьы
345,Ski::N,лижа,куас
346,Lagerfeuer::N,вогнище,тылскем
347,Last::N,тягар,секыт
348,Last::N,вантаж,секыт
349,Gang::N,хід,ветлон
350,Schritt::N,крок,вамыш
351,Norden::N,північ,уйпал
352,Süden::N,південь,лымшор
353,Westen::N,захід,шунды пуксён
354,Osten::N,схід,шунды ӝужан
355,Holz::N,дрова,пу
356,Brett::N,дошка,пул
357,Platte::N,плита,плита
358,Stütze::N,підпірка,пыкет
359,Stange::N,жердина,пуӵ
360,Stock::N,палиця,боды
361,Stab::N,палиця,пуӵ
362,Stab::N,палиця,боды
363,Rohr::N,труба,труба
364,Haus::N,дім,юрт
365,Haus::N,хата,юрт
366,Heim::N,житло,корка
367,Ofen::N,піч,гур
368,Fußboden::N,підлога,выж
369,Tisch::N,стіл,ӝӧк
370,Stuhl::N,стілець,пукон
371,Wiege::N,колиска,кӧкы
372,Wiege::N,колиска,зыбка
373,Bett::N,ліжко,валес
374,Bett::N,постіль,валес
375,Regal::N,полиця,ӝажы
376,Kiste::N,ящик,ящик
377,Fenster::N,вікно,укно
378,Fenster::N,вікно,косяк
379,Tür::N,двері,ӧс
380,Tor::N,ворота,ӟезьы
381,Zaun::N,паркан,забор
382,Zaun::N,огорожа,забор
383,Dach::N,дах,липет
384,Leiter::N,драбина,падӟа
385,Besen::N,мітла,ӵужон
386,Besen::N,мітла,исьнер
387,Spaten::N,заступ,лопатка
388,Schaufel::N,совок,ютырон
389,Schaufel::N,лопата,ютырон
390,Gabel::N,виделка,тэчы
391,Gabel::N,виделка,вилка
392,Löffel::N,ложка,пуньы
393,Messer::N,ніж,пурт
394,Nagel::N,цвях,кортӵог
395,Netz::N,сіть,сеть
396,Haken::N,крюк,курик
397,Griff::N,ручка,ныд
398,Griff::N,держак,ныд
399,Schloss::N,замок,тунгон
400,Bild::N,картина,суред
401,Figur::N,фігура,фигура
402,Puppe::N,лялька,мунё
403,Beutel::N,мішечок,пуйы
404,Beutel::N,торбинка,пуйы
405,Bündel::N,в’язка,керттэт
406,Tasche::N,сумка,пуйы
407,Tasche::N,сумка,сумка
408,Eimer::N,відро,ведра
409,Deckel::N,кришка,ӵоксэт
410,Geschirr::N,посуд,тусьты-пуньы
411,Sack::N,мішок,пуйы
412,Tasse::N,чашка,ӵаша
413,Topf::N,горщик,миска
414,Kessel::N,котел,пурты
415,Essen::N,їжа,сиськон
416,Nahrung::N,харч,сион
417,Speise::N,страва,сиён
418,Fleisch::N,м’ясо,сӥль
419,Getreide::N,хліб,ю тысь
420,Getreide::N,збіжжя,ю тысь
421,Brei::N,каша,ӝук
422,Brot::N,хліб,нянь
423,Scheibe::N,скибочка,шорем
424,Fett::N,жир,кӧй
425,Butter::N,масло,вӧй
426,Öl::N,олія,вӧй
427,Salz::N,сіль,сылал
428,Suppe::N,суп,шыд
429,Honig::N,мед,чечы
430,Milch::N,молоко,йӧл
431,Tee::N,чай,чай
432,Leder::N,шкіра,сурон
433,Wolle::N,шерсть,гон
434,Wolle::N,шерсть,ыжгон
435,Stoff::N,тканина,куэм
436,Nadel::N,голка,вень
437,Faden::N,нитка,сӥньыс
438,Knopf::N,ґудзик,бирды
439,Knoten::N,вузол,герд
440,Farbe::N,фарба,буёл
441,Kleidung::N,одяг,дӥсь
442,Kleidung::N,убрання,дӥсь
443,Hemd::N,сорочка,дэрем
444,Kragen::N,комір,сирес
445,Ärmel::N,рукав,саес
446,Hose::N,брюки,брюки
447,Hose::N,брюки,штань
448,Gürtel::N,пояс,кускерттон
449,Mütze::N,шапка,ызьы
450,Schuh::N,ботинок,ботинка
451,Stiefel::N,чобіт,сапег
452,Ring::N,кільце,зундэс
453,Band::N,стрічка,лента
454,Kamm::N,гребінець,сын
455,Spiegel::N,дзеркало,синучкон
456,Riemen::N,ремінь,е
457,Schnur::N,вірьовка,гозы
458,Leine::N,шворка,думет
459,Decke::N,ковдра,шобрет
460,Kissen::N,подушка,миндэр
461,Tuch::N,хустка,кышет
462,Handtuch::N,рушник,ӵушкон
463,Kraft::N,сила,кать
464,Kraft::N,сила,ӟигар
465,Stärke::N,сила,юнлык
466,Gesundheit::N,здоров’я,тазалык
467,Krankheit::N,хвороба,висён
468,Schmerz::N,біль,висён
469,Wunde::N,рана,яра
470,Fieber::N,гарячка,кезег
471,Arznei::N,ліки,эмъюм
472,Brücke::N,міст,выж
473,Brunnen::N,колодязь,колдэч
474,Weide::N,пасовище,возь
475,Pfad::N,стежка,сюрес
476,Weg::N,шлях,сюрес
477,Weg::N,дорога,сюрес
478,Straße::N,вулиця,сюрес
479,Dorf::N,село,гурт
480,Stadt::N,місто,кар
481,Stadt::N,місто,город
482,Brief::N,лист,гожтэт
483,Buch::N,книга,книга
484,Buch::N,книжка,книга
485,Buchstabe::N,буква,буква
486,Buchstabe::N,літера,буква
487,Zeitung::N,газета,газет
488,Leben::N,життя,улон
489,Tod::N,смерть,кулон
490,Grab::N,могила,шайгу
491,Kirche::N,церква,черк
492,Sünde::N,гріх,сьӧлык
493,Gott::N,бог,ӥнмар
494,Arbeiter::N,робітник,рабочий
495,Chef::N,хазяїн,начальник
496,Meister::N,умілець,кибашлы
497,Arzt::N,лікар,врач
498,Lehrer::N,вчитель,дышетӥсь
499,Geld::N,гроші,уксё
500,Geld::N,гроші,коньдон
501,Geschäft::N,заняття,уж
502,Laden::N,магазин,магазин
503,Laden::N,крамниця,магазин
504,Preis::N,ціна,дун
505,Ware::N,товар,вуз
506,Nutzen::N,вигода,пайда
507,Nutzen::N,користь,пайда
508,Reichtum::N,багатство,узырлык
509,Welt::N,світ,дунне
510,Land::N,країна,шаер
511,Staat::N,держава,кун
512,König::N,король,эксэй
513,Macht::N,влада,власть
514,Grenze::N,кордон,кунгож
515,Krieg::N,війна,ож
516,Feind::N,ворог,тушмон
517,Gewalt::N,насильство,эриктэман
518,Kampf::N,бій,нюръяськон
519,Kampf::N,боротьба,нюръяськон
520,Bogen[Waffe]::N,лук,пукыӵ
521,Pfeil::N,стріла,пукыӵ вень
522,Gewehr::N,рушниця,пыӵал
523,Gewehr::N,гвинтівка,пыӵал
524,Fehler::N,помилка,янгыш
525,Lüge::N,брехня,пӧян
526,Lüge::N,брехня,алдан
527,Lüge::N,брехня,ӧрекчан
528,Schaden::N,шкода,изъян
529,Schaden::N,збиток,изъян
530,Unglück::N,нещастя,куректон
531,Unglück::N,нещастя,шудтэме усён
532,Schuld::N,провина,янгыш
533,Alter::N,вік,арлыд
534,Alter::N,літа,арлыд
535,Schluss::N,кінець,пум
536,Zeit::N,час,дыр
537,Tag::N,день,нунал
538,Morgen::N,ранок,ӵукна
539,Mittag::N,південь,лымшор
540,Abend::N,вечір,ӝыт
541,Abend::N,вечір,акшан
542,Nacht::N,ніч,уй
543,Woche::N,тиждень,арня
544,Monat::N,місяць,толэзь
545,Jahr::N,рік,ар
546,Frühling::N,весна,тулыс
547,Sommer::N,літо,гужем
548,Herbst::N,осінь,сӥзьыл
549,Winter::N,зима,тол
550,Januar::N,січень,выльартолэзь
551,Februar::N,лютий,тулыспал
552,März::N,березень,южтолэзь
553,April::N,квітень,оштолэзь
554,Mai::N,травень,куартолэзь
555,Juni::N,червень,вожотолэзь
556,Juli::N,липень,пӧсьтолэзь
557,August::N,серпень,гудырикошкон
558,September::N,вересень,куарусён
559,Oktober::N,жовтень,выльӝуктолэзь
560,November::N,листопад,шуркынмон
561,Dezember::N,грудень,толсур
562,Montag::N,понеділок,вордӥськон
563,Dienstag::N,вівторок,вторник
564,Mittwoch::N,середа,вирнунал
565,Donnerstag::N,четвер,покчиарня
566,Freitag::N,п’ятниця,удмуртарня
567,Samstag::N,субота,кӧснунал
568,Sonntag::N,неділя,арня
569,groß::A,великий,бадӟым
570,klein::A,малий,пичи
571,klein::A,маленький,пичи
572,lang::A,довгий,кузь
573,kurz::A,короткий,вакчи
574,breit::A,широкий,паськыт
575,schmal::A,вузький,сюлэг
576,dicht::A,густий,ӵем
577,dick[Gegenstand]::A,товстий,зӧк
578,dünn::A,тонкий,векчи
579,fein::A,дрібний,векчи
580,fest::A,міцний,юн
581,fest::A,міцний,чурыт
582,flach::A,плоский,ӵошкыт
583,glatt::A,рівний,гылыт
584,glatt::A,рівний,вольыт
585,glatt::A,гладенький,гылыт
586,glatt::A,гладенький,вольыт
587,hart::A,твердий,чурыт
588,weich::A,м’який,небыт
589,rund::A,круглий,котырес
590,spitz::A,гострокінцевий,йылсо
591,scharf::A,гострий,лэчыт
592,stumpf::A,тупий,ныж
593,schwer::A,важкий,секыт
594,schön::A,вродливий,чебер
595,heiß::A,жаркий,пӧсь
596,heiß::A,гарячий,пӧсь
597,warm::A,теплий,шуныт
598,kalt::A,холодний,кезьыт
599,kühl::A,прохолодний,юзмыт
600,kühl::A,прохолодний,салкым
601,frisch::A,свіжий,выль
602,feucht::A,вогкий,мускыт
603,nass::A,мокрий,котмем
604,trocken::A,сухий,кӧс
605,voll::A,повний,тыр
606,leer::A,пустий,буш
607,leer::A,пустий,тырттэм
608,offen::A,відкритий,усьтэм
609,geschlossen::A,закритий,ӵогам
610,geschlossen::A,закритий,пунням
611,geschlossen::A,зачинений,ӵогам
612,geschlossen::A,зачинений,пунням
613,sauber::A,чистий,ӝикыт
614,sauber::A,чистий,чылкыт
615,sauber::A,охайний,ӝикыт
616,sauber::A,охайний,чылкыт
617,schmutzig::A,брудний,нӧд
618,roh::A,сирий,ыль
619,reif::A,зрілий,вуэм
620,lecker::A,смачний,ческыт
621,süß::A,солодкий,ческыт
622,bitter::A,гіркий,курыт
623,sauer::A,кислий,чырс
624,hell::A,світлий,югыт
625,dunkel::A,темний,пеймыт
626,schwarz::A,чорний,сьӧд
627,weiß::A,сивий,тӧдьы
628,rot::A,червоний,горд
629,gelb::A,жовтий,ӵуж
630,blau::A,синій,лыз
631,grün::A,зелений,вож
632,grau::A,сірий,пурысь
633,bunt::A,барвистий,куӵо
634,billig::A,дешевий,дунтэм
635,teuer::A,дорогий,дуно
636,wertvoll::A,цінний,дуно
637,blind::A,сліпий,сукыр
638,blind::A,сліпий,синтэм
639,taub::A,глухий,пельтэм
640,kräftig::A,могутній,кужмо
641,stark::A,сильний,юн
642,stark::A,сильний,кужмо
643,schwach::A,слабкий,ляб
644,schwach::A,слабкий,начар
645,fett::A,жирний,кӧй
646,fett::A,товстий,кӧй
647,schlank::A,тонкий,веськыт
648,schlank::A,тонкий,веськрес
649,schlank::A,стрункий,веськыт
650,schlank::A,стрункий,веськрес
651,hübsch::A,чарівний,чебер
652,hübsch::A,чарівний,синмаськымон
653,böse::A,злий,лек
654,böse::A,лихий,лек
655,dumm::A,дурний,шузи
656,dumm::A,дурний,визьтэм
657,faul::A,ледачий,азьтэм
658,fleißig::A,старанний,сюлмо
659,geizig::A,скупий,сук
660,klug::A,мудрий,визьмо
661,klug::A,розумний,визьмо
662,geschickt::A,умілий,усто
663,geschickt::A,умілий,быгатӥсь
664,lieb::A,милий,мусо
665,lustig::A,веселий,шулдыр
666,sanft::A,лагідний,мусо
667,sanft::A,лагідний,эрке
668,hungrig::A,голодний,сютэм
669,krank::A,слабий,висись
670,nackt::A,голий,гольык
671,traurig::A,сумний,мӧзмыт
672,lebendig::A,живий,улэп
673,gut::A,добрий,ӟеч
674,gut::A,добрий,умой
675,schlecht::A,поганий,урод
676,schlecht::A,поганий,алама
677,schlecht::A,кепський,урод
678,schlecht::A,кепський,алама
679,richtig::A,правильний,шонер
680,schlimm::A,бридкий,алама
681,wahr::A,справжній,зэмос
682,alt::A,старий,вуж
683,neu::A,новий,выль
684,ehemalig::A,колишній,азьвылэз
685,alt[Lebewesen]::A,старий,пересь
686,jung::A,молодий,егит
687,jung::A,молодий,пинал
688,arm::A,бідний,начар
689,arm::A,бідний,куанер
690,reich::A,багатий,узыр
691,bekannt::A,знайомий,тодмо
692,berühmt::A,славетний,дано
693,fremd::A,чужий,ят
694,verschieden::A,різний,пӧртэм
695,nah::A,близький,матысь
