,Concept_ID,lez,de
0,Auge::N,вил,Auge
1,Ohr::N,яб,Ohr
2,Nase::N,нер,Nase
3,Mund::N,сив,Mund
4,Zahn::N,сас,Zahn
5,Zahn::N,свах,Zahn
6,Zunge::N,мез,Zunge
7,Lippe::N,пӏуз,Lippe
8,Wange::N,хъвехъ,Wange
9,Gesicht::N,ччин,Gesicht
10,Stirn::N,пел,Stirn
11,Haar::N,чӏар,Haar
12,Schnurrbart::N,спел,Schnurrbart
13,Schnurrbart::N,спелар,Schnurrbart
14,Bart::N,ччуру,Bart
15,Kinn::N,чене,Kinn
16,Kiefer[Anatomie]::N,чене,Kiefer
17,Kehle::N,туьд,Kehle
18,Hals::N,гардан,Hals
19,Genick::N,кьам,Genick
20,Kopf::N,кьил,Kopf
21,Rücken::N,далу,Rücken
22,Bauch::N,руфун,Bauch
23,Nabel::N,пицӏ,Nabel
24,Busen::N,мам,Busen
25,Brust::N,хур,Brust
26,Schulter::N,къуьн,Schulter
27,Arm::N,гъил,Arm
28,Ellenbogen::N,кьуьнт,Ellenbogen
29,Hand::N,капаш,Hand
30,Handfläche::N,капан юкь,Handfläche
31,Finger::N,тӏуб,Finger
32,Fingernagel::N,кек,Fingernagel
33,Nagel[Anatomie]::N,кек,Nagel
34,Zeh::N,кул,Zeh
35,Fuß::N,кӏвач,Fuß
36,Ferse::N,дабан,Ferse
37,Knie::N,мет,Knie
38,Bein::N,кӏвач,Bein
39,Körper::N,беден,Körper
40,Haut::N,хам,Haut
41,Blut::N,иви,Blut
42,Ader::N,дамар,Ader
43,Sehne::N,кьуру дамар,Sehne
44,Knochen::N,кӏараб,Knochen
45,Gehirn::N,мефт,Gehirn
46,Herz::N,рикӏ,Herz
47,Magen::N,хук,Magen
48,Leber::N,лекь,Leber
49,Atem::N,ял,Atem
50,Atem::N,нефес,Atem
51,Hunger::N,каш,Hunger
52,Träne::N,вилин нагъв,Träne
53,Geschmack::N,дад,Geschmack
54,Geschmack::N,тӏям,Geschmack
55,Geruch::N,ни,Geruch
56,Schlaf::N,ахвар,Schlaf
57,Traum::N,ахвар,Traum
58,Himmel::N,цав,Himmel
59,Sonne::N,рагъ,Sonne
60,Mond::N,варз,Mond
61,Stern::N,гъед,Stern
62,Luft::N,гьава,Luft
63,Wind::N,гар,Wind
64,Welle::N,лепе,Welle
65,Wasser::N,яд,Wasser
66,Stein::N,къван,Stein
67,Boden::N,накьв,Boden
68,Erde::N,ччил,Erde
69,Staub::N,руг,Staub
70,Rauch::N,гум,Rauch
71,Funke::N,цӏелхем,Funke
72,Feuer::N,цӏай,Feuer
73,Licht::N,экв,Licht
74,Schatten::N,серин,Schatten
75,Wetter::N,гьава,Wetter
76,Nebel::N,ччилин циф,Nebel
77,Wolke::N,циф,Wolke
78,Regen::N,марф,Regen
79,Schnee::N,жив,Schnee
80,Eis::N,мурк,Eis
81,Frost::N,аяз,Frost
82,Kälte::N,мекь,Kälte
83,Kälte::N,мекьивал,Kälte
84,Hitze::N,зегьем,Hitze
85,Raureif::N,къирав,Raureif
86,Regenbogen::N,яргъируш,Regenbogen
87,Donner::N,цавун ван,Donner
88,Tropfen::N,стӏал,Tropfen
89,Schaum::N,каф,Schaum
