,Concept_ID,te,sq
0,Auge::N,కన్ను,sy
1,Ohr::N,చెవి,vesh
2,Nase::N,ముక్కు,hundë
3,Mund::N,నోరు,gojë
4,Zahn::N,పల్లు,dhëmb
5,Zunge::N,నాలుక,gjuhë
6,Lippe::N,పెదవి,buzë
7,Wange::N,చెంప,faqe
8,Wange::N,చెంప,mollëz
9,Gesicht::N,ముఖము,fytyrë
10,Stirn::N,నుదురు,ballë
11,Haar::N,వెండ్రుక,flokë
12,Schnurrbart::N,మీసము,mustaqe
13,Bart::N,గడ్డము,mjekër
14,Kinn::N,గడ్డము,mjekër
15,Kiefer[Anatomie]::N,దౌడ,nofull
16,Kehle::N,గొంతు,fyt
17,Kehle::N,గొంతు,grykë
18,Hals::N,మెడ,qafë
19,Genick::N,మూపు,arrëz
20,Kopf::N,తల,kokë
21,Rücken::N,వెన్ను,kurriz
22,Bauch::N,కడుపు,bark
23,Nabel::N,బొడ్డు,kërthizë
24,Busen::N,స్తనము,gji
25,Brust::N,ఱొమ్ము,gjoks
26,Brust::N,ఱొమ్ము,kraharor
27,Schulter::N,భుజము,sup
28,Schulter::N,భుజము,krah
29,Arm::N,చేయి,krah
30,Ellenbogen::N,మోచేయి,bërryl
31,Hand::N,చేయి,dorë
32,Handfläche::N,అరచేయు,pëllëmbë
33,Finger::N,చేతిప్రేలు,gisht
34,Fingernagel::N,గోరు,thua
35,Nagel[Anatomie]::N,గోరు,thua
36,Zeh::N,కాలిప్రేలు,gisht i këmbës
37,Fuß::N,అడుగు,këmbë
38,Ferse::N,మడమ,thembër
39,Knie::N,మోకాలు,gju
40,Oberschenkel::N,తొడ,kofshë
41,Bein::N,కాలు,këmbë
42,Körper::N,కాయము,trup
43,Haut::N,చర్మము,lëkurë
44,Blut::N,రక్తము,gjak
45,Ader::N,సిర,venë
46,Sehne::N,స్నాయువు,dell
47,Knochen::N,ఎముక,asht
48,Knochen::N,ఎముక,kockë
49,Gehirn::N,మెదడు,tru
50,Herz::N,హృదయము,zemër
51,Magen::N,కడుపు,stomak
52,Leber::N,కాలేయము,mëlçi
53,Atem::N,ఉపిరి,frymë
54,Hunger::N,ఆకలి,uri
55,Träne::N,కన్నీటిచుక్క,lot
56,Geschmack::N,రుచి,shije
57,Geruch::N,వాసన,erë
58,Schlaf::N,నిద్ర,gjumë
59,Traum::N,కల,ëndërr
60,Himmel::N,ఆకాశము,qiell
61,Sonne::N,సూర్యుడు,diell
62,Mond::N,చంద్రుడు,hënë
63,Stern::N,నక్షత్రము,yll
64,Luft::N,గాలి,ajër
65,Wind::N,వీచుచున్నగాలి,erë
66,Welle::N,అల,valë
67,Welle::N,అల,dallgë
68,Wasser::N,నీరు,ujë
69,Stein::N,ఱాయి,gur
70,Boden::N,నేల,tokë
71,Boden::N,నేల,truall
72,Erde::N,మన్ను,dhe
73,Erde::N,మన్ను,baltë
74,Staub::N,దుమ్ము,pluhur
75,Rauch::N,పొగ,tym
76,Funke::N,అగ్నికణము,xixë
77,Funke::N,అగ్నికణము,shkëndijë
78,Feuer::N,అగ్ని,zjarr
79,Licht::N,కాంతి,dritë
80,Schatten::N,నీడ,hije
81,Wetter::N,వాతావరణ స్థితి,mot
82,Nebel::N,పొగమంచు,mjegull
83,Wolke::N,మేఘము,re
84,Regen::N,వాన,shi
85,Schnee::N,హిమము,borë
86,Eis::N,మంచుగడ్డ,akull
87,Frost::N,పేరిన మంచు,ngricë
88,Kälte::N,చలి,të ftohtë
89,Hitze::N,వేడిమి,vapë
90,Hitze::N,వేడిమి,nxehtësi
91,Raureif::N,మంచు,cikmë
92,Regenbogen::N,ఇంద్రధనుస్సు,ylber
93,Donner::N,ఉరుము,gjëmim
94,Donner::N,ఉరుము,bubullimë
95,Strömung::N,ప్రవాహము,rrymë
96,Tropfen::N,చుక్క,pikë
97,Schaum::N,నురుగు,shkumë
98,Schmutz::N,మైల,baltë
99,See::N,సరస్సు,liqen
100,Sumpf::N,చిత్తడినేల,batak
101,Moor::N,చిత్తడినేల,kënetë
102,Wiese::N,పచ్చిక బయలు,livadh
103,Wald::N,అడవి,pyll
104,Hügel::N,చివ్నకొండ,kodër
105,Anhöhe::N,కొండ,bregore
106,Berg::N,పర్వతము,mal
107,Gipfel::N,శిఖరము,kulm
108,Höhle::N,గుహ,shpellë
109,Höhle::N,గుహ,zgafelle
110,Abhang::N,ఏటవాలు,shpat
111,Abhang::N,ఏటవాలు,tatëpjetë
112,Quelle::N,మూలము,krua
113,Quelle::N,మూలము,burim
114,Bach::N,కాలువ,virua
115,Fluss::N,నది,lumë
116,Ufer::N,తీరము,breg
117,Küste::N,తీరము,anëdet
118,Küste::N,తీరము,bregdet
119,Festland::N,భూమి,kontinent
120,Meer::N,సముద్రము,det
