,Concept_ID,fi,es
0,Auge::N,silmä,ojo
1,Ohr::N,korva,oreja
2,Nase::N,nenä,nariz
3,Mund::N,suu,boca
4,Zahn::N,hammas,diente
5,Zunge::N,kieli,lengua
6,Lippe::N,huuli,labio
7,Wange::N,poski,mejilla
8,Gesicht::N,naama,cara
9,Gesicht::N,kasvot,cara
10,Stirn::N,otsa,frente
11,Haar::N,hius,cabello
12,Haar::N,tukka,cabello
13,Schnurrbart::N,viikset,bigote
14,Bart::N,parta,barba
15,Kinn::N,leuka,barbilla
16,Kiefer[Anatomie]::N,leukaluu,mandíbula
17,Kehle::N,kurkku,garganta
18,Hals::N,kaula,cuello
19,Genick::N,niska,nuca
20,Genick::N,niska,cerviz
21,Kopf::N,pää,cabeza
22,Rücken::N,selkä,espalda
23,Bauch::N,maha,vientre
24,Bauch::N,vatsa,vientre
25,Nabel::N,napa,ombligo
26,Busen::N,rinta,pecho
27,Brust::N,rinta,pecho
28,Schulter::N,olka,hombro
29,Schulter::N,hartia,hombro
30,Schulter::N,olkapää,hombro
31,Arm::N,käsivarsi,brazo
32,Ellenbogen::N,kyynärpää,codo
33,Hand::N,käsi,mano
34,Handfläche::N,kämmen,palma
35,Finger::N,sormi,dedo
36,Fingernagel::N,kynsi,uña
37,Nagel[Anatomie]::N,kynsi,uña
38,Zeh::N,varvas,dedo del pie
39,Fuß::N,jalka,pie
40,Ferse::N,kantapää,talón
41,Knie::N,polvi,rodilla
42,Oberschenkel::N,reisi,muslo
43,Bein::N,jalka,pierna
44,Körper::N,keho,cuerpo
45,Körper::N,ruumis,cuerpo
46,Haut::N,iho,piel
47,Blut::N,veri,sangre
48,Ader::N,suoni,vena
49,Sehne::N,jänne,tendón
50,Knochen::N,luu,hueso
51,Gehirn::N,aivot,cerebro
52,Gehirn::N,aivot,encéfalo
53,Herz::N,sydän,corazón
54,Magen::N,maha,estómago
55,Magen::N,vatsa,estómago
56,Leber::N,maksa,hígado
57,Atem::N,henki,aliento
58,Atem::N,hengitys,aliento
59,Hunger::N,nälkä,hambre
60,Träne::N,kyynel,lágrima
61,Geschmack::N,maku,gusto
62,Geruch::N,haju,olor
63,Schlaf::N,uni,sueño
64,Traum::N,uni,sueño
65,Traum::N,uni,ensueño
66,Himmel::N,taivas,cielo
67,Sonne::N,aurinko,sol
68,Mond::N,kuu,luna
69,Stern::N,tähti,estrella
70,Luft::N,ilma,aire
71,Wind::N,tuuli,viento
72,Welle::N,aalto,ola
73,Welle::N,aalto,onda
74,Wasser::N,vesi,agua
75,Stein::N,kivi,piedra
76,Boden::N,maa,suelo
77,Boden::N,maaperä,suelo
78,Erde::N,maa,tierra
79,Staub::N,pöly,polvo
80,Rauch::N,savu,humo
81,Funke::N,kipinä,chispa
82,Feuer::N,tuli,fuego
83,Licht::N,valo,luz
84,Schatten::N,varjo,sombra
85,Wetter::N,sää,tiempo
86,Nebel::N,sumu,niebla
87,Wolke::N,pilvi,nube
88,Regen::N,sade,lluvia
89,Schnee::N,lumi,nieve
90,Eis::N,jää,hielo
91,Frost::N,halla,helada
92,Frost::N,pakkanen,helada
93,Kälte::N,vilu,frío
94,Kälte::N,kylmyys,frío
95,Hitze::N,helle,calor
96,Hitze::N,kuumuus,calor
97,Raureif::N,huurre,escarcha
98,Regenbogen::N,sateenkaari,arco iris
99,Donner::N,jyrinä,trueno
100,Strömung::N,virtaus,corriente
101,Tropfen::N,tippa,gota
102,Tropfen::N,pisara,gota
103,Schaum::N,vaahto,espuma
104,Schmutz::N,loka,suciedad
105,See::N,järvi,lago
106,Sumpf::N,suo,pantano
107,Moor::N,räme,turbera
108,Wiese::N,niitty,prado
109,Wiese::N,niitty,pradera
110,Wald::N,metsä,bosque
111,Hügel::N,mäki,colina
112,Hügel::N,kumpu,colina
113,Hügel::N,kukkula,colina
114,Anhöhe::N,mäki,cerro
115,Anhöhe::N,kumpare,cerro
116,Berg::N,mäki,monte
117,Berg::N,mäki,montaña
118,Berg::N,vuori,monte
119,Berg::N,vuori,montaña
120,Gipfel::N,laki,cima
121,Gipfel::N,laki,cumbre
122,Gipfel::N,huippu,cima
123,Gipfel::N,huippu,cumbre
124,Höhle::N,luola,cueva
125,Höhle::N,luola,caverna
126,Abhang::N,rinne,cuesta
127,Abhang::N,rinne,declive
128,Quelle::N,lähde,fuente
129,Quelle::N,lähde,manantial
130,Bach::N,puro,arroyo
131,Fluss::N,joki,río
132,Ufer::N,ranta,orilla
133,Küste::N,rannikko,costa
134,Festland::N,manner,tierra firme
135,Meer::N,meri,mar
136,Bucht::N,lahti,cala
137,Bucht::N,lahti,bahía
138,Insel::N,saari,isla
139,Blume::N,kukka,flor
140,Gras::N,ruoho,hierba
141,Wurzel::N,juuri,raíz
142,Baum::N,puu,árbol
143,Stamm::N,runko,tronco
144,Rinde::N,kuori,corteza
145,Rinde::N,parkki,corteza
146,Ast::N,oksa,rama
147,Zweig::N,haara,ramo
148,Blatt::N,lehti,hoja
149,Birke::N,koivu,abedul
150,Kiefer[Baum]::N,mänty,pino
151,Kiefer[Baum]::N,petäjä,pino
152,Weide[Baum]::N,paju,sauce
153,Tanne::N,kuusi,abeto
154,Horn::N,sarvi,asta
155,Horn::N,sarvi,cuerno
156,Feder::N,sulka,pluma
157,Feder::N,höyhen,pluma
158,Fell::N,talja,piel
159,Flügel::N,siipi,ala
160,Klaue::N,kynsi,garra
161,Kralle::N,kynsi,uña
162,Kralle::N,kynsi,garra
163,Schwanz::N,häntä,cola
164,Schwanz::N,pyrstö,cola
165,Ei::N,muna,huevo
166,Nest::N,pesä,nido
167,Bau::N,pesä,madriguera
168,Tier::N,eläin,animal
169,Herde::N,lauma,rebaño
170,Kuh::N,lehmä,vaca
171,Bulle::N,sonni,toro
172,Pferd::N,hevonen,caballo
173,Schaf::N,lammas,oveja
174,Schwein::N,sika,cerdo
175,Hund::N,koira,perro
176,Katze::N,kissa,gato
177,Bär::N,karhu,oso
178,Eichhörnchen::N,orava,ardilla
179,Elch::N,hirvi,alce
180,Fuchs::N,kettu,zorro
181,Hase::N,jänis,liebre
182,Maus::N,hiiri,ratón
183,Wolf::N,susi,lobo
184,Vogel::N,lintu,ave
185,Vogel::N,lintu,pájaro
186,Schwarm::N,parvi,bandada
187,Huhn::N,kana,gallina
188,Hahn::N,kukko,gallo
189,Gans::N,hanhi,oca
190,Gans::N,hanhi,ganso
191,Adler::N,kotka,águila
192,Ente::N,ankka,pato
193,Eule::N,pöllö,lechuza
194,Kranich::N,kurki,grulla
195,Krähe::N,varis,corneja
196,Kuckuck::N,käki,cuco
197,Schwan::N,joutsen,cisne
198,Fisch::N,kala,pez
199,Barsch::N,ahven,perca
200,Hecht::N,hauki,lucio
201,Schlange[Tier]::N,käärme,serpiente
202,Wurm::N,mato,gusano
203,Spinne::N,hämähäkki,araña
204,Ameise::N,muurahainen,hormiga
205,Laus::N,täi,piojo
206,Mücke::N,sääski,mosquito
207,Mücke::N,hyttynen,mosquito
208,Fliege::N,kärpänen,mosca
209,Schmetterling::N,perhonen,mariposa
210,Beere::N,marja,baya
211,Apfel::N,omena,manzana
212,Pilz::N,sieni,seta
213,Pilz::N,sieni,hongo
214,Zwiebel::N,sipuli,cebolla
215,Saat::N,siemenet,siembra
216,Korn::N,jyvä,grano
217,Korn::N,vilja,grano
218,Heu::N,heinä,heno
219,Schale::N,kuori,cáscara
220,Grube::N,kuoppa,foso
221,Falle::N,loukku,trampa
222,Schlinge::N,ansa,lazo
223,Spur::N,jälki,huella
224,Asche::N,tuhka,ceniza
225,Dreck::N,lika,suciedad
226,Eisen::N,rauta,hierro
227,Gold::N,kulta,oro
228,Silber::N,hopea,plata
229,Kohle::N,hiili,carbón
230,Glas::N,lasi,vidrio
231,Glas::N,lasi,cristal
232,Lehm::N,savi,barro
233,Sand::N,hiekka,arena
234,Mensch::N,ihminen,hombre
235,Mensch::N,ihminen,ser humano
236,Mann::N,mies,hombre
237,Frau::N,nainen,mujer
238,Kind::N,lapsi,niño
239,Junge::N,poika,chico
240,Junge::N,poika,muchacho
241,Mädchen::N,tyttö,chica
242,Mädchen::N,tyttö,muchacha
243,Familie::N,perhe,familia
244,Großvater::N,isoisä,abuelo
245,Großmutter::N,isoäiti,abuela
246,Eltern::N,vanhemmat,padres
247,Vater::N,isä,padre
248,Mutter::N,äiti,madre
249,Sohn::N,poika,hijo
250,Tochter::N,tytär,hija
251,Bruder::N,veli,hermano
252,Schwester::N,sisko,hermana
253,Onkel::N,eno,tío
254,Onkel::N,setä,tío
255,Tante::N,täti,tía
256,Ehemann::N,mies,esposo
257,Ehemann::N,aviomies,esposo
258,Ehefrau::N,vaimo,esposa
259,Ehefrau::N,aviovaimo,esposa
260,Freude::N,ilo,placer
261,Freude::N,ilo,alegría
262,Freude::N,riemu,placer
263,Freude::N,riemu,alegría
264,Gelächter::N,nauru,risa
265,Gelächter::N,nauru,carcajada
266,Glück::N,onni,felicidad
267,Kummer::N,suru,pena
268,Kummer::N,murhe,pena
269,Wunsch::N,toive,deseo
270,Wunsch::N,toivomus,deseo
271,Lust::N,himo,ganas
272,Geist::N,henki,mente
273,Geist::N,henki,espíritu
274,Gedanke::N,aate,idea
275,Gedanke::N,aate,pensamiento
276,Gedanke::N,ajatus,idea
277,Gedanke::N,ajatus,pensamiento
278,Gedächtnis::N,muisti,memoria
279,Verstand::N,äly,razón
280,Verstand::N,äly,entendimiento
281,Verstand::N,järki,razón
282,Verstand::N,järki,entendimiento
283,Verstand::N,ymmärrys,razón
284,Verstand::N,ymmärrys,entendimiento
285,Sinn::N,merkitys,sentido
286,Sinn::N,merkitys,significado
287,Grund::N,syy,causa
288,Grund::N,peruste,causa
289,Wahrheit::N,tosi,verdad
290,Wahrheit::N,totuus,verdad
291,Gespräch::N,puhelu,conversación
292,Gespräch::N,keskustelu,conversación
293,Märchen::N,satu,cuento
294,Erzählung::N,tarina,cuento
295,Erzählung::N,tarina,narración
296,Erzählung::N,kertomus,cuento
297,Erzählung::N,kertomus,narración
298,Nachricht::N,tieto,mensaje
299,Nachricht::N,ilmoitus,mensaje
300,Neuigkeit::N,uutinen,noticia
301,Name::N,nimi,nombre
302,Rätsel::N,arvoitus,acertijo
303,Rätsel::N,arvoitus,adivinanza
304,Rede::N,puhe,discurso
305,Sprache::N,kieli,lengua
306,Stimme::N,ääni,voz
307,Wort::N,sana,palabra
308,Zeichen::N,merkki,señal
309,Ruf::N,kutsu,llamada
310,Lärm::N,melu,ruido
311,Lärm::N,melu,barullo
312,Lärm::N,hälinä,ruido
313,Lärm::N,hälinä,barullo
314,Laut::N,ääni,sonido
315,Ton::N,sävel,tono
316,Lied::N,laulu,canción
317,Ruhe::N,lepo,calma
318,Ruhe::N,lepo,silencio
319,Ruhe::N,rauha,calma
320,Ruhe::N,rauha,silencio
321,Leute::N,väki,gente
322,Leute::N,ihmiset,gente
323,Volk::N,kansa,pueblo
324,Arbeit::N,työ,trabajo
325,Gast::N,vieras,huésped
326,Gast::N,vieras,invitado
327,Geschenk::N,lahja,regalo
328,Spiel::N,peli,juego
329,Spiel::N,leikki,juego
330,Gesellschaft::N,seura,compañía
331,Hilfe::N,apu,ayuda
332,Hilfe::N,apu,socorro
333,Freund::N,ystävä,amigo
334,Kamerad::N,toveri,camarada
335,Kamerad::N,toveri,compañero
336,Angelegenheit::N,asia,asunto
337,Anzahl::N,lukumäärä,cantidad
338,Art::N,laji,tipo
339,Art::N,laji,clase
340,Stück::N,pala,pieza
341,Stück::N,kappale,pieza
342,Teil::N,osa,parte
343,Hälfte::N,puoli,mitad
344,Kreis::N,ympyrä,círculo
345,Kreuz::N,risti,cruz
346,Linie::N,viiva,línea
347,Strich::N,piirto,raya
348,Strich::N,piirto,trazo
349,Abstand::N,väli,distancia
350,Abstand::N,väljyys,distancia
351,Entfernung::N,etäisyys,distancia
352,Gegend::N,seutu,región
353,Gegend::N,seutu,comarca
354,Platz::N,tila,espacio
355,Ort::N,kohta,sitio
356,Ort::N,paikka,sitio
357,Seite::N,sivu,lado
358,Seite::N,sivu,costado
359,Seite::N,kylki,lado
360,Seite::N,kylki,costado
361,Mitte::N,keskus,medio
362,Mitte::N,keskus,centro
363,Mitte::N,puoliväli,medio
364,Mitte::N,puoliväli,centro
365,Gegenstand::N,kalu,objeto
366,Gegenstand::N,esine,objeto
367,Sache::N,asia,cosa
368,Rand::N,ääri,borde
369,Rand::N,syrjä,borde
