,Concept_ID,,myv
0,Auge::N,,сельме
1,Ohr::N,,пиле
2,Nase::N,,судо
3,Mund::N,,курго
4,Zahn::N,,пей
5,Zunge::N,,кель
6,Lippe::N,,турва
7,Wange::N,,чамабока
8,Wange::N,,чамаумарь
9,Gesicht::N,,чама
10,Stirn::N,,коня
11,Haar::N,,черь
12,Schnurrbart::N,,ус
13,Schnurrbart::N,,муюк
14,Bart::N,,сакал
15,Kinn::N,,уло
16,Kiefer[Anatomie]::N,,пейпакар
17,Kiefer[Anatomie]::N,,пейловажа
18,Kehle::N,,кирьгапарь
19,Hals::N,,кирьга
20,Genick::N,,човонь
21,Kopf::N,,пря
22,Rücken::N,,копорь
23,Bauch::N,,пеке
24,Nabel::N,,почо
25,Busen::N,,поте
26,Brust::N,,меште
27,Schulter::N,,лавтов
28,Arm::N,,кедь
29,Ellenbogen::N,,кенерепакарь
30,Hand::N,,кедь
31,Handfläche::N,,кедькуншка
32,Handfläche::N,,кедьлапушка
33,Finger::N,,сур
34,Fingernagel::N,,кенже
35,Nagel[Anatomie]::N,,кенже
36,Zeh::N,,пильге сур
37,Fuß::N,,пильге
38,Ferse::N,,кочкаря
39,Knie::N,,эле
40,Knie::N,,эзне
41,Knie::N,,кумажа
42,Oberschenkel::N,,качо
43,Bein::N,,пильге
44,Körper::N,,рунго
45,Haut::N,,киське
46,Blut::N,,верь
47,Ader::N,,сан
48,Sehne::N,,коське сан
49,Knochen::N,,пакарь
50,Gehirn::N,,удем
51,Herz::N,,седей
52,Magen::N,,пеке
53,Leber::N,,максо
54,Atem::N,,лексема
55,Atem::N,,оймень таргсема
56,Hunger::N,,вачочи
57,Träne::N,,селведь
58,Geschmack::N,,тансть
59,Geruch::N,,чине
60,Schlaf::N,,удома
61,Traum::N,,он
62,Himmel::N,,менель
63,Sonne::N,,чи
64,Mond::N,,ков
65,Stern::N,,теште
66,Luft::N,,кошт
67,Wind::N,,варма
68,Welle::N,,толкун
69,Wasser::N,,ведь
70,Stein::N,,кев
71,Boden::N,,мода
72,Erde::N,,мастор
73,Staub::N,,пуль
74,Rauch::N,,качамо
75,Funke::N,,сятко
76,Feuer::N,,тол
77,Licht::N,,валдо
78,Schatten::N,,сулей
79,Schatten::N,,сулейкс
80,Wetter::N,,ушо
81,Nebel::N,,сув
82,Wolke::N,,пель
83,Regen::N,,пиземс
84,Schnee::N,,лов
85,Eis::N,,эй
86,Frost::N,,кельме
87,Kälte::N,,якшамо
88,Hitze::N,,пси
89,Raureif::N,,лекш
