,Concept_ID,el,sv
0,Auge::N,μάτι,öga
1,Auge::N,οφθαλμός,öga
2,Ohr::N,αυτί,öra
3,Nase::N,μύτη,näsa
4,Mund::N,στόμα,mun
5,Zahn::N,δόντι,tand
6,Zunge::N,γλώσσα,tunga
7,Lippe::N,χείλος,läpp
8,Wange::N,παρειά,kind
9,Wange::N,μάγουλο,kind
10,Gesicht::N,πρόσωπο,syn
11,Gesicht::N,πρόσωπο,ansikte
12,Stirn::N,μέτωπο,panna
13,Haar::N,μαλλιά,hår
14,Schnurrbart::N,μουστάκι,mustasch
15,Bart::N,γένια,skägg
16,Kinn::N,πιγούνι,haka
17,Kiefer[Anatomie]::N,σαγόνι,käke
18,Kehle::N,λαρύγγι,strupe
19,Hals::N,λαιμός,hals
20,Genick::N,σβέρκος,nacke
21,Kopf::N,κεφάλι,huvud
22,Rücken::N,ράχη,rygg
23,Bauch::N,κοιλιά,buk
24,Bauch::N,κοιλιά,mage
25,Nabel::N,αφαλός,navel
26,Busen::N,στήθος,barm
27,Brust::N,στήθος,bröst
28,Schulter::N,ώμος,skuldra
29,Arm::N,χέρι,arm
30,Arm::N,μπράτςο,arm
31,Ellenbogen::N,αγκώνας,armbåge
32,Hand::N,χέρι,hand
33,Handfläche::N,παλάμη,handflata
34,Finger::N,δάχτυλο,finger
35,Fingernagel::N,νύχι,fingernagel
36,Nagel[Anatomie]::N,νύχι,nagel
37,Zeh::N,δάχτυλο του ποδιού,tå
38,Fuß::N,πόδι,fot
39,Ferse::N,φτέρνα,häl
40,Knie::N,γόνατο,knä
41,Oberschenkel::N,μηρός,lår
42,Bein::N,πόδι,ben
43,Körper::N,σώμα,kropp
44,Körper::N,κορμί,kropp
45,Haut::N,πετσί,hud
46,Haut::N,πετσί,skinn
47,Blut::N,αίμα,blod
48,Ader::N,φλέβα,åder
49,Sehne::N,νεύρο,sena
50,Sehne::N,τένοντας,sena
51,Knochen::N,οστό,ben
52,Knochen::N,κόκκαλο,ben
53,Gehirn::N,μυαλό,hjärna
54,Gehirn::N,εγκέφαλος,hjärna
55,Herz::N,καρδιά,hjärta
56,Magen::N,στομάχι,mage
57,Leber::N,ήπαρ,lever
58,Leber::N,συκωτί,lever
59,Atem::N,αναπνοή,anda
60,Atem::N,αναπνοή,andedräkt
61,Hunger::N,πείνα,svält
62,Hunger::N,πείνα,hunger
63,Träne::N,δάκρυ,tår
