,Concept_ID,eu,te
0,Auge::N,begi,కన్ను
1,Ohr::N,belarri,చెవి
2,Nase::N,sudur,ముక్కు
3,Mund::N,aho,నోరు
4,Zahn::N,hortz,పల్లు
5,Zunge::N,mihi,నాలుక
6,Lippe::N,ezpain,పెదవి
7,Wange::N,masail,చెంప
8,Gesicht::N,aurpegi,ముఖము
9,Stirn::N,bekoki,నుదురు
10,Haar::N,ile,వెండ్రుక
11,Haar::N,bilo,వెండ్రుక
12,Schnurrbart::N,bibote,మీసము
13,Schnurrbart::N,sudurpeko,మీసము
14,Bart::N,bizar,గడ్డము
15,Kinn::N,kokots,గడ్డము
16,Kiefer[Anatomie]::N,masailezur,దౌడ
17,Kehle::N,eztarri,గొంతు
18,Hals::N,sama,మెడ
19,Genick::N,garondo,మూపు
20,Kopf::N,buru,తల
21,Rücken::N,bizkar,వెన్ను
22,Bauch::N,sabel,కడుపు
23,Nabel::N,zilbor,బొడ్డు
24,Busen::N,titi,స్తనము
25,Busen::N,ugatz,స్తనము
26,Brust::N,bular,ఱొమ్ము
27,Schulter::N,besaburu,భుజము
28,Arm::N,beso,చేయి
29,Ellenbogen::N,ukondo,మోచేయి
30,Hand::N,esku,చేయి
31,Handfläche::N,ahur,అరచేయు
32,Finger::N,hatz,చేతిప్రేలు
33,Fingernagel::N,azazkal,గోరు
34,Nagel[Anatomie]::N,azazkal,గోరు
35,Zeh::N,behatz,కాలిప్రేలు
36,Fuß::N,oin,అడుగు
37,Ferse::N,orpo,మడమ
38,Ferse::N,oinburu,మడమ
39,Knie::N,belaun,మోకాలు
40,Oberschenkel::N,izter,తొడ
41,Bein::N,zango,కాలు
42,Körper::N,soin,కాయము
43,Haut::N,azal,చర్మము
44,Blut::N,odol,రక్తము
45,Ader::N,zain,సిర
46,Sehne::N,gihar-zain,స్నాయువు
47,Knochen::N,hezur,ఎముక
48,Gehirn::N,garun,మెదడు
49,Gehirn::N,burmuin,మెదడు
50,Herz::N,bihotz,హృదయము
51,Magen::N,urdail,కడుపు
52,Leber::N,gibel,కాలేయము
53,Atem::N,hats,ఉపిరి
54,Atem::N,arnasa,ఉపిరి
55,Hunger::N,gose,ఆకలి
56,Träne::N,malko,కన్నీటిచుక్క
57,Geschmack::N,dasta,రుచి
58,Geruch::N,usain,వాసన
59,Schlaf::N,lo,నిద్ర
60,Traum::N,amets,కల
61,Himmel::N,zeru,ఆకాశము
62,Sonne::N,eguzki,సూర్యుడు
63,Mond::N,ilargi,చంద్రుడు
64,Stern::N,izar,నక్షత్రము
65,Luft::N,aire,గాలి
66,Wind::N,haize,వీచుచున్నగాలి
67,Welle::N,uhin,అల
68,Welle::N,olatu,అల
69,Wasser::N,ur,నీరు
70,Stein::N,harri,ఱాయి
71,Boden::N,lur,నేల
72,Boden::N,zoru,నేల
73,Erde::N,lur,మన్ను
74,Staub::N,hauts,దుమ్ము
75,Rauch::N,ke,పొగ
76,Funke::N,zirta,అగ్నికణము
77,Funke::N,txinparta,అగ్నికణము
78,Feuer::N,su,అగ్ని
79,Licht::N,argi,కాంతి
80,Schatten::N,itzal,నీడ
81,Schatten::N,geriza,నీడ
82,Wetter::N,eguraldi,వాతావరణ స్థితి
83,Nebel::N,laino,పొగమంచు
84,Wolke::N,hodei,మేఘము
85,Regen::N,euri,వాన
86,Schnee::N,elur,హిమము
87,Eis::N,horma,మంచుగడ్డ
88,Frost::N,izotzaldi,పేరిన మంచు
89,Kälte::N,hotz,చలి
90,Hitze::N,bero,వేడిమి
91,Raureif::N,antzigar,మంచు
92,Regenbogen::N,ostadar,ఇంద్రధనుస్సు
93,Regenbogen::N,ortzadar,ఇంద్రధనుస్సు
94,Donner::N,ostots,ఉరుము
95,Donner::N,ihurtzuri,ఉరుము
96,Strömung::N,laster,ప్రవాహము
97,Tropfen::N,xorta,చుక్క
98,Schaum::N,bits,నురుగు
99,Schmutz::N,lohi,మైల
100,Schmutz::N,zikin,మైల
101,See::N,laku,సరస్సు
102,See::N,aintzira,సరస్సు
103,Sumpf::N,zingira,చిత్తడినేల
104,Moor::N,zohikaztegi,చిత్తడినేల
105,Wiese::N,larre,పచ్చిక బయలు
106,Wiese::N,belardi,పచ్చిక బయలు
107,Wald::N,baso,అడవి
108,Wald::N,oihan,అడవి
109,Hügel::N,muino,చివ్నకొండ
110,Hügel::N,pentoka,చివ్నకొండ
111,Anhöhe::N,garai,కొండ
112,Anhöhe::N,goragune,కొండ
113,Berg::N,mendi,పర్వతము
