,Concept_ID,ps,is
0,Auge::N,سترګه,auga
1,Ohr::N,غوږ,eyra
2,Nase::N,پوزه,nef
3,Mund::N,خوله,munnur
4,Zahn::N,غاښ,tönn
5,Zunge::N,جبه,tunga
6,Lippe::N,شونډه,vör
7,Wange::N,باړخو,kinn
8,Wange::N,باړخو,vangi
9,Gesicht::N,مخ,andlit
10,Stirn::N,تندی,enni
11,Stirn::N,وچولی,enni
12,Haar::N,وېښته,hár
13,Schnurrbart::N,برېت,yfirskegg
14,Bart::N,ږیره,skegg
15,Kinn::N,زنه,haka
16,Kiefer[Anatomie]::N,جامه,kjálki
17,Kiefer[Anatomie]::N,جامه,skoltur
18,Kehle::N,غاړه,kverk
19,Hals::N,غاړه,háls
20,Genick::N,ورمېږ,hnakki
21,Kopf::N,سر,höfuð
22,Rücken::N,شا,hryggur
23,Bauch::N,نس,kviður
24,Bauch::N,ګېډه,kviður
25,Nabel::N,نوم,nafli
26,Busen::N,تی,barmur
27,Brust::N,سینه,brjóst
28,Schulter::N,اوږه,öxl
29,Arm::N,لاس,armur
30,Ellenbogen::N,څنګل,olnbogi
31,Hand::N,لاس,hönd
32,Handfläche::N,ورغوی,lófi
33,Finger::N,ګوته,fingur
34,Fingernagel::N,نوک,fingurnögl
35,Nagel[Anatomie]::N,نوک,nögl
36,Zeh::N,ګوته,tá
37,Fuß::N,پښه,fótur
38,Ferse::N,پونده,hæll
39,Knie::N,زنګون,kné
40,Oberschenkel::N,پتون,læri
41,Bein::N,پښه,fótleggur
42,Körper::N,ځان,búkur
43,Körper::N,ځان,líkami
44,Haut::N,پوټکی,húð
45,Haut::N,پوټکی,skinn
46,Blut::N,وینه,blóð
47,Ader::N,رګ,æð
48,Sehne::N,پله,sin
49,Knochen::N,هډوکی,bein
50,Gehirn::N,ماغزه,heili
51,Herz::N,زړه,hjarta
52,Magen::N,معده,magi
53,Leber::N,ينه,lifur
54,Leber::N,ځیګر,lifur
55,Atem::N,نفس,andi
56,Atem::N,نفس,andardráttur
57,Hunger::N,ولږه,hungur
58,Träne::N,اوښکه,tár
59,Geschmack::N,مزه,smekkur
60,Geschmack::N,خوند,smekkur
61,Geruch::N,بوی,lykt
62,Schlaf::N,خوب,svefn
63,Traum::N,خوب,draumur
64,Himmel::N,اسمان,himinn
65,Sonne::N,لمر,sól
66,Mond::N,سپوږمۍ,tungl
67,Stern::N,ستوری,stjarna
68,Luft::N,هوا,loft
69,Wind::N,ورښ,vindur
70,Welle::N,موج,alda
71,Welle::N,موج,bylgja
72,Wasser::N,اوبه,vatn
73,Stein::N,ډبره,steinn
74,Boden::N,مځکه,botn
75,Erde::N,خاوره,jörð
76,Staub::N,ګرد,ryk
77,Staub::N,ګرد,duft
78,Staub::N,خاوره,ryk
79,Staub::N,خاوره,duft
80,Rauch::N,دود,reykur
81,Rauch::N,لوګی,reykur
82,Funke::N,سپرغۍ,neisti
83,Feuer::N,اور,eldur
84,Licht::N,رڼا,ljós
85,Schatten::N,سیوری,skuggi
86,Wetter::N,هوا,veður
87,Nebel::N,لړه,þoka
88,Wolke::N,ورېځ,ský
89,Regen::N,وریا,regn
90,Regen::N,باران,regn
91,Schnee::N,واوره,snjór
92,Eis::N,یخ,ís
