,Concept_ID,he,ko
0,Auge::N,עין,눈
1,Ohr::N,אזן,귀
2,Nase::N,אף,코
3,Nase::N,חטם,코
4,Mund::N,פה,입
5,Zahn::N,שן,이
6,Zunge::N,לשון,혀
7,Lippe::N,שפה,입술
8,Wange::N,לחי,뺨
9,Gesicht::N,פנים,얼굴
10,Stirn::N,מצח,이마
11,Haar::N,שערה,털
12,Schnurrbart::N,שפם,윗수몀
13,Schnurrbart::N,שפם,코밑수염
14,Bart::N,זקן,수엄
15,Kinn::N,סנטר,아래턱
16,Kiefer[Anatomie]::N,לסת,턱
17,Kehle::N,גרון,인후
18,Hals::N,צואר,목
19,Genick::N,ערף,먹덜이
20,Kopf::N,ראש,머리
21,Rücken::N,גב,든
22,Bauch::N,בטן,배
23,Nabel::N,טבור,배꼽
24,Busen::N,שד,가슴속
25,Brust::N,חזה,가슴
26,Schulter::N,כתף,어깨
27,Arm::N,זרוע,팔
28,Ellenbogen::N,מרפק,팔쿰치
29,Hand::N,יד,손
30,Handfläche::N,כף יד,손바닥
31,Finger::N,אצבע,속가락
32,Fingernagel::N,צפרן,손톱
33,Nagel[Anatomie]::N,צפרן,손톱
34,Zeh::N,אצבע,발가락
35,Fuß::N,רגל,발
36,Ferse::N,עקב,발꿈치
37,Knie::N,ברך,무릎
38,Oberschenkel::N,ירך,허벅다리
39,Bein::N,רגל,다리
40,Körper::N,גוף,구간
41,Haut::N,עור,살갗
42,Blut::N,דם,피
43,Ader::N,וריד,정맥
44,Sehne::N,גיד,현
45,Knochen::N,עצם,뼈
46,Gehirn::N,מוח,뇌
47,Gehirn::N,מוח,뇌수
48,Herz::N,לב,염통
49,Magen::N,קבה,위
50,Leber::N,כבד,간
51,Atem::N,נשימה,기식
52,Hunger::N,רעב,공복
53,Träne::N,דמעה,눈물
54,Geschmack::N,טעם,기호
55,Geruch::N,ריח,냄새
56,Schlaf::N,שנה,수면
57,Traum::N,חלום,쿰
58,Himmel::N,שמים,하늘
59,Sonne::N,שמש,해
60,Mond::N,ירח,달
61,Stern::N,כוכב,별
62,Luft::N,אויר,동준
63,Luft::N,אויר,가스채
64,Wind::N,רוח,바람
65,Welle::N,גל,물결
66,Wasser::N,מים,물
67,Stein::N,אבן,돌
68,Boden::N,קרקע,바닥
69,Erde::N,אדמה,흙
70,Staub::N,אבק,먼지
71,Rauch::N,עשן,연기
72,Funke::N,ניצוץ,불티
73,Feuer::N,אש,불
74,Licht::N,אור,불
75,Schatten::N,צל,어스레함
76,Wetter::N,מזג אויר,기상
77,Nebel::N,ערפל,안개
78,Wolke::N,ענן,구름
79,Regen::N,גשם,비
80,Schnee::N,שלג,눈
81,Eis::N,קרח,얼음
82,Frost::N,צנה,혹한
83,Kälte::N,קר,추위
84,Kälte::N,קר,차가움
85,Hitze::N,חם,고온
86,Hitze::N,חם,더위
87,Raureif::N,כפור,
88,Regenbogen::N,קשת,무지개
89,Donner::N,רעם,뇌명
90,Strömung::N,זרימה,유동
91,Tropfen::N,טפה,물방울
92,Schaum::N,קצף,포말
93,Schmutz::N,לכלוך,때
94,See::N,אגם,호수
95,Sumpf::N,בצה,습지
96,Moor::N,בצה,저습지
97,Wiese::N,מרעה,목초지
98,Wald::N,יער,숲
99,Hügel::N,תל,언덕
100,Anhöhe::N,מעלה,언덕
101,Berg::N,הר,산
102,Gipfel::N,פסגה,졀졍
103,Höhle::N,מערה,공동
104,Abhang::N,מדרון,몰매
105,Abhang::N,שפוע,몰매
106,Quelle::N,מעין,근원
107,Bach::N,נחל,내
108,Fluss::N,נהר,강
109,Ufer::N,גדה,강변
110,Ufer::N,גדה,바닷가
111,Küste::N,חוף,해변
112,Küste::N,חוף,해변가
113,Festland::N,יבשה,본토
114,Meer::N,ים,바다
115,Bucht::N,מפרץ,협만
116,Insel::N,אי,섬
117,Blume::N,פרח,꽃
118,Gras::N,דשא,풀
119,Wurzel::N,שרש,뿌리
120,Baum::N,עץ,나무
121,Stamm::N,גזע,대
122,Rinde::N,קלפת עץ,나무껍질
123,Ast::N,ענף,가지
124,Zweig::N,ענף,가지
125,Blatt::N,עלה,잎
126,Birke::N,שדר,자작나무
127,Kiefer[Baum]::N,ארן,소나무
128,Weide[Baum]::N,ערבה,쉬양버들
129,Tanne::N,אשוח,전나무
130,Horn::N,קרן,뿔
131,Feder::N,נוצה,깃털
132,Fell::N,פרוה,피혁모피
133,Flügel::N,כנף,날개
134,Klaue::N,טלף,갈고리 발톺
135,Kralle::N,טפר,발툭
136,Schwanz::N,זנב,꼬리
137,Ei::N,ביצה,알
138,Nest::N,קן,보금자리
139,Bau::N,מחלה,굴
140,Tier::N,חיה,짐승
141,Herde::N,עדר,가축의떼
142,Kuh::N,פרה,암소
143,Bulle::N,פר,황소
144,Pferd::N,סוס,말
145,Schaf::N,כבשה,양
146,Schwein::N,חזיר,돼지
147,Hund::N,כלב,개
148,Katze::N,חתול,고양이
149,Bär::N,דב,콤
150,Eichhörnchen::N,סנאי,다람쥐
151,Elch::N,דישון,고라니
152,Fuchs::N,שועל,여우
153,Hase::N,ארנב,토끼
154,Maus::N,עכבר,쥐
155,Wolf::N,זאב,늑대
156,Vogel::N,צפור,새
157,Schwarm::N,נחיל,뗴
158,Schwarm::N,להקה,뗴
159,Huhn::N,תרנגלת,암탉
160,Hahn::N,תרנגול,수탉
161,Gans::N,אוז,거위
162,Adler::N,עיט,수리
163,Ente::N,ברוז,오리
164,Eule::N,ינשוף,부엉이
165,Kranich::N,עגור,두루미
166,Kranich::N,כרוכיה,두루미
167,Krähe::N,עורב,까마귀
168,Kuckuck::N,קוקיה,뻐꾸기
169,Schwan::N,ברבור,배조
170,Fisch::N,דג,물고기
171,Barsch::N,אוקונוס,농어
172,Hecht::N,זאב הים,에속스
173,Schlange[Tier]::N,נחש,뱀
174,Wurm::N,תולעת,벌레
175,Spinne::N,עכביש,거미
176,Ameise::N,נמלה,개미
177,Laus::N,כנה,이
178,Mücke::N,יתוש,모기
179,Fliege::N,זבוב,날기
180,Schmetterling::N,פרפר,나비
181,Beere::N,ענבה,장과
182,Apfel::N,תפוח,사과
183,Pilz::N,פטריה,고방이
184,Zwiebel::N,בצל,양파
185,Saat::N,זרעים,씨
186,Korn::N,גרעין,알맹이
187,Heu::N,חציר,건초
188,Schale::N,קלפה,피상
189,Grube::N,בור,
190,Grube::N,שוחה,
191,Falle::N,מלכדת,함정
192,Schlinge::N,לולאה,올가미
193,Schlinge::N,לולאה,멜빵붕대
194,Spur::N,עקבה,발지국
195,Asche::N,אפר,재
196,Dreck::N,זהמה,똥
197,Dreck::N,זהמה,오물
198,Eisen::N,ברזל,쇠
199,Eisen::N,ברזל,철
200,Gold::N,זהב,항금
201,Silber::N,כסף,은
202,Kohle::N,פחם,슻
203,Glas::N,זכוכית,유리
204,Lehm::N,חרסית,찰흙
205,Sand::N,חול,모래
206,Mensch::N,אדם,사람
207,Mann::N,איש,남자
208,Mann::N,גבר,남자
209,Frau::N,אשה,여자
210,Frau::N,גברת,여자
211,Kind::N,ילד,아이
212,Junge::N,ילד,소녁
213,Mädchen::N,נערה,소녀
214,Familie::N,משפחה,가족
215,Großvater::N,סבא,할아버지
216,Großmutter::N,סבתא,할머니
