,Concept_ID,ta,ko
0,Auge::N,கண்,눈
1,Ohr::N,காது,귀
2,Nase::N,மூக்கு,코
3,Mund::N,வாய்,입
4,Zahn::N,பல்,이
5,Zunge::N,நாக்கு,혀
6,Lippe::N,உதடு,입술
7,Wange::N,கன்னம்,뺨
8,Gesicht::N,முகம்,얼굴
9,Stirn::N,முன்னெற்றி,이마
10,Haar::N,முடி,털
11,Schnurrbart::N,மீசை,윗수몀
12,Schnurrbart::N,மீசை,코밑수염
13,Bart::N,தாடி,수엄
14,Kinn::N,கீழதாடை,아래턱
15,Kiefer[Anatomie]::N,தாடை,턱
16,Kehle::N,தொண்டை,인후
17,Hals::N,கழுத்து,목
18,Genick::N,கழுத்து,먹덜이
19,Kopf::N,தலை,머리
20,Rücken::N,முதுகு,든
21,Bauch::N,வயிறு,배
22,Nabel::N,தொப்புள்,배꼽
23,Busen::N,மார்பகம்,가슴속
24,Brust::N, மார்பு,가슴
25,Schulter::N,தோள்பட்டை,어깨
26,Arm::N,கரம்,팔
27,Ellenbogen::N,முழங்கை,팔쿰치
28,Hand::N,கை,손
29,Handfläche::N,உள்ளங்கை,손바닥
30,Finger::N,விரல்,속가락
31,Fingernagel::N,விரல் நகம்,손톱
32,Nagel[Anatomie]::N,நகம்,손톱
33,Zeh::N,கால்விரல்,발가락
34,Fuß::N,கால்,발
35,Ferse::N,குதிகால்,발꿈치
36,Knie::N,முழங்கால்,무릎
37,Oberschenkel::N,தொடை,허벅다리
38,Bein::N,கால்,다리
39,Körper::N,உடல்,구간
40,Haut::N,சருமம்,살갗
41,Blut::N,இரத்தம்,피
42,Ader::N,நாளம்,정맥
43,Sehne::N,தசைநார்,현
44,Knochen::N,எலுமபு,뼈
45,Gehirn::N,மூனை,뇌
46,Gehirn::N,மூனை,뇌수
47,Herz::N,இதயம,염통
48,Magen::N,வயிறு,위
49,Leber::N,கல்லீரல்,간
50,Atem::N,மூச்சு,기식
51,Hunger::N,பசி,공복
52,Träne::N,கண்ணீர்,눈물
53,Geschmack::N,நறுமணம்,기호
54,Geruch::N,துர்நாற்றம்,냄새
55,Schlaf::N,தூக்கம்,수면
56,Traum::N,கனவு,쿰
57,Himmel::N,வானம்,하늘
58,Sonne::N,சூரியன்,해
59,Mond::N,சந்திரன்,달
60,Stern::N,நட்சத்திரம்,별
61,Luft::N,காறறு,동준
62,Luft::N,காறறு,가스채
63,Wind::N,காற்று,바람
64,Welle::N,அலை,물결
65,Wasser::N,நீர்,물
66,Stein::N,கல்,돌
67,Boden::N,தரை,바닥
68,Erde::N,மண்,흙
69,Staub::N,தூசி,먼지
70,Rauch::N,புகை,연기
71,Funke::N,தீப்பொறி,불티
72,Feuer::N,தீ,불
73,Licht::N,வெளிச்சம்,불
74,Schatten::N,நிழல்,어스레함
75,Wetter::N,வானிலை,기상
76,Nebel::N,பனிமூட்டம்,안개
77,Wolke::N,மேகம்,구름
78,Regen::N,மழை,비
79,Schnee::N,உறைபனி,눈
80,Eis::N,பனிக்கட்டி,얼음
81,Frost::N,உறைபனி,혹한
82,Kälte::N,குளிர்ந்த,추위
83,Kälte::N,குளிர்ந்த,차가움
84,Hitze::N,சூடு,고온
85,Hitze::N,சூடு,더위
86,Raureif::N,உறைபனி வெண்திரை,
87,Regenbogen::N,வானவில்,무지개
88,Donner::N,இடி,뇌명
89,Strömung::N,நீரோட்டம்,유동
90,Tropfen::N,துளி,물방울
91,Schaum::N,நுரை,포말
92,Schmutz::N,அழுக்கு,때
93,See::N,ஏரி,호수
94,Sumpf::N,சதுப்பு நிலம்,습지
95,Moor::N,முட்புதற்காடு,저습지
96,Wiese::N,பசும் புல்தரை,목초지
97,Wald::N,காடு,숲
98,Hügel::N,குன்று,언덕
99,Anhöhe::N,பதுக்கை,언덕
100,Berg::N,மலை,산
101,Gipfel::N,உச்சி மாநாடு,졀졍
