,Concept_ID,,udm
0,Auge::N,,син
1,Ohr::N,,пель
2,Nase::N,,ныр
3,Mund::N,,ым
4,Zahn::N,,пинь
5,Zunge::N,,кыл
6,Lippe::N,,ымдур
7,Wange::N,,бам
8,Gesicht::N,,ымныр
9,Stirn::N,,кымес
10,Haar::N,,йырси
11,Schnurrbart::N,,мыйык
12,Bart::N,,туш
13,Kinn::N,,ангес
14,Kiefer[Anatomie]::N,,ан
15,Kiefer[Anatomie]::N,,анлы
16,Kehle::N,,гульым
17,Hals::N,,чырты
18,Genick::N,,йырбер
19,Kopf::N,,йыр
20,Rücken::N,,мыш
21,Bauch::N,,кӧт
22,Nabel::N,,гогы
23,Busen::N,,ноны
24,Brust::N,,мӧля
25,Schulter::N,,пельпум
26,Arm::N,,суй
27,Ellenbogen::N,,гырпум
28,Hand::N,,ки
29,Handfläche::N,,ки пыдэс
30,Handfläche::N,,кырым пыдэс
31,Finger::N,,чиньы
32,Fingernagel::N,,гижы
33,Fingernagel::N,,гиждӥнь
34,Nagel[Anatomie]::N,,гижы
35,Zeh::N,,пыдчиньы
36,Fuß::N,,пыд
37,Ferse::N,,пыдбер
38,Knie::N,,пыдес
39,Oberschenkel::N,,макес
40,Bein::N,,пыд
41,Körper::N,,мугор
42,Körper::N,,вылтыр
43,Haut::N,,ку
44,Blut::N,,вир
45,Ader::N,,вирсэр
46,Sehne::N,,вуж
47,Knochen::N,,лы
48,Gehirn::N,,вим
49,Herz::N,,сюлэм
50,Magen::N,,ӝуш
51,Leber::N,,мус
52,Atem::N,,лул
53,Atem::N,,шокан
54,Hunger::N,,кӧтсюман
55,Träne::N,,синкыли
56,Geschmack::N,,шӧм
57,Geruch::N,,зын
58,Schlaf::N,,вӧт
59,Traum::N,,уйвӧт
60,Himmel::N,,ин
61,Sonne::N,,шунды
62,Mond::N,,толэзь
63,Stern::N,,кизили
64,Luft::N,,омыр
65,Wind::N,,тӧл
66,Welle::N,,тулкым
67,Wasser::N,,ву
68,Stein::N,,из
69,Boden::N,,музъем
70,Erde::N,,му
71,Staub::N,,пыль
72,Rauch::N,,ӵын
73,Funke::N,,гизьы
74,Feuer::N,,тыл
75,Licht::N,,тыл
76,Schatten::N,,вужер
