,Concept_ID,bn,uk
0,Auge::N,চক্ষু,око
1,Ohr::N,কর্ণ,вухо
2,Nase::N,নাক,ніс
3,Mund::N,মুখ,рот
4,Zahn::N,দাঁত,зуб
5,Zunge::N,জিহবা,язик
6,Lippe::N,অধর,губа
7,Wange::N,গণ্ড,щока
8,Gesicht::N,মুখমণ্ডল,обличчя
9,Stirn::N,কপাল,лоб
10,Haar::N,চুল,волосся
11,Schnurrbart::N,গোঁফ,вуса
12,Bart::N,শ্মশ্রু,борода
13,Kinn::N,চিবুক,підборіддя
14,Kiefer[Anatomie]::N,চোয়াল,щелепа
15,Kehle::N,কণ্ঠ,горло
16,Hals::N,গল,шия
17,Genick::N,ঘাড়,потилиця
18,Kopf::N,মাথা,голова
19,Rücken::N,পৃষ্ঠ,спина
20,Bauch::N,উদর,живіт
21,Nabel::N,নাভি,пупок
22,Busen::N,স্তন,груди
23,Brust::N,বুক,груди
24,Schulter::N,স্কন্ধ,плече
25,Arm::N,বাহু,рука
26,Ellenbogen::N,কনুই,лікоть
27,Hand::N,হাত,рука
28,Handfläche::N,করতল,долоня
29,Finger::N,আঙ্গুল,палець
30,Fingernagel::N,হাতের নখ,ніготь
31,Nagel[Anatomie]::N,নখ,ніготь
32,Zeh::N,আঙ্গুল,палець на нозі
33,Fuß::N,পা,нога
34,Ferse::N,গোড়ালি,п’ятка
35,Knie::N,হাঁটু,коліно
36,Oberschenkel::N,ঊরু,стегно
37,Bein::N,পা,нога
38,Körper::N,দেহ,тіло
39,Haut::N,ত্বক,шкіра
40,Blut::N,রক্ত,кров
41,Ader::N,শিরা,вена
42,Sehne::N,কণ্ডরা,сухожилля
43,Knochen::N,অস্থি,кістка
44,Gehirn::N,মস্তিষ্ক,мозок
45,Herz::N,হৃৎপিণ্ড,серце
46,Magen::N,পাকস্থলী,шлунок
47,Leber::N,যকৃৎ,печінка
48,Atem::N,শ্বাস,дихання
49,Hunger::N,ক্ষুধা,голод
50,Träne::N,অশ্রু,сльоза
51,Geschmack::N,স্বাদ,смак
52,Geruch::N,গন্ধ,запах
53,Schlaf::N,ঘুম,сон
54,Schlaf::N,ঘুম,сплячка
55,Traum::N,স্বপ্ন,сон
56,Himmel::N,আকাশ,небо
57,Sonne::N,সূর্য,сонце
58,Mond::N,চন্দ্র,місяць
59,Stern::N,নক্ষত্র,зірка
60,Luft::N,বায়ু,повітря
61,Wind::N,বাতাস,вітер
62,Welle::N,ঢেউ,хвиля
63,Welle::N,তরঙ্গ,хвиля
64,Wasser::N,জল,вода
65,Stein::N,ঢিল,камінь
66,Stein::N,প্রস্তর,камінь
67,Boden::N,ভূতল,ґрунт
68,Erde::N,ভূমি,земля
69,Staub::N,ধুলা,пил
70,Rauch::N,ধোঁয়া,дим
71,Funke::N,স্ফুলিঙ্গ,іскра
72,Feuer::N,অগ্নি,вогонь
73,Licht::N,আলো,світло
74,Schatten::N,ছায়া,тінь
75,Wetter::N,আবহাওয়া,погода
76,Nebel::N,কুহেলিকা,туман
77,Wolke::N,মেঘ,хмара
78,Regen::N,বৃষ্টি,дощ
79,Schnee::N,তুষার,сніг
80,Eis::N,বরফ,лід
81,Frost::N,তুষার,мороз
82,Kälte::N,শৈত্য,холод
83,Hitze::N,তাপ,жар
84,Raureif::N,তুহিন,іній
85,Regenbogen::N,রামধনু,райдуга
86,Donner::N,বজ্রধ্বনি,грім
87,Strömung::N,স্রোত,струмина
88,Tropfen::N,ফোঁটা,крапля
89,Schaum::N,ফেনা,піна
90,Schmutz::N,ধুলা,бруд
91,See::N,হ্রদ,озеро
92,Sumpf::N,জলা,драговина
93,Moor::N,মাঠ,болото
94,Wiese::N,তৃণভূমি,луг
95,Wiese::N,তৃণভূমি,лука
96,Wald::N,বন,ліс
97,Hügel::N,পাহাড়,горб
98,Anhöhe::N,টিলা,височина
99,Berg::N,পর্বত,гора
100,Gipfel::N,শীর্ষ,вершина
101,Höhle::N,গুহা,печера
102,Abhang::N,ঢাল,схил
103,Quelle::N,উৎস,джерело
104,Bach::N,ক্ষুদ্র নদী,струмок
105,Fluss::N,নদী,річка
106,Ufer::N,উপকূল,берег
107,Küste::N,তীর,узбережжя
108,Festland::N,ভূমি,суша
109,Meer::N,সমুদ্র,море
110,Bucht::N,উপসাগর,бухта
111,Bucht::N,উপসাগর,затока
112,Insel::N,দ্বীপ,острів
113,Blume::N,ফুল,квітка
114,Gras::N,ঘাস,трава
115,Wurzel::N,শিকড়,корінь
116,Baum::N,গাছ,дерево
117,Stamm::N,স্কন্ধ,стовбур
