,Concept_ID,ba,hy
0,Auge::N,күҙ,աչք
1,Ohr::N,ҡолаҡ,ականջ
2,Nase::N,танау,քիթ
3,Mund::N,ауыҙ,բերան
4,Zahn::N,теш,ատամ
5,Zunge::N,тел,լեզու
6,Lippe::N,ирен,շրթունք
7,Wange::N,яцаҡтар,այտ
8,Wange::N,яцаҡтар,թուշ
9,Gesicht::N,бит,դեմք
10,Stirn::N,маңлай,ճակատ
11,Haar::N,сәс,մազ
12,Schnurrbart::N,мылтыҡ,բեղ
13,Bart::N,һаҡал,մորուք
14,Kinn::N,эйэк,կզակ
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,ծնոտ
16,Kehle::N,тамаҡ,կոկորդ
17,Hals::N,муйын,վիզ
18,Hals::N,муйын,պարանոց
19,Genick::N,соңҡа,ծոծրակ
20,Kopf::N,баш,գլուխ
21,Rücken::N,арҡа,մեջք
22,Bauch::N,ҡорһаҡ,փոր
23,Bauch::N,ҡорһаҡ,որովայն
24,Nabel::N,кендек,պորտ
25,Busen::N,күкрәк,ծոց
26,Brust::N,түш,կուրծք
27,Schulter::N,яурын,ուս
28,Arm::N,ҡул,թեւ
29,Arm::N,ҡул,բազուկ
30,Ellenbogen::N,терһәк,արմունկ
31,Hand::N,ҡул,ձեռք
32,Hand::N,ҡул суғы,ձեռք
33,Handfläche::N,ус төбө,ափ
34,Finger::N,бармаҡ,մատ
35,Fingernagel::N,тырнаҡ,եղունգ
36,Nagel[Anatomie]::N,тырнаҡ,եղունգ
37,Zeh::N,бармаҡ,ոտքի մատ
38,Fuß::N,табан,ոտք
39,Ferse::N,үксә,գարշապար
40,Knie::N,тубыҡ,ծունկ
41,Oberschenkel::N,сандыр,ազդր
42,Bein::N,аяҡ,ոտք
43,Körper::N,тән,մարմին
44,Haut::N,тире,մաշկ
45,Blut::N,ҡан,արյուն
46,Ader::N,тамыр,երակ
47,Sehne::N,һеңер,ջիղ
48,Sehne::N,һеңер,ձգտան
49,Sehne::N,тарамыш,ջիղ
50,Sehne::N,тарамыш,ձգտան
51,Knochen::N,һойәк,ոսկոր
52,Gehirn::N,мейе,խելք
53,Herz::N,йорәк,սիրտ
54,Magen::N,ашҡаҙан,ստամոքս
55,Leber::N,бауыр,լյարդ
56,Atem::N,һулыш,շունչ
57,Hunger::N,аслыҡ,քաղց
58,Träne::N,күҙ иәше,արտասուք
59,Geschmack::N,тәм,համ
60,Geschmack::N,тәм,բուրմունք
61,Geruch::N,еҫ,հոտ
62,Geruch::N,еҫ,բուրում
63,Schlaf::N,йоҡлау,քուն
64,Traum::N,төш,երազ
65,Himmel::N,күк,երկինք
66,Sonne::N,ҡояш,արեւ
67,Mond::N,ай,լուսին
68,Stern::N,йондоҙ,աստղ
69,Luft::N,һауа,օդ
70,Wind::N,ел,քամի
71,Welle::N,тулҡын,ալիք
72,Wasser::N,һыу,ջուր
73,Stein::N,таш,քար
74,Boden::N,тупраҡ,գետին
75,Erde::N,балсҡ,հող
76,Staub::N,туҙан,փոշի
