,Concept_ID,ja,hu
0,Auge::N,目,szem
1,Ohr::N,耳,fül
2,Nase::N,鼻,orr
3,Mund::N,口,száj
4,Zahn::N,歯,fog
5,Zunge::N,舌,nyelv
6,Lippe::N,唇,ajak
7,Wange::N,頬,orca
8,Gesicht::N,顔,arc
9,Stirn::N,額,homlok
10,Haar::N,髪,haj
11,Schnurrbart::N,口髭,bajusz
12,Bart::N,髭,szakáll
13,Kinn::N,顎,áll
14,Kiefer[Anatomie]::N,顎,állkapocs
15,Kehle::N,喉,gége
16,Kehle::N,喉,torok
17,Hals::N,首,nyak
18,Genick::N,首,tarkó
19,Kopf::N,頭,fő
20,Kopf::N,頭,fej
21,Rücken::N,背中,hát
22,Bauch::N,腹,has
23,Bauch::N,お腹,has
24,Nabel::N,へそ,köldök
25,Busen::N,乳房,mell
26,Busen::N,乳房,kebel
27,Brust::N,胸,mell
28,Schulter::N,肩,váll
29,Arm::N,腕,kar
30,Ellenbogen::N,肘,könyök
31,Hand::N,手,kéz
32,Handfläche::N,手のひら,tenyér
33,Finger::N,指,ujj
34,Fingernagel::N,爪,köröm
35,Nagel[Anatomie]::N,爪,köröm
36,Zeh::N,足の指,lábujj
37,Fuß::N,足,láb
38,Ferse::N,かかと,sarok
39,Knie::N,膝,térd
40,Oberschenkel::N,上腿,comb
41,Bein::N,足,láb
42,Bein::N,足,lábszár
43,Körper::N,体,test
44,Haut::N,皮膚,bőr
45,Blut::N,血,vér
46,Ader::N,血管,ér
47,Sehne::N,腱,ín
48,Knochen::N,骨,csont
49,Gehirn::N,脳,agy
50,Gehirn::N,脳,agyvelő
51,Herz::N,心,szív
52,Herz::N,心臓,szív
53,Magen::N,胃,gyomor
54,Leber::N,肝臓,máj
55,Atem::N,息,lehelet
56,Atem::N,息,lélegzet
57,Atem::N,呼吸,lehelet
58,Atem::N,呼吸,lélegzet
59,Hunger::N,空腹,éhség
60,Träne::N,涙,könny
61,Geschmack::N,味,íz
62,Geruch::N,匂い,szag
63,Schlaf::N,睡眠,álom
64,Schlaf::N,睡眠,alvás
65,Traum::N,夢,álom
66,Himmel::N,空,ég
67,Himmel::N,空,menny
68,Sonne::N,太陽,nap
69,Mond::N,月,hold
70,Stern::N,星,csillag
71,Luft::N,空気,levegő
72,Wind::N,風,szél
73,Welle::N,波,hullám
74,Wasser::N,水,víz
75,Stein::N,石,kő
76,Boden::N,土地,föld
77,Boden::N,土地,talaj
78,Erde::N,土,föld
79,Staub::N,埃,por
80,Rauch::N,煙,füst
81,Funke::N,火花,szikra
82,Feuer::N,火,tűz
83,Licht::N,光,fény
84,Schatten::N,陰,árnyék
85,Wetter::N,天気,idő
86,Wetter::N,天気,időjárás
87,Nebel::N,霧,köd
88,Wolke::N,雲,felhő
89,Regen::N,雨,eső
90,Schnee::N,雪,hó
91,Eis::N,氷,jég
92,Frost::N,霜,fagy
93,Kälte::N,寒さ,hideg
94,Hitze::N,暑さ,hő
95,Hitze::N,暑さ,hőség
96,Raureif::N,霧氷,zúzmara
97,Regenbogen::N,虹,szivárvány
98,Donner::N,雷,dörgés
99,Donner::N,雷,mennydörgés
100,Strömung::N,流れ,áramlat
101,Tropfen::N,滴,csepp
102,Schaum::N,泡,hab
103,Schaum::N,泡,tajték
104,Schmutz::N,汚れ,piszok
105,See::N,湖,tó
106,Sumpf::N,沼,mocsár
107,Moor::N,湿原,láp
108,Wiese::N,草原,rét
109,Wiese::N,草原,mező
110,Wald::N,森,erdő
111,Hügel::N,丘,domb
112,Anhöhe::N,高み,magaslat
113,Berg::N,山,hegy
114,Gipfel::N,頂上,csúcs
115,Höhle::N,洞窟,barlang
116,Abhang::N,斜面,lejtő
117,Quelle::N,泉,forrás
118,Bach::N,小川,patak
119,Fluss::N,川,folyó
120,Ufer::N,岸,part
121,Küste::N,海岸,tengerpart
122,Festland::N,陸,szárazföld
123,Meer::N,海,tenger
124,Bucht::N,湾,öböl
125,Insel::N,島,sziget
126,Blume::N,花,virág
127,Gras::N,草,fű
128,Wurzel::N,根,gyökér
129,Baum::N,木,fa
130,Stamm::N,幹,tő
131,Stamm::N,幹,törzs
132,Rinde::N,皮層,kéreg
133,Ast::N,枝,ág
134,Zweig::N,小枝,gally
135,Blatt::N,葉,levél
136,Birke::N,樺,nyír
137,Kiefer[Baum]::N,松,fenyő
138,Weide[Baum]::N,柳,fűz
139,Tanne::N,樅,fenyő
140,Horn::N,角,szarv
141,Feder::N,羽根,toll
142,Fell::N,毛皮,szőr
143,Fell::N,毛皮,bunda
144,Flügel::N,羽,szárny
145,Klaue::N,鉤爪,köröm
146,Kralle::N,爪,karom
147,Schwanz::N,尻尾,farok
148,Ei::N,卵,tojás
149,Nest::N,巣,fészek
150,Bau::N,穴,odú
151,Tier::N,動物,állat
152,Herde::N,群れ,nyáj
153,Herde::N,群れ,csorda
154,Kuh::N,牛,tehén
155,Bulle::N,雄牛,bika
156,Pferd::N,馬,ló
157,Schaf::N,羊,juh
158,Schaf::N,羊,birka
159,Schwein::N,豚,sertés
160,Hund::N,犬,eb
161,Hund::N,犬,kutya
162,Katze::N,猫,macska
163,Bär::N,熊,medve
164,Eichhörnchen::N,栗鼠,mókus
165,Elch::N,ヘラジカ,jávorszarvas
166,Fuchs::N,狐,róka
167,Hase::N,兎,nyúl
168,Maus::N,鼠,egér
169,Wolf::N,狼,farkas
170,Vogel::N,鳥,madár
171,Schwarm::N,群れ,raj
172,Huhn::N,鶏,tyúk
173,Hahn::N,雄鶏,kakas
174,Gans::N,ガチョウ,lúd
175,Gans::N,ガチョウ,liba
176,Adler::N,鷲,sas
177,Ente::N,鴨,kacsa
178,Eule::N,フクロウ,bagoly
179,Kranich::N,鶴,daru
180,Krähe::N,烏,varjú
181,Kuckuck::N,郭公,kakukk
182,Schwan::N,白鳥,hattyú
183,Fisch::N,魚,hal
184,Barsch::N,鱸,sügér
185,Hecht::N,川魳,csuka
186,Schlange[Tier]::N,蛇,kígyó
187,Wurm::N,虫,kukac
188,Spinne::N,蜘蛛,pók
189,Ameise::N,蟻,hangya
190,Laus::N,虱,tetű
191,Mücke::N,蚊,szúnyog
192,Fliege::N,蝿,légy
193,Schmetterling::N,蝶,lepke
194,Schmetterling::N,蝶,pillangó
195,Beere::N,漿果,bogyó
196,Apfel::N,林檎,alma
197,Pilz::N,茸,gomba
198,Zwiebel::N,玉葱,hagyma
199,Saat::N,種,vetőmag
200,Korn::N,粒,mag
201,Korn::N,粒,szem
202,Heu::N,干し草,széna
203,Schale::N,皮,héj
204,Grube::N,穴,verem
205,Falle::N,わな,csapda
206,Schlinge::N,輪,tőr
207,Spur::N,跡,nyom
208,Asche::N,灰,hamu
209,Dreck::N,泥,sár
210,Dreck::N,泥,piszok
211,Eisen::N,鉄,vas
212,Gold::N,金,arany
213,Silber::N,銀,ezüst
214,Kohle::N,炭,szén
215,Glas::N,ガラス,üveg
216,Lehm::N,ローム,agyag
217,Lehm::N,ローム,vályog
218,Sand::N,砂,homok
219,Mensch::N,人,ember
220,Mann::N,男,úr
221,Mann::N,男,férfi
222,Mann::N,男性,úr
223,Mann::N,男性,férfi
224,Frau::N,女,nő
225,Frau::N,女,asszony
226,Frau::N,女性,nő
227,Frau::N,女性,asszony
228,Kind::N,子,gyerek
229,Kind::N,子,gyermek
230,Kind::N,子供,gyerek
231,Kind::N,子供,gyermek
232,Junge::N,男の子,fiú
233,Mädchen::N,女の子,lány
234,Familie::N,家族,család
235,Großvater::N,祖父,nagyapa
236,Großvater::N,おじいさん,nagyapa
237,Großmutter::N,祖母,nagyanya
238,Großmutter::N,おばあさん,nagyanya
239,Eltern::N,親,szülők
240,Eltern::N,両親,szülők
241,Vater::N,父,apa
242,Vater::N,父,atya
243,Vater::N,お父さん,apa
244,Vater::N,お父さん,atya
245,Mutter::N,母,anya
246,Mutter::N,お母さん,anya
247,Sohn::N,息子,fiú
248,Sohn::N,息子さん,fiú
249,Tochter::N,娘,lány
250,Tochter::N,お嬢さん,lány
251,Bruder::N,弟,fivér
252,Bruder::N,弟,testvér
253,Schwester::N,妹,nővér
254,Schwester::N,妹,lánytestvér
255,Onkel::N,伯父,nagybácsi
256,Onkel::N,伯父さん,nagybácsi
257,Tante::N,叔母,nagynéni
258,Tante::N,叔母さん,nagynéni
259,Ehemann::N,夫,férj
260,Ehemann::N,主人,férj
261,Ehefrau::N,妻,feleség
262,Ehefrau::N,奥さん,feleség
263,Freude::N,喜び,öröm
264,Gelächter::N,笑い,nevetés
265,Gelächter::N,笑い,hahotázás
266,Glück::N,幸せ,boldogság
267,Kummer::N,悩み,bánat
268,Wunsch::N,希望,óhaj
269,Lust::N,気,kedv
270,Geist::N,精神,elme
271,Geist::N,精神,szellem
272,Gedanke::N,考え,gondolat
273,Gedächtnis::N,記憶,emlékezet
274,Verstand::N,理解力,ész
275,Verstand::N,理解力,értelem
276,Sinn::N,意味,értelem
277,Grund::N,理由,ok
278,Grund::N,理由,alap
279,Wahrheit::N,真実,igaz
280,Wahrheit::N,真実,igazság
281,Gespräch::N,会話,beszélgetés
282,Märchen::N,童話,mese
283,Erzählung::N,物語,elbeszélés
284,Nachricht::N,報告,hír
285,Nachricht::N,報告,híradás
286,Neuigkeit::N,ニュース,újság
287,Name::N,名前,név
288,Rätsel::N,謎,rejtvény
289,Rede::N,演説,beszéd
290,Rede::N,演説,szónoklat
291,Sprache::N,言語,nyelv
292,Stimme::N,声,hang
293,Wort::N,言葉,szó
294,Zeichen::N,記号,jel
295,Ruf::N,呼び声,kiáltás
296,Lärm::N,騒音,zaj
297,Laut::N,音,hang
298,Ton::N,音,hang
299,Lied::N,歌,dal
300,Lied::N,歌,ének
301,Ruhe::N,静けさ,csend
302,Ruhe::N,静けさ,nyugalom
303,Leute::N,人々,emberek
304,Volk::N,民族,nép
305,Arbeit::N,仕事,dolog
306,Gast::N,客,vendég
307,Geschenk::N,贈り物,ajándék
308,Spiel::N,遊び,játék
309,Gesellschaft::N,社会,társaság
310,Hilfe::N,援助,segítség
311,Freund::N,友達,barát
312,Kamerad::N,同志,társ
313,Angelegenheit::N,件,ügy
314,Anzahl::N,数,szám
315,Art::N,種類,faj
316,Art::N,種類,fajta
317,Stück::N,部分,darab
318,Teil::N,部分,rész
319,Hälfte::N,半分,fél
320,Kreis::N,円,kör
321,Kreuz::N,十字,kereszt
322,Linie::N,線,vonal
323,Strich::N,線,vonás
324,Abstand::N,距離,köz
325,Entfernung::N,距離,távolság
326,Gegend::N,辺,táj
327,Gegend::N,辺,vidék
328,Gegend::N,地域,táj
329,Gegend::N,地域,vidék
330,Platz::N,ゆとり,hely
331,Ort::N,所,hely
332,Ort::N,場所,hely
333,Seite::N,横,fél
334,Seite::N,横,oldal
335,Mitte::N,真ん中,közép
336,Gegenstand::N,物件,tárgy
337,Sache::N,物,dolog
338,Rand::N,端,szél
339,Rand::N,端,perem
340,Rand::N,端,szegély
341,Kante::N,縁,él
342,Ecke::N,角,sarok
343,Ecke::N,角,szöglet
344,Spitze::N,先頭,csúcs
345,Ende::N,端,vég
346,Loch::N,穴,lyuk
347,Winkel::N,片隅,szög
348,Muster::N,模様,minta
349,Größe::N,大きさ,nagyság
350,Länge::N,長さ,hossz
351,Länge::N,長さ,hosszúság
352,Höhe::N,高さ,magasság
353,Gewicht::N,重さ,súly
354,Menge::N,量,sokaság
355,Menge::N,量,mennyiség
356,Haufen::N,堆積,halom
357,Reihe::N,並び,sor
358,Boot::N,ボート,csónak
359,Ruder::N,オール,evező
360,Schlitten::N,そり,szánkó
361,Ski::N,スキー,sí
362,Lagerfeuer::N,篝火,tábortűz
363,Last::N,荷物,teher
364,Gang::N,歩み,járás
365,Schritt::N,歩,lépés
366,Norden::N,北,észak
367,Süden::N,南,dél
368,Westen::N,西,nyugat
369,Osten::N,東,kelet
370,Holz::N,木,fa
371,Holz::N,木材,fa
372,Brett::N,板,deszka
373,Platte::N,盤,lap
374,Platte::N,盤,lemez
375,Stütze::N,支柱,támasz
376,Stütze::N,支柱,támaszték
377,Stange::N,棒,rúd
378,Stange::N,棒,pózna
379,Stock::N,杖,pálca
380,Stab::N,棒,bot
381,Rohr::N,管,cső
382,Haus::N,家,ház
383,Heim::N,家,otthon
384,Ofen::N,ストーブ,kályha
385,Fußboden::N,床,padló
386,Tisch::N,机,asztal
387,Stuhl::N,椅子,szék
388,Wiege::N,揺籃,bölcső
389,Bett::N,ベッド,ágy
390,Regal::N,棚,polc
391,Regal::N,棚,állvány
392,Kiste::N,箱,láda
393,Fenster::N,窓,ablak
394,Tür::N,戸,ajtó
395,Tür::N,ドア,ajtó
396,Tor::N,門,kapu
397,Zaun::N,垣根,kerítés
398,Dach::N,屋根,tető
399,Leiter::N,梯子,létra
400,Besen::N,ほうき,seprű
401,Spaten::N,スコップ,ásó
402,Schaufel::N,シャベル,lapát
403,Gabel::N,フォーク,villa
404,Löffel::N,スプーン,kanál
405,Messer::N,ナイフ,kés
406,Nagel::N,釘,szeg
407,Netz::N,網,háló
408,Haken::N,鉤,kampó
409,Haken::N,フック,kampó
410,Griff::N,取っ手,nyél
411,Griff::N,取っ手,fogantyú
412,Schloss::N,錠,zár
413,Bild::N,絵,kép
414,Figur::N,像,alak
415,Puppe::N,人形,bábu
416,Beutel::N,袋,zacskó
417,Bündel::N,束,köteg
418,Bündel::N,包み,köteg
419,Tasche::N,かばん,táska
420,Eimer::N,バケツ,vödör
421,Deckel::N,蓋,fedő
422,Deckel::N,蓋,fedél
423,Geschirr::N,食器,edény
424,Sack::N,袋,zsák
425,Tasse::N,カップ,csésze
426,Topf::N,鍋,fazék
427,Kessel::N,釜,üst
428,Kessel::N,釜,bogrács
429,Essen::N,食事,evés
430,Essen::N,食事,étkezés
431,Nahrung::N,食物,ennivaló
432,Speise::N,料理,étel
433,Fleisch::N,肉,hús
434,Getreide::N,麦,gabona
435,Getreide::N,穀物,gabona
436,Brei::N,粥,pép
437,Brei::N,粥,kása
438,Brot::N,パン,kenyér
439,Scheibe::N,枚,szelet
