,Concept_ID,en,ta
0,Auge::N,eye,கண்
1,Ohr::N,ear,காது
2,Nase::N,nose,மூக்கு
3,Mund::N,mouth,வாய்
4,Zahn::N,tooth,பல்
5,Zunge::N,tongue,நாக்கு
6,Lippe::N,lip,உதடு
7,Wange::N,cheek,கன்னம்
8,Gesicht::N,face,முகம்
9,Stirn::N,forehead,முன்னெற்றி
10,Haar::N,hair,முடி
11,Schnurrbart::N,moustache,மீசை
12,Bart::N,beard,தாடி
13,Kinn::N,chin,கீழதாடை
14,Kiefer[Anatomie]::N,jaw,தாடை
15,Kehle::N,throat,தொண்டை
16,Hals::N,neck,கழுத்து
17,Genick::N,nape,கழுத்து
18,Kopf::N,head,தலை
19,Rücken::N,back,முதுகு
20,Rücken::N,spine,முதுகு
21,Bauch::N,belly,வயிறு
22,Nabel::N,navel,தொப்புள்
23,Busen::N,bosom,மார்பகம்
24,Brust::N,chest, மார்பு
25,Brust::N,breast, மார்பு
26,Schulter::N,shoulder,தோள்பட்டை
27,Arm::N,arm,கரம்
28,Ellenbogen::N,elbow,முழங்கை
29,Hand::N,hand,கை
30,Handfläche::N,palm,உள்ளங்கை
31,Finger::N,finger,விரல்
32,Fingernagel::N,fingernail,விரல் நகம்
33,Nagel[Anatomie]::N,nail,நகம்
34,Zeh::N,toe,கால்விரல்
35,Fuß::N,foot,கால்
36,Ferse::N,heel,குதிகால்
37,Knie::N,knee,முழங்கால்
38,Oberschenkel::N,thigh,தொடை
39,Bein::N,leg,கால்
40,Körper::N,body,உடல்
41,Haut::N,skin,சருமம்
42,Blut::N,blood,இரத்தம்
43,Ader::N,vein,நாளம்
44,Sehne::N,sinew,தசைநார்
45,Knochen::N,bone,எலுமபு
46,Gehirn::N,brain,மூனை
47,Herz::N,heart,இதயம
48,Magen::N,stomach,வயிறு
49,Leber::N,liver,கல்லீரல்
50,Atem::N,breath,மூச்சு
51,Hunger::N,hunger,பசி
52,Träne::N,tear,கண்ணீர்
53,Geschmack::N,flavour,நறுமணம்
54,Geschmack::N,flavor,நறுமணம்
55,Geruch::N,odour,துர்நாற்றம்
56,Geruch::N,odor,துர்நாற்றம்
57,Schlaf::N,sleep,தூக்கம்
58,Traum::N,dream,கனவு
59,Himmel::N,sky,வானம்
60,Sonne::N,sun,சூரியன்
61,Mond::N,moon,சந்திரன்
62,Stern::N,star,நட்சத்திரம்
63,Luft::N,air,காறறு
64,Wind::N,wind,காற்று
65,Welle::N,wave,அலை
66,Wasser::N,water,நீர்
67,Stein::N,stone,கல்
68,Boden::N,soil,தரை
69,Boden::N,ground,தரை
70,Erde::N,earth,மண்
71,Staub::N,dust,தூசி
72,Rauch::N,smoke,புகை
73,Funke::N,spark,தீப்பொறி
74,Feuer::N,fire,தீ
75,Licht::N,light,வெளிச்சம்
76,Schatten::N,shadow,நிழல்
77,Wetter::N,weather,வானிலை
78,Nebel::N,fog,பனிமூட்டம்
79,Wolke::N,cloud,மேகம்
80,Regen::N,rain,மழை
81,Schnee::N,snow,உறைபனி
82,Eis::N,ice,பனிக்கட்டி
83,Frost::N,frost,உறைபனி
84,Kälte::N,chill,குளிர்ந்த
85,Hitze::N,heat,சூடு
86,Raureif::N,hoarfrost,உறைபனி வெண்திரை
87,Regenbogen::N,rainbow,வானவில்
88,Donner::N,thunder,இடி
89,Strömung::N,current,நீரோட்டம்
90,Tropfen::N,drop,துளி
91,Schaum::N,foam,நுரை
92,Schmutz::N,dirt,அழுக்கு
93,See::N,lake,ஏரி
94,Sumpf::N,swamp,சதுப்பு நிலம்
95,Moor::N,moor,முட்புதற்காடு
96,Wiese::N,meadow,பசும் புல்தரை
97,Wald::N,forest,காடு
98,Hügel::N,hill,குன்று
99,Anhöhe::N,elevation,பதுக்கை
100,Berg::N,mountain,மலை
101,Gipfel::N,summit,உச்சி மாநாடு
102,Höhle::N,cave,குகை
103,Abhang::N,slope,சரிவு
104,Quelle::N,source,மூலம்
105,Bach::N,brook,ஓடை
106,Fluss::N,river,ஆறு
107,Ufer::N,shore,நீர்க்கரை
108,Küste::N,coast,கடற்கரை
109,Festland::N,land,நிலம்
110,Meer::N,sea,கடல்
111,Bucht::N,cove,சிறுகுடா
112,Insel::N,island,தீவு
113,Blume::N,flower,பூ
114,Gras::N,grass,புல்தரை
115,Wurzel::N,root,வேர்
116,Baum::N,tree,மரம்
117,Stamm::N,trunk,அடிமரம்
118,Rinde::N,bark,பட்டை
119,Rinde::N,bark,மரப்பட்டை
120,Ast::N,limb,கினை
121,Zweig::N,branch,குச்சி
122,Blatt::N,leaf,இலை
123,Birke::N,birch,பிர்ச் மரம்
124,Kiefer[Baum]::N,pine,தேவதாரு மரம்
125,Weide[Baum]::N,willow,மர வகைகளுள் ஒன்று
126,Tanne::N,fir,சாதிக்கய்
127,Horn::N,horn,கொம்பு
128,Feder::N,feather,இறகு
129,Fell::N,fur,மென்முடி
130,Flügel::N,wing,இறக்கை
131,Klaue::N,claw,நகம்
132,Kralle::N,claw,நகம்
133,Schwanz::N,tail,வால்
134,Ei::N,egg,முட்டை
135,Nest::N,nest,கூடு
136,Bau::N,lair,குகை
137,Tier::N,animal,விலங்கு
138,Herde::N,flock,கூட்டம்
139,Kuh::N,cow,பசு
140,Bulle::N,bull,காளை
141,Pferd::N,horse,குதிரை
142,Schaf::N,sheep,செம்மறிஆடு
143,Schwein::N,pig,பன்றி
144,Hund::N,dog,நாய்
145,Katze::N,cat,பூனை
146,Bär::N,bear,கரடி
147,Eichhörnchen::N,squirrel,அணில்
148,Elch::N,elk,கடம்பை
149,Fuchs::N,fox,நரி
150,Hase::N,hare,முயல்
151,Maus::N,mouse,எலி
152,Wolf::N,wolf,ஓநாய்
153,Vogel::N,bird,பறவை
154,Schwarm::N,swarm,தொகுதி
155,Huhn::N,chicken,கோழிக்குஞசு
156,Hahn::N,cock,சேவல்
157,Gans::N,goose,பெண் வாத்து
158,Adler::N,eagle,பருநது
159,Ente::N,duck,வாத்து
160,Eule::N,owl,ஆந்தை
161,Kranich::N,crane,நாரை
162,Krähe::N,crow,காகம்
163,Kuckuck::N,cuckoo,குயில்
164,Schwan::N,swan,அன்னம்
165,Fisch::N,fish,மீன்
166,Barsch::N,perch,பேர்ச்
167,Hecht::N,pike,கோலாச்சி மீன்
168,Schlange[Tier]::N,snake,பாம்பு
169,Wurm::N,worm,புழு
170,Spinne::N,spider,சிலந்தி
171,Ameise::N,ant,எறும்பு
172,Laus::N,louse,பேன்
173,Mücke::N,midge,கொசுவினப்பூச்சி
174,Fliege::N,fly,ஈ
175,Schmetterling::N,butterfly,வண்ணத்துப்பூச்சி
176,Beere::N,berry,சதைப்பழம்
177,Apfel::N,apple,ஆப்பிள பழம்
178,Pilz::N,mushroom,காளான்
179,Zwiebel::N,onion,வெங்காயம்
180,Saat::N,seed,விதை
181,Korn::N,grain,தானியம்
182,Heu::N,hay,வைக்கோல்
183,Schale::N,husk,தோல்
184,Grube::N,pit,குழி
185,Falle::N,trap,பொறி
186,Schlinge::N,noose,கண்ணி
187,Spur::N,track,சுவடு
188,Asche::N,ashes,சாம்பல்
189,Dreck::N,filth,அழுக்கு
190,Eisen::N,iron,இரும்பு
191,Gold::N,gold,தங்கம்
192,Silber::N,silver,வெள்ளி
193,Kohle::N,coal,நிலக்கரி
194,Glas::N,glass,கண்ணாடி
195,Lehm::N,clay,களிமண்
196,Sand::N,sand,மணல்
197,Mensch::N,human,மனிதர்கள்
198,Mann::N,man,மனிதன்
199,Frau::N,woman,பெண்
200,Kind::N,child,குழந்தை
201,Junge::N,boy,பையன்
202,Mädchen::N,girl,சிறுமி
203,Familie::N,family,குடும்பம்
204,Großvater::N,grandfather,தாத்தா
205,Großmutter::N,grandmother,பாட்டி
206,Eltern::N,parents,பெற்றோர்
207,Vater::N,father,தந்தை
208,Mutter::N,mother,தாய்
209,Sohn::N,son,மகன்
210,Tochter::N,daughter,மகள்
211,Bruder::N,brother,சகோதரன்
212,Schwester::N,sister,அக்கா
213,Onkel::N,uncle,தாய் மாமன்
214,Tante::N,aunt,அத்தை
215,Ehemann::N,husband,கணவன்
216,Ehefrau::N,wife,மனைவி
217,Freude::N,joy,கொண்டாட்டம்
218,Gelächter::N,laughter,சிரிப்பு
219,Glück::N,happiness,மகிழ்ச்சி
220,Kummer::N,grief,துயரம்
221,Wunsch::N,wish,விருப்பம்
222,Lust::N,desire,விருப்பம்
223,Geist::N,spirit,ஆன்மா
224,Gedanke::N,thought,எண்ணம்
225,Gedächtnis::N,memory,ஞாபகம்
226,Verstand::N,mind,மனம்
227,Sinn::N,meaning,அர்த்தம்
228,Grund::N,reason,காரணம்
229,Wahrheit::N,truth,உண்நை
230,Gespräch::N,talk,பெசு
231,Märchen::N,fairy tale,நம்பத்தகாத கதை
232,Erzählung::N,story,கதை
233,Nachricht::N,message,செய்தி
234,Neuigkeit::N,news,செய்தி
235,Name::N,name,பெயர்
236,Rätsel::N,puzzle,புதிர்
237,Rede::N,speech,பேச்சு
238,Sprache::N,language,மொழி
239,Stimme::N,voice,குரல்
240,Wort::N,word,வார்த்தை
241,Zeichen::N,sign,குறி
242,Ruf::N,call,அழைப்பு
243,Lärm::N,noise,சத்தம்
244,Laut::N,sound,ஒலி
245,Ton::N,tone,குரல்
246,Lied::N,song,பாட்டு
247,Ruhe::N,calm,அமைதி
248,Leute::N,people,மக்கள்
249,Volk::N,nation,மக்கள்
250,Arbeit::N,work,வேலை
251,Gast::N,guest,விருந்தாளி
252,Geschenk::N,gift,பரிசுப் பொருள்
253,Spiel::N,game,விளையாட்டு
254,Gesellschaft::N,company,சமுதாயம்
255,Hilfe::N,help,உதவி
256,Freund::N,friend,நண்பன்
257,Kamerad::N,companion,உடனிருப்பவன்
258,Angelegenheit::N,matter,செய்தி
259,Anzahl::N,count,எண்ணிக்கை
260,Art::N,sort,வகை
261,Stück::N,piece,துண்டம்
262,Teil::N,part,பகுதி
263,Hälfte::N,half,பாதி
264,Kreis::N,circle,வட்டம்
265,Kreuz::N,cross,சிலுவை
266,Linie::N,line,கோடு
267,Strich::N,stroke,வாத நோய்
268,Abstand::N,gap,இடைவெளி
269,Entfernung::N,distance,தூரம்
270,Gegend::N,area,வட்டாரம்
271,Platz::N,space,வெற்றிடம்
272,Ort::N,place,இடம்
273,Seite::N,side,பக்கம்
274,Mitte::N,middle,இடைப்பகுதி
