,Concept_ID,kv,bg
0,Auge::N,син,око
1,Ohr::N,пель,ухо
2,Nase::N,ныр,нос
3,Mund::N,ӧм,уста
4,Zahn::N,пинь,зъб
5,Zunge::N,кыв,език
6,Lippe::N,тырп,устна
7,Wange::N,рожабан,буза
8,Gesicht::N,бан,лице
9,Gesicht::N,бан,образ
10,Stirn::N,кымӧс,чело
11,Haar::N,юрси,коса
12,Haar::N,юрси,косъм
13,Schnurrbart::N,уссэз,мустаци
14,Bart::N,тош,брада
15,Kinn::N,тшӧка,брада
16,Kinn::N,тшӧка,брадичка
17,Kiefer[Anatomie]::N,ан,челюст
18,Kehle::N,юан,гърло
19,Hals::N,юан,врат
20,Genick::N,юр бӧр,тил
21,Kopf::N,юр,глава
22,Rücken::N,мышк,гръб
23,Bauch::N,кынӧм,корем
24,Nabel::N,гӧг,пъп
25,Busen::N,морос,бозка
26,Brust::N,морос,гръд
27,Schulter::N,пельпон,рамо
28,Schulter::N,пельпон,плещи
29,Arm::N,ки,ръка
30,Ellenbogen::N,гырдзза,лакът
31,Hand::N,кикар,ръка
32,Hand::N,кикар,китка
33,Handfläche::N,ки пыдӧс,длан
34,Finger::N,чунь,пръст
35,Fingernagel::N,гыж,нокът
36,Nagel[Anatomie]::N,гыж,нокът
37,Zeh::N,чунь,пръст на крак
38,Fuß::N,кокпыдӧс,крак
39,Fuß::N,кокпыдӧс,нога
40,Ferse::N,кокдзир,пета
41,Knie::N,пидзӧс,коляно
42,Oberschenkel::N,лядьбей,бедро
43,Bein::N,кок,крак
44,Bein::N,кок,нога
45,Körper::N,вывтыр,тяло
46,Haut::N,кучик,кожа
47,Blut::N,вир,кръв
48,Ader::N,сӧн,вена
49,Ader::N,сӧн,артерия
50,Sehne::N,жила,жила
51,Sehne::N,жила,сухожилие
52,Knochen::N,коска,кост
53,Gehirn::N,вем,мозък
54,Herz::N,сьӧлӧм,сърце
55,Magen::N,жӧвдӧк,стомах
56,Leber::N,мус,черен дроб
57,Atem::N,лолалӧм,дишане
58,Hunger::N,тшыг,глад
59,Träne::N,синва,сълза
60,Geschmack::N,кӧр,вкус
61,Geruch::N,дук,миризма
62,Schlaf::N,он,сън
63,Traum::N,вӧт,сън
64,Himmel::N,небо,небе
