,Concept_ID,hi,sv
0,Auge::N,आँख,öga
1,Auge::N,चक्षु,öga
2,Ohr::N,कान,öra
3,Ohr::N,कर्ण,öra
4,Nase::N,नाक,näsa
5,Nase::N,नासा,näsa
6,Mund::N,मुख,mun
7,Mund::N,मुँह,mun
8,Zahn::N,दंत,tand
9,Zahn::N,दाँत,tand
10,Zunge::N,जीभ,tunga
11,Zunge::N,ज़बान,tunga
12,Zunge::N,जिह्वा,tunga
13,Lippe::N,ओंठ,läpp
14,Lippe::N,होंठ,läpp
15,Wange::N,गाल,kind
16,Wange::N,कपोल,kind
17,Gesicht::N,मुँह,syn
18,Gesicht::N,मुँह,ansikte
19,Gesicht::N,चेहरा,syn
20,Gesicht::N,चेहरा,ansikte
21,Stirn::N,माथा,panna
22,Stirn::N,मस्तक,panna
23,Haar::N,बाल,hår
24,Schnurrbart::N,मूँछें,mustasch
25,Bart::N,दाढ़ी,skägg
26,Kinn::N,चिबुक,haka
27,Kiefer[Anatomie]::N,जबड़ा,käke
28,Kehle::N,गला,strupe
29,Hals::N,गला,hals
30,Hals::N,गरदन,hals
31,Genick::N,गरदन,nacke
32,Genick::N,ग्रीवा,nacke
33,Kopf::N,सिर,huvud
34,Kopf::N,शीर्ष,huvud
35,Rücken::N,पीठ,rygg
36,Bauch::N,उदर,buk
37,Bauch::N,उदर,mage
38,Nabel::N,नाभि,navel
39,Nabel::N,ढोंढी,navel
40,Busen::N,कुच,barm
41,Busen::N,स्तन,barm
42,Brust::N,वक्ष,bröst
43,Schulter::N,कंधा,skuldra
44,Schulter::N,स्कंध,skuldra
45,Arm::N,बाँह,arm
46,Arm::N,बाज़ू,arm
47,Ellenbogen::N,कुहनी,armbåge
48,Hand::N,हाथ,hand
49,Hand::N,हस्त,hand
50,Handfläche::N,हथेली,handflata
51,Finger::N,उँगली,finger
52,Finger::N,अँगुली,finger
53,Fingernagel::N,नख,fingernagel
54,Fingernagel::N,नाख़ून,fingernagel
55,Nagel[Anatomie]::N,नख,nagel
56,Nagel[Anatomie]::N,नाख़ून,nagel
57,Zeh::N,उँगली,tå
58,Zeh::N,पाँव की उँगली,tå
59,Fuß::N,चरण,fot
60,Fuß::N,पाँव,fot
61,Ferse::N,एड़ी,häl
62,Knie::N,जानु,knä
63,Knie::N,घुटना,knä
64,Oberschenkel::N,उरु,lår
65,Bein::N,टाँग,ben
66,Körper::N,तन,kropp
67,Körper::N,देह,kropp
68,Körper::N,शरीर,kropp
69,Haut::N,चर्म,hud
70,Haut::N,चर्म,skinn
71,Haut::N,त्वचा,hud
72,Haut::N,त्वचा,skinn
73,Blut::N,लहू,blod
74,Blut::N,ख़ून,blod
75,Ader::N,रग,åder
76,Ader::N,शिरा,åder
77,Sehne::N,कंडरा,sena
78,Sehne::N,स्नायु,sena
79,Knochen::N,अस्थि,ben
80,Gehirn::N,दिमाग़,hjärna
81,Gehirn::N,मस्तिष्क,hjärna
82,Herz::N,दिल,hjärta
83,Herz::N,हृदय,hjärta
84,Magen::N,मेदा,mage
85,Magen::N,अमाशय,mage
86,Leber::N,जिगर,lever
87,Leber::N,यकृत्,lever
88,Atem::N,दम,anda
89,Atem::N,दम,andedräkt
90,Atem::N,साँस,anda
91,Atem::N,साँस,andedräkt
92,Atem::N,श्वास,anda
93,Atem::N,श्वास,andedräkt
94,Hunger::N,भूख,svält
95,Hunger::N,भूख,hunger
96,Hunger::N,क्षुधा,svält
97,Hunger::N,क्षुधा,hunger
98,Träne::N,आँसू,tår
99,Träne::N,अश्रु,tår
100,Geschmack::N,स्वाद,smak
101,Geschmack::N,ज़ायक़ा,smak
102,Geruch::N,बू,lukt
103,Geruch::N,गंध,lukt
104,Schlaf::N,नींद,sömn
105,Schlaf::N,निद्रा,sömn
106,Traum::N,सपना,dröm
107,Traum::N,स्वप्न,dröm
108,Himmel::N,आकाश,himmel
109,Himmel::N,आसमान,himmel
110,Sonne::N,रवि,sol
111,Sonne::N,सूरज,sol
112,Sonne::N,सूर्य,sol
113,Mond::N,चाँद,måne
114,Mond::N,चंद्र,måne
115,Stern::N,तारा,stjärna
