,Concept_ID,ca,mn
0,Auge::N,ull,нүд
1,Ohr::N,orella,чих
2,Nase::N,nas,хамар
3,Mund::N,boca,ам
4,Zahn::N,dent,шүд
5,Zunge::N,llēngua,хэл
6,Lippe::N,llavi,уруул
7,Wange::N,galta,хацар
8,Gesicht::N,cara,царай
9,Gesicht::N,cara,нүүр
10,Stirn::N,front,дух
11,Haar::N,cabēll,үс
12,Schnurrbart::N,bigoti,дээд сахал
13,Schnurrbart::N,bigoti,живэр сахал
14,Bart::N,barba,сахал
15,Kinn::N,mentó,эрүү
16,Kinn::N,barbeta,эрүү
17,Kiefer[Anatomie]::N,queix,эрүү
18,Kiefer[Anatomie]::N,mandíbula,эрүү
19,Kehle::N,gola,хоолой
20,Kehle::N,gorja,хоолой
21,Hals::N,coll,хүзүү
22,Genick::N,nuca,шил
23,Genick::N,nuca,хүзүү
24,Kopf::N,cap,толгой
25,Rücken::N,esquena,ар
26,Rücken::N,esquena,нуруу
27,Bauch::N,panxa,хэвлий
28,Bauch::N,panxa,гэдэс
29,Nabel::N,llombrígol,хүйс
30,Busen::N,pit,хөх
31,Busen::N,mama,хөх
32,Brust::N,pit,цээж
33,Schulter::N,espatlla,мөр
34,Schulter::N,espatlla,бугалга
35,Arm::N,braç,гар
36,Ellenbogen::N,colze,тохой
37,Hand::N,mà,гар
38,Hand::N,mà,алга
39,Handfläche::N,palma,алга
40,Finger::N,dit,хуруу
41,Fingernagel::N,ungla,хурууны хумс
42,Nagel[Anatomie]::N,ungla,хумс
43,Zeh::N,dit del peu,хуруу
44,Fuß::N,peu,хөл
45,Ferse::N,taló,өсгий
46,Knie::N,genoll,өвдөг
47,Oberschenkel::N,cuixa,гуя
48,Bein::N,cama,хөл
49,Körper::N,cos,бие
50,Haut::N,pell,арьс
51,Blut::N,sang,цус
52,Ader::N,vena,судас
53,Sehne::N,tendó,бүлх
54,Sehne::N,tendó,шандас
55,Knochen::N,os,яс
56,Gehirn::N,cervell,тархи
57,Herz::N,cor,зүрх
58,Magen::N,estómac,ходоод
59,Leber::N,fetge,элэг
60,Atem::N,alè,амьсгаа
61,Atem::N,hàlit,амьсгаа
62,Hunger::N,fam,өлсгөлөн
63,Hunger::N,gana,өлсгөлөн
64,Träne::N,llàgrima,нулимс
65,Geschmack::N,gust,амт
66,Geschmack::N,sabor,амт
67,Geruch::N,olor,үнэр
68,Schlaf::N,son,нойр
69,Traum::N,somni,зүүд
70,Himmel::N,celm,тэнгэр
71,Himmel::N,celm,огторгуй
72,Sonne::N,sol,нар
73,Mond::N,lluna,сар
74,Stern::N,estel,од
75,Stern::N,estrella,од
76,Luft::N,aire,агаар
77,Wind::N,vent,салхи
78,Welle::N,ona,долгио
79,Welle::N,ona,давалгаа
80,Wasser::N,āigua,ус
81,Stein::N,pedra,чулуу
82,Boden::N,sòl,хөрс
83,Erde::N,terra,газар
84,Erde::N,terra,шороо
85,Staub::N,pols,тоос
86,Rauch::N,fum,утаа
87,Funke::N,guspira,оч
