,Concept_ID,el,ps
0,Auge::N,μάτι,سترګه
1,Auge::N,οφθαλμός,سترګه
2,Ohr::N,αυτί,غوږ
3,Nase::N,μύτη,پوزه
4,Mund::N,στόμα,خوله
5,Zahn::N,δόντι,غاښ
6,Zunge::N,γλώσσα,جبه
7,Lippe::N,χείλος,شونډه
8,Wange::N,παρειά,باړخو
9,Wange::N,μάγουλο,باړخو
10,Gesicht::N,πρόσωπο,مخ
11,Stirn::N,μέτωπο,تندی
12,Stirn::N,μέτωπο,وچولی
13,Haar::N,μαλλιά,وېښته
14,Schnurrbart::N,μουστάκι,برېت
15,Bart::N,γένια,ږیره
16,Kinn::N,πιγούνι,زنه
17,Kiefer[Anatomie]::N,σαγόνι,جامه
18,Kehle::N,λαρύγγι,غاړه
19,Hals::N,λαιμός,غاړه
20,Genick::N,σβέρκος,ورمېږ
21,Kopf::N,κεφάλι,سر
22,Rücken::N,ράχη,شا
23,Bauch::N,κοιλιά,نس
24,Bauch::N,κοιλιά,ګېډه
25,Nabel::N,αφαλός,نوم
26,Busen::N,στήθος,تی
27,Brust::N,στήθος,سینه
28,Schulter::N,ώμος,اوږه
29,Arm::N,χέρι,لاس
30,Arm::N,μπράτςο,لاس
31,Ellenbogen::N,αγκώνας,څنګل
32,Hand::N,χέρι,لاس
33,Handfläche::N,παλάμη,ورغوی
34,Finger::N,δάχτυλο,ګوته
35,Fingernagel::N,νύχι,نوک
36,Nagel[Anatomie]::N,νύχι,نوک
37,Zeh::N,δάχτυλο του ποδιού,ګوته
38,Fuß::N,πόδι,پښه
39,Ferse::N,φτέρνα,پونده
40,Knie::N,γόνατο,زنګون
41,Oberschenkel::N,μηρός,پتون
42,Bein::N,πόδι,پښه
43,Körper::N,σώμα,ځان
44,Körper::N,κορμί,ځان
45,Haut::N,πετσί,پوټکی
46,Blut::N,αίμα,وینه
47,Ader::N,φλέβα,رګ
48,Sehne::N,νεύρο,پله
49,Sehne::N,τένοντας,پله
50,Knochen::N,οστό,هډوکی
51,Knochen::N,κόκκαλο,هډوکی
52,Gehirn::N,μυαλό,ماغزه
53,Gehirn::N,εγκέφαλος,ماغزه
54,Herz::N,καρδιά,زړه
55,Magen::N,στομάχι,معده
56,Leber::N,ήπαρ,ينه
57,Leber::N,ήπαρ,ځیګر
58,Leber::N,συκωτί,ينه
59,Leber::N,συκωτί,ځیګر
60,Atem::N,αναπνοή,نفس
61,Hunger::N,πείνα,ولږه
62,Träne::N,δάκρυ,اوښکه
63,Geschmack::N,γεύση,مزه
64,Geschmack::N,γεύση,خوند
65,Geruch::N,οσμή,بوی
66,Geruch::N,μυρωδία,بوی
67,Schlaf::N,ύπνος,خوب
68,Traum::N,όνειρο,خوب
69,Himmel::N,ουρανός,اسمان
