,Concept_ID,pl,mrj
172,Adler::N,orzeł,кучкыж
173,Ente::N,kaczka,лыды
174,Eule::N,sowa,тымана
175,Kranich::N,żuraw,тырня
176,Kranich::N,żuraw,тыртня
177,Krähe::N,wrona,лудыгарак
178,Kuckuck::N,kukułka,куку
179,Schwan::N,łabędż,йӱксӹ
180,Fisch::N,ryba,кол
181,Barsch::N,okoń,алангы
182,Hecht::N,szczupak,нуж
183,Hecht::N,szczupak,нужгол
184,Schlange[Tier]::N,wąż,кӹшкы
185,Schlange[Tier]::N,żmija,кӹшкы
186,Wurm::N,robak,шукш
187,Spinne::N,pająk,ӓнгӹремшӹ
188,Ameise::N,mrówka,кыткы
189,Laus::N,wesz,ти
190,Mücke::N,komar,кужнер
191,Mücke::N,komar,кужынер
192,Fliege::N,mucha,шӹнгӓ
193,Schmetterling::N,motyl,лӹпӹ
194,Beere::N,jagoda,мöр
195,Apfel::N,jabłko,олма
196,Pilz::N,grzyb,понгы
197,Zwiebel::N,cebula,охыра
198,Saat::N,siew,нӱшмӹ
199,Saat::N,siew,нӱшмӱ
200,Korn::N,ziarno,пӹрцӹ
201,Heu::N,siano,шуды
202,Schale::N,łupina,аваха
203,Schale::N,łupina,карлангы
204,Grube::N,dół,йӓм
205,Grube::N,jama,йӓм
206,Falle::N,pułapka,лӱдӹ
207,Falle::N,pułapka,лӱдӹш
208,Schlinge::N,sidła,онгы
209,Spur::N,ślad,кишӓ
210,Asche::N,popiół,ломых
211,Asche::N,popiół,ломпыж
212,Dreck::N,brud,лявӹрӓ
213,Eisen::N,żelazo,кӹртни
214,Gold::N,złoto,шöртни
215,Gold::N,złoto,шöртньӹ
216,Silber::N,srebro,ши
217,Kohle::N,węgiel,шӱ
218,Glas::N,szkło,охоница
219,Lehm::N,glina,шун
220,Sand::N,piasek,ошма
221,Mensch::N,człowiek,эдем
222,Mann::N,mężczyzna,пӱэргӹ
223,Frau::N,kobieta,ӹдӹрӓмӓш
224,Kind::N,dziecko,ӓзӓ
225,Kind::N,dziecko,шачшы
226,Junge::N,chłopak,рвезӹ
227,Junge::N,chłopak,ӹрвезӹ
228,Junge::N,chłopiec,рвезӹ
229,Junge::N,chłopiec,ӹрвезӹ
230,Mädchen::N,dziewczynka,ӹдӹрӓш
231,Familie::N,rodzina,йиш
232,Familie::N,rodzina,семня
233,Großvater::N,dziadek,тьоти
234,Großmutter::N,babka,папа
235,Eltern::N,rodzice,ӓтя-ӓвӓ
236,Vater::N,ojciec,ӓтя
237,Mutter::N,matka,ӓвӓ
238,Sohn::N,syn,эргӹ
239,Tochter::N,córka,ӹдӹр
240,Bruder::N,brat,ӹза
241,Schwester::N,siostra,ӓкӓ
242,Onkel::N,wuj,кугуза
243,Onkel::N,stryj,кугуза
244,Tante::N,ciotka,куака
245,Ehemann::N,mąż,мары
246,Ehefrau::N,żona,вӓтӹ
247,Freude::N,radość,ӹвӹртӹмӓш
248,Gelächter::N,śmiech,ваштылмаш
249,Glück::N,szczęście,пиӓл
250,Kummer::N,zmartwienie,ясы
251,Wunsch::N,życzenie,охата
252,Wunsch::N,życzenie,шанымаш
253,Lust::N,chęć,шӓр
254,Lust::N,chęć,охата
255,Lust::N,chęć,шанымаш
256,Lust::N,ochota,шӓр
257,Lust::N,ochota,охата
258,Lust::N,ochota,шанымаш
259,Geist::N,duch,тух
