,Concept_ID,cv,hy
0,Auge::N,куҫ,աչք
1,Ohr::N,хӑлха,ականջ
2,Nase::N,сӑмса,քիթ
3,Mund::N,ҫӑвар,բերան
4,Zahn::N,шӑл,ատամ
5,Zunge::N,чӗлхе,լեզու
6,Lippe::N,тута,շրթունք
7,Wange::N,пит ҫӑмарти,այտ
8,Wange::N,пит ҫӑмарти,թուշ
9,Gesicht::N,пит,դեմք
10,Gesicht::N,пит-куҫ,դեմք
11,Stirn::N,ҫамка,ճակատ
12,Haar::N,ҫӳҫ,մազ
13,Schnurrbart::N,усси,բեղ
14,Bart::N,сухал,մորուք
15,Kinn::N,янах,կզակ
16,Kiefer[Anatomie]::N,янах,ծնոտ
17,Kehle::N,пыр,կոկորդ
18,Kehle::N,карланкӑ,կոկորդ
19,Hals::N,пыр,վիզ
20,Hals::N,пыр,պարանոց
21,Genick::N,ӗнсе,ծոծրակ
22,Kopf::N,пуҫ,գլուխ
23,Rücken::N,ҫурӑм,մեջք
24,Nabel::N,кӑвапа,պորտ
25,Busen::N,кӑкӑр,ծոց
26,Brust::N,умӗ,կուրծք
27,Schulter::N,хул пуҫҫи,ուս
28,Arm::N,алӑ,թեւ
29,Arm::N,алӑ,բազուկ
30,Ellenbogen::N,чавса,արմունկ
31,Hand::N,алӑ сыппи,ձեռք
32,Handfläche::N,ал лаппи,ափ
33,Finger::N,пӳрне,մատ
34,Fingernagel::N,чӗрне,եղունգ
35,Nagel[Anatomie]::N,чӗрне,եղունգ
36,Zeh::N,пӳрне,ոտքի մատ
37,Fuß::N,ура лаппи,ոտք
38,Ferse::N,кӗле,գարշապար
39,Knie::N,чӗркуҫҫи,ծունկ
40,Oberschenkel::N,пӗҫӗ,ազդր
41,Bein::N,ура,ոտք
42,Körper::N,ӳт,մարմին
43,Körper::N,ӳт-пӳ,մարմին
44,Haut::N,тир,մաշկ
45,Blut::N,юн,արյուն
46,Ader::N,вена,երակ
47,Sehne::N,шӑнӑр,ջիղ
48,Sehne::N,шӑнӑр,ձգտան
49,Knochen::N,шӑмӑ,ոսկոր
50,Gehirn::N,миме,խելք
51,Herz::N,чӗре,սիրտ
52,Magen::N,хырӑмлӑх,ստամոքս
53,Leber::N,пӗвер,լյարդ
54,Atem::N,сывлав,շունչ
55,Hunger::N,выҫлӑх,քաղց
56,Träne::N,куҫҫуль,արտասուք
57,Geschmack::N,техӗм,համ
58,Geschmack::N,техӗм,բուրմունք
59,Geruch::N,шӑршӑ,հոտ
60,Geruch::N,шӑршӑ,բուրում
61,Schlaf::N,ыйхӑ,քուն
62,Traum::N,тӗлӗк,երազ
63,Himmel::N,пӗлӗт,երկինք
64,Sonne::N,хӗвел,արեւ
65,Mond::N,уйӑх,լուսին
66,Stern::N,ҫӑлтӑр,աստղ
67,Luft::N,сывлӑш,օդ
68,Wind::N,ҫил,քամի
69,Welle::N,хум,ալիք
70,Wasser::N,шыв,ջուր
71,Wasser::N,шыв-шур,ջուր
72,Stein::N,чул,քար
73,Boden::N,тӑпра,գետին
74,Erde::N,ҫӗр,հող
75,Staub::N,тусан,փոշի
76,Rauch::N,тӗтӗм,ծուխ
77,Funke::N,хӗм,կայծ
78,Feuer::N,вут,կրակ
79,Feuer::N,вут,հրդեհ
80,Feuer::N,ҫулӑм,կրակ
81,Feuer::N,ҫулӑм,հրդեհ
82,Licht::N,ҫутӑ,լույս
83,Schatten::N,сулхӑн,ստվեր
84,Wetter::N,ҫанталӑк,եղանակ
85,Nebel::N,тӗтре,մեգ
86,Nebel::N,тӗтре,մառախուղ
87,Wolke::N,пӗлӗт,ամպ
88,Regen::N,ҫумӑр,անձրև
89,Schnee::N,юр,ձյուն
90,Eis::N,пӑр,սառույց
91,Frost::N,сивӗ,սառնամանիք
92,Kälte::N,сивӗ,դող
93,Hitze::N,вӗри,շոգ
94,Hitze::N,шӑрӑх,շոգ
95,Raureif::N,пас,ցօղեղեամ
96,Regenbogen::N,асамат кӗперӗ,ծիածան
97,Donner::N,аслати,որոտ
98,Strömung::N,юхӑ,հոսանք
99,Tropfen::N,тумлам,կաթիլ
100,Schaum::N,кӑпӑк,փրփուր
101,Schmutz::N,пылчӑк,կեղտ
102,See::N,кӳлӗ,լիճ
103,Sumpf::N,шур,ճահիճ
104,Sumpf::N,шурлӑх,ճահիճ
105,Moor::N,торфлӑ шурлӑх,ճահիճ
106,Wiese::N,улӑх,մարգագետին
107,Wiese::N,ҫаран,մարգագետին
108,Wald::N,вӑрман,անտառ
109,Hügel::N,сӑрт,բլուր
110,Hügel::N,тӗмеске,բլուր
111,Anhöhe::N,сӑрт,բարձունք
112,Berg::N,ту,լեռ
113,Gipfel::N,тӳпе,գագաթ
114,Gipfel::N,тӳпе,կատար
115,Höhle::N,ҫӗр хӑвӑлӗ,քարայր
116,Abhang::N,тӑвайкки,լանջ
117,Abhang::N,тӑвайкки,զառիվայր
118,Quelle::N,ҫӑл куҫ,աղբյուր
119,Bach::N,пӗчӗк шыв,վտակ
120,Fluss::N,юхан шыв,գետ
121,Ufer::N,ҫыран,ծովափ
122,Küste::N,тинӗс ҫыранӗ,ափ
123,Küste::N,тинӗс ҫыранӗ,ծովափ
124,Festland::N,тип ҫӗр,ցամաք
125,Meer::N,тинӗс,ծով
126,Bucht::N,тинӗс кукӑрӗ,հաչիւն
127,Insel::N,утрав,վղզի
128,Blume::N,чечек,ծաղիկ
129,Gras::N,курӑк,խոտ
130,Wurzel::N,тымар,արմատ
131,Baum::N,йывӑҫ,ծառ
132,Stamm::N,вулӑ,իրան
133,Rinde::N,хуйӑр,կեղեւ
134,Rinde::N,хуйӑр,հաչոց
135,Ast::N,турат,ճյուղ
136,Zweig::N,турат,ճյուղ
137,Blatt::N,ҫулҫӑ,տերեւ
138,Birke::N,хурӑн,ցարասի
139,Kiefer[Baum]::N,хыр,սոճի
140,Weide[Baum]::N,хӑва,ուռենի
141,Tanne::N,чӑрӑш,եղեւին
142,Horn::N,мӑйрака,
143,Feder::N,тӗк,փետուր
144,Fell::N,ҫӑм,մորթի
145,Flügel::N,ҫунат,թեւ
146,Klaue::N,чӗрне,չանչ
147,Kralle::N,ура,ճանկ
148,Schwanz::N,хӳре,պոչ
149,Ei::N,ҫӑмарта,ձու
150,Nest::N,йӑва,բույն
151,Bau::N,йӗнӗ,որջ
152,Bau::N,йӗнӗ,բայոց
153,Tier::N,выльӑх,կենդանի
154,Herde::N,кӗтӳ,հոտ
155,Kuh::N,ӗне,կով
156,Bulle::N,вӑкӑр,ցուլ
157,Pferd::N,лаша,ձի
158,Schaf::N,сурӑх,ոչխար
159,Schwein::N,сысна,խոզ
160,Hund::N,йытӑ,շուն
161,Katze::N,кушак,կատու
162,Bär::N,упа,արջ
163,Eichhörnchen::N,пакша,սկյուռ
164,Elch::N,пӑши,հիւսիսային եղջերու
165,Fuchs::N,тилӗ,աղվես
166,Hase::N,куян,նապաստակ
167,Hase::N,мулкач,նապաստակ
168,Maus::N,шӑши,մուկ
169,Wolf::N,кашкӑр,գայլ
170,Vogel::N,кайӑк,թռչուն
171,Vogel::N,вӗҫен кайӑк,թռչուն
172,Schwarm::N,ушкӑн,երամ
173,Huhn::N,чӑх,հավ
174,Huhn::N,чӑхӑ,հավ
175,Hahn::N,автан,աքաղաղ
176,Gans::N,хур,սագ
177,Adler::N,ӑмӑрт кайӑк,արծիվ
178,Ente::N,кӑвакал,բադ
179,Eule::N,тӑмана,բու
180,Kranich::N,тӑрна,կռունկ
181,Krähe::N,ула курак,ագռավ
182,Kuckuck::N,куккук,կուկու
183,Schwan::N,акӑш,կարապ
184,Fisch::N,пулӑ,ձուկ
185,Barsch::N,уланкӑ,պերկես
186,Hecht::N,ҫӑрттан,գայլաձուկ
187,Schlange[Tier]::N,ҫӗлен,օձ
188,Wurm::N,ӑман,որդ
189,Wurm::N,ӑман,ճիճու
190,Spinne::N,эрешмен,սարդ
191,Ameise::N,кӑткӑ,միջյուն
192,Laus::N,пыйтӑ,ոջիլ
193,Mücke::N,вӑрӑм туна,մժղուկ
194,Fliege::N,шӑна,ճանճ
195,Schmetterling::N,лӗпӗш,թիթեռ
196,Beere::N,ҫырла,հատապտուղ
197,Apfel::N,улма,խնձոր
198,Apfel::N,пан улми,խնձոր
199,Pilz::N,кӑмпа,սունկ
200,Zwiebel::N,сухан,սոխ
201,Saat::N,вӑрӑ,սերմ
202,Korn::N,тӗшӗ,հատիկ
203,Korn::N,пӗрчӗ,հատիկ
204,Heu::N,утӑ,խոտ
205,Schale::N,хупӑ,կեղեւ
206,Grube::N,шӑтӑк,փոս
207,Falle::N,тапӑ,ծուղակ
208,Falle::N,капкӑн,ծուղակ
209,Schlinge::N,йӑлӑ,խեղդան
210,Spur::N,йӗр,հետք
211,Asche::N,кӗл,մոխիր
212,Dreck::N,пылчӑк,աղտ
213,Eisen::N,тимӗр,երկաթ
214,Gold::N,ылтӑн,ոսկի
215,Silber::N,кӗмӗл,արծաթ
216,Kohle::N,кӑмрӑк,քարածուխ
217,Glas::N,кӗленче,ապակի
218,Lehm::N,тӑм,կավ
219,Sand::N,хӑйӑр,ավազ
220,Mensch::N,ҫын,մարդ
221,Mensch::N,этем,մարդ
222,Mann::N,ар,մարդ
223,Mann::N,ар,տղամարդ
224,Frau::N,хӗрарӑм,կին
225,Kind::N,ача,զավակ
226,Junge::N,ача,տղա
227,Junge::N,ар ҫын ача,տղա
228,Mädchen::N,хӗр ача,աղջիկ
229,Familie::N,ҫемье,ընտանիք
230,Familie::N,кил-йыш,ընտանիք
231,Großvater::N,кукаҫи,պապ
232,Großmutter::N,кукамай,տատ
233,Eltern::N,аҫа-ама,ծնողներ
234,Vater::N,атте,հայր
235,Mutter::N,анне,մայր
236,Sohn::N,ывӑл,որդի
237,Tochter::N,хӗр,աղջիկ
238,Tochter::N,хӗр,դուստր
239,Bruder::N,ар тӑван,եղբայր
240,Schwester::N,аппа,քույր
241,Schwester::N,йӑмӑк,քույր
242,Onkel::N,мучи,քեռի
243,Onkel::N,мучи,հորեղբայր
244,Onkel::N,пичче,քեռի
245,Onkel::N,пичче,հորեղբայր
246,Tante::N,аппа,մորաքույր
247,Ehemann::N,упӑшка,մարդ
248,Ehemann::N,упӑшка,ամուսին
249,Ehefrau::N,арӑм,կին ամուսին
250,Freude::N,савӑнӑҫ,ուրախություն
251,Freude::N,хаваслӑх,ուրախություն
252,Gelächter::N,кулӑ,ծիծաղ
253,Glück::N,телей,երջանկություն
254,Glück::N,ӑраскал,երջանկություն
255,Kummer::N,хурлӑх,վիշտ
256,Wunsch::N,ӗмӗт,ցանկություն
257,Wunsch::N,кӑмӑл,ցանկություն
258,Lust::N,кӑмӑл,փափագ
259,Lust::N,кӑмӑл,իղձ
