,Concept_ID,lbe,ru
0,Auge::N,я,глаз
1,Ohr::N,вичӏи,ухо
2,Nase::N,май,нос
3,Mund::N,кьацӏ,рот
4,Zahn::N,ккарччи,зуб
5,Zunge::N,маз,язык
6,Lippe::N,мурччи,губа
7,Wange::N,чӏав,щека
8,Gesicht::N,лажин,лицо
9,Stirn::N,ненттабакӏ,лоб
10,Haar::N,чӏара,волос
11,Haar::N,чӏара,волосы
12,Schnurrbart::N,ссирссилтту,ус
13,Schnurrbart::N,ссирссилтту,усы
14,Bart::N,чӏири,борода
15,Kinn::N,лунттубакӏ,подбородок
16,Kiefer[Anatomie]::N,ххинчулул,челюсть
17,Kehle::N,кьакьари,горло
18,Hals::N,ссурссу,шея
19,Genick::N,махъабакӏ,затылок
20,Kopf::N,бакӏ,голова
21,Rücken::N,ттиликӏ,спина
22,Bauch::N,лякьа,живот
23,Nabel::N,цӏумуккутӏ,пупок
24,Busen::N,ккукку,женская грудь
25,Brust::N,хъазам,грудь
26,Schulter::N,хъачӏ,плечо
27,Arm::N,ка,рука
28,Ellenbogen::N,ссюрхъ,локоть
29,Hand::N,бартка,кисть
30,Handfläche::N,хъат,ладонь
31,Handfläche::N,битӏянхъ,ладонь
32,Finger::N,кӏисса,палец
33,Fingernagel::N,михь,ноготь
34,Nagel[Anatomie]::N,михь,ноготь
35,Zeh::N,кӏисса,палец
36,Fuß::N,чӏанччан,ступня
37,Ferse::N,никъа,пята
38,Ferse::N,никъа,пятка
39,Knie::N,ник,колено
40,Oberschenkel::N,жира,бедро
41,Bein::N,ччан,нога
42,Körper::N,чурх,тело
43,Haut::N,бурчу,кожа
44,Blut::N,оь,кровь
45,Ader::N,тунну,вена
46,Ader::N,тунну,сосуд
47,Sehne::N,хьхьа,жила
48,Sehne::N,хьхьа,тетива
49,Sehne::N,хьхьа,сухожилие
50,Knochen::N,ттаркӏ,кость
51,Gehirn::N,ня,мозг
52,Herz::N,дакӏ,сердце
53,Herz::N,къюкӏ,сердце
54,Magen::N,лякьа,желудок
55,Atem::N,ссихӏ ласаву,дух
56,Atem::N,ссихӏ ласаву,дыхание
57,Atem::N,ссихӏ бигьаву,дух
58,Atem::N,ссихӏ бигьаву,дыхание
59,Hunger::N,ккаши,голод
60,Träne::N,макь,слеза
61,Geschmack::N,тӏин,вкус
62,Geschmack::N,тӏааьн,вкус
63,Geruch::N,кьанкь,запах
64,Schlaf::N,шану,сон
65,Traum::N,макӏру,сновидение
66,Himmel::N,ссав,небо
67,Sonne::N,баргъ,солнце
68,Mond::N,барз,луна
69,Stern::N,цӏуку,звезда
70,Luft::N,гьава,воздух
71,Wind::N,марч,ветер
72,Welle::N,щатӏи,волна
73,Wasser::N,щин,вода
74,Stein::N,чару,камень
75,Boden::N,аьрщи,почва
76,Erde::N,аьрщи,земля
77,Staub::N,ххит,пыль
78,Rauch::N,пуркӏу,дым
79,Funke::N,пиягь,искра
80,Feuer::N,цӏу,огонь
81,Licht::N,чани,свет
82,Schatten::N,ххют,тень
83,Wetter::N,гьава,погода
84,Nebel::N,шархь ттурлу,туман
85,Wolke::N,ттурлу,облако
86,Regen::N,гъарал,дождь
87,Schnee::N,марххала,снег
88,Eis::N,микӏ,лед
89,Frost::N,дяркъу,мороз
90,Frost::N,замгьар,мороз
91,Kälte::N,дяркъу,холод
92,Hitze::N,кӏиришиву,жара
93,Raureif::N,сил,иней
94,Raureif::N,бурса,иней
95,Regenbogen::N,ссурул ккуртта,радуга
96,Donner::N,къув,гром
97,Strömung::N,экьинанаву,течение
98,Tropfen::N,кӏунтӏ,капля
99,Schaum::N,хьама,пена
100,Schmutz::N,кьяркьи,грязь
101,See::N,бяр,озеро
102,Sumpf::N,кунцӏа,топь
103,Wiese::N,кьан,луг
104,Wald::N,вацӏа,лес
105,Hügel::N,бакӏу,холм
106,Berg::N,зунтту,гора
107,Gipfel::N,мицӏ,вершина
108,Höhle::N,нух,пещера
109,Abhang::N,сун,склон
110,Quelle::N,дайдихьу,источник
111,Quelle::N,бакӏ,источник
112,Bach::N,чӏрир нех,ручей
113,Fluss::N,нех,река
114,Ufer::N,зума,берег
115,Küste::N,зумаинхалу,побережье
116,Küste::N,зуманицӏалу,побережье
117,Festland::N,кьири,суша
118,Meer::N,хьхьири,море
119,Insel::N,жазира,остров
120,Blume::N,тӏутӏи,цветок
121,Gras::N,уртту,трава
122,Wurzel::N,мархха,корень
