,Concept_ID,xal,lv
0,Auge::N,нүдн,син
1,Auge::N,нүдн,acs
2,Ohr::N,чикн,пель
3,Ohr::N,чикн,auss
4,Nase::N,хамр,ныр
5,Nase::N,хамр,deguns
6,Mund::N,амн,вом
7,Mund::N,амн,mute
8,Zahn::N,шүдн,пинь
9,Zahn::N,шүдн,zobs
10,Zunge::N,келн,кыв
11,Zunge::N,келн,mēle
12,Lippe::N,урл,вом дор
13,Lippe::N,урл,lūpa
14,Wange::N,халх,бан
15,Wange::N,халх,vaigs
16,Gesicht::N,нүр,чужӧм
17,Gesicht::N,нүр,seja
18,Gesicht::N,нүр,ģīmis
19,Stirn::N,маңна,плеш
20,Stirn::N,маңна,кымӧс
21,Stirn::N,маңна,piere
22,Haar::N,үсн,си
23,Haar::N,үсн,юрси
24,Haar::N,үсн,mats
25,Schnurrbart::N,сахл,ус
26,Schnurrbart::N,сахл,пыртсим
27,Schnurrbart::N,сахл,ūsas
28,Bart::N,сахл,тош
29,Bart::N,сахл,bārda
30,Bart::N,өргнә сахл,тош
31,Bart::N,өргнә сахл,bārda
32,Kinn::N,өргн,тшӧка
33,Kinn::N,өргн,zods
34,Kinn::N,өргн,smakrs
35,Kiefer[Anatomie]::N,өргн,черлы
36,Kiefer[Anatomie]::N,өргн,алака лы
37,Kiefer[Anatomie]::N,өргн,вомкӧтш лы
38,Kiefer[Anatomie]::N,өргн,žoklis
39,Kehle::N,хол,голя
40,Kehle::N,хол,rīkle
41,Hals::N,күзүн,сьылі
42,Hals::N,күзүн,kakls
43,Genick::N,гиҗг,юрбӧр
44,Genick::N,гиҗг,балябӧж
45,Genick::N,гиҗг,sprands
46,Kopf::N,толһа,юр
47,Kopf::N,толһа,galva
48,Rücken::N,нурһн,мыш
49,Rücken::N,нурһн,mugura
50,Bauch::N,гесн,рушку
51,Bauch::N,гесн,vēders
52,Nabel::N,киисн,гӧг
53,Nabel::N,киисн,naba
54,Busen::N,көкн,морӧс
55,Busen::N,көкн,krūts
56,Brust::N,чееҗ,морӧс
57,Brust::N,чееҗ,krūts
58,Schulter::N,ээм,пельпом
59,Schulter::N,ээм,plecs
60,Arm::N,һар,ки
61,Arm::N,һар,roka
62,Arm::N,һар,delms
